SHIR FPGA 4096 no dequant,SHIR FPGA 8192 no dequant,SHIR FPGA 16384 no dequant,SHIR FPGA 32768 no dequant,SHIR FPGA 65536 no dequant,SHIR FPGA 131072 no dequant,SHIR FPGA 262144 no dequant
9510720,15968723,33668820,66099593,129406472,292005562,651048962
9478783,16106008,33712854,66042302,129420634,292644402,662012270
9550611,16460978,33548028,66107273,129320428,291811205,628028654
9405387,18566544,33647639,66005815,129397212,291824840,635184814
9488334,16021374,33602068,66078597,129510297,291887622,720057297
9396092,16069143,33643026,66147211,129832625,291803037,658588983
9519632,15998145,33634625,66162650,129991028,303562651,648157121
9516172,16027807,33940641,66088157,129942439,300006512,656817409
9510351,16089262,33624527,66012192,129973983,293039162,637924699
9520855,16095872,33693829,65984227,130208938,292962331,635977194
9895604,16072732,33634601,66139056,130030893,292906080,628150316
9502652,16074492,33595898,66098785,129898294,292822568,635766652
9575186,16070702,33622704,65973087,129842502,292990761,661821967
9547116,16081647,33688649,66010538,129883679,293078377,673429484
9529389,16090567,33633723,66138815,129893572,292946359,667553688
9517748,15952346,33625291,66063313,129996945,292935687,669536832
9517210,16101296,33636648,66131568,129881946,293035405,650362656
9375464,16108056,33650374,66135122,129864694,293130888,680552089
9469469,15951793,33568118,67553765,130057094,293159449,637038107
9501391,16115917,33630376,66177608,129895663,292915529,628316029
9488334,16126501,33908170,66189780,129889914,292849056,635488688
9368964,16137077,33658037,66096165,129858129,292792605,659345574
9435698,16069620,33765112,65977600,129952068,292955197,636499672
9509257,16087880,33608240,66069026,130228392,293270835,650921403
9535371,16003950,33641500,66104923,129999752,297857402,674006781
9522094,16237744,33570173,66053057,129852165,292874292,653230811
9559395,16065471,33589255,66156051,129944962,292878072,636057674
9497610,16118409,33556178,66051866,129898187,292965633,683149020
9611091,16054620,33594228,66033260,129883033,293080929,683784726
9453900,16039958,33649112,66146448,129918431,292967750,677907641
9506248,16008209,33580257,65946092,129859636,293231187,677339472
9557472,16035562,33583887,65973316,129817799,292869477,667010510
9401163,16058307,33558489,65980530,129813362,292953816,677404070
9469876,16121590,33584531,66135540,129916523,292947821,645332369
9491160,16000789,33661879,66174905,129897159,293058149,635997733
9413947,16036391,36573549,66144341,129946230,293091064,668072761
9496040,16125658,33629340,66087193,129964113,293394561,645523379
9493481,15980188,34218465,66038049,129959407,292789567,635252852
9603736,16064733,33657483,66004070,129614321,292890632,643173687
9571024,16076351,33545194,66004732,129674509,292742664,643834612
9439955,16019730,33573272,65923758,129772988,293051453,636075580
9426544,16038804,33694316,66094473,129660662,292999221,636000422
9504394,16061980,33622360,65996044,129691716,293515740,637179466
9544418,16028470,33668798,66049843,129726118,293015812,635118544
9370263,16104350,33600470,65998323,129795726,293118325,620883172
9541766,16059127,33581078,66095897,129187064,293108243,634482187
9559710,16106033,33550007,66076463,129172629,292400500,691292498
9505038,16003191,33511248,66041909,129159928,292583889,635198002
9406729,16056464,33538613,66184896,129284559,292711087,636080162
9466915,16095986,33549508,67022262,129110029,292311994,726411850
10318380,16084154,33609450,65993150,129180222,292425786,636814613
9432569,16118829,33600966,66039134,129259702,292331599,635467809
9444172,16062802,33953244,66066178,129680672,292455236,643175544
9359738,16113843,33577363,66127722,129064647,292321802,635156462
9416056,16097063,33638950,66133453,129152258,292695453,636737935
9304708,16242366,34181906,66214087,129150260,292566685,635175082
9450036,16111374,33627163,66201657,129124712,292412831,636621996
9504523,16033612,33666690,70594526,129122314,292537047,645936396
9465624,16055644,33651245,66145474,129307913,292851904,635320363
9454744,16045982,33600167,66191859,129114779,294170660,635603586
9276136,16073042,33913609,66124633,129216970,293032398,635739929
9434075,16001282,33556725,66123381,129162805,293371953,635452284
9529955,15971103,33648676,66111122,129268944,293474005,699679276
9461235,16066526,33638708,70295203,129102272,293898386,637305521
9436587,16087377,33557346,65931485,129091389,293636366,635464886
9483015,16142111,33648822,66080534,129179278,293433539,635165581
9514889,16109697,33605020,66178760,129231756,293650870,634941228
9347549,16026936,33677143,66199839,129842234,293674380,635500192
9422379,15975441,33532598,66182234,129815296,294543578,638876649
9467645,16002117,37266474,66072177,129662314,293251163,633752430
9355785,16030030,33631676,66244707,129647495,293281609,619955548
9443357,16087923,33528774,66142550,129666479,293526877,637165047
9293360,16016139,33508055,66216636,129659178,293561454,635181545
9498063,16004202,33646981,66129710,129726672,293248948,635233651
9442987,15948718,33655743,66040393,129724572,293144972,634056365
9477292,16210727,33603152,66083128,129667764,293247077,634426657
9450182,16233522,33599024,66040695,129617890,293222317,635121744
9331477,16072417,33613240,66072803,129644362,293298315,634583724
9411418,16064696,33514665,65903375,129671357,293360262,701782393
9344631,16100784,33618078,66017084,129675255,293349285,633725686
9205084,16054256,33617603,66114694,129736171,293225767,634970334
9401054,16103695,33608878,66168979,129159625,293525298,691491217
9423071,16108787,33676207,66076935,129425275,293319619,635556894
9486689,16031446,33626169,66084123,129173297,293120440,663339675
9422516,16072747,33585233,66123132,129125841,293191728,643962739
9479776,19258420,33661906,66035807,129101277,293982994,635920875
9387584,16206945,33548999,66177925,129055539,293449933,635283889
9448128,16065632,33523767,66121753,129064082,293234123,635588848
9449875,16033794,33571081,66085976,129205372,293328529,636446950
9385376,16038589,35811309,66087143,129097881,293144492,657003373
9429317,16071318,33704965,66936816,129095926,293346846,636608708
10802919,16126841,33666382,65639865,129246173,293809412,635752116
9451591,16137194,33675962,66083907,129205855,293443388,636648585
10169718,16085637,33536087,66111996,129117568,293639468,635539958
9631355,16097304,33589148,66148264,128897944,293465237,636526125
9406183,16086580,33568779,66039556,129165516,293220560,635004257
9477785,16116731,33579081,66070321,129255752,293439866,635707673
9440533,16098306,35637948,66127602,129237125,293592340,635340523
9537266,16064912,33655336,66103826,129173708,293865085,636525518
12395644,16106065,33611183,66305178,129173745,295110205,634771701
12111538,16127418,33626647,66107953,129235808,293400961,716770754
10609355,16086826,33697051,66184950,129191681,293378318,653758124
9295065,16023821,33678088,66092615,129776576,293333540,643731725
9415082,16067823,33627096,66100412,129613545,293377361,694651814
9243119,16050368,35312283,66226811,129710425,293438713,635963599
13193010,16097566,33721773,66119143,129633279,293292127,656864124
9476541,16023592,33674856,66212916,129712832,293484870,681566916
9450190,16024098,33636970,66930250,129648719,293599972,658866091
9424384,16140113,33635240,65700531,129794093,293527961,676165470
9408758,16149501,33524585,66917007,129607588,294941911,666406262
10091240,16068635,33624190,66373540,129707612,293551772,639297667
9352581,16092992,33605287,66618376,129649552,293331732,677021950
9416926,16112036,33524038,66420456,129946059,293373556,665844419
9305363,16047154,33520341,66668491,129657870,293318836,653003734
9389132,16044693,33561765,66439029,129599575,293529320,656581720
9227401,16082756,33546100,66416696,129746886,293540896,664929000
9313477,16078198,33610702,66479696,129144280,293808659,660037987
9632369,16159679,33622429,66292649,129165630,293390317,665937430
9427814,16091153,33630417,66681805,129174296,293415990,657952590
9421102,16118738,33586264,66432739,129065502,293824214,657868313
9363489,16071925,33579004,65734625,129204789,294544025,656594103
9432874,16046332,33561339,66147851,129082063,294097185,675594873
9454241,16065210,33631849,66186495,129240375,293712407,667362798
9420357,16112482,33619574,66193321,129201980,293649061,653567913
9514118,16088031,33616434,66184741,129200071,293748020,650714234
9261812,16099107,33527381,66127892,131394181,293400350,658584339
9432754,16067667,33475595,66272447,129248182,293392637,679936121
9492727,16104897,33607165,66118660,129238320,294381917,643908399
9394385,16089902,33566226,66222793,129144321,295762264,634677746
9407662,16048724,33640876,66201911,129098720,296048089,696848055
9415893,16133436,33692616,66253010,129205039,295856886,638346170
9349113,16075612,33644796,66177818,129213936,296524621,634301192
9458492,16075514,33500641,66175255,129149224,296151873,637225182
9184314,16057816,33539683,66175408,129193361,297064720,635044439
9207224,16081714,33533008,66198732,129192305,295754180,640459234
9292026,16097071,33635978,66153261,129120276,298146018,634807994
9379136,16127854,33635370,66136851,129218255,293521416,636530987
9253714,16103694,33630622,66164540,129093808,293177569,635758868
9364866,16074137,33545246,66170687,129153648,293406668,637154411
9192419,16064069,33530962,66132493,129158595,293815162,634871361
9318220,16093383,33505270,66240745,129824719,293620168,637226299
9341641,16120939,33638058,66211387,129162510,293575551,635726114
9261179,15998784,33558555,66215680,129127280,293275865,641549566
9402928,16102684,33940226,71389415,129165094,293320514,636409525
9230340,16151222,33653386,66199508,129197685,304895984,635447356
9313769,16026958,33565985,66041753,129092992,296041859,636435642
9397202,16116956,33538501,66191853,129206852,295880894,636400915
9240047,16026254,33662684,66165705,129116729,295807196,635566207
9281646,16108146,33634987,66230753,129117075,296082689,636082186
9381888,16270848,33550099,66097027,129146812,295956842,644950736
9365632,16258820,33668129,66199690,129217260,295722521,642154900
9242294,16022450,33547700,66200588,129078247,295860658,635146206
9350290,16025458,33595011,66195619,129204635,295700330,634324219
9333651,16032976,33600931,66198644,129191563,296063264,704644728
9478147,16103593,33559195,66130773,129193029,295870408,634289048
9607025,16028573,33588878,66283398,129254574,295937879,635934097
9408351,16112964,33623660,66173682,129256329,295563112,634553263
9425252,16134053,33601240,66366443,129204543,296024094,635711505
9454783,16090439,33467824,66880422,129192279,295886576,634552823
9329297,16105178,33426094,66599648,129201931,296069202,635678591
9471490,16056990,33493471,66381303,129768260,295963611,635117967
9446188,16031346,33589851,66588729,129025627,295880588,697040391
9524002,16068660,33483642,66424040,129006442,295867437,633503383
9499156,16089942,33432408,66684600,129138628,296505163,632561704
9458706,16071966,33619798,66396812,128991224,295089081,632690196
9306318,16099588,33452490,66677004,129218765,294408793,632345426
9406581,16097261,33479681,66565840,128919181,295173441,634349252
9444467,16102545,33508862,66438475,129094169,295704307,632876862
9406646,16039584,33496517,66478584,129020932,295707984,665603129
9409915,16114214,33549568,66504998,129028904,296311123,696045262
9492947,16061905,33578774,66666873,129017062,295852221,633754505
9389726,15987358,33577570,65665621,129756300,295878226,662636611
9407370,16103174,33449636,66190184,129157796,295898256,633121276
9454560,16107983,33521945,66177552,129123413,295780591,642854043
9455073,16118692,33574774,66122036,128980400,295836714,639551628
9416058,16053107,33544022,66162771,129099568,296286062,635942058
9429995,16161012,33571380,66167400,129048021,295920004,635461283
9399240,16094793,33541315,66099518,129055254,295872927,662585103
9431453,16047239,33552026,66159985,129050536,295999230,634331738
9425852,16096106,33552878,66111259,128977224,295742159,635598161
9462043,16077033,33544304,66155068,129044815,295867754,692716533
9340184,16107292,33604488,66153907,129077257,296447412,634841392
9410164,16119145,33581288,66092534,129023417,296249431,635018120
9476677,16105474,33545227,66151273,129092225,295876134,635173400
9374862,16022333,33524703,66510077,128921947,296021866,634597816
9470258,16096043,33539725,66102169,129059308,295912688,655439057
9501614,16116462,33529540,66234671,129729817,295943531,635072839
9456943,16077824,33528262,66156681,128991712,296339956,664055615
9442461,16088420,33583937,66177400,128950825,295787994,691553762
9311367,16046886,33516679,66135039,129085419,295834486,635792041
9405187,16103552,33581547,66196215,128936467,295758104,633480505
9415397,16050591,33682250,66178701,129070496,295927470,635802785
9510579,16112127,33531151,66194222,129019031,296029712,633611364
9461329,16108473,33568160,66122539,129106871,301067379,670399559
9474727,16075488,33593316,66088647,129072594,295737638,634419911
9334541,16113805,33629237,66145672,129530177,295933817,634620641
9361961,16126313,33590664,66153847,129084803,295912166,689423587
9346817,16116734,33499936,65878359,129074018,295825725,635132886
9427403,16137919,33511104,66168108,128963099,294901920,635440339
9441342,16080084,33532111,66076873,129004411,295651958,658153901
9358829,17019748,33658841,66094851,128987352,294997152,659747386
9463544,16102545,33548167,66122599,129140212,295742118,657012970
9503051,16042361,33607088,65854701,129349390,295907207,668566391
9281963,16041734,33559109,66200169,129133228,295769101,643809675
9439866,16075041,33537800,66174339,128959883,295726511,642887626
9429097,16044460,33608541,66198292,129027168,295902201,635534119
9465489,16102823,33497222,66166202,129038475,295969837,645828063
9464276,16119936,33639402,66364846,129039664,296064817,635964621
9439168,16109614,33570951,66085496,128943532,295636266,635437394
9432266,16100460,33625843,66132289,129131003,295804372,636920746
9200374,16116555,33554375,66176168,128935373,295784333,636488425
9350908,16015225,33432025,66813038,129164128,295720403,636269889
9285021,16040296,33525043,66575099,129051485,297282402,643669613
9227680,16085297,33591325,66539556,129082036,295717799,636979880
9268432,16066109,33480332,66502601,128991867,295749693,656108379
9309006,16032775,33604445,66525080,129081585,295873571,651609017
9273391,15998268,33567908,66446681,129057362,296171180,635479886
9363393,16087731,33506931,66457408,129179658,308919612,677780943
9340881,16125863,33507255,66657762,129702768,296031202,635960945
9347078,16106687,33572425,66454103,129182620,298002924,637453986
9270786,16117712,33679796,66474445,129067941,295992739,638621242
9321159,16089247,33962215,66226438,129060987,296347371,635299262
9320567,16114828,33613716,66704655,129204821,296057027,677489711
9311378,16111515,33523820,66231863,129018336,296015052,666998227
9303167,16099147,33563354,66050887,129059357,296011457,669542805
9296006,16053642,33555101,66204619,128967567,295889663,669869327
9404667,16179299,33647611,66081379,129143081,296023805,666195768
9353079,16103869,33641926,66123773,128998270,295791102,669679872
9394989,16112920,33596160,66121347,129106259,295746117,645118713
9289176,16064624,33566910,66132202,129046154,296609688,633921039
9313334,16060544,33636990,66108072,129437427,295850047,633074406
9343794,16099816,33536908,66136418,129412716,295923439,644020581
9350590,16094371,33646576,66072549,129066040,295779276,632181200
9364763,16029673,33629847,66118001,129027837,295788068,686796971
9273816,16123600,33518112,66091517,128995544,295649942,634504035
9366457,16103950,33669787,66038880,129067063,295862443,625552087
9295527,16124369,33569602,66152439,129017389,295773061,634229762
9215270,16131870,33494462,66415798,128936857,295699478,655496901
9195951,16086427,33508648,66196554,129110933,296060098,641204799
9023540,16133144,33567897,66310680,129016561,296029360,630052048
9002633,16115981,33560935,66192378,129149734,294621373,633292759
9061528,16123822,33607860,66347147,129019413,294754876,629885914
9182577,15989689,33562863,66185951,129060854,295662054,648672985
9310231,16071811,33568549,66175546,129054667,295690472,630516702
9285998,16119872,33531122,66139786,129090352,295801886,691272122
9248222,16068111,33534201,66108211,129003410,295742669,631891825
9337630,16069504,33656556,66137311,129159130,295815550,633521210
9270445,16010682,33624469,66156388,129624874,295998727,663452894
9289903,16125193,33660090,66076649,128965097,295755182,632873763
9342738,16119648,33508613,66102146,128976126,295893958,631448956
9305509,16012282,33510024,66141011,129057103,295969566,637303320
9328709,16129578,33554724,66119500,129024933,295747846,631512455
9322017,16024582,33572449,66158513,129225833,295653690,633594388
9266986,16118406,33543478,66228617,128990609,296577752,631916047
9342810,16113143,33670406,66203424,129099777,295826120,633710170
9346474,16064073,33475595,66119282,129037524,295496303,631497931
9346705,16073019,33549096,66129948,129274036,295751005,634101006
9329071,16156330,33516493,66292909,128904340,295687651,632343803
9128233,16016822,33496703,66204684,128947122,295672792,633128065
9291628,16041999,33630312,66052282,128999937,296263998,632086576
9237677,16012465,33665904,66125004,129060899,296067994,725420446
9340865,16047784,33631027,66203976,129008439,295749610,639259283
9279809,16116858,33546466,70099650,129357332,295548596,633470575
9383142,16126355,33701885,66448173,129454159,295809641,633162727
9344148,16008661,33633008,66505101,129072707,295767591,634693993
9306262,16116537,33528123,66439248,128940551,296255858,633093167
9211345,16058021,33576200,66402164,129036926,294463870,633766405
9145811,16098508,33507037,66491070,128999863,295845365,633574695
9313215,16030357,33566916,66518040,129095418,296002955,634805484
9398918,16028235,33515704,66552537,129095643,296065269,637279792
9208479,16126111,33631817,66528571,129047748,299986440,634467063
9268355,16096167,33614766,66493720,129005780,294203120,633613624
9367075,16141025,33523534,66432816,129066712,293859111,634676557
9299426,16111995,33534670,65568189,129016157,293600764,639148955
9335626,16104239,33501611,66089208,129079988,293647282,632872316
9380017,16114214,33468889,66147599,128953760,293779322,631989932
9355951,16020573,33816861,66079580,129074435,293612643,693469566
9356796,16097942,33532617,66045319,129143190,294031689,633967829
9284215,15986008,33538762,66015540,129519304,293553553,634458723
9396888,16090357,33623804,66054883,128988399,293371366,696720435
9181525,16111193,33987206,66089004,128984104,293553584,634778618
9341569,16091554,33568997,66129953,128902540,293590262,633651360
9314197,16064295,33513212,66034870,129073552,293500725,636273231
9111218,16027879,33545588,66014840,128992193,294172580,633956858
9294502,16112388,33581700,65939454,129068479,306093189,634077532
9405394,15994106,33693450,66117800,129118401,293863923,641073854
9352047,16030132,33638903,66059562,129238781,302289070,634465578
9293544,16104499,33604139,66107524,129107637,293764812,634250559
9338895,16124051,33599202,66178401,129048228,293826395,635022701
9262436,16129279,33544786,66006049,129082834,294611123,633721137
9337545,16108603,33503591,66166871,129106516,293683929,643303255
9384472,16095423,33682308,66037768,128939003,293697987,634468051
9384792,16013905,33549690,66116521,129069761,293680951,635321781
9166675,16021772,33651669,66118697,129349532,293596274,634378713
9289759,16034896,33582716,65968660,129416284,293578605,639089654
9298362,16035489,33571811,65982279,128964960,293639718,633090297
9360612,16062600,33669428,66072219,129030061,293428989,634556900
9388530,16083456,33537866,65828516,128961385,293811165,633569080
9336270,16063681,33753861,66083468,129022397,293874380,634667534
9341661,16103718,33547236,65995011,129110875,293595116,665210277
9339047,16085338,33615957,66020729,129077025,293637341,663972673
9193908,16098600,33606914,66013029,129036341,293921828,645844044
9198425,16308209,33563064,66080184,129104857,293426429,663805715
9151177,16045324,33535579,66057312,129075595,293513522,659131126
9631541,16036816,33555806,66117668,129026711,293509559,636371587
9602528,16854111,33497571,66076667,129035876,293660229,629350400
9546000,16088843,33941169,66056559,129102688,295522573,628996388
9393060,16139534,33565917,66080548,129069071,294434563,628448015
9518763,16049811,33444570,66038265,129167194,293885715,631365203
9550875,16147785,33541523,66079332,129101482,293730631,628382795
9903725,16073716,33549361,66123953,129467190,293780051,627459036
10378322,16100929,33558659,66105667,129313967,293981121,627846775
9351853,16035471,33918741,66264492,129182284,293862848,628624544
9595971,21034806,33664500,66875061,129029370,294118497,627407398
9502239,16064487,33592970,66536658,128995657,293886709,628163501
9839097,16139013,33617963,66428819,129102130,293907355,629199844
9432566,16059542,33517777,66583887,129135962,293737039,628116848
9562730,19097317,33617203,66455048,129095207,293770235,629498978
9480720,16684287,33601238,66522133,129167789,294042219,627904358
9527063,16079122,33568602,66540965,129167940,294172725,629104261
9559063,16070366,33553697,66445374,129037168,293984790,627827387
12017976,16022783,33523898,66434780,129007441,293694186,646776329
9554903,16078490,33530142,66784295,129159504,293878361,644465143
9546463,16102978,33557497,66475202,129088306,293754594,629670829
9586621,16027696,33616637,66460523,129299894,294135072,625225982
9546799,16055997,33627586,66523683,129373129,293770475,626800484
9582784,16145911,33696457,65531589,129101648,294142937,625684737
10050248,16077493,33568463,66115375,129011487,293734254,629304829
19639615,16161969,33774098,66087699,129056771,293861358,625495946
9468523,16056068,33531237,66128830,129104502,293714399,627933132
9507326,15969916,33878570,66024299,129085116,293722856,625566174
9585822,16031928,33544606,66149376,129105276,293733374,628102644
18009365,16075222,33831197,66073245,129218184,293767832,624962772
9514436,16093685,33601173,66075949,129068398,293579456,626766892
9632238,20071190,33567973,65951968,129138059,293580770,625729953
9595831,16419994,33591667,66047912,129018538,294194588,627809760
9480564,16102565,33535420,66156330,128990351,293682767,691246898
9541350,16155170,33798670,66045332,129193624,293950273,626986937
10586857,16241576,33774825,66084961,129235174,293731535,626105722
9484723,16184770,33652010,66020415,129969855,293701849,700911687
9482649,16138532,33521053,66066166,129371890,293878390,627371703
9825931,16128640,33577741,66090584,129156894,294009617,657919577
9523457,16127130,33566561,66039182,129099241,294027331,668142488
9406937,16042584,33636682,66189463,129145652,294229891,632709186
9584344,16111752,33531542,66139422,129316591,294014905,632019113
9430574,16131123,33544794,66086461,129123672,294016580,633913979
9526126,16292093,33520767,66139915,129337056,294001679,632918316
15452267,16310620,33592525,66012767,129323667,294323345,632719941
9561841,16097823,33544254,66100536,129237055,294215861,631468209
9528589,16096056,33536683,66030660,129201565,294371829,633097877
9550227,16044140,33599012,66008315,129354077,293751988,631320383
9760148,16178177,33682578,66104365,129175016,293961648,632667881
9374771,19445908,33595837,66047843,129140841,293547569,631853884
9468579,16503185,33508044,66154112,129183799,293773924,632672714
10313863,16122820,33548566,66063112,129707909,294066977,631270326
9269680,16071216,33503582,66049925,130781353,294321776,632332126
9439783,16138454,33575730,65986254,129031953,294101999,632308091
9364621,16145738,33498239,66036001,129222102,293984426,658950109
17840367,16137900,33628370,66011552,129213425,294024502,635961631
9526813,16218059,33484577,66035089,129096287,295506437,635283265
9525333,16178977,33536686,66110128,129224437,295072995,661363688
9572318,16093360,33529971,66097668,129179451,296417497,638048517
9561548,16140990,33594926,66011377,129310177,300238647,632099708
9591063,16095187,33649809,66079986,129191461,295142363,635624531
44126483,16149546,33601716,66046346,129411958,295868464,633383972
27445335,16307484,33654768,66880164,129179235,295173464,634972992
11295087,16122109,33548317,66448074,129308546,296060470,632492980
13635653,16132305,33468099,66637885,129139968,300496981,635681686
10869681,16121110,33563798,66512601,129358614,295905654,690078506
9382363,16196405,33639868,66583048,129245079,295810971,635129184
9662785,16089506,33512900,66407058,129651354,295917283,632709464
10499618,16058986,33532556,66503388,129246112,295755993,724486421
16375008,16145817,33539559,66602902,129315109,294495614,641327563
11416795,16082890,33470842,66490961,129141128,295435145,634584392
9461338,16125992,33450404,66680888,129321929,295527127,635749048
9394657,16737871,33543171,66463726,129192912,294762862,634628129
9497990,16111568,33666829,66644610,129204160,295671256,633364854
9450405,16125519,33612057,65609291,129180605,294876129,642003415
9455500,16167420,33704844,66114429,129349764,294668192,634605742
9463296,16164112,33521208,66046969,129257471,296364450,633920664
9465925,16047405,33483828,66048879,129406189,295881577,633466938
9545764,16073192,33566682,66113302,129130347,295938232,634735497
9518044,16047786,33646177,66093428,129224306,295786042,633877362
9482687,16067393,33553362,66098567,129236085,295925036,634080080
9562029,16053934,33609336,66064888,129201265,299945471,689816283
9504777,16084046,33617751,66098424,129297906,296231093,634744764
9477573,16174463,33577066,66085184,130336771,295869937,633769426
9538293,16119137,33583217,66076005,129223557,295945162,692843321
9499500,16039881,33611794,66003375,129245201,295709037,633228658
9520826,16059050,33637015,66112369,129173595,294847766,634911246
9493528,16108797,33696472,66044267,129258279,295913785,639944115
9567312,16243503,33732223,65935493,129195160,296301168,634194194
9523069,16298038,33553307,66072051,129349170,296021401,634269525
9498925,16028669,33540288,66123529,129258115,295851815,634751377
9416261,16141299,33600236,66054472,129084132,295868956,634500159
9453381,16032420,33570392,66107668,129364893,294561272,635332064
9344513,16104997,33543806,66069842,129267248,295744561,637802603
9467488,16116808,33502122,66013967,129080372,300029361,634356376
13855848,16130348,33580513,66095299,129316164,295600720,633533952
9354267,16378876,33582111,66199955,129257080,295653447,653623666
9448163,17809026,33545997,66054823,128983092,295749521,643691464
9462817,16077188,33528589,66112332,129793321,295666328,645025431
9408422,16107459,33640360,66058307,129323324,295767989,644668699
9514423,16036261,33638465,66141605,129214950,296033900,634452290
9486054,16144185,33630309,66051660,129351199,295602479,625552721
9485479,16192272,33544436,66103355,129182895,296018434,635977681
9506667,16134523,33594309,66206961,129326661,295739341,630223639
9458888,16104320,33604682,66176854,128926995,295772584,682029836
9564167,16043991,33707405,66114640,129308001,295527793,655169587
12189905,16077287,33514117,66098045,129177675,296329462,655496826
9851336,16027718,33625259,66026359,129207327,298652715,666249897
14231051,16078579,33535756,66221587,129235377,295782811,662168006
9604532,16110828,33549907,66086291,129730295,295989160,658940390
9359742,16140559,33564196,66052932,129027276,295951417,656625513
9572187,16068269,33563613,66102431,129339579,295879884,738570454
9514667,16002452,33626269,66068374,129179959,296386763,669980506
9621425,16029774,33978020,66045632,129226270,295664501,656076073
10677200,16030291,33698398,66853918,129760476,294749106,665229578
9511349,16064417,33555480,66453437,128623110,295756299,645501960
11132133,16088258,33480423,66488088,128829670,295739836,644733926
11260957,16083244,33615064,66449736,128943285,295996160,637806509
9226291,16026790,33680751,66531046,128891699,295810849,660499268
9224269,16116879,33525888,66553835,128942132,295800068,662366761
9517329,16079638,33729447,66671962,128826866,295895835,642626709
9393549,16019536,33639680,66504919,129031697,296232903,645638343
9872066,16062348,33592318,66558055,128956946,295717363,632003565
9556836,16126569,33710294,66527684,128898044,295947626,633435777
9532146,16100565,33589584,66413225,129438037,296142225,614506750
9621609,16135141,33626082,66493202,129514472,296013820,609556290
9394752,16116793,33997468,65643212,130129736,296020710,608494550
9326171,16162647,33697384,66057165,129699431,295953305,610888458
9451718,16159443,33601617,66009542,129632390,295863856,605285011
10282976,16139673,33753646,66102783,129598160,294870936,606514841
9408428,16096088,33560255,66022687,129501025,295913216,626841618
9473057,16096704,33648066,66160488,129673403,295593248,608248726
9477734,16138079,33564890,66053930,129555749,295727792,603428669
9386073,16032552,33666948,66090551,129774247,295661743,629836333
9376233,16049770,33528339,66045757,129659378,295842581,604624227
9424360,16097232,33576765,65979398,129662152,295827914,606807532
12100288,16136753,33571463,66040896,129614175,294834272,606104932
9716822,16049434,33597619,66078129,129131285,294237164,606392587
12069806,16060113,33719026,66076011,129158998,295779379,606117449
9826611,16135335,33624559,65986684,129184963,295772977,606348248
10690508,16119683,33753103,66174817,129057891,295877105,606155640
13494260,16043979,33544112,66046203,129102032,295742525,615545638
9878563,16143285,33591183,66064622,129428759,295310693,606352535
9593200,16098750,33660565,66104372,129440662,294887623,606554249
9492306,16094269,33604808,66125588,129136933,295024001,617413980
9559901,16129465,33668149,66040949,129518168,295759163,606155521
9953060,16095835,33515802,66017135,128789987,295730313,606085693
9743219,16048289,33596946,66097106,129033900,295630382,631888231
9432611,16006962,33558299,66084237,128997335,296060084,605904443
13070058,16015209,33513935,66083060,129086805,296023489,615024325
13348750,16066633,33563807,66009699,129008341,300756472,606154122
9364113,16112483,33519910,66003541,129023251,295824780,606591118
9494024,16176787,33639822,66057280,128910343,296012197,639465971
9427400,16086365,33710792,66053445,129280436,295879416,606743557
9335470,16157347,33592721,65984551,128989472,295976371,606673599
9530255,16079068,33605347,66125189,129134107,295892430,666937176
16173934,16145758,33546196,66164821,129033403,295699387,607228971
10898713,16072993,33662502,66032057,130069312,295880102,606981581
9406279,16127047,33717394,66147897,129290441,295893066,607229689
9490289,16066934,33540749,65900025,129434165,296124568,606668510
9360102,16096976,33516216,66170244,129240764,299278409,616325060
12714260,16088499,33629704,66469208,129485459,295872499,606344924
9455443,16050952,33487956,66071667,129304961,295660960,607263632
9495638,16167464,33540702,66056709,129795537,295886195,606677778
10782400,16084834,33631152,66033223,129265008,294932718,607404041
9299174,16148724,33545074,66036007,129481575,294339820,606812254
10106546,16133416,33637326,65955310,129344367,296045980,607389761
9680378,16154119,33561823,65991743,129465480,296070688,606771057
15155705,16067466,33559879,66021280,129215248,295984966,607391622
14969442,16075823,33534193,66096211,129405227,295923737,606739472
9419940,16133152,33647354,65953239,128802434,295733547,607243146
12394834,16120545,33571830,66012149,128769450,295720453,628798294
9637800,16129852,33573070,66024745,128882798,295725816,608335534
15357979,16048683,33539256,66026002,130168126,297103328,608175898
13463613,16122606,33537650,66028626,128789094,295720532,668249114
9376920,16109600,33515964,66088209,128978054,295976469,608789877
9430154,16128628,33525845,66111427,128779387,295855971,608961178
9495445,16102899,33570902,66022220,128927255,295702574,663135945
9735195,16115229,33963545,66038417,128773804,295583600,608548310
9467951,16122284,33696700,66022832,128933644,296327931,609009084
9242841,16108208,33608985,65996558,128793155,295547928,608995374
11199714,16116224,33630001,65966713,128981819,294602764,608753259
10349996,16039096,33550095,66005050,128828714,294810312,610443072
9363997,16156844,33515878,66037083,128784670,295678819,608579349
9417532,16189539,33546367,65977011,128546504,295728259,608774519
15941929,16146493,33468880,66058356,128789475,295863702,619533154
9008644,16097874,33651455,65964121,128819404,295762003,608881130
10595696,16093903,33576482,66205489,128940905,295701044,608748771
9865880,16107654,33920407,66112547,128884084,294794286,608966455
9157113,16158276,33663870,66008820,129536954,295840084,615859467
9222309,16127673,33515146,66308334,128896780,294722203,608751212
9776526,16188710,33581457,66049365,128591519,295722650,606573320
