SHIR FPGA 16,SHIR FPGA 32,SHIR FPGA 64,SHIR FPGA 128,SHIR FPGA 256,SHIR FPGA 512,SHIR FPGA 1024,SHIR FPGA 2048,SHIR FPGA 4096,SHIR FPGA 8192,SHIR FPGA 16384,SHIR FPGA 32768,SHIR FPGA 65536,SHIR FPGA 131072,SHIR FPGA 262144
384738,464485,453744,580211,796945,1235179,2359643,4406373,8628418,17021673,33167481,71846405,137864643,327006864,677468985
388663,449829,477118,584878,789435,1242281,2323895,4464145,8853027,16956134,33249166,72088542,138134900,328547486,675450124
383373,453392,459602,522561,785538,1250996,2353101,4783552,8900036,17058961,33304206,73049972,138004491,327352111,680411179
377694,441843,454014,529177,787725,1258729,2340685,4372384,8819304,17008595,33223235,72527216,137996650,331542479,675481918
378034,453767,466136,540246,792837,1235580,2344568,4469896,8822509,17811044,33329208,72303104,138023846,327140744,680283250
365103,436854,465413,534133,779533,1250063,2385677,4369119,8823929,16937133,33269429,72266038,138568378,327897536,675352109
370899,437555,454079,522803,775724,1253956,2319419,4375824,8876519,17057301,33342665,72512102,143962075,326733484,744901411
378457,426158,462637,510555,775302,1251341,2337158,4696878,10406619,17082260,33367057,72831781,137781290,328142639,719840621
378439,410366,448807,511617,781509,1244641,2348467,4373759,8805964,17070850,33236644,72399916,137793863,329464697,733583585
372235,430551,438660,532854,763264,1225930,2341491,4408973,8852168,16992900,33329082,70260435,137348492,327895587,715766473
366746,424569,440862,537498,773770,1179432,2392246,4326467,8845956,17038402,33285945,70462776,138059721,326926493,884571565
370206,413581,450668,521604,814025,1201476,2658668,4369930,8836602,17025004,33341582,71601136,137799931,328689151,736205958
382173,424809,439629,520273,806753,1189610,2535281,4719044,10374765,16948593,33337338,71467852,138227873,327099754,746008482
365910,410985,438876,510176,802480,1190052,2455295,4342995,8879937,16953941,33298258,70187810,137400986,328350026,746871629
365673,435120,432648,521435,754457,1183254,2453912,4398838,8877467,17017082,33259418,70359605,137624416,327058925,746040458
370778,420894,538400,520201,777764,1169183,2374746,4325748,8857785,16922982,33370805,70423631,138073314,328617495,883039651
368377,433271,433597,518615,779697,1189174,2355365,4374139,8863188,17020721,33391832,70353192,137875974,326833382,748624833
352445,434075,436624,517592,766730,1235322,2380946,4690655,8868691,16956045,33567219,70695101,137970543,328762106,748558345
355004,416555,438656,520652,777606,1228233,2359835,4365530,8888380,17009402,33382395,70221737,138354948,327425871,752249327
361009,395665,427960,517691,753745,1240898,3610453,4596496,8903856,16921866,33399043,70054708,137645034,327183014,751770333
369653,408735,432781,513680,754832,1225241,2352568,4380900,10186273,17077756,33352834,70114685,137490969,327377330,755695141
352050,431930,429531,522188,770152,1245662,2355990,4378667,8831769,16921337,33449860,70451296,137547204,328081013,752312930
354903,407093,449296,511834,789873,1246118,2365810,4738915,8889039,17058160,33359207,70330253,137858558,325842548,752906496
358783,442980,418193,504083,759477,1214358,2323129,4386858,8835191,17034107,34845691,70096736,137940134,328427280,755258544
373304,436737,417020,511666,786185,1226749,2356770,4452223,8845713,16973098,33402619,70571144,138081145,327842916,753843956
354806,416578,424843,512403,786998,1222524,2362469,4293018,10426227,16907150,33445213,72384145,137887661,328027743,754485765
354410,426506,435903,519781,787475,1237366,2337615,4466028,8835446,17085142,33244111,72872753,137965822,325950600,754225221
361375,434444,416862,527073,753524,1232758,2318397,4645229,8797991,16948943,33267382,72327021,137751168,327154811,754742206
366362,431068,417910,513269,789208,1241309,2354320,4331644,8870503,16966005,33268405,72342163,138479658,326388708,756756587
356305,411478,415869,503759,759679,1241555,2342444,4501952,8695063,16929787,33235792,72677791,143053676,327740853,754177478
353617,398236,418240,515435,759701,1223760,2332484,4272088,8528970,16942407,33319472,72338216,143923104,325851348,754357657
357323,385138,426064,504492,774417,1223892,2317431,4297570,8769030,16901955,33408681,72484847,143940433,326995933,754851008
353080,382414,406724,512408,779895,1229581,2287673,6120522,8946141,16854798,33389856,71910964,143481448,326417026,754852259
345839,391982,405603,506576,778288,1225287,2356418,4441539,8982761,16999288,34480565,72412727,142799311,327946986,758518753
339199,388620,408758,519978,785020,1228973,2350208,4559137,8690530,17014699,33477827,72331100,143883883,326392227,754437461
357362,388991,411573,507172,763114,1179920,2335049,4674399,8623802,16999523,33320843,72449292,143688355,327137029,754079613
356516,385441,416904,518982,763722,1164960,2293288,4613062,8509219,17011374,33323345,73425787,138203121,326642275,760238812
343873,384226,418019,502116,768183,1193832,2333516,4977103,8897470,16930375,33157478,72410284,138389327,327016535,754818201
355037,394283,407356,519240,765836,1189210,2341622,4534485,10169602,17261587,33423338,72151918,137910623,326645709,754878670
359130,403244,412051,506830,761467,1171031,2354364,4529719,8914735,17086149,33303198,72392831,138141002,327037233,754880954
346678,400071,407257,518795,787848,1170072,2330093,4433375,9046937,17030048,33490513,72340112,137830013,326625706,756349837
349187,389142,405745,520569,762171,1202046,2368116,4487107,8769197,16941471,33274435,72113708,138263725,326779956,754872410
358814,398364,407077,519744,778896,1200790,2327153,4789058,8882331,17048068,33442381,71947593,137513131,325810753,754331726
344292,386297,413673,508381,758337,1229531,2326874,4433899,8627026,16981038,33364473,72273709,137362859,326592709,776569384
346809,372482,397296,507035,783852,1246915,2302711,4524704,9040367,17010295,33336726,72368504,137556644,327388446,904955517
367253,376474,398154,513721,773642,1263934,2302421,4438440,8818450,17060068,33352533,72403867,138015787,326321423,751121458
341931,376286,397063,522980,801743,1255786,2314592,4500779,8656727,17046482,33312893,70373492,137814849,325754596,753698038
331240,375889,399659,505989,759521,1240387,2269123,4856191,8759367,16984978,33389214,70281151,137445457,326392887,751646492
334324,375678,404267,504176,786570,1258340,2269682,4487031,8815954,17066351,33365101,70387461,137722089,325544382,756655588
337411,372515,408898,505544,753569,1241350,2340228,4536636,8831627,16980890,33316652,81701447,137733399,329293148,903923911
337801,378420,411076,515240,782768,1251020,2343577,4423448,10043201,17121402,33309655,70342554,137617717,328492726,752190233
329466,375180,390559,508314,784386,1246541,2328232,4458081,8777316,16970534,33318772,70229396,137997490,328611470,749168979
344798,392437,392806,526085,787106,1236306,2329537,4791732,8739103,17134136,33395751,70036208,138176838,328281233,752431850
341082,373565,391106,518004,779409,1233993,2294550,4472148,8501790,19243503,33379143,70348888,137831427,329897296,749049093
334418,367579,391260,529472,786378,1234567,2326096,4543156,8634694,16997856,33438620,70376881,137911094,334071197,762186298
341260,361563,392570,503609,775668,1286693,2347722,4446327,8439607,17103263,33353879,70030127,137825205,329588691,751259537
340061,361884,395342,504786,776420,1304457,2315223,4638247,8873855,19202791,33397357,70318021,146287480,327658641,752937546
332455,366020,394676,508042,756092,1298768,2355647,5107780,10147027,16885452,33411169,69974123,138055833,330065023,749899272
344128,363050,399145,519892,787304,1292773,2303132,4644329,8849490,17107744,33468790,69983811,137958788,327983328,752910160
343200,381077,405166,507601,773906,1290780,2336417,4726051,8783987,19168963,33374890,69947265,138085476,335336769,752397893
343402,345825,402917,506894,927756,1279305,2316332,4699534,8770615,16987551,33412688,70282990,137982012,328089910,752855730
333813,337283,431027,502431,766384,1271448,2296990,4764135,8766041,17256090,33356815,70218620,137426846,329985402,751201319
323631,343944,401569,516987,772389,1278532,2304566,5153323,8823823,16877290,33419884,71875096,137938772,327499264,757691200
323413,331009,398276,503244,797573,1264274,2278285,4753741,8928156,17165640,33386082,72159045,137965077,329556176,751937543
318513,330641,402817,518734,756808,1263419,2275503,4782259,8890254,16932452,33467599,72094458,138005467,327075145,752562654
329265,339560,396942,501952,759383,1262787,2265754,4622068,8874180,17231774,33343055,72048559,138018360,329265142,751349838
348503,330698,401125,523751,765738,1259847,2271650,4645245,8905571,19596975,33306506,71925138,137629034,328649620,759677993
322261,341124,407224,519533,749109,1253066,2308126,5030337,8914677,17102076,33331080,72225312,137696574,329550940,751226251
