FP32 inductor 16,FP32 inductor 32,FP32 inductor 64,FP32 inductor 128,FP32 inductor 256,FP32 inductor 512,FP32 inductor 1024,FP32 inductor 2048,FP32 inductor 4096,FP32 inductor 8192,FP32 inductor 16384,FP32 inductor 32768,FP32 inductor 65536,FP32 inductor 131072,FP32 inductor 262144
542361,740364,814861,752775,849347,1008405,1696158,7495732,12423022,25711292,45304455,175657515,143638561,268156754,456310698
530100,726239,812724,757324,917089,1033660,1656099,8145165,11214693,25087561,45378425,175832998,142994814,266175061,471894073
531078,718194,808876,754354,882623,1042414,1664564,6821117,13620809,21453692,45428610,176474465,145291226,272070012,481378907
534471,706301,809845,1162386,922471,1016863,1678306,7808940,11248967,25442684,45220793,173364574,145542017,272276726,516524722
550377,701017,803407,1073066,909108,1191237,1779908,6396586,15215533,25929457,45444595,160216832,144701229,264844857,485871655
546133,728871,809092,1077305,897604,1163022,1704414,7120118,12989831,25323497,45436870,174601085,142315609,275441216,457495147
544419,703248,809840,1041529,878933,1148459,1673561,5472566,12951765,25839316,45409696,173689349,145827668,232475656,479106269
539319,692061,945883,1014243,887937,1124596,1787152,6426372,11692521,25448096,43584874,173484556,147915367,235477218,481044432
530433,689718,834590,1022877,857457,1098394,1728371,5323524,12384084,25847207,45416875,175628906,143722612,265363059,482890339
532840,718271,825073,1060179,911309,1183866,1661052,6199635,13769018,25390916,45183722,174452413,143571677,278241702,475134039
527084,719823,816076,994250,898430,1062278,1731878,5118858,13914080,25963101,45358172,175367328,145316126,273958486,476483557
525523,718682,817900,1018465,927520,1054589,1703148,6048879,13153129,25388156,45077015,177294719,145915481,282676923,461633593
525005,687404,822304,988817,917028,1081307,1679367,5073224,14179172,25793141,45370377,175106751,150212207,273502706,480498751
513379,675582,816945,955131,883011,1036462,1729141,6080000,12882908,24353335,45284093,173146725,149447313,286040873,471723753
513856,682137,811267,934363,883496,1087448,1787929,5074611,13964938,26683755,45549733,168119043,143299403,272834516,459799159
526684,702424,805165,968315,880780,1056999,1666312,6057945,12552525,25356891,45300097,174415984,147998913,288117097,475098394
531416,689288,792406,955803,846801,1215618,1708626,5568984,12116175,25785258,45638337,174518492,155604319,271986875,473826061
532465,702814,794521,908298,1007765,1049293,1721570,6253859,13502332,25368059,45815481,174782105,150280048,275429947,463368285
515320,676118,796763,880305,965102,1004019,1766063,5163256,13212938,25723510,45366680,176638838,147384241,283708372,506661332
514672,701144,852820,909682,1002432,1030608,1664899,6094898,11206350,25614432,34814028,149835593,155693105,272889386,477809841
515572,679809,814715,870876,989680,1270630,1698760,5101282,14345252,25699033,44866178,174407825,145286805,273206917,477019427
528087,696237,782774,879235,913574,1061532,1740350,6118491,11621872,25480931,45192827,173811465,148564445,265711617,481541429
530251,674069,792748,859512,899297,1158889,1709593,5164813,14316888,25586573,34028008,175300867,148842031,272950446,514587687
509681,679301,803424,904781,928505,1171931,1704762,6138748,12059116,25322178,45005400,175816295,145995985,269554609,485497094
511539,663573,793361,834871,882025,1085360,1690635,6212531,14347669,25799764,45159201,175324255,146603268,277372852,501358300
511059,671778,792478,831443,1041046,1076623,2641261,6746995,12179817,25417309,34529355,173964366,146062179,283496631,473244135
526943,671880,787668,868102,985408,1124227,2379645,5747018,14382616,25757415,44983795,175608936,148379022,276188916,478055790
529828,681926,772127,930962,993452,1055684,2209179,6506110,11779025,25474194,45058353,176799784,144040195,281813595,459919750
519939,665140,805882,837493,946393,1206078,2064382,5472322,14399651,25818238,45080539,175729974,147605037,282250703,480473647
512716,678064,780960,830295,930152,1045660,1992719,6119242,12029713,25350894,45156660,174638414,150504142,274635418,471904842
511668,878153,779447,806432,925328,1086981,1921709,5122930,14286668,25570437,45191299,175753895,146777541,292913288,458900257
527052,803542,790202,819951,934627,1060216,1867333,5983134,12194335,25276360,45076525,175784848,145891967,291582504,462509618
525963,789468,796500,811842,889346,1059031,1851098,4983118,14387263,25789515,44956183,174579030,150564491,293828585,460527916
526901,794545,779011,797036,1041634,1063402,1835526,5842233,11414476,25339894,45046057,175919329,151642416,298660799,476251143
521152,796285,769466,779671,983683,1073708,1815886,4995371,14209005,25694974,44845774,175950314,157735844,276968106,475944246
515001,788257,790435,808935,940667,1026302,1757536,8059754,11600138,25170645,35349146,173856521,154843749,273113949,494483163
519488,798032,785920,789149,896693,1052030,1720658,6571572,14390069,25623638,44755181,175941011,150114498,272072180,484399718
526123,802982,773702,821763,882679,1067887,1797197,7239739,12028565,25362648,45150385,175549469,150617844,262034148,486826066
520958,788414,780917,766744,848358,1218647,1864538,5950260,14283369,25693897,33481700,174939288,148755230,279463694,491941296
522471,623023,772090,788500,854544,1138861,1829952,6664892,13450896,25286205,44810807,187498317,153792084,274711706,504075870
534438,618336,773883,858379,817922,1329436,1927759,5587069,12903411,25568647,44917767,169694992,162767873,276435919,507005246
509538,629662,784077,779954,897082,1232494,1687986,6754762,11135318,29464275,45127981,159592245,148081145,279944118,495393514
521305,624120,781148,771992,863659,1184658,1710127,5901076,14290777,25509856,44888515,166705183,153140954,278164819,503405316
523684,631691,777798,763081,922575,1152887,1878627,6524617,12106226,25011908,45110626,168149962,155545612,295095771,532175228
523316,621573,785303,778227,882384,1065115,1751495,5572981,12575026,25556521,44891123,167324193,151375589,275639164,574087064
509692,606339,790639,778923,864301,1074146,1671807,6332953,10643839,24862309,45270808,145675132,152689752,278701597,517065433
505874,628999,862654,824909,864167,1144980,1693748,5520227,10599401,25535708,45242270,166874257,153860822,278004834,516525208
514107,630062,740949,821400,870012,1108528,1677238,6293335,14330556,25204082,45168311,149295898,145201761,279865922,505861659
517695,627573,742986,777954,904887,1143575,1791039,5379580,10918914,25599288,45062414,151863779,142799483,283114203,513288600
526135,649921,743803,805013,981981,1212572,1630725,6203419,10162087,25196484,41881518,177270769,145331140,288170201,524517533
502679,613200,729796,771429,961846,1169243,1656419,7715069,12520650,25612976,44832103,144419833,144828128,266494009,520936047
503952,645887,821439,756736,1007115,1145155,1691818,8000231,11379974,25124394,34465222,145213649,145638130,263146072,498873092
505900,624828,798616,789062,968151,1195047,1813457,6620786,14373880,25758517,44737821,146627282,144754820,281185305,499046444
523540,635734,792191,757603,933199,1152775,1633190,7299790,10956105,25293657,45373749,145781297,147068430,280648156,498596043
561015,616713,784534,734381,939575,1170889,1663781,5968790,14214197,25647211,45105125,145829880,147244360,259598796,502836195
510429,618080,783022,742700,926517,1233728,1648295,6659012,12138686,25288077,45664474,146033356,146910003,271074690,503480983
520070,620608,779934,733613,840989,1199897,1791633,5436629,10327051,25625583,45651999,146723601,142252978,270751789,514249025
521149,621623,830944,738788,908951,1135629,1831510,6406311,12625198,25301879,43128582,162756382,155363728,283446394,524457552
506702,598074,777942,733274,889736,1165828,1789463,5807461,11791857,25717592,45723945,145139864,159353136,279899974,505771180
508062,626039,757965,738979,939115,1190898,1638443,6666373,12601786,25320723,45653347,146178951,144713639,279125913,521981639
506677,617222,761206,737331,878366,1170927,1772063,5315755,13190476,24559962,45357513,144177309,145864793,276048998,515530502
522300,625968,777672,824035,866593,1210955,1651045,6208157,10209615,26342456,45715621,156415137,147411681,304885291,514742363
