x86 inductor 16,x86 inductor 32,x86 inductor 64,x86 inductor 128,x86 inductor 256,x86 inductor 512,x86 inductor 1024,x86 inductor 2048,x86 inductor 4096,x86 inductor 8192,x86 inductor 16384,x86 inductor 32768,x86 inductor 65536,x86 inductor 131072,x86 inductor 262144
548898,1058916,1268568,743969,943537,1137779,1923673,4477750,7664744,27680873,52922591,119565368,167549869,275784423,650749667
545407,1032821,1278295,707084,941789,1435439,1935905,3569592,7085480,27552213,53054180,121438914,158925968,297231037,591915080
545946,1039030,1258754,682647,932125,1212656,1956010,4437438,6309694,27093575,52320267,120188548,159050346,270362544,680456175
529680,1042693,1270251,697446,929868,1225150,1976967,3564615,12469260,27709834,53005161,121900630,153270079,291073168,685024638
542402,1049810,1258945,714473,964594,1170980,2035335,5996596,11412621,27249998,53390467,119740772,168084118,283520373,721702860
540404,1029440,1271846,702569,937915,1178145,1946775,6094723,10248029,26892423,53335885,115552093,166622698,280351585,679185518
551329,1002238,1727630,730182,939280,1164203,1908122,5635219,13745412,29586285,53148565,118789268,154445919,272654671,711234687
607520,996140,1862458,677372,940060,1151069,1926843,5119946,13080645,28354995,53055549,119823785,152921810,287013982,684602810
534329,966528,1890871,675860,1037359,1222308,1930963,4679100,13933650,27156212,53283270,118366523,167858285,272998077,745831891
552652,998132,1820167,682065,953735,1183198,1919459,4387724,12375051,27605466,52907926,119907634,153076217,301248735,769122362
555564,1008293,1824703,665622,879652,1193556,1953313,7337669,14766412,27164609,53408988,118791994,167813859,289178953,716534762
532444,999656,1730797,682467,915001,1179026,1985426,7380443,11720008,27423661,53124545,119324755,168499888,279628782,677020936
515980,968502,1731127,665408,880683,1195068,1985278,5895774,16060886,27231863,52937791,118544063,167511667,299941890,710765635
512162,1140573,1730798,670068,886954,1196942,1965361,5282212,11691901,27453023,53170355,119646259,155265239,293583991,717977205
523773,989101,1685890,683947,898782,1172176,2015983,5066926,14034789,27323011,53311628,118673659,167543475,299162890,680151322
522218,945642,1657318,674040,889796,1177146,1997072,4876283,13672088,27696059,53175331,118987723,170215067,293616278,652784813
531325,950739,1617488,697548,895736,1166505,3054996,4671616,12345244,27300315,52797302,119658609,168599908,298980198,660925966
518540,950228,1653213,682281,875973,1172140,2914318,4412663,14973853,27569910,52381019,119459507,168856243,300155001,661995247
523650,936075,1561416,674263,883692,1184998,2825416,5224285,12336112,27248028,53151250,115431681,172016743,287199210,628111655
517173,941911,1532245,649878,888779,1253673,2659085,4108600,15403645,27564019,53354250,115731117,167272461,291871779,845620208
535300,943125,1517915,669138,902624,1161092,2544318,4058052,12282664,27429055,52937836,113931261,165304710,299865225,705509852
531524,915479,1534845,680181,887242,1151686,2496074,3912756,14150000,27639807,52726377,115123165,167360142,290755734,627777085
536719,782677,1496583,690871,872483,1100947,2374099,3773826,12967038,27142156,53192481,116984239,162137890,285137795,850127442
514163,786100,1483982,668090,870392,1101299,2299874,3705892,10879696,27436429,53504960,117925153,167323680,292329859,775273768
540489,806339,1484595,670322,888473,1089866,2240334,4274297,13950121,27246699,53294729,113070689,165831684,298298895,623070934
531837,781342,1473839,638234,878824,1091489,2184330,4786996,14088488,27490927,52867345,119614001,164662582,258467203,886532501
525034,802855,1455873,631155,888973,1097523,2173422,3810023,12243381,27300546,53092253,114316259,147164535,286987929,722924399
521846,795894,1385014,660433,882499,1099846,2343694,3707623,14126734,27616046,53253676,115495101,164779673,280234801,725826460
523493,780793,1422451,647565,897717,1093154,2256446,3729413,13953653,27213125,52957885,116444208,167555406,289083324,797277411
514823,779277,1414441,633785,892826,1099797,1952575,3651797,10966394,27532764,52631146,110903654,156965940,292876469,770932547
532137,795748,1379860,650047,894425,1107162,1986111,3640507,13909460,27291574,52877369,112674020,167889119,298238549,655862731
523714,790023,1343051,641878,881482,1090835,1934640,3710223,12170851,27649287,52138593,114517714,170846254,272658650,860699096
525146,787305,1332407,644844,908494,1094574,1949147,4485924,13896661,26716377,53073396,113413654,167786182,302029277,687309856
512357,768248,1336501,638262,875781,1101281,1943859,3787479,13395695,29621815,53005817,112970895,164623642,298985274,676033770
522268,784543,1341674,642174,878321,1092995,1938131,3710665,13931929,27559456,53124494,114400681,167857978,298065541,675000176
573009,770611,1347916,669514,881861,1105685,1939900,3631448,13864879,27627788,53171577,115609820,153557452,294442379,727985537
522701,793502,1277052,685284,878598,1092729,1944797,3623848,14467936,27289108,52825841,116084849,153648090,290866913,739688165
518249,791396,1264006,703682,884074,1099865,1947948,3649854,12461537,26812176,52884763,114208739,166661551,276239519,817369286
525280,799719,1283325,690957,883482,1098306,1915686,3645708,13871082,29559382,53077145,113276205,169041066,300124567,753639360
524952,764983,1252180,688790,883968,1120442,1949687,8463638,13908538,27919925,52666579,113845509,153449922,296984778,766329957
529902,769456,1282022,688989,884630,1102728,1914346,6535628,12232090,27216667,53184889,127437143,156764455,299539111,783676025
505421,929864,1266181,687357,900882,1100963,1887321,6098350,13806586,27652226,52766274,115399146,153933900,296845649,756714849
511533,887120,1242188,673059,890228,1098495,1897928,5538857,14105013,26868318,52593047,116523219,157819990,287866237,761970563
522602,841345,1226121,671913,865480,1101609,1883290,5072224,14381287,30028733,52674359,116811788,168067325,283969461,886856966
530778,831552,1226443,695542,870055,1084851,1932342,4651488,12330732,27734319,52692713,126251374,153659236,298006446,771928689
510866,848884,1227502,667487,881493,1099431,1903006,7329659,16288355,27586723,53008527,120625526,167990455,276406823,767349909
510374,862292,1224600,660486,883682,1095296,1926490,7243427,11599212,27339795,52996714,120103611,164611704,304486908,850412290
515444,816526,1168123,674794,874170,1206215,1877215,5696213,14049484,27417325,52548860,119356912,166019573,282820362,809028579
531765,820404,1187056,653132,881032,1180990,1901694,5237075,13046917,27187201,53196234,120509771,169788344,285331382,804563765
537081,845355,1185556,682355,881909,1157228,1911386,4833481,13973521,26800166,52902030,118344693,162918419,295459191,871569033
532381,748556,1213535,655057,870011,1150067,1983744,4473637,11753372,29624980,52791663,119669019,161612181,297127101,791767546
519975,798031,1213697,655137,985803,1170032,2051056,4239368,14936464,28094876,52950450,122052589,165390202,287283414,851473599
519217,791037,1129218,675717,966533,1161878,1929951,4321285,12277196,27249276,53375724,119771087,167142874,278666838,799764642
523185,767182,1136748,674318,984030,1110895,1921730,3448050,12690712,27607137,52849849,118648144,160668115,296136430,819835117
529718,738295,1143409,659654,986333,1105628,1922130,3464731,14067998,27317211,53006184,119628002,166943940,276365457,752109588
523789,779412,1131716,745243,935261,1101230,1902000,3434607,12333386,27512538,52720394,120417431,162087863,287654992,898955115
517933,805161,1137818,689808,948777,1095441,1892971,3454045,13790223,27241296,53295739,120324913,170161003,297400143,750110543
508313,705944,1150002,699564,913673,1092267,1938290,3436573,12219197,27451490,52789143,120208605,157632693,278385432,757143545
520555,765141,1063484,719723,944052,1119181,1917758,3458801,13869525,27193399,53056564,120131184,153795031,279664186,761661277
529855,779200,1094942,712789,927085,1073437,1912760,3465577,12145029,27798149,52804893,121077010,167969112,301648237,705714084
527157,774114,1086572,700765,964564,1091650,1924515,3442163,13744385,27153291,52891564,120593431,169788061,293697063,731473119
513170,710731,1096545,702801,971290,1166851,1916031,3450204,12347406,27292442,52903972,119751147,167557030,296764854,646716205
515552,790676,1107648,668639,869493,1152887,1903226,3453056,14303906,27295085,53010998,122485880,160716964,273540985,733703985
583538,767907,1114824,865820,882539,1159939,1890754,3433293,10852652,27505678,52585829,117336514,153955864,279255416,651405790
518275,796763,1010932,809578,871094,1145448,1904938,3458275,13958847,27225592,53223776,119547556,164641862,291632019,737359788
515957,745688,1027111,828395,878032,1147137,1896093,3438515,12350612,27488036,52944534,117831750,164635048,297595559,681045585
528315,787388,1022034,789700,898998,1165218,1927397,3583754,12489986,26774110,52843594,113749795,166560611,271679286,598462044
527685,762167,1033352,777206,885756,1142269,1921031,3551406,13879148,30019158,53226475,114505901,157106668,294509523,729792927
516910,775654,1034974,698674,892559,1095873,1970612,3597973,12374887,27848120,53594412,117632762,153637220,296681470,751661987
516771,757957,1028608,812212,858022,1098501,1952015,3577343,15096968,26789752,53048023,117983862,166117107,268910422,657719271
518279,792536,983558,652727,885961,1085351,1957600,3612509,11647163,29760726,53301905,118655194,159772190,294045372,702138188
522794,786997,1000805,651803,880022,1092583,1950290,3568063,16313248,28058198,53351905,119565636,154212468,296530213,704906229
530637,771349,995714,674995,890010,1107239,1942374,3617036,11567484,27303189,53104406,118470090,156137311,291963702,735534863
511281,760361,1000785,671451,868068,1102868,1952923,3548176,14146252,27494664,53097768,119366709,172302330,278900442,740884685
518536,797117,1237648,681673,983912,1068295,1967180,7264964,13086181,27187258,53611239,118024698,164799534,299025656,730912444
507567,791102,1013276,662923,972362,1164109,1952260,6482433,10926807,27757947,53096909,118201566,167156917,301439154,687592000
544691,798861,971746,615980,979942,1188671,1971979,6030232,16275778,26838817,53032400,117330686,152016515,299509782,712195468
532785,762427,959966,687908,945153,1274853,1937527,5508676,11660124,29931285,53426583,117810785,164977349,301896009,718178031
516798,781605,974320,658926,1000978,1270136,1947474,5253782,14088045,27779621,52742905,118007771,168773748,297984046,727324463
510989,811076,978267,681206,948424,1154042,1965218,4818495,13015914,27188098,52627457,118147760,158403919,296014808,642588007
517690,795985,978814,679171,961503,1287927,1978462,4519799,14074414,27255886,53387752,118272640,153074615,308032467,577345225
516960,770803,981900,658351,955398,1251697,1927551,5468268,12269837,26819827,52843925,118144932,164551962,268808475,649734228
529192,764859,968958,656432,946181,1249480,1935218,4056208,10993306,29789167,53228410,117475165,164006600,286747900,743157229
512122,780994,978473,674972,965416,1140523,1940064,4003752,16309298,28070918,52690932,121968508,171075578,282631690,853025305
512180,801595,953033,665432,1061604,1093945,1957910,3887050,12189411,27306583,52961222,119635797,154658845,306557257,713071662
512764,761762,966065,653769,994649,1086215,1931886,4127345,13904070,27609421,53203445,122533849,167741476,276232501,703431286
532143,781590,962291,658765,973678,1094010,1959498,4653179,13253368,27313804,53206881,120807190,165410243,293902069,781171392
693092,792099,964288,635932,963626,1095916,1952071,3623244,13903873,27530472,52719371,117066197,169374804,295876636,733529105
762400,803237,939812,710974,978575,1107955,1939385,3556241,14471684,27226778,53004163,117339726,168207744,296248561,670737569
670289,758167,927537,644872,947540,1090699,1945621,3592762,14054416,27598300,52719415,122043241,161100985,299072658,754077057
668976,789430,944455,646448,976705,1101483,1939795,4188026,12351299,27367023,53393397,125327304,115854796,299406995,745801888
629174,783391,947320,651806,1008963,1086394,1930020,4732135,15087673,27647022,53235237,99385267,155048634,293991189,710213506
630975,780193,928218,642243,994727,1094317,1960289,4200572,12248529,27084671,52865748,120060786,164460104,283314449,765811536
629561,757591,934827,639791,1006697,1090898,1928858,3901811,13988229,27573315,53186314,117556082,164328985,281753523,724277728
628415,812613,941352,647335,962091,1102584,1953861,3651051,13761592,27029826,53069514,121754366,166954584,300825046,747780663
626095,780852,934941,656310,995157,1094655,1916431,3562917,14616686,27614933,52662813,124658830,166011868,273960587,729707501
634720,817786,941318,654247,996408,1109759,1898742,4262322,10876273,26765837,53068150,119516973,164589345,274888243,710756143
627937,759290,948427,650046,983753,1257224,1903232,3525818,13732184,29911221,52974295,119776827,169749678,300397630,709800130
628758,853199,970280,662040,970246,1177638,1930237,3501666,13077912,27637841,52999051,125205672,168447765,292814090,726282394
629011,806941,957019,638406,946777,1189881,1907506,3505043,11056348,26673197,52820402,119293574,163621186,294220463,821481372
608302,787383,938260,661522,966552,1125053,1917185,3562819,16364898,29815563,53241114,121184097,167058135,297719983,707084437
724962,825479,940886,645363,939552,1135599,1920222,4276928,12314187,28059393,52784672,119975239,164576212,299508946,646502555
612727,804039,928472,650510,938400,1112033,1938702,3502975,14115943,27186899,53034072,119418930,167533733,294180013,652908383
602674,780850,943533,665464,934156,1108130,1902021,3486838,11574923,27496527,52981523,119824519,172503404,301678010,580997682
608151,838627,951400,645720,941236,1108799,1939716,4460990,14128236,25117044,53264065,118543573,165450726,292888810,701255459
601179,846844,953471,660453,945484,1095730,1925355,3501769,12562231,30040375,53100383,120222719,168564154,286714338,844460903
599578,801477,921097,634613,954079,1086327,2002382,4222698,9854715,27782723,52653942,119555701,169910786,312482310,765039943
592845,766825,942819,677086,998226,1155480,2063226,3525342,11109047,27533059,53093225,119794551,165159007,285983512,732057705
589671,768456,921031,680915,954701,1102851,1912087,3623001,14036868,27042502,53112539,118768981,168148713,303730655,722514486
591508,798055,942782,646211,957368,1164860,1903798,7485208,14033590,26765863,53024470,120947990,168400505,304456428,728649128
591297,794363,944656,672298,956568,1206127,1923418,6471273,13266061,29882190,53326415,118528373,160184718,300105745,613178277
592637,778493,949359,641008,992256,1142751,1904821,6551447,13928880,28134140,52738980,118654623,168034122,283849778,694398298
597883,789343,971464,633983,968212,1082651,1899283,5435844,14813188,27162785,53172937,119030912,168196861,291827072,668851569
598486,868172,943775,635635,951429,1088537,1912986,5123718,14132011,27566289,52698443,121055216,154489455,298489798,670250487
519218,801079,928432,643723,960622,1089237,1902202,4684785,15202340,26742178,52870725,120758354,162063230,274102731,751902159
521082,807420,962808,646828,946819,1099574,1914465,4470312,11424937,30023013,52580565,121382366,153081570,284192654,719779220
509296,794199,972918,651365,987116,1091896,1896263,4292651,13835347,27673533,52730254,121166623,164786965,299180319,683485777
505349,798718,938275,645017,942513,1089036,1923552,4942966,13092355,27629178,52950273,122457542,169013319,300985864,695256160
513618,775672,934183,647547,972743,1092649,1889479,8248152,10940441,27295620,52938903,103592422,169431119,295949734,779398839
573580,807060,918885,645704,959324,1125883,1920127,6455767,16247675,27611735,52817288,114545104,170970369,292971272,782701242
525277,787733,934322,643133,965727,1101122,1933169,3682786,11582874,27252518,53108306,115594675,154233156,292054855,704329261
510626,781733,976252,646992,989952,1103867,1900429,3627795,13986091,27862595,52991150,121116157,155720116,301175385,679578195
508508,776451,946989,656222,977490,1243999,1936598,3662993,14717847,27331554,53127941,120139816,161719610,294110927,709712146
514859,759174,941528,654420,952372,1296506,1955974,4193628,11616886,27666872,52846783,120374292,166431949,289743545,718613901
524885,729232,924321,645965,974805,1212987,1952217,4019144,16272636,27202695,53095214,118992712,168531883,295201596,766645919
505751,766692,937165,644862,1117917,1205496,1935121,4659521,12277553,27685336,52774212,121879937,168829291,296924051,748690792
509848,900854,947619,738454,1036161,1204291,1967122,3773593,10758698,27365749,53622670,119184595,171691793,281746687,615022949
505524,749211,945153,745696,1015386,1199138,1936472,3682485,10886709,27686556,53048887,121635624,167260939,286565229,742396094
517490,580433,962424,739014,1036088,1093776,1936530,3886545,11698408,27453138,52893287,119544636,166664025,278329797,756489529
517454,575600,959201,621275,887126,1108624,1942878,3810884,13233534,27499071,53073558,121581566,167275063,298258839,709730186
505769,576417,953402,637394,881386,1102749,1949500,3711894,12265157,27123649,53496623,120839529,167236031,301071765,860823352
502158,576390,974280,633307,881662,1149351,1888147,3749923,14742907,27473452,52890769,122057913,164288172,299143768,764514319
514162,573968,952637,609003,884262,1095409,1894400,4889861,11556347,27165268,52779617,121022389,167429443,293112198,760742597
524703,573007,915251,653893,872074,1100676,1893720,3859052,16210529,26727540,53014497,121664240,169354776,282814274,662562431
520761,573387,959422,628179,891944,1100863,1895469,3759470,12191831,29565700,52777237,121280021,168279295,301630780,731501845
497231,571457,938735,627237,891707,1091789,1891989,3697792,14111853,28018654,52755603,120803107,167513906,298808808,746438014
