SHIR FPGA 4096,SHIR FPGA 8192,SHIR FPGA 16384,SHIR FPGA 32768
9501441,15994095,34717781,66250891
9386608,16040952,34636696,66404273
9334150,15984777,34641079,66054355
9392077,16022323,34670949,66523740
14304977,32738102,34552797,77270408
9672549,16077010,34658847,66178456
9558082,16052013,34598599,72501467
9423468,16040009,34672145,66353233
9483606,16061603,34667416,71696201
9409974,16077833,34731368,66301795
9693750,16073059,34627127,66338444
9521361,16033296,34408241,81272014
9480625,16090110,34806035,68137477
9490366,16185687,34599471,72071396
9521773,16122912,34527807,66563391
9530247,15952695,34610944,66471379
11464472,16055920,34628597,67029255
9539236,16033206,34654348,66753582
9476400,21640275,34773836,66270140
9485531,16016086,34730005,92208690
9449685,19570796,34622396,66727447
9491663,16205011,34498893,72943530
9530028,16220838,36008062,67213890
9538376,16002510,34537677,66656827
9536344,16063620,41891595,72886226
9512893,18624276,34588339,66866054
9326820,15961932,34542380,66351829
9445589,16060243,34698350,68181046
9814802,16019908,34527347,65968463
9467006,19985038,34673026,66069635
13499240,16011840,34487563,66044677
9430127,27399821,34608679,66839700
9534278,16007319,34544069,66080695
9451326,35448163,34576547,66040263
10618599,15944830,34452725,69107580
9435133,16017740,34601257,67312913
9534825,16075393,34598038,66561651
9493846,16006712,34666504,66364746
9838517,17486661,34625493,66141737
9519341,16086399,34578995,66477502
9480572,15927576,34722026,66212971
9430709,16061189,60406901,66353252
16494102,16115622,34613230,73645280
22136754,16055633,34578118,68841063
9691180,16085952,34575549,66868745
9566346,19920225,34537170,67251592
9543545,16021633,34518791,67040634
9546922,16067582,34534442,74023043
9489595,16034054,34605673,67303398
9639095,16005547,34538114,67212522
11290491,16013509,34554845,67122373
12855416,15990363,34542575,66048035
9455088,16019356,41353227,70801757
9450287,16035839,34592703,66766503
9412575,15978143,34568372,66271455
10046452,16024839,34556134,80697208
9447422,16106704,34478382,66362450
9365430,16063918,35907268,66624735
12293423,15944174,34522047,66451557
9453742,16047871,34443349,66688968
9446845,16058841,34529091,66549258
9508135,16045338,34509815,66161700
9405628,16069937,33728386,68040394
9470919,16055901,33908820,66254357
9440237,15977858,34000638,70629716
9534040,16059880,33912778,66472337
9463815,22217622,33905554,66489180
9528906,19118901,33866402,66397425
12787316,16059054,33945070,66356955
9349603,16019841,33891543,66381458
9484111,16022742,33940081,66397761
9538297,16014733,33875067,66426406
9329924,15991299,33984347,66562829
9400201,15973628,33969503,67431513
9447011,15978989,33780747,66483600
9407467,15966126,33891301,66362830
9449949,16561379,33913559,75052893
9477088,16069958,33939128,66077518
9368272,15949262,34023348,66121425
9456997,16062462,33962215,66007734
9349181,16052680,33912047,68024208
9389293,16014987,33934794,66345288
27367425,16018304,33955952,66192552
12429402,16049090,33885825,66342959
9390721,16023409,33963855,69697200
9418656,15936850,33822812,66451741
10508460,16210388,34697385,67239733
9477910,16014621,34940002,66494269
9438191,15967522,34861657,66379426
9356877,15955809,34835238,66457905
9409785,16046578,35019692,66419687
9451350,16054878,34904398,66389696
9427877,15957446,34628750,66198364
9467022,16032177,34891753,76262331
9406664,16010601,34749852,66282399
9409862,16090381,34581621,66475516
9362856,16088203,35332862,66456869
9411747,16048345,34828485,66587472
9372313,15963387,35029685,66486350
9360720,15969962,34961113,66642408
9467937,15951984,35018975,72159567
9382432,16048271,34916818,66521464
9394239,16028898,35151543,66682715
9486139,16038905,34853705,66357347
9461100,15976406,35183571,66807465
9438556,16396676,35081529,66254676
9380153,16030566,35153079,68942747
9498909,16045929,34881984,66642788
9417363,47901559,34841541,66582529
9394953,35667531,34988998,66418527
9442521,16004987,35164080,66746266
12141038,45489953,35119844,66607439
9478126,15983553,34932826,78038113
9433548,18561174,35066843,66386063
9346055,16027630,35102315,66401673
9427275,16120682,35413447,66403158
11526724,15994620,36185567,67643925
9388552,16312176,53812786,65835042
9481089,15997164,35277050,66618120
9396340,15906853,35122625,67664465
9381763,16045610,35911906,82086127
9342005,16033765,35066971,73468639
9399799,16003366,35507632,70641927
9410698,16008933,35325656,76161308
9381236,16036235,35516492,73642381
9361083,16010164,35405352,66530790
9339931,16018725,38174459,66535834
9414528,15981503,35285708,66363097
9379307,15960101,35405486,66564450
9373949,16014225,35380467,66724998
9582928,15927778,35360232,66953959
9509660,15982763,35061665,66980683
9400297,28345823,35313348,65740185
9451859,18144179,35347540,66602719
32354590,15929508,35216338,68249281
9452784,16431915,35204803,95931475
9352869,15968056,35338205,66274494
9364837,16010913,35314956,66587646
9325683,28188980,35406379,66371825
9333586,29878349,35341646,72066982
9352611,16040668,35003219,70135158
9383872,21715356,35364546,66160215
9341844,16171387,35167966,66532418
9758080,16010124,35136873,70735635
9422958,29348199,35328525,66639447
9442104,16069948,35316982,67857904
9390391,15996260,35386059,66826802
9321905,16007315,35422179,67872755
9338693,15921558,35384681,66290191
9362849,16057600,35229450,66248148
9350738,18274662,35182897,66664848
9369237,16166634,35305614,66123841
9350999,16016099,35383763,66342126
9339888,16011545,35518249,66177355
9332757,15991895,35226400,68005541
9341839,16040063,35387080,69089953
9330314,15951888,35367941,71095013
9402484,16001769,35424935,66446959
9365604,15963886,35440932,66398118
9329302,16603666,35646322,71882571
9404468,21503880,35530419,66676111
