SHIR FPGA 4096,SHIR FPGA 8192,SHIR FPGA 16384,SHIR FPGA 32768
8109822,16151435,34168820,65773653
8211659,16092353,42607654,66131199
8050643,28854970,34251639,66200013
7996359,16015969,34203926,64534218
8045471,16127748,34350897,66585747
8221541,16125385,34159857,66992149
8256801,16188890,34224977,64821248
8227301,16141551,34239329,63277234
8236717,16178301,34070204,63321273
8119512,16207332,34159513,65837942
13134553,16123679,34022762,65431294
12797627,16137470,34960752,65196075
8261540,16164305,35149813,66628871
8212077,16148353,34818184,65004105
16480434,16074861,34730879,65212617
8179650,16122748,34332767,64478147
12016052,16190893,33982130,63544283
8064594,16191563,34207995,64911775
8206583,16071175,34500008,64560314
8684072,15999151,34229450,63620040
8345361,16139519,34429480,63693514
8226806,19103408,35448516,64847560
8129377,16119134,42239027,65354670
8142281,16141083,33925890,64607435
8275802,15918479,34139629,63558221
7993940,16109372,58379939,63674584
8298837,16140935,57592140,63642351
8279239,15988936,44681497,63556205
40491199,16171925,36899581,63585887
8422977,21933314,33671457,65015802
14261260,16035148,34130029,64898595
8437849,15943691,34111504,64977657
8514689,16041480,47211088,67319840
8494960,16124551,37590272,63753802
8567569,16166957,37090983,64847474
8514951,16700464,33991631,63896688
9929366,16125847,34167247,63438843
8298654,16182439,34211454,66541578
8394814,16146749,34397860,63221655
8353939,16067743,39601311,63394418
8507486,16085019,33880185,63609740
23003779,16027399,34018047,63565620
8474870,16066224,34170340,63588109
8401524,39025600,33945534,63694704
8431063,16166399,36909911,63602107
8334431,16084664,34106509,63838986
14257480,16016904,34189947,64030274
8396477,16039578,34061595,63968301
8244317,15964392,34079260,65198167
8291778,16098343,34960272,65970134
8550481,16106849,34343972,65081427
8548831,16097309,34357103,70449207
14994121,16103843,38032268,63742680
8153961,15986247,34266753,67438525
8038424,16078715,34114696,66165226
7981921,16592105,34184121,63418307
7919841,16020681,34377729,63635659
8257741,15972657,33877496,65578887
8305672,16244228,33960300,66267350
8201209,15948954,33954622,64673596
8064687,36443888,39378822,65044428
8094634,16262504,34150073,64401060
8069889,16249907,47512835,70464195
8331278,16969417,33871258,65490625
8232108,16144562,33930273,63379483
8041778,16045568,33985679,64501884
8099633,16331074,34180589,64347072
8454878,17964322,34567192,64712094
8200331,16106906,33881770,62836171
8263796,16147730,34683838,62907798
8247468,16134566,34309171,62841642
8372305,16129605,34006084,62840041
8246588,16120776,34297773,70628496
8206728,16115424,33816786,64484989
12561549,16131445,34056101,64801910
11911421,16122294,33867259,66217977
8205615,16080508,33878832,72719366
8128643,16071111,35071147,64855542
8154301,16136538,33925398,66771293
8037411,16238163,33852198,65039862
8106672,18406194,33723655,64556694
8053732,16143833,33787076,64942471
8202108,16118860,33791367,64317346
8218319,16138002,33954216,75422339
8144458,16249503,33923497,65490466
8133234,16030015,33863620,72291636
8116656,21747151,33848730,70693655
