FP32 FX b16,FP32 FX b32,FP32 FX b64,FP32 FX b128,FP32 FX b256,FP32 FX b512,FP32 FX b1024,FP32 FX b2048,FP32 FX b4096
23570,75621,81945,99887,135348,174012,289345,531824,857950
23299,75593,81947,99513,125659,175727,280557,373626,875245
23707,75980,83916,98778,130980,172309,279443,366240,879995
23420,75789,84641,102146,130797,162442,279422,365258,818363
21959,76234,83834,99808,131012,186631,279703,350982,845534
24212,75653,82329,94901,133396,165469,296491,351668,874638
22862,82566,82657,103029,125227,165205,279832,345136,845474
23123,77669,81313,98865,129088,168549,286015,347330,867947
22611,76844,81643,97187,125560,163968,287631,353928,867822
23478,76027,83047,106144,130417,165311,281529,356495,819867
23704,75768,83407,98574,125338,164370,278103,355392,798746
23691,76102,82521,99731,125784,164654,299658,362278,894146
23673,76383,82698,101402,128233,175659,280913,336840,875206
24016,76787,82170,99499,131316,169058,278616,341738,847708
23750,76405,81516,98324,138654,164518,287223,343784,825958
22978,76497,83618,96439,132821,174497,282928,337899,1156859
22529,76028,83215,100139,131289,164763,282845,335107,1300162
23853,77560,82101,100698,133399,169357,280332,338728,820381
22827,77262,82819,99635,126385,166190,279905,572933,866516
22364,76869,82865,99336,129158,165179,280211,353727,858616
23304,77838,82373,101503,135227,173839,281138,348625,921065
22118,77311,83849,96264,131625,175066,290347,350242,1147298
21970,77167,81743,99127,131744,164712,288200,363260,770291
22111,76732,82365,102114,129265,173391,279950,346869,992544
23302,76538,81557,97969,138425,167593,277652,357700,899009
22831,76616,81861,96876,138874,165665,277348,368829,859394
22958,75973,81433,111826,125081,173968,288526,358093,947815
22463,77783,84024,99034,141228,165351,288766,358307,2949580
23623,76507,82436,97700,123660,163168,281223,365684,1367203
23137,75978,83912,99750,132023,167808,283383,375810,829361
22554,76538,82480,101359,128083,165731,280566,363697,831910
22623,75693,82036,98278,127907,163590,279629,363475,840878
23233,75595,82364,99416,129521,165900,286189,353965,1016846
22273,75620,84566,98572,136002,164056,291180,548308,874323
22264,77077,82264,98973,127894,163915,278397,361584,858381
23228,76762,82915,97968,136246,164091,284188,348140,858015
