x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096
300061,316147,1209099,1231464,389630,460990,1644835,1055514,7118240
309034,319462,1197271,1261425,384478,458598,1684969,925567,4566957
322633,363160,1199503,1233225,376985,530126,1239414,1059078,2934214
304909,322178,1194821,1238917,388447,473388,8168914,1036102,2009100
304432,320619,1194807,1226437,409273,497549,1762158,1067938,2424481
313698,317702,1192910,1224300,386746,474555,1687925,1044217,2276634
303057,403341,1192640,1220637,390462,599802,1626178,995785,1739392
301372,315951,1200232,1231539,394261,539306,1574411,1004300,2367000
365332,384575,1201622,1232067,424212,487367,1716580,1031954,2375893
319616,335075,1209550,1228398,392416,480517,1694088,958172,1723390
304590,322036,1192726,1239497,412684,558762,1698283,1145529,2322422
318822,319108,1209947,1230895,392742,482040,1666608,972900,2435858
327815,318544,1191984,1232758,378967,468002,1712843,963459,1817911
336911,320716,1201778,1234260,375611,490711,1626333,1051119,2342117
364987,317602,1198782,1225422,383070,486568,1697649,965380,2529945
349196,325502,1192005,1221202,381151,478146,1658816,990055,1809118
322390,319199,1210373,1227954,372486,460247,1695438,998659,2368085
307617,318017,1188191,1245404,404161,613146,1680570,1073253,2373166
300335,319756,1207930,1224402,378258,505140,1681239,1547342,1817665
298511,313031,1192971,1241967,381886,471143,1666232,1018128,2381263
297596,319517,1193749,1231346,375472,494841,1638854,965138,2409976
296119,319171,1196439,1241452,376563,492960,1681084,916730,2092012
297403,317365,1183533,1231691,385196,472419,1640514,926351,2452997
300094,318010,1203564,1229559,414784,461924,1665169,996154,2490495
319166,320746,1194966,1236013,378633,481290,1682069,982162,1989864
321388,343651,1203086,1228647,377259,672583,1680916,958021,2467149
327447,350610,1200421,1252004,386802,524776,1671150,1082430,2306672
317896,323143,1190881,1227830,384480,474037,1624823,937825,1901705
315497,358606,1203595,1235883,376971,485498,1659299,933574,2328014
307473,351208,1194963,1231053,377500,513552,1735545,958835,2298564
304241,326349,1206250,1247700,425765,468504,1672927,1013640,1913514
299449,316817,1194740,1220859,395638,462853,1662275,983495,2380063
297534,320825,1201772,1230605,383794,470882,1668492,1050033,2430760
297857,329498,1194082,1239889,378774,477647,1647447,1004370,1820106
296905,329899,1202651,1227933,383894,456064,1631141,1102064,2559696
329267,316464,1196347,1244975,382772,473265,1683847,975656,2521275
320386,316932,1199615,1224959,417587,454522,1613009,932982,1785630
306043,318675,1188261,1248297,421006,495662,1647828,932457,2261006
301210,360299,1195132,1231692,414291,465290,1693412,1020093,2476368
300972,322168,1199522,1248930,387263,464383,1641143,1044347,1889041
302232,340191,1193868,1232019,381909,474422,1644279,1010983,2429617
299476,330293,1204983,1229409,380690,481546,1586802,1522617,2396219
301815,327343,1186823,1234020,382378,461609,1582443,1010396,1837848
298617,318932,1194960,1234372,408173,452653,1670482,1014549,2359169
299745,319397,1193272,1239220,407267,471179,1655149,964205,2388881
299671,317756,1191286,1232001,394508,458093,1670932,955961,1899840
305425,319139,1203597,1247072,382402,454595,1663627,934678,2502529
315813,316091,1181773,1226919,379914,462869,1691379,974708,2365572
310985,318627,1214860,1237321,382015,503056,1669146,985509,1866981
301161,317785,1199891,1217561,392696,643298,1661178,999455,2403469
299862,315810,1197105,1237849,388355,502101,1522794,1031699,2144340
298260,318411,1207953,1237333,379579,497781,1626930,955845,1804866
299645,325788,1197650,1236302,386234,523153,1520966,1007092,2639772
299683,319706,1221133,1239588,389569,483647,1539008,962665,2490402
296932,333960,1197737,1223733,381641,461594,1683984,1076362,1837267
295393,316994,1208781,1246254,377677,478928,1618388,1037676,2340355
299534,320372,1208314,1228757,425737,495182,1680713,1033691,2319879
296582,340954,1208721,1222735,384443,466604,1612538,962532,1827354
305457,322554,1210679,1232534,390535,465775,1674363,991334,2454056
300662,318086,1201488,1236738,390845,465484,1669935,931751,2375490
298556,319531,1199574,1231836,383682,461403,1733049,995774,1875442
298736,330135,1202702,1227326,380459,455245,1683841,994418,2355816
298657,317447,1202679,1240067,398009,454248,1537825,987239,2443146
297088,314288,1206027,1239305,421340,448851,1522864,973734,1985977
