SHIR inductor b16,SHIR inductor b32,SHIR inductor b64,SHIR inductor b128,SHIR inductor b256,SHIR inductor b512,SHIR inductor b1024,SHIR inductor b2048,SHIR inductor b4096
45859,140111,96274,103400,241192,266887,323716,594251,1390153
44885,144945,89233,108421,198478,273318,331778,616180,1926581
46266,150087,81374,111045,211353,273603,338973,611026,1354817
48108,150540,77788,150941,200713,273989,317157,962701,1397931
45423,149089,78053,110994,200035,274992,324341,666509,2056483
46925,147908,77183,113998,206267,269781,315332,626593,1347241
46941,145850,78143,100272,196168,283718,318636,625874,1457522
45113,140230,95381,94366,204119,276896,323618,609793,1980691
53698,139577,125658,96722,202219,272953,315104,615803,1411305
47777,139385,115528,102211,202388,285668,369085,618256,1440063
47961,138728,112226,99328,202426,268188,344390,706687,1968717
45979,140367,96919,94049,204270,268787,372851,671251,1443827
45775,138996,100575,94965,200236,273480,344408,629739,1540777
44942,144443,97307,93817,203845,284568,331267,606227,1993234
46654,143275,82556,93201,203599,286511,327291,736687,1345043
47258,140589,79505,96241,203781,268972,314965,665170,1373628
47361,140209,78367,92971,199055,269533,350079,622231,1960822
49003,143175,87545,97105,202449,271955,332057,595462,1502615
47757,141485,78685,95051,210108,284942,318968,589688,1428182
46667,139283,90027,95044,202447,269150,318471,594919,2385457
47438,140155,78743,94446,203187,268346,343113,692222,1799103
46198,139885,78378,94744,200772,270890,331991,624756,1512105
45179,143467,78975,94140,199744,285881,326201,622598,1956098
45331,140450,76472,93329,203434,276131,329942,613016,1452149
45505,139768,81633,93699,199734,290709,315924,611142,1361034
47689,139455,81435,93512,203659,299319,318917,628658,1941375
45367,139655,74442,95144,200054,280196,321586,1085723,1357470
44521,138642,82722,95479,200023,272536,308530,631220,1545011
43694,139102,77734,96380,201635,271943,315984,604372,2029763
45676,139002,82258,94136,209726,265301,313077,640418,1332449
46089,142844,74668,94323,200596,264799,312267,591332,1660804
45658,148242,77063,94537,200403,265054,349564,631635,2004082
45158,141862,74550,93978,200326,293213,366737,709797,1485350
45735,141766,76856,162107,207069,286854,328584,632331,1500998
45659,140254,77444,95204,210179,286859,344638,618241,1923953
46582,139234,77664,92062,203814,270561,318379,619320,1352474
46647,138873,85130,93216,203434,284297,317418,786582,1379303
44848,138810,78618,97247,201554,265103,324236,678102,1950929
45604,138494,76147,93201,200287,265244,324117,627558,1341594
46662,138885,80182,94113,201141,269036,317327,623854,1446041
45543,138747,76887,93211,207197,271099,315819,614029,1931190
45869,142655,75511,115529,203206,280754,321666,596539,1373063
45060,140609,75974,101613,203621,276151,341645,686715,1418941
46076,139184,77358,95550,201693,278005,329815,628735,2084140
45220,138597,75436,95198,202652,277075,349937,613728,1493385
46056,140229,74200,94155,196970,278240,342830,639297,1520655
45654,138028,80660,97775,200642,265576,333253,683583,2030205
49211,137904,76657,96959,198543,275081,326022,675205,1521052
46979,139431,77093,98124,200234,274185,319555,699521,1467560
46177,139320,78593,101233,201939,284869,327333,965139,2039738
46481,143759,80200,94437,200841,269427,316256,627096,1388825
46256,142782,77043,100570,203465,266763,318683,614868,1477458
44479,138927,76499,95426,200495,273631,319955,714896,2038319
46981,138568,79669,93981,206365,272652,349641,645503,1488859
45575,139555,77779,93762,202225,272487,348921,623077,1435918
45966,138923,74520,99009,197375,267991,325702,614802,1862406
46416,137744,77434,95750,201922,271745,373487,617560,1429073
45766,139904,75272,94106,202094,269678,345504,597244,1468205
45178,137710,75112,93983,201673,268368,331404,694027,1938072
45832,150883,76799,91980,279413,271120,345097,658721,1444070
45093,141269,74442,89862,208504,269147,324664,615601,1536775
45751,139039,75999,90930,202589,270364,318785,614004,1902296
44445,159649,78642,92448,204081,269188,316589,753930,1395814
46084,146689,76168,106231,198220,270405,319811,640483,1506342
46118,143012,76133,99337,198310,277611,321338,620938,1993576
46482,144542,78140,100964,199570,270220,388790,603063,1322385
47175,163622,79209,106480,201864,273452,336685,586093,1614494
46995,145718,75568,98159,201734,269794,334934,590054,2021000
51096,150801,76478,93761,199936,273935,328871,672527,1442852
53481,144687,76567,92119,202102,278320,318777,600594,1537138
50342,142855,74956,94865,200006,280660,323065,621940,1870833
47494,142697,75618,91133,202997,269079,326555,593537,1530075
47009,140831,76138,93808,205731,267278,317401,990580,1445647
46805,140297,85355,92572,199846,274309,329860,686503,1936881
46538,138819,80019,96944,195678,289935,325305,641531,1392925
47463,138993,75984,93154,202275,269890,318423,627159,1522594
46429,215440,76263,94272,197638,270931,354983,619172,2013195
46358,152709,76511,93397,200021,270214,349724,611413,1389874
46777,143555,74928,95720,200490,272653,326426,692872,1508856
46565,139441,75278,93025,206844,272102,327985,635640,1973040
47441,139143,74387,97902,201171,277611,562925,622397,1488159
47389,139341,91701,95969,201296,292066,339815,587920,1461506
46442,139814,91880,94761,208562,319745,410306,608203,1960501
46815,138358,79765,97209,201521,279130,402546,702970,1297036
57034,138707,76347,93676,203175,271696,349621,678403,1400797
58946,139915,83601,92282,202549,269060,339206,622061,2041269
47148,138880,77318,91016,202446,271717,344387,614789,1393230
47040,143950,75153,92643,199350,267559,322645,589828,1484358
47737,140961,76117,97564,202049,274856,328213,607048,1998905
47491,138421,81166,102076,199520,271155,364964,715415,1419103
45563,139484,73783,95014,202199,280339,334853,630917,1571456
46043,139482,77338,94415,195002,284060,330325,622118,1923233
45128,139764,76665,92539,208673,274308,325528,611223,1466088
46417,140359,75055,97948,201045,281504,374129,632230,1365797
46109,139868,75329,95499,204784,271020,323788,619104,1837350
46125,139105,78722,116928,201357,267984,317768,994261,1424550
46464,142845,87589,100381,199564,275057,307087,626182,1476558
46314,141791,77239,96326,201426,272510,328714,597309,1966082
46106,141395,78036,92745,199379,277850,372817,595316,1562141
46001,139851,75198,97071,205270,278291,323064,638673,1543874
47339,139146,92044,115109,201118,274987,323100,684582,1928888
46908,138765,80458,109379,199915,268336,320533,625246,1489618
46974,138895,84744,96508,199884,272355,316631,676877,1520510
47115,139104,80659,93065,197129,274361,317760,622008,1949250
47609,138841,78553,95037,203575,278350,319449,608385,1297946
46172,148376,79007,91972,199825,282819,315089,701851,1472397
