x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096
53737,61892,76614,82316,190858,238194,417412,421245,877857
52104,61783,79470,117898,186685,235825,401710,492783,1044385
52381,62974,75551,101472,188967,224600,364826,429879,870446
52296,62654,74899,87616,198844,245274,380403,414199,953105
54273,60664,73405,98010,187495,235816,415388,406857,1119153
52523,60772,73041,84770,188206,237876,422801,629530,1251628
50600,59855,72235,82098,189586,238631,383522,433771,2547461
51815,59947,73497,82318,191107,231643,351457,396509,1200332
53104,68944,70841,83688,188321,230646,411488,364443,969440
52610,64300,72226,82668,188034,233700,425900,504387,1085384
53424,62294,72533,81129,189827,229476,397986,445046,1070856
53601,61708,70733,85103,191616,226264,410606,403083,905697
51105,61208,71889,86215,187729,228493,366954,434878,914735
58447,61899,93109,83608,190295,245059,436055,390985,986725
58875,63200,83851,85204,200826,232860,413355,401640,965185
53231,62026,77409,82903,284332,232944,390728,432984,950216
52709,61558,73928,80289,191421,236306,397249,463803,880693
52064,61112,72875,80135,186368,225271,385709,433399,951363
52338,60778,72085,94215,189304,233271,409794,440236,903023
51094,69943,72754,88301,186437,233455,441620,511567,891058
51311,60548,72710,84594,187531,240569,378881,425267,879120
54369,59641,76624,82752,188850,233021,377092,429623,958562
50992,61344,72841,82353,188448,229186,427594,439620,922468
53637,65167,71752,83986,187079,230695,424430,402341,734778
51178,60331,73240,111495,190051,247864,410718,449972,1013012
52625,62625,84553,92168,198186,233292,377906,421243,883327
52015,60772,73397,89067,191672,233608,377694,405116,970043
52046,60320,73406,81953,189553,229122,409677,425919,917399
55071,59605,71699,81907,188654,234704,424653,761033,934488
52329,60299,80515,85300,188129,232736,405155,456928,968313
53009,61297,76624,86452,191246,226131,374766,422003,968719
53877,59475,73856,83272,191055,224499,357595,424689,966649
52839,59694,71561,82810,188667,229931,447664,433548,918510
51983,59636,73092,81907,192065,235967,391284,421994,1052985
52159,60007,71128,91599,190966,237781,371055,403098,897997
51694,60180,69985,81246,189989,234408,406454,411357,960445
53957,59906,71285,89099,194772,235285,387705,385969,970097
52368,58375,70979,105041,188466,226147,431151,370837,955310
52048,58957,69678,98388,199230,231372,389738,397497,964872
53056,60927,70981,88432,190519,242255,364086,424408,1128257
52710,95358,71530,91299,187487,232008,391701,431538,1335606
