x86 FX b16,x86 FX b32,x86 FX b64,x86 FX b128,x86 FX b256,x86 FX b512,x86 FX b1024,x86 FX b2048,x86 FX b4096
1435094,1450509,1478636,1546508,1773898,1791331,1403591,25272535,23360105
1415731,1448779,1511031,1547675,1659369,1805495,1225941,8604064,15053409
1531014,1443897,1517770,1539696,1652165,1805025,1237277,3932172,8528485
1414206,1435300,1488825,1542937,1655403,1792689,1266609,6652152,4722136
1408416,1449590,1477971,1541716,1660297,1813376,1312819,6550958,9680443
1414801,1435336,1488694,1537346,1652034,1796881,1225350,4061006,8444546
1418498,1462847,1468397,1653291,1660619,1807816,1396036,6903917,25902167
1417601,1443581,1482904,1557244,1658250,1788116,1321956,6553106,21001808
1415889,1451674,1485837,1540867,1640903,1791983,1216273,3926036,8840753
1409979,1438454,1496476,1548103,1652116,1787720,1216968,6758050,4885020
1411084,1553561,1589395,1546122,1640936,1783431,1206306,5966308,9406569
1418233,1446092,1489445,1532987,1776757,1801832,1257328,6982795,8554534
1418163,1441524,1480244,1540306,1644523,1783845,1199265,13075833,9091724
1403287,1460041,1488384,1535448,1636346,1807234,1289361,21136634,9771755
1505505,1443830,1481929,1539550,1650466,1802734,1205737,4639928,8683713
1440489,1457597,1486221,1545944,1649995,1811867,1208411,21614696,4747756
1424574,1444993,1484973,1542643,1770896,1828529,1373225,11895827,9789294
1433109,1451611,1490578,1537493,1676290,1817832,1283207,2834593,8304878
1427032,1444246,1479260,1545164,1654026,1784717,1257453,17196681,17131631
1424326,1441685,1486158,1526261,1654714,1800798,1212502,9306829,20739759
1427374,1444614,1576592,1533842,1658794,1792960,1579998,7572766,9546054
1403553,1444318,1495538,1556867,1636137,1802070,1244258,10031906,4401976
1421692,1564976,1485922,1552224,1654165,1800801,1311423,17181343,9818363
1403042,1438912,1491073,1539000,1652384,1855764,1278264,5169109,8443919
1409613,1453522,1474910,1540674,1638967,1789550,1204394,7298801,9695766
1424400,1435725,1485338,1533343,1645005,1789985,1391318,4924407,13690052
1417284,1449360,1481265,1526230,1636728,1797885,1309277,2753816,8961690
1532110,1433890,1479183,1539647,1745075,1788718,1279268,4785636,4614763
1419783,1428447,1480656,1544256,1652771,1790141,1232985,4513377,9922858
1414254,1434962,1484662,1535216,1644898,1784832,1253914,2487670,8854608
