SHIR inductor b16,SHIR inductor b32,SHIR inductor b64,SHIR inductor b128,SHIR inductor b256,SHIR inductor b512,SHIR inductor b1024,SHIR inductor b2048,SHIR inductor b4096
38722,47906,145691,77677,167491,213970,352802,695270,1972217
38581,49218,102689,76805,136870,209458,312816,666913,1533121
37607,47767,99472,79009,122369,202725,339237,646724,1815291
38584,46964,101095,76431,118683,194939,318697,611675,1928961
39033,47019,100074,76686,114294,188069,310379,623272,1258793
38842,46933,103249,78689,119037,201745,316974,619996,1905193
39193,47181,100452,76837,118956,196448,322389,666493,2075104
39189,47838,99968,76365,117117,187808,302277,799100,1427488
38450,48166,98131,78954,121472,197749,353258,662411,1922632
37993,48025,99345,76775,135465,198315,338572,614184,1930071
38506,47799,99239,77531,118485,197811,315042,601807,1508257
38032,48096,109364,85008,114975,204571,380492,702429,1990694
38441,48535,101053,78892,117393,197871,333857,1234258,1980489
39069,46661,99938,76530,114111,188121,309266,1277012,1404940
37461,46595,100077,80547,113211,196953,334781,3187561,1936490
39086,47026,100395,86028,139503,192647,322076,2008887,1886652
39211,46754,99401,80603,130847,189443,301848,1065514,1429091
40335,48230,101551,82356,158064,196867,317476,824451,1957074
47057,56222,102337,78599,139022,192916,307693,676309,1978040
40196,48859,100022,76168,119123,187841,306070,648450,1503229
39375,48261,100011,75687,117713,193787,318875,603110,1919277
40023,47256,98437,77305,114915,195533,317899,663876,1989320
39713,48021,100054,76720,112325,208314,305657,675733,1508568
39168,48140,100949,76351,114875,192760,365219,623000,1729460
39960,47081,100380,76204,113294,213698,338284,621349,1946875
39171,48092,100563,76653,118367,188167,317300,623512,1513851
40495,48616,100392,92053,138254,192605,323934,634710,1973814
40330,47758,99566,78800,118787,195064,316089,626116,1994788
39276,47569,109477,87959,114981,193260,306809,692672,1455853
38607,47876,103241,80284,116580,201726,314206,637978,1875642
39656,48224,101897,78753,117584,195891,311521,614908,1933507
39338,48215,99171,79846,116171,184304,306985,619199,1402365
38087,48474,99134,87088,114714,196567,324677,617603,1819877
38278,48034,99523,79732,112959,208466,311694,632288,1953362
41515,47705,99238,78608,129499,189757,300142,693272,1398666
37914,47834,98121,85938,121654,194778,382784,891151,2013821
37092,48088,103097,88843,114367,191577,327762,772726,1869918
38533,47540,100472,77869,111945,187682,313573,1428270,1510203
41454,46815,98968,76660,113012,198900,338853,922667,1860672
43591,46083,100511,78849,115642,197494,322951,914184,2046501
41247,46054,100195,82204,118843,192243,314516,2002910,1493151
41340,47276,99995,79542,116131,188648,310459,948788,2046321
39451,47034,99332,77443,189960,212942,316247,1022587,2042516
40072,46259,101515,77542,131997,182207,298144,917332,1555372
40685,45620,99899,79808,122765,219126,309932,1636554,1975232
39199,47169,98201,77139,117509,201512,321291,1592540,1949649
40291,45498,99045,88218,119802,185430,307116,1158441,1417116
43803,46658,99401,78833,114845,206801,346283,915861,2044572
45143,46438,98277,81719,113976,260534,315079,772975,1958285
44728,45860,101139,78841,118851,186037,379561,704094,1501395
51228,46291,101107,76173,113283,196404,343259,767041,1910604
44267,55715,98285,76542,138137,199413,311550,744913,1958336
40485,48023,98987,95252,124963,184545,299166,745558,1419177
39096,48062,97762,78006,114990,189929,319734,744491,2026954
40054,47006,97710,77605,115059,209829,312890,693952,2029611
40482,46044,101632,77855,115155,187997,314356,738799,1427213
48461,46531,98569,77584,114799,187692,304089,699629,2077703
41066,47552,98744,79194,112510,196828,353506,678983,2004218
91570,45662,210679,76007,124072,182270,322442,1456252,1543232
45253,45348,104688,77364,112250,196824,322931,8737883,2001778
39853,46343,100435,75968,113287,196612,319162,832946,1993043
39101,48019,101474,75556,113510,187694,314362,927756,1584988
38487,48566,98261,76779,111055,195180,308854,821051,1948514
38451,48671,99443,84830,114847,191077,327593,816834,1862307
39443,47173,99774,79611,110811,189758,332376,888349,1490437
40219,68900,99077,86381,113006,193069,317342,780640,1996596
39885,91486,98390,77226,111698,195248,321752,894974,2007169
40477,87152,108713,78006,111094,183715,315856,807600,1353913
39255,78601,100938,82644,120494,200412,346561,884864,1892741
39795,72866,99792,78624,123517,197831,331908,823910,1949750
39373,54667,100079,76866,112491,201227,313449,846058,1491280
39233,56040,99170,78165,113398,203047,325760,785651,1930628
39369,58557,98785,93129,116814,199217,317671,800918,1956862
39051,51761,98924,83692,121158,188744,300528,926754,1391333
38138,59769,101219,78652,111084,191738,311561,836091,1953272
38932,65399,99746,76466,112195,192435,305549,936627,2009250
38506,53675,98937,78518,112313,188193,312823,806272,1317799
38590,53483,97343,78365,137841,193874,321184,827962,1949958
38526,49201,99112,78641,148283,191419,316353,830998,1984164
39700,48191,100937,77441,119450,183183,336311,804103,1384790
38968,48027,102856,82338,114337,191451,372187,799360,1980446
40295,47200,100065,79640,115618,196710,327972,1247399,1901862
39093,47154,99952,79463,112436,192695,312952,910568,1329592
38936,47471,100123,79672,114069,192566,326283,890084,1961403
38646,47973,98864,79982,115191,191994,320538,855233,1976410
38492,45933,98945,78026,111804,185566,549249,947023,1530102
38821,47021,102375,79317,133226,189939,338487,881863,1984796
38834,46831,98742,78337,134697,194650,320789,771889,2118879
38867,47157,99123,79302,120369,182727,295100,830439,1529242
38019,46991,97935,78246,118280,191024,283016,743865,2035447
39515,55935,109009,77926,117351,218192,331727,745505,2014405
39864,49056,101922,77044,111519,182272,294900,785610,1474853
46952,49001,108619,78146,109591,190729,354214,849242,1997250
43472,48444,101574,85612,113715,188248,330838,839107,1976795
42507,47863,99385,83032,124237,180060,335887,1418892,1403608
42795,46935,99403,79508,114269,189500,316775,868869,1944520
42627,47499,99775,90475,131301,190884,359561,828021,1761251
42110,47777,98912,82777,122791,222809,331194,831125,1458064
41648,48477,98506,78030,117533,210080,370229,937260,1947614
48026,49469,100827,76985,113192,204387,351511,814603,1999079
42852,48900,98881,78614,113484,200228,363739,833474,1510430
40586,47413,101827,77022,113213,193776,385416,857636,4445135
42396,48497,100433,76646,112918,193691,335691,764101,1967824
40560,47533,99005,75744,152429,183238,334762,776422,1643122
40725,48478,98102,76302,124580,191537,321911,1255464,2305447
40094,50356,101257,90495,126342,189342,331581,975468,2162622
41203,49450,99407,82152,115229,187944,319786,2917610,1472308
40044,48392,98600,83548,115209,191763,314948,1476199,2104660
39005,48435,100075,79058,113520,190431,353008,1066288,1802450
38535,48533,97495,79132,114817,184743,321519,879595,1374202
38368,48216,99145,78120,116755,191204,342556,779878,1877028
38503,49006,100596,78111,116519,191815,319898,690394,1947681
39862,46632,103455,77235,129944,180289,413225,650202,1440103
39508,47347,100383,92697,115098,238144,345245,636307,2678556
38488,48668,98429,79264,115912,211693,330297,763473,2340290
37937,47337,98607,80859,111985,190575,316925,734613,1590502
38050,47592,97395,85714,117114,190719,322470,675022,1985739
38631,56957,99919,84035,114352,197642,332317,662556,1965696
39670,59092,102262,82563,115157,195059,304997,658340,1420417
38789,54355,99778,76468,110895,194253,326246,683768,2045967
39052,61970,98836,77900,142239,194858,321142,702278,1849404
39339,58812,107811,78458,132050,187422,307402,663347,1564889
39451,52405,101332,76850,117019,190259,328477,721878,2581370
45190,49337,100548,77036,115644,196567,338296,667763,2092225
42292,47253,102267,75410,114397,180061,378529,703019,1321022
42073,48391,100364,77213,118827,192548,338882,692988,1834073
41033,46835,100544,78980,117786,196121,405753,738419,1815566
40822,47432,101500,79083,114258,187426,335095,970180,1532071
40987,49035,99495,76176,117941,195091,379148,869954,3000375
40404,51104,97933,77297,115110,192154,341186,875705,2022472
39730,48749,100694,86816,122427,181800,326347,897268,1421423
40823,49154,98429,88812,114412,187553,349490,804560,1925181
41734,48057,98393,80174,114751,196567,322634,723504,1869491
40119,47795,98102,79529,113497,186434,374183,773025,1325716
40607,47094,105237,79002,113194,188524,336000,710246,1904498
40714,60022,99250,76701,114342,198528,370100,709527,2631027
41336,52320,102203,76743,110842,194637,319728,705239,1390866
39223,50362,100568,79324,117011,196132,406886,712020,2056767
40235,48244,99547,77160,109982,193641,348446,758151,1935560
47827,47060,98717,76142,123239,183363,399425,839211,1438477
42458,50015,97478,76800,622590,189942,352385,819560,2021746
39792,47114,97657,78044,120487,202924,316727,865551,2006546
40286,46772,97658,76464,333000,211416,346499,852223,1519268
40178,46727,100633,77840,1086999,193146,330198,839017,1861491
41729,49387,100733,77500,893367,199447,381092,863546,1949648
41146,48680,100253,75640,772376,185068,328315,877370,1384030
39938,47954,99357,76316,139277,191816,367034,804710,2077781
39829,47081,98420,105989,125326,197473,334219,821970,2188323
40928,47090,99655,87164,119788,186351,320211,801590,1536094
40665,48028,101807,79603,118556,193482,330880,805789,1995599
39983,47407,98815,78644,124128,197838,316460,1526213,1912187
40575,48182,98536,76658,114848,188906,343108,1107852,1407225
38724,48333,99171,75082,143924,193848,320601,836277,2065424
39170,62679,96521,75543,126698,194167,336454,1312956,1957841
40240,51499,97618,77120,115843,186472,336948,1770567,1360730
39989,63579,100813,79084,120742,191221,367648,1438026,1984191
40448,59009,99015,75313,113986,199066,326412,1093585,2001292
39154,50612,98962,76121,112486,188278,383529,830004,1504250
39441,48583,108798,77201,111918,208950,357850,808152,2045987
39613,48934,101708,75594,137900,194944,363586,730449,2013252
38300,47762,99397,81056,138381,184252,356037,654721,1507312
39190,54237,102153,85142,136007,216664,336937,647993,1965343
38453,49226,98239,83775,128610,202839,351702,646634,2026164
38643,47454,99269,77972,117271,195518,321755,644812,1405730
37893,48979,97332,87011,118774,195059,336858,703170,1989761
39276,47986,100251,78082,122189,198847,324932,663956,2099616
38973,47507,98985,78986,143274,185426,348883,700001,1468396
38136,48425,98125,77909,126456,200901,347043,703132,1920286
37907,47731,100907,77831,130996,279738,347949,635486,2054552
38065,47555,99917,77975,118247,184813,343059,636592,1449264
38098,47198,98170,77650,119239,197904,315716,662106,2127193
37693,48379,97988,77782,112931,197501,345636,685586,1936689
38663,47318,98753,76596,112972,188797,308943,662268,1383224
38182,49524,97641,78899,113329,185971,325694,1361620,1962440
39461,48354,100765,78518,115807,199035,316228,1030496,1911979
40151,48219,97581,76778,141925,184844,317738,838555,1362404
40488,48182,99360,78156,127005,186310,1292885,805744,1740478
39907,47920,99611,78483,121868,194320,2548226,838037,1816901
39226,46319,99120,76896,118623,187844,1748617,824866,1575386
39803,46482,99648,103140,115114,200765,797797,793505,1891490
47526,46403,102924,83287,113177,192852,528877,778371,1972571
38794,46396,100089,78401,111302,209756,506219,769710,1307774
38657,46003,98396,77396,112920,199982,506547,858639,2043184
38777,49268,110387,76786,115524,193093,523290,810476,2023641
38194,49615,102174,75853,147264,252769,493898,815921,1587829
39806,48165,100206,77803,144735,209734,491505,938395,1911218
38981,48179,102218,77169,142210,193433,493881,813338,2074993
38482,46897,100745,80807,126448,194189,480679,840054,1375060
38336,47715,102360,84054,124075,190794,489611,868994,1983545
39088,48072,100108,85385,117792,201315,511206,834300,2006625
38096,47605,100006,78032,116176,190753,472684,830592,1508301
37876,48504,98645,77998,113563,193028,447428,842360,1984010
39425,61917,99737,84116,118856,194946,467244,794335,1900656
38816,54494,103074,77833,118280,186987,456326,854785,1377208
38507,53394,99090,79836,128540,201629,499656,830397,2042144
38756,50009,98683,197928,116552,196554,483646,835399,1974349
38872,49003,99104,108793,112308,190012,549163,1767822,1544214
38130,59085,99316,92749,128231,195635,495871,880130,1889549
38975,54453,98781,83803,116019,203735,502008,842539,1847219
39474,55217,101628,101695,112882,185022,466198,869980,1466669
39565,50905,118583,80394,112488,197611,462391,820407,1862847
39654,48323,102887,78546,138531,194088,497516,832685,1904133
39553,49383,100015,77889,139137,189879,507197,846394,1430071
40019,46381,99010,81102,120665,196321,479716,779430,2150288
38518,47230,98656,78784,117651,195389,475628,801503,2028123
39134,46080,101424,78128,114634,184442,497149,824522,1494884
38971,47222,98658,76994,114609,189249,495079,825615,2061667
37965,46583,99343,77677,116147,229254,441307,852423,1874504
38739,47491,98838,84930,113110,200877,460149,807080,1557575
40125,47471,98900,78418,138030,201386,490940,844792,1911159
38999,49517,99874,78181,115840,195513,485008,854045,1872816
38819,48434,111236,82163,128173,191671,473043,816505,1462448
40537,48733,100606,85153,117424,195505,498581,849043,1979642
39159,48169,98939,80772,116069,248595,506484,845329,2145766
40097,48157,100146,85521,118640,190857,492073,901600,1453071
39805,47208,108113,77617,114787,192677,519570,838040,1999962
40168,47605,99802,77606,115343,195600,500625,804844,2004145
39018,47501,99772,77636,114445,190968,472552,767241,1549083
38935,47727,102364,77878,143791,191307,459803,834761,2091571
40352,47095,99011,78300,138702,190633,490402,48606804,1882641
39049,47748,99393,81641,116844,188666,458288,904643,1631519
38576,46507,99401,78435,112919,192717,403955,692450,1920632
40850,46383,99312,77131,112646,198416,441617,618149,2015574
39303,47405,98747,77161,113110,185759,428607,643734,1458451
37818,48007,102163,78737,114590,191115,496537,691250,1832147
39182,47208,98358,79182,110736,194403,494554,705760,1917307
40528,47296,98691,76234,119296,217762,448562,673971,2143749
40567,46361,98284,77986,122787,229912,488257,645355,4320166
39228,47108,97444,90459,125311,207488,486056,663680,4382467
39169,46379,97229,87947,117625,190578,479845,627615,3064395
38719,46477,100786,79679,114574,195149,494617,738459,3391305
39371,46648,100941,78237,115680,202622,495278,716788,2304185
38722,48273,99834,78643,111032,189829,513506,630888,3980606
39896,48168,100517,77394,111767,195679,488148,634339,4376107
39663,46889,99060,77590,145420,190761,488986,637081,2012685
38870,45576,99443,78289,148408,184342,483198,665292,1484695
38103,47394,109299,77378,131496,276371,477950,702642,1866502
39095,47325,100286,75948,117437,191866,487223,633655,1829383
39883,50064,99265,77695,114743,184424,480844,686691,1435010
38252,48764,100104,76879,116393,191133,516442,689947,1960922
38516,48844,98966,79148,113357,194512,497045,639523,5772711
38559,47026,102015,77431,114268,187956,472180,761969,3917005
39066,46057,100245,77296,113909,239337,482843,929545,3687406
38432,47906,103468,77384,121811,207504,507412,657249,3324293
38763,46446,99983,76624,130300,192588,497431,635615,3390509
38965,45541,100459,79266,119275,197567,492302,650861,1880126
39340,46167,109436,89176,115832,194637,512243,704222,11679091
38459,45688,101431,79055,117091,184059,485289,672657,1876890
39795,46329,100455,78301,117682,187755,468617,643951,2612456
38029,49995,101830,83825,126762,193756,502930,634460,3080648
38711,47614,99012,76738,118246,244764,485251,644170,2086645
39734,47291,98605,76072,116850,209509,487536,634557,2408474
39537,48014,99164,74416,117720,209142,479956,721616,1898895
38616,48585,99740,76547,137049,195998,517601,678645,4204905
38420,47278,100021,73035,117112,198644,487734,713204,5236559
39279,47957,100623,74883,118558,201910,470047,696809,3163674
38870,47264,99658,75800,113108,190599,487785,713132,1682033
38873,47777,99115,75906,110230,193845,510128,755256,1965865
38162,46488,98376,76537,113007,197840,495082,696106,1930498
38441,45979,98928,78636,113454,182442,460975,666988,1443148
38720,46892,98512,76371,113174,188476,441380,739700,2956178
38854,55268,111839,76103,114361,192914,532782,665294,4655990
37855,48474,100086,75588,131249,188613,471469,680727,2696883
46591,47576,100358,90495,124307,189371,489051,702224,1851214
39039,47202,99845,87472,118880,196401,480195,687682,2231349
39870,55074,99794,85958,114427,187078,490224,846422,1502312
39864,48262,99030,80140,113461,192503,494141,714378,2034454
39690,47251,102244,76628,113469,192633,444264,708110,2028648
39304,46452,101590,75558,112161,187450,485416,703277,1572490
38237,48590,99302,77442,112258,194572,514913,695485,2086160
38736,46084,99441,75300,119202,194792,475907,684900,2208986
39207,47649,97972,76109,116312,195354,466275,663590,1495551
39134,47042,98236,76561,119198,218760,511109,746432,1844691
38372,48298,97609,77883,111440,226500,706403,685811,1952038
38579,47170,101835,77352,111709,206124,465270,663817,1606856
38113,46722,99775,77522,117632,197565,506003,647531,2086215
39465,47511,98933,76598,125558,286050,506263,687030,1985287
36907,47156,108555,95873,117661,190515,511145,722130,1540520
38617,46885,101976,109729,113020,195859,495477,676305,2009347
37312,47333,99414,85682,145809,231034,480165,689793,1793361
39506,46040,101353,93301,133414,193840,513370,666160,1360884
39596,46758,99264,79122,119465,193704,498694,697741,1927086
39481,46893,97885,75900,115971,199791,444881,642882,1897315
39411,46511,99778,74964,114607,192271,444038,811667,1428005
39175,46496,103552,75700,111682,189149,477227,670653,1933023
38384,47418,101223,77131,114654,194810,468660,661846,2185553
39487,45194,117286,76445,116368,188147,467149,653020,1545439
39952,44579,100713,75144,130061,191633,608785,665642,1960531
39017,47815,98937,76928,126448,190726,483023,902983,2033333
38233,45471,97222,77242,199396,184485,469983,666911,2767937
39556,46146,99156,76635,116646,195190,483405,719358,2187831
38775,45939,97842,91644,115342,196870,496829,781495,2819731
39103,46139,98580,82788,113515,187510,453910,700545,1538843
38218,46991,101845,80130,120873,195551,454148,684037,2071955
38733,46748,98728,81170,118550,195636,481576,680377,1879465
37678,47790,99947,78585,114391,183823,488252,694036,1612514
38196,46182,100494,124106,122546,205960,454984,697936,1909245
39218,48358,98527,87582,113973,206094,458120,701246,2012530
40064,52165,98912,80188,116949,193573,465407,711666,1516810
39662,48969,102577,79222,116376,189831,475163,680691,2016106
39509,47924,99138,77467,118261,203867,445800,664819,2120106
39056,48623,98310,78432,113327,191909,438876,715898,1385137
38715,46894,98542,78994,115971,193837,434332,669491,1779225
38447,46957,99008,79631,123073,205529,499213,727268,1808430
38785,47229,98179,76611,159249,187179,447958,659968,1515059
41482,48464,101620,80836,141038,191327,434600,701081,2017194
39275,46213,100253,78014,120686,189699,501641,637629,1979979
40418,46673,99213,79558,118277,186774,482184,655435,1418738
38703,45578,98246,76248,114623,194300,468906,683012,2080066
37623,46790,97540,79376,114188,198575,514034,705842,2005280
38669,47095,98593,76948,113380,186301,476154,647698,1465465
39259,48188,115292,84742,112437,190871,504273,944761,2163833
39211,47375,101692,78475,153992,197181,485616,675889,1963917
38076,48178,99450,78887,144078,190524,526804,694545,1533453
39255,47500,99661,80766,125643,195729,497678,705526,2014514
39775,46028,97341,78284,118604,192625,481050,672919,1798087
40660,46813,97943,81740,119794,190528,503297,658566,1600911
39551,47460,100347,78160,119710,215593,487120,657134,1903956
38791,47464,100020,75915,117632,199044,488159,717875,2050269
39626,46897,99156,77097,111405,186451,479117,673766,1605839
38763,46741,99422,78941,114737,201236,517017,673630,1871779
38624,48546,98054,77531,162792,197538,515167,662707,1976212
39122,48258,99084,77459,130858,190190,505612,641407,1415065
39486,46142,100731,76288,116960,198878,481834,679971,1910447
40235,46946,101024,77655,115191,195278,459836,662580,1899272
44238,47097,99192,77631,109616,189445,445563,658644,1598937
40018,46000,97663,77696,110959,190175,465395,643892,1872724
40581,47433,99055,77356,117310,196075,471134,631749,1774652
39931,45076,99555,84399,111507,184246,493177,740115,1587639
39060,47131,99759,80269,121744,203876,478645,670863,2072561
41986,47137,101355,77909,146429,194785,483434,669274,2089117
39500,47233,99383,81806,125687,192627,470130,616264,1525073
40927,46116,98715,77639,122424,195450,467042,613604,2040320
40756,46298,100559,76307,117517,199506,471818,586369,1896867
40032,46596,102614,76307,114547,192362,441910,983740,1631088
39439,48535,100586,77229,117437,193265,495891,683798,1998812
40567,47392,99572,78619,117794,207476,493294,634614,2003172
39289,45500,101361,76513,140290,187640,500837,615567,1534147
38844,47810,99163,76260,123888,194764,472353,634450,2030878
39164,47063,100559,98375,114461,191674,517399,610473,2031757
39332,46494,206066,76077,114648,182929,491625,635169,1546073
40122,47069,108443,78364,111793,200286,464356,710022,2061253
41042,46842,101315,78186,115415,199823,449551,648922,2064978
39911,46279,103050,76012,117226,215088,486536,612595,1523559
38868,44487,101906,82312,111198,199050,450593,632190,1922271
39206,45815,100302,137086,122285,197269,478836,631184,2042873
51806,46578,99037,103693,112538,187187,477508,730980,1525193
42899,47668,101549,94045,113230,198128,473984,668237,1947265
40828,51519,99155,83971,113273,198833,458337,641279,1939737
39957,48847,102049,78281,111417,185775,447133,620217,1387971
39446,49562,106164,76772,114050,192185,469822,618222,2181867
38603,48464,98453,78225,113177,198297,460552,644151,2054836
38311,47165,99438,78042,112763,194127,480037,730882,1559966
39097,46509,98378,77399,111413,189460,490676,661321,2036729
40166,47379,98869,82826,133051,191900,500614,633860,1809331
40104,45916,102572,80773,128284,184870,483589,601512,1321046
39237,46871,99084,77310,116868,196831,468040,647473,1983157
39688,46911,98507,79722,124908,198593,500268,859066,2011157
38964,47362,98348,77948,115204,199680,494171,755179,2486518
38552,47085,99254,76448,112218,191429,476584,628059,6745666
39152,46247,98005,75944,111786,200663,473493,624227,6125076
39871,46653,98985,75651,110428,188274,470742,606500,2732898
38828,46214,100079,75769,111378,231026,461583,672371,2318368
39536,46482,99619,79483,163229,207710,455333,625836,1874937
40869,46474,99421,92500,139380,193934,584208,595177,1427270
41420,46063,99035,80550,120938,201312,518338,611970,1964400
40217,46288,99628,78178,118803,204693,520124,588073,2116099
39298,63466,98954,79204,113734,194636,520798,614094,1590119
39352,56804,100914,81799,118733,205616,485763,657999,1985384
41052,50565,97979,78007,113096,201420,501882,641734,2169842
38908,47707,97881,74386,113578,187114,502397,608355,1495769
40268,46306,107302,77303,146521,197034,467260,588933,1939174
40839,59611,101601,76960,124345,192461,461061,596661,1977892
39979,50635,99706,76892,115358,188048,448513,632546,1519249
40584,49432,102413,79213,113553,195719,493763,656129,1802092
39879,46895,99183,77063,111487,198992,446887,604666,1910271
39166,45775,98985,75312,113064,189639,499510,606530,1452211
40859,50138,98242,75862,111715,190126,428443,584235,1927183
38662,47262,98357,96575,113619,192954,508354,698210,1991877
38879,45978,99149,86873,111175,192278,489355,637212,1735613
39822,46814,101314,78949,139226,200549,491664,898834,2011987
