b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288,b1048576
7313,7128,7072,9254,4988,5222,5934,8442,15601,24713,41801,79910,181993,400349,790853,1687218,2921931
7029,6761,6719,9381,5259,4909,5967,8270,14816,24876,42533,78842,182027,389970,860290,1702133,3452301
7213,6839,7024,9224,5145,4844,6027,8165,16600,24499,41940,81728,189784,395908,812215,1719804,4311093
7091,7268,6988,8738,5115,4788,5990,8341,14827,25597,42242,82093,185871,404280,808887,1673516,3361148
7342,6821,6912,8764,5179,5240,5888,8104,16854,24908,41840,80489,173651,401673,771352,1713519,3654928
6576,6880,7053,8524,4961,4668,5891,8084,14929,25814,41556,80568,192698,388464,808046,1672206,3443617
6807,6663,6950,40419,5096,4877,5898,13841,14716,24947,42888,85397,201251,415289,807290,1688210,3641238
6757,6714,6773,8287,4859,4757,6006,8504,15924,24514,41443,80706,179388,391728,775483,1591985,3374985
6853,6854,8648,12556,7429,7945,6109,11649,14998,26354,41381,78961,177302,403236,761740,1703109,3204979
7124,6869,7188,17555,5125,5408,6120,8973,15207,25481,41804,81088,181230,404762,752492,1716401,3452149
6985,7192,6832,8441,4819,5564,6018,8956,15339,25446,42629,81532,186307,398182,791571,1680087,3500583
7065,6516,7205,7762,5063,5408,6991,8745,18866,25073,42987,80417,187762,399972,826554,1707896,3645594
6745,7023,6933,7928,4844,4859,6598,8126,15240,25491,41925,82958,189808,415370,802053,1646177,3451267
6995,6538,7053,8282,4952,4855,6689,8511,16001,24659,41511,80125,179801,415734,784581,1717550,3199990
6815,6443,6943,7806,4962,5403,5996,8764,15729,25618,42645,79015,194517,403568,776274,1665117,3499638
6937,6754,6813,14080,4766,4771,5906,12984,14990,25580,41051,80975,181584,404778,777544,1694345,3640138
7067,6733,5336,7333,4701,4886,5949,8453,15399,25124,41600,82252,183189,389433,807407,1720410,3318165
6949,6598,5375,7471,4851,4747,5902,8361,15792,24661,41735,81878,172426,391532,815518,1680915,3015415
6913,6510,5237,7444,4839,4747,5897,10850,15869,25938,41769,79555,195368,400868,753446,1715637,3521341
6660,6586,7517,7467,4755,4806,6199,8751,15698,25039,41158,82236,179850,397078,811432,1693867,3328556
6648,6865,6682,7050,4775,4786,5937,8380,15047,25663,42395,81235,181801,399827,801334,1719369,3599780
6616,6286,6665,7467,4898,4796,5930,8661,16381,24812,41651,195851,179513,410204,792214,2437800,3544973
6466,6485,6404,7134,4718,5350,6108,9310,16996,24900,41718,79751,195742,411146,826368,1650961,3199385
6298,6569,6339,7095,5912,5442,9001,9050,15689,25015,41322,80153,184826,391432,793038,1689764,3589628
6427,18323,6335,6770,5220,5224,6045,8386,15302,25567,43165,80157,175713,395534,801901,1518270,3557249
6197,6305,6415,6961,4958,5540,5877,8939,15468,24758,42431,83201,172900,386304,780626,1712593,3557663
6577,6273,6653,6726,5499,5289,5984,8323,14785,25420,42712,80979,185514,405788,790789,1721858,3579634
6832,6283,6213,6998,4770,4696,5902,11020,16272,25195,41537,80474,187379,404250,767889,1584691,3038375
6691,6279,6044,6433,4788,4655,5999,9263,15713,25703,41622,79139,179506,407619,837833,1698393,3516178
6548,6363,6155,6409,4792,4727,6194,14891,15772,25737,42263,78755,182301,411214,804081,1700558,3215741
6655,6542,4753,6531,4732,4708,6100,8408,15736,25376,41891,79657,185075,395699,746760,2081521,3487444
6665,6360,4674,6695,4807,19482,6502,11486,15604,25653,41677,79811,183345,397254,765881,1689196,3315341
7539,6808,5400,6905,4801,5044,6139,8752,15643,25885,41017,79492,190518,391703,820589,1688619,3508278
6782,6599,4914,6924,11627,5011,6360,8861,16394,25268,42263,78551,183059,400314,822799,1692398,3215580
6634,6034,5068,6508,4800,5380,6187,8428,16748,25124,41825,80474,184263,413161,787093,1685923,3285872
6677,6221,5192,6345,5211,4776,6236,8524,16204,25441,42057,83255,179930,423527,795262,1678611,3310970
6291,6188,4947,6571,5253,4853,5913,8909,16847,25060,41795,80548,191125,407634,810179,1957050,3317371
6845,6018,4965,6442,4757,5372,5935,9156,16007,25751,42213,80266,188730,418521,780982,1670072,3456723
6244,6364,4970,6702,5302,4830,5903,8683,15919,31566,41207,79403,179286,417626,832848,1646046,3475509
6413,6142,4879,6557,10953,5349,5871,10911,15650,26331,41372,79326,174422,400004,843238,1588314,3230220
6424,6034,5037,6578,6249,4709,5993,8752,16630,32105,41512,80062,183312,399814,789861,1696592,3559713
6512,6063,4938,6109,5347,4774,6443,8347,15747,24986,41212,80440,185323,393803,822608,1671707,3596988
6208,6083,5418,6048,4818,4712,5954,8227,15420,24955,41418,79622,190074,401962,784504,1705707,3555346
6226,6304,5043,6185,5203,5416,6054,10854,15465,25096,41488,80159,189241,410241,812438,1594689,3574803
5919,6172,5059,6041,5265,4897,6100,9700,15650,25292,41723,78298,186270,408609,760337,1713694,3578304
6156,6019,5058,6132,4856,4882,5903,8808,15961,25096,42505,79651,175759,398822,834066,1701907,3227508
6154,6374,4872,6118,6184,5314,5931,8941,17114,24983,41338,80908,181468,391584,812872,1705044,3583824
5937,5962,4818,5912,5556,4670,5833,8614,16206,24869,41413,81638,180179,390685,771899,1641797,3156100
5996,5805,4860,6037,7422,4726,6181,8585,15929,24858,41663,81088,183453,418485,797976,1716807,3343056
6250,5901,4783,5719,5218,4957,5933,8630,16194,25409,44306,79744,180493,395982,759592,1542994,3567842
6439,5955,4784,5767,5377,4882,5977,8893,14924,25408,42133,79676,191870,417227,848464,1678912,3498082
6456,5657,4800,5942,5298,4692,5926,9285,15949,25865,42572,83138,175205,386512,837255,1648156,3536716
6287,5806,4791,5792,5335,4683,6025,8890,16786,25651,42615,81152,188633,414280,802995,1668428,3516352
6209,5790,4926,5580,5453,4884,5969,8589,16743,24261,42229,79419,185810,391270,786554,1651196,3435495
5686,5844,4736,5741,5345,5286,6554,13022,15987,25344,41989,81704,181387,391428,845537,1610488,3228664
5930,5874,4780,6585,4980,5457,6005,9004,15646,24719,41098,80540,181848,427407,803438,1558964,3659734
6713,6349,4809,5814,4997,4803,6188,8771,15587,25102,42568,79741,183779,417325,775568,1734399,3452377
6185,6336,4852,5720,4674,4811,6265,10068,16832,25165,42482,79709,177831,402545,767327,1647943,3557555
5906,6106,4954,5697,4393,5555,6227,9208,17220,25155,42454,81553,176244,405613,770288,1728594,3575527
5867,5861,4831,5886,4384,5312,6015,8874,15091,24412,41927,80842,186497,431319,783337,1698888,3538714
6081,5921,4789,5580,4627,5523,6420,8713,14987,24617,41503,79959,186977,397030,839595,1683071,3388594
6359,5682,4829,5736,4390,5571,6021,8862,15265,25504,41394,81908,190611,380455,807673,1710315,3218111
5998,5661,4756,5759,4603,4868,6075,8462,15567,24916,41938,80516,180077,406286,799121,1705311,2950814
6092,5549,4922,5447,4489,4630,10153,10581,15671,26272,42026,80083,187447,388595,802788,1734073,3529678
5888,5632,4901,5505,4387,5334,7859,10911,15477,24863,41880,79582,180826,417036,806659,1608268,3154081
5806,5668,4673,5354,4492,4695,6748,8923,15484,24878,41433,84252,179670,400349,814959,1576345,3507016
5999,5664,4580,5427,4345,5485,6709,8648,15403,24307,41684,81760,181188,381245,759315,1627343,3512129
6125,5701,4910,5340,4314,4731,6664,8617,15182,25049,41053,78564,179448,408611,787389,1674980,3550334
5931,5813,4574,5346,4348,5444,6609,8681,16380,24677,41586,80186,186584,403465,806481,1648749,3182513
6070,5708,4874,5411,4358,4770,6918,8739,15122,25833,41989,80385,180528,412986,829414,1701250,3564992
5954,5757,4796,5508,4347,4741,6543,8947,15234,25758,41103,79595,185972,401797,818769,1628236,3581724
5986,5640,4617,5268,4356,4875,6752,8715,15305,24917,41481,79422,176084,397025,894884,1695083,3420868
5657,5562,4516,5100,4259,4797,6685,8614,15766,25360,42236,79717,178559,467518,788222,1704722,3654858
5802,5883,4686,5081,4390,4779,6740,10535,15724,24748,41787,79783,183620,391092,806079,1694255,3450488
5855,5502,4619,5257,4384,4907,6873,8678,21740,25179,43034,81188,176770,430894,797067,1636208,3171356
5963,5378,4416,5385,4346,5859,6814,8502,15394,25477,42937,79882,192590,412143,791489,1576716,3076502
5844,5388,4532,5147,5711,5446,8542,9101,15769,25440,41409,81118,177745,386320,829182,1693251,3585205
5670,5501,4698,5200,5815,4811,7378,12399,15458,25423,42027,80367,187458,405835,796206,1799408,3501863
5606,5515,4530,5187,6609,5470,6609,8566,15133,25430,41044,80121,196591,398228,788202,1636029,3481949
5619,5481,4896,5206,5982,4900,6647,8629,14904,25960,41524,79010,184143,419726,775889,1756919,3197689
6191,5543,4593,5304,6417,5373,8199,10531,15938,26599,41867,78901,182535,431051,730726,1683163,3599798
5926,5679,4563,5105,6115,4838,7516,9439,14543,24466,41941,79599,182677,384951,755968,1709937,3207571
5911,5584,4488,5397,6304,5341,7428,8771,14840,25385,41262,86194,185974,390816,781744,1708507,3468356
5822,5689,4628,5162,5815,5259,7459,8781,15636,24890,41743,79355,185417,402392,830011,1617059,3524183
5812,7388,4784,4894,5761,5344,7279,8369,16291,25662,41719,80126,182691,409987,787101,1569248,3224238
6024,5842,4619,14976,5771,4822,6281,8588,15793,25647,41785,80468,189722,415949,766531,1651679,3568131
5690,6164,4358,4914,5944,5386,6285,8414,15682,24626,42618,79289,172347,379889,720756,1723045,3633492
5710,6154,4446,4929,5690,4790,6138,8440,14992,25347,41307,79746,174393,425245,786246,1670251,3695426
5702,6099,5565,4998,6055,4793,6095,8554,15299,25639,41852,79102,177953,395852,786638,1636566,3545460
5542,5975,4839,4900,5739,4611,5945,8539,16110,25358,42601,81990,171800,419596,790351,1654510,3557407
5525,6876,4574,4945,14404,4722,7702,9113,15019,25283,41895,80642,178135,411763,800638,1595559,3507034
5330,6176,4531,5075,5971,5396,6167,8846,15427,25043,41333,81067,189041,417174,794319,1652794,3516285
5234,5819,4589,4814,6463,4753,6181,8473,15373,25116,42650,81331,184687,404471,785648,1755009,3531558
