x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096,x86 inductor b8192,x86 inductor b16384,x86 inductor b32768,x86 inductor b65536,x86 inductor b131072,x86 inductor b262144,x86 inductor b524288,x86 inductor b1048576
231420,330534,277229,341876,247700,294897,335751,624140,857040,1371190,2076195,3973264,7887391,12872848,27715098,52773858,99525222
225278,331566,266748,332872,254442,256849,322232,512644,755394,1286510,2117419,4189379,8007318,12993473,29563896,52513572,100299449
219647,318093,267900,363766,253456,261329,318056,545948,758641,1107840,2131181,4063379,7944848,12941474,27823284,53341229,99465273
211705,317089,267773,338020,253436,270166,336677,559993,687780,1717804,2041697,3987670,7981843,13010576,29650851,53169135,100264667
220970,317134,266359,339766,239187,299770,345582,534379,672247,1199265,2215288,4062700,7986717,12829752,27968852,52310798,99631282
211479,323180,276851,312346,249146,252227,350672,527728,1119061,1326031,2064675,3957356,7865736,12898146,29651753,52247078,100968753
215540,304266,276124,325143,242911,262262,324123,521571,699861,1332328,2052796,4232368,7977592,12953590,27870528,53079012,98544325
212687,306026,281864,317890,250584,276324,437859,552032,827691,1205344,2077005,3871859,8000740,12925736,30144452,52235372,99872503
212368,305167,265850,325542,253504,291734,337570,569398,704050,1157499,2021239,4151295,8011710,12866179,28138985,53295999,99036127
209494,306456,266067,320044,238432,263973,419068,514721,672157,1214406,2127807,4051179,7935258,12839872,29507976,53760284,100014557
212910,304299,263524,327987,233243,284594,321899,509896,1084147,2058156,1985220,4195837,7976683,12882754,27960915,52608704,98854399
209955,306180,265007,325467,238524,261529,349973,510318,707787,2127096,2104148,3922977,8075943,12837657,29903241,53270178,100872082
211289,305867,278692,315470,234074,291125,344710,526482,667322,1171349,1999319,4046818,8023955,12912993,27918945,57212183,97835497
208636,304033,282869,324895,235259,260572,309077,527500,729680,1344851,2095807,3914855,8009577,12955949,29394736,51742535,105521690
210565,305297,293566,320012,244699,295989,433705,545653,805486,1221146,2028669,3801405,8005254,12839871,28146020,55625942,101125269
210999,303762,292897,333315,249879,272245,327348,469299,1231974,7342283,2168376,4205357,7930113,12967807,29937129,51759683,103926530
211217,331265,290575,320382,251028,291210,323850,492909,814631,2549860,1977271,4040981,7928084,12905081,27905490,53337896,100920889
211782,295943,293217,330781,258720,281750,335613,517792,759867,1254361,2173578,4223225,7981484,12943161,29599109,53183236,102576852
211465,294049,288860,315070,257287,258743,335581,516034,1505469,2041540,2159615,3831724,7942021,12848467,27819925,54164658,100970655
218561,304590,279141,321583,245841,279146,340855,478222,749001,1202088,2144389,4153460,8006018,12851146,29805731,57726188,101085379
211574,306326,280607,310479,240764,299538,340733,500911,1030431,1963832,2072672,4062370,8039378,12898803,27692412,53413175,103261777
220434,304699,288501,311469,242301,262977,452285,486833,675893,1172911,2153643,4003893,11993300,12918406,29203837,51336831,100926562
203204,304579,283609,315026,254747,252473,308713,786106,924954,1162446,2080015,4029127,8068025,12851239,28023928,51094254,101000086
211387,306298,291250,307699,246890,259519,438184,602310,4591806,1326109,2149114,3772458,7772724,12884698,29949009,52305912,100962534
200728,301635,288940,321123,252743,294715,382767,538920,717638,1299876,2194619,3826037,7903999,12819450,27902247,51917220,102369614
211325,304715,271412,309579,258607,261429,346923,541426,828116,1134088,2227453,4161746,7955613,13394506,29494531,51832330,98948423
203597,293042,275181,300930,263077,277029,426074,535725,692727,3903238,2092619,4082675,7778661,12809427,28412736,54719100,100462046
213238,296123,273662,303883,277520,258128,430236,489175,708265,1346916,2083156,4095330,7912324,12906903,29314874,51264515,97160484
204128,284260,275830,293542,264589,289032,384692,496409,659937,1101406,2119972,4096522,7926072,12943967,28679493,52017346,96774567
215124,287484,279595,294877,253784,278591,445840,507481,874667,1354089,2168674,4097645,7583141,12896983,30273361,50872990,99251353
203172,290712,287235,301300,235435,279791,394266,508734,745959,1199311,2111297,3928507,7836413,12918458,29294290,54078293,96806412
213960,285959,283731,294207,243255,272527,375547,499261,714964,1125752,2015230,3778920,7867994,13070651,30243871,55899055,97914531
203568,284892,271213,291953,250411,276276,409441,511798,654660,1324336,2144175,4002832,7810892,12887571,28842452,51394306,96671455
214894,285838,273154,308476,241060,275434,428139,488780,654165,1188598,2157404,4025859,7619179,12929628,30480957,53047153,94829027
204312,285757,276067,296399,249081,284638,405949,510401,641172,1128770,2075779,4255163,7936479,13431349,28825547,50619929,97977690
213565,287240,271701,285888,252521,264512,331689,492175,603507,1084336,2134449,3865784,7589266,12969248,30366462,52998006,100007400
202931,307768,277606,292301,271683,263781,380122,514689,600532,1327363,2072416,4168455,7844668,12904589,28643576,53362347,96035635
212638,305964,289530,285821,246578,277074,447458,513764,568126,2102812,2143017,4054984,7814281,12919496,30208177,50911726,96339556
204260,306682,270980,283919,279867,252744,407807,535027,800491,1146310,2175636,3964953,7591362,12836682,29930874,51530797,105944311
212611,308643,265621,291470,249440,263924,340157,497490,1094635,1342048,2087516,4030961,7601663,12920922,29918946,54932911,100368676
203203,276718,268573,288527,251908,288887,393050,528237,640674,1207263,1995269,4037738,7918213,12948613,28719643,52056213,102963771
211959,290395,265533,284920,244506,262129,345234,522984,648133,1170254,1937051,12048585,7910945,12854882,29876564,51213630,99798352
203204,300101,280344,285578,234587,269952,450966,543665,597375,1038389,2045073,3961614,7640465,12877313,29076558,50517714,100915465
215348,293615,278875,308419,258196,288395,438033,503523,611477,1269150,2022515,6364089,7634898,12968895,29953780,52165515,101504248
195425,291773,267948,278343,256125,263428,458661,516121,579410,2146570,2008669,4097341,7926398,12936534,28720716,51643753,97019268
207453,291657,266667,278711,261619,269202,439181,666723,844431,1175100,1895702,4060226,7848076,12956218,30293574,53820355,102326697
194781,301724,270697,286606,259805,276395,445704,620808,707535,1333676,2023017,3927391,7897704,12910850,28596270,55743033,102756517
204598,299207,271644,278392,261361,282405,379275,512473,676424,1200651,2016301,3815182,7850226,12909813,29800675,52014840,99729107
196015,295688,280054,279227,260853,253917,403766,525382,665532,1173304,1902533,3999472,7552350,12893743,28537601,52117643,100438388
203624,290072,280981,279480,275991,275174,384498,511735,624385,2243969,1914048,5002543,7812612,12946110,31004873,52080230,99629783
196781,503986,276159,287504,247466,280516,408037,533775,642636,1178134,2008727,3995301,8024339,12900313,29497322,51267079,99711427
204532,418414,264777,278288,273727,297620,354484,497936,612543,1142311,2009448,4101470,7580244,12928922,34206663,51694863,102582656
194452,411218,293087,283318,245364,283371,438763,537370,852720,2226676,1987124,3918700,7968802,12883084,28732188,53459578,98274250
202862,401020,281025,272649,247059,251922,456493,502486,739632,1138615,1990456,4103219,7884743,12827816,28925986,51567519,99074152
195035,399343,237531,282588,245229,287373,414594,520055,666756,1090053,2100759,4013399,7736460,13005726,27626352,52561595,110270784
202610,397452,229007,274340,257343,303211,415032,519370,657471,2222354,1891993,4080191,7769783,12877284,29485364,52787300,100355987
195140,402711,277107,274485,249878,300176,450914,550984,634921,1409477,2046384,4225607,7595157,12830108,27136250,51232450,100559378
194231,392207,280406,272825,230013,278882,466511,488133,605824,1186289,2015790,4044987,7860415,12942805,28873166,51374755,101375237
194960,393604,283152,282519,276506,267633,461763,521062,614505,2267289,2003128,4044910,7761922,12841266,28403905,53075063,99887820
196090,400030,291348,285707,253141,290223,407142,514606,606006,1171256,2167809,3906283,7889493,12924154,28855679,51357684,92311693
196872,392911,288571,272061,269015,273501,407055,512974,872136,1166853,2131468,4286195,7949301,12850519,32821381,53870415,101444246
195883,377081,290834,288650,270460,264645,370451,544567,715756,1195257,2126652,4072903,7547763,12829322,29734069,51317333,97547153
197982,379367,284800,278178,259827,258800,419082,505851,658360,1316849,2189477,3986022,7890221,12978547,29272325,52307408,98347031
194449,377743,280793,288576,259992,291843,359210,491900,613127,1923278,2187644,4175428,7894559,12860876,36650443,51859566,102939046
194657,371328,278939,282397,258812,271941,377883,512057,612621,1239057,2108814,4057226,7668029,12907626,27982493,52131456,100633046
194414,371970,228349,280297,261994,256075,463136,490425,684499,1386757,2153986,4005332,7897550,12879617,29565537,62738680,97600310
196878,378424,223787,280139,248222,262313,439479,506445,617549,1222991,2137376,4159225,7676834,12942087,28210954,52934561,98440326
189885,371684,211894,288686,259313,269325,580657,511221,605345,1265079,2087617,3923047,7509172,12923676,29898637,52872092,98415441
189920,369054,213175,288244,267434,269463,340300,691763,833015,1177363,2142815,4217123,7879873,12884736,27040318,52732485,95728796
188210,377161,224117,278871,254417,277330,313246,556699,748712,1194692,2142967,4086760,7830379,12951135,30240322,52108955,97706378
190618,382938,220448,293265,271059,259785,309609,515032,655953,2083152,2181675,3802928,7909215,12906655,27313788,52203170,96143739
188171,379618,212309,279804,273040,281901,299573,511799,667150,1190919,2164928,4186694,7889053,12948297,29475930,59858705,97379667
199517,367220,218945,286464,257003,269869,294961,508717,686290,1480197,2136744,4040831,7629575,12967310,26881022,51867210,97099811
188661,368421,210560,280252,246538,272853,316807,523991,637898,1239603,2166279,4188745,7837074,12932542,28481718,52737382,97406467
197343,369284,216162,278763,246291,276976,327169,529096,593581,1112614,2124415,4015554,7670285,12882876,28140870,54361640,96619768
189607,371988,210339,278543,259236,264498,310751,536848,844899,1276325,1940716,4090049,7910769,12845190,28447748,53045614,97772375
197627,377591,227866,289436,230623,266896,298947,531631,1106804,1171444,2123998,4068648,7849895,12842022,26961121,54024333,96246853
188934,342869,211499,292738,244735,260415,318018,509261,734741,1055255,2190469,3888460,7817425,12920565,28556057,52827220,97533008
189076,306069,216740,280574,257170,270163,296244,531795,661205,1328153,1970655,4039606,7836867,12944046,31020315,52396404,96971830
190318,324517,211982,279773,251504,254727,306000,500609,629499,1169489,2071097,4054849,7894777,12872809,28324472,52428086,97577095
187637,356348,236621,279865,267148,261877,292054,522790,638196,1240495,2067067,4042362,7645092,12912033,27286349,52210908,96554677
189242,356364,206697,286630,252866,271567,294159,511238,640166,1262268,1981143,4178605,7990572,12872240,34628807,52351704,97800339
187949,357945,218737,280742,258661,271323,287960,529009,825066,1151715,2142725,4080341,8065676,12953384,26439570,52652051,96428138
190550,357682,210261,281288,247567,290510,295950,504981,773591,1089713,2004157,4096793,7507919,12886929,26832317,52647621,97173534
189107,304002,222721,278971,252085,271165,287968,510078,612831,1365207,2043135,4209532,7872746,12926431,33150584,52270978,96783045
189698,294097,203751,287592,238591,260317,288589,531534,680432,1155352,2057368,3996318,7901003,13457813,26898828,52501350,96785197
190214,359925,211505,280020,240444,250272,293872,491316,602967,1154849,2127635,4064302,7841413,12846059,26329475,52894300,96106033
198227,358654,215057,283882,246436,300389,292258,544407,655662,1195126,2007304,4032804,7907563,13018763,26653736,53486925,97149921
190599,320819,204902,297739,249849,281689,297844,600005,628114,1314917,2153854,4219950,7660104,12850398,31097004,50634185,96241836
199394,374680,204436,308603,262652,255773,295008,530316,674438,2027664,2154171,4061834,7787499,12900589,26928121,52438235,96831813
194645,289938,207284,298898,252665,258030,315444,558057,637610,1194163,2129397,3905227,7915297,12999326,26658868,53664180,97500691
187495,279060,206393,281406,264003,290886,320577,683187,836706,1296260,2126856,3972824,7950948,12935953,27928761,52048092,96214240
183372,279837,205778,277269,260975,264616,319229,590984,747721,1334395,2070131,5125508,7853320,12974699,28456919,52724948,96107268
182402,277709,207114,278289,255682,271682,330635,491607,628955,1155765,2147664,3581252,7641649,12945688,27012365,52962703,96181540
184398,288799,216741,290070,257082,281439,348385,506089,653465,1132184,2049419,3657941,7860940,12863178,26760204,52403022,104133165
182208,278574,205174,290980,239863,293437,367096,520132,630661,1293112,2091578,3366964,7885514,13035358,26915141,53359336,94740436
181946,281925,205671,278822,253832,270690,347788,517590,590171,1797483,2120334,3316322,7825382,12984638,27261715,55941015,94505527
181634,279427,207162,280262,245728,272745,343611,507734,667296,1168845,2073507,3457257,8046182,12852004,26839599,51815487,95451422
190681,291112,204568,285514,256189,287965,431885,545038,855100,1338015,2124942,3337914,7954575,12842538,26742856,50962522,95411604
184700,280538,207273,282605,255219,286420,343484,528753,755696,1250259,2145050,3325488,7893765,12975325,27782394,51466542,96484007
189469,281264,205352,285233,245775,258431,335438,982115,724523,1194219,2005763,3325349,7854390,12870216,26831649,54499297,96368575
181569,281892,212661,277924,267029,298844,364906,534978,1021936,1979695,2090235,3342608,7934849,12894444,26889335,50506120,96697943
180759,297409,205951,287057,246841,254737,352094,530482,638554,1200706,2084516,3629929,7832168,12905983,26878211,51606384,96075164
183086,276516,208214,289005,265270,275796,418659,531827,718782,1207287,2048200,3690921,7911147,12951742,27432237,51608873,97316871
182342,265790,205373,279061,268190,274129,353130,548199,976285,1341065,2173344,3694772,8112146,12957811,26729256,50524053,102227066
