b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288,b1048576
22356,21214,20775,29154,14892,14828,24521,21039,40200,55083,87887,152874,275032,449689,764821,1478636,2872584
22848,20936,21406,28948,14571,13341,14189,18483,37005,61928,88340,153875,258099,450544,763483,1522237,2994187
22540,21168,20894,29201,14965,13233,14487,18945,35986,61146,87059,153169,255857,448524,774384,1469830,4073662
22448,20574,21211,26143,14880,13531,14178,19920,37062,57817,85012,150807,252047,437827,773069,1483710,3681457
22220,20999,21190,27195,14769,14492,14380,17572,43603,64883,86264,155662,273176,449922,763690,1474498,4207236
21179,20695,21183,26509,14554,13135,13981,18251,47579,57576,84957,154139,256263,437259,762949,1484614,3654775
20733,20364,21077,105177,14329,13418,14855,18789,36309,60175,87436,150791,251083,465652,764653,1494146,3865881
33841,20677,20251,28429,14443,13424,14524,19752,39062,58085,88958,151876,250645,449783,770334,1479314,3897548
21192,20912,25280,28204,14571,13378,15174,37351,37229,60284,86305,150248,269622,439653,755104,1497744,2867434
22152,20310,22040,26800,14965,15097,14967,28861,38520,58070,87033,162030,271626,453426,776743,1484371,2931071
22177,20982,20665,25877,14319,15436,14769,24116,35721,59683,88269,154154,255796,438735,769353,1496725,2882781
21816,20520,20662,26278,14192,14926,17113,20451,45131,60382,96721,153881,260089,437747,765766,1469186,3764025
21517,20248,20458,37264,14614,13336,16995,18462,39272,62038,87764,165519,260180,445511,765382,1473006,3817483
21787,20403,20536,37486,14318,13356,16904,18712,43419,62994,84480,154592,256429,453902,753343,1508167,2890393
21736,21308,19990,24158,14172,14587,15110,19686,39507,58337,88315,147486,257488,467274,773268,1496239,2945927
21746,20093,19853,26609,13533,13387,14551,27943,36763,59818,85917,157357,256560,448076,773774,1493952,3823743
21714,20235,16176,22968,13979,13509,15008,18635,37296,59507,86501,161169,251785,442724,762252,1486932,3890832
21839,19847,15985,23316,13752,13289,14822,19884,41938,59434,87529,152478,274691,438874,763855,1491664,2829770
21299,20387,15699,25455,13885,13307,14598,19554,45941,58962,86808,152159,266093,443275,765922,1481171,2879333
20349,20285,23331,23709,13758,13170,17295,20479,39822,57766,89269,153214,258249,463479,764975,1473125,2842119
20100,19937,19715,23426,14169,13378,14593,19063,41978,68251,91926,151682,267223,443023,764896,1499147,2939092
20189,19230,19496,23253,13567,13348,14265,20391,38236,62715,85746,184232,259095,446776,764260,2128702,2942523
19878,19241,18991,21851,13419,14416,14831,21059,41222,59233,84660,136523,259646,445573,763921,1877011,3349346
19453,19444,18842,21689,16233,14406,24589,21080,40755,58212,86250,133493,255339,450230,770267,1479760,2924410
19657,19137,18744,21781,15716,14450,14561,19822,42583,59540,86991,130065,254170,474818,764841,1486306,3050108
20051,19090,18555,21363,14499,14636,14098,28148,40366,58308,86343,129517,250533,453513,759273,1508816,2913898
19732,19144,18617,30158,15779,14874,14642,19143,40107,57414,89520,134113,256301,465266,786523,1483369,2888939
19919,19595,19412,22035,14191,13370,14198,36163,39496,58858,88225,139257,257963,459639,757790,1510203,3087158
19962,19564,18110,20806,13821,13396,14379,25144,43713,57487,92682,134243,254095,460175,754951,1482108,2915540
19846,19149,18142,21060,13711,13238,14055,22798,37457,62132,85991,135895,257700,437123,761465,1484298,2894331
20449,19532,14747,21230,14105,13315,14297,20811,38532,58368,86275,135895,254468,454696,750502,1488535,2921048
31213,19547,14728,21249,13889,24815,14655,27932,37496,59747,88381,134510,297040,440246,754209,1463231,3028006
20135,19354,15052,22126,14397,13689,14667,21826,37978,61773,88316,133662,253720,443403,760422,1483248,2938590
20564,19889,15043,21691,14144,13518,14726,20879,39137,60203,85573,134051,256325,453229,785958,1505705,2880668
20869,18571,22594,20557,14027,14899,14708,21214,55860,58293,84743,130294,255810,466244,753405,1484227,3081355
20769,19411,14830,20123,15146,13180,14690,20769,42326,63621,84839,131098,256439,441381,756989,1693307,2866680
19652,18787,14805,20183,14763,13309,14311,20518,45436,59071,84956,135592,256791,442030,766224,2026452,2886557
19776,18846,14891,20077,14430,14356,14649,20534,46102,61426,86077,131653,281647,448479,758260,1875919,2886545
19862,18658,14870,20257,14865,13243,14581,21075,40928,61143,86731,137480,280609,450969,768552,1484180,3329480
19503,18671,14733,20920,14009,14460,14556,25816,41868,58125,86122,134234,252315,457408,767369,1474657,2910457
19178,18932,14627,20417,18757,13074,14567,20404,44004,61082,87290,135184,277377,437689,770481,1484501,2904409
19310,18271,15239,19571,15024,13201,14830,19114,41926,59517,87854,137227,257892,440117,761763,1506094,2916735
19546,18918,15039,19141,14426,13500,14755,18852,44728,59920,84409,130961,255676,457833,783764,1490198,2898322
19280,18873,15145,19664,15172,14775,14402,34937,52724,60558,85710,135898,255752,445047,757735,1500935,2960657
19554,18566,14798,19459,14537,13510,14432,28054,39941,60818,86185,133216,264415,464026,768369,1481464,2911629
18831,18559,14965,19505,20029,13190,14335,22245,36709,58063,87380,132365,258510,428853,757045,1490998,3025668
18957,18732,14945,19126,17440,14553,14348,22830,42464,58617,87683,133873,270308,403631,767529,1584199,2923174
18869,18423,15080,19303,15240,12995,14087,20321,40386,59700,87733,131555,252927,408466,768777,1575252,3029817
19124,18122,14957,18506,21270,13382,14781,20194,37683,57676,88579,133782,259974,421534,767734,1583831,3095692
19103,26451,14843,18925,15896,13180,14493,22804,37730,59957,86984,132060,253266,416000,762941,1551948,2910623
19112,17772,14735,18369,15453,13264,14827,20998,35405,58036,87374,132587,265255,495197,765963,1582333,3018226
19929,17642,19718,18802,14973,12897,14345,21736,35501,60021,87470,133246,252177,401880,765449,1591025,3045301
19196,17708,15065,18558,14897,12945,14335,31989,44159,68636,101928,132770,263534,417798,3919635,1584478,2889012
19006,17744,15007,19251,15672,13047,14148,21821,40553,59125,86672,135463,254558,421429,763797,1589329,2907517
18320,18311,14166,18762,15342,14597,13889,21764,39418,59233,86861,133270,262190,415722,760781,1560235,2924915
18293,18609,14480,18577,13251,15046,14429,21315,38611,61255,94050,131847,266237,409310,761029,1563344,3505790
18146,17900,15056,18589,14420,13115,15948,20906,38539,57819,87279,148474,256547,443472,755869,1576668,4300482
19187,18471,14658,18135,20802,13389,14446,20408,37893,58728,85865,131987,271829,411001,4956743,1560980,2894754
18445,18003,14852,18009,13366,14505,14040,20394,40655,61072,92423,130624,253058,406185,749336,1595597,2853652
19110,18549,14552,18280,13396,14502,14195,20029,47508,59453,87262,131640,257885,416182,13526575,1584642,3242865
18695,18277,14619,17859,12984,14217,14534,20555,45616,57809,89624,131586,266921,411391,770244,1591695,2881842
18626,17440,14382,18469,13281,14816,14827,20883,38714,60327,86092,134211,272623,402393,774342,1573551,2894338
18470,17685,14683,17942,13342,13163,14027,20318,35353,59876,88825,130641,260273,422609,767530,1573426,2868624
18502,17547,14604,17747,13407,13137,35302,35995,37976,59190,87179,133362,258995,418070,769603,1558348,2875232
19164,29035,14529,18447,13253,14300,24154,35784,43119,59341,97205,131440,256046,419738,769193,1563907,2844686
19151,17248,14468,17498,13310,12783,17352,20840,40469,61818,88160,132241,256866,408423,14051543,1516477,2880373
18209,17167,14056,17393,13226,14577,17595,21612,48993,59918,86931,130192,257801,417833,766139,1491663,3081922
19008,18087,13940,17965,13181,13408,16348,22068,36893,61558,88626,133387,260270,405294,13589041,1492727,3085477
18014,17823,14028,17676,13033,14511,19676,21126,36537,62000,87703,132895,260522,418700,765521,1501141,2866583
18414,17216,13981,17339,13034,13502,16314,21629,35729,61919,88986,130118,271878,416923,785956,1466626,2870157
18550,17674,14244,17158,12980,12855,17030,21302,45963,61280,92075,133076,252538,421523,796087,1462261,2897280
18551,17412,14501,17131,13163,13650,16409,21611,40777,61223,86103,136044,268283,420632,764876,1509987,3056478
17743,17184,14819,16591,12749,13282,16639,21598,38629,59488,89823,131548,256983,456214,766702,1492938,3762815
17816,16893,14085,16982,12945,13460,16468,37744,43346,62719,85075,130405,258656,421537,770129,1496895,3659499
17926,16796,14248,16479,12960,13464,16613,24540,41185,57538,85566,128067,266969,420850,766763,1510384,2910260
17603,17036,14235,16774,12712,14494,16428,22258,39040,58423,85913,128972,262631,405060,784763,1489959,3615409
17381,16825,14306,16957,18066,14904,29152,23022,43566,62170,99359,132901,259219,409477,758020,1510386,2859159
17837,25618,14371,16773,17618,13418,16942,22385,40192,58879,92480,133977,254734,402788,767720,1476710,3019319
17475,16528,14209,16635,18045,13295,16811,22339,38008,59524,86508,136582,258760,404518,753410,1473453,2918209
17620,16685,14218,16668,18690,13551,16728,20850,38367,61353,85551,134770,259308,406965,766365,1480275,2919131
18517,17417,14758,16684,18492,14703,21310,35429,37869,62086,86687,134124,279392,404890,767678,1577629,2941454
17807,16926,14286,16417,18188,13453,18536,25632,42426,61850,94211,133909,279681,410470,779901,1584503,2933313
17921,16927,14125,16638,19433,22141,23886,20905,37739,59335,84895,136570,275361,406372,766843,1559805,2916254
17496,17152,14424,16352,17428,14983,18311,21739,41945,59243,88071,132143,260112,408450,777732,1554352,2860741
17861,24141,14228,16260,16031,14604,17641,20621,42767,64677,85730,136948,252935,403158,765093,1554592,3045571
17615,18853,13880,16852,16006,13337,14921,21175,43576,61886,88335,137029,255007,426958,764263,1565688,2914953
17478,18568,14083,16627,16762,14563,15112,21299,37087,59221,86024,134995,254912,411367,755358,1612586,2859057
17883,18522,13769,15901,16881,13272,18650,20365,38910,62558,85695,133409,258848,410242,757400,1603850,3701044
17517,17661,17266,15964,18664,13476,14391,20830,37643,59864,96182,141033,256467,408554,755266,1594513,3968145
18066,17793,15089,16276,16591,13023,13915,18995,41834,61220,85710,133268,267570,413057,756995,1580478,3080019
17474,22622,14411,16051,16893,13389,25093,20185,45838,56722,101332,131137,273374,416683,12440216,1563461,3079261
16816,19135,14384,16189,17780,14926,28431,19283,41531,58091,99585,145360,275290,420517,13870510,1576839,2984170
17092,17763,14349,16172,17561,13411,15152,21147,40644,62905,105441,140174,258984,403654,756148,1567733,3006415
16826,17313,13994,16089,17368,14611,14037,19389,46316,61356,102919,134710,264384,417779,13701769,1607157,2888283
16901,17326,14116,15821,16930,14708,30715,19089,56307,57658,103321,132198,278867,403929,757820,1575762,2929127
16722,16206,14276,15764,16366,13349,15451,19848,36805,63243,104901,133597,259131,408918,767919,1611111,2908149
27987,16341,14142,16990,17263,14836,14200,20123,39703,58271,114575,131671,257234,409119,764051,1567588,2884308
16635,15857,14307,17055,17508,14518,15814,18935,45829,58835,104900,133066,267971,404752,763026,1562667,2892627
17179,16019,14118,17484,19209,13305,16439,19655,40643,61409,102320,144567,259399,409831,753546,1578223,2901872
17003,16549,13810,18588,17347,12980,16108,34967,50585,60544,97745,132347,259455,403786,763863,1563622,2912203
16984,16144,13876,20065,20405,14493,16272,26908,41833,60259,98920,133538,254194,428546,765170,1579386,2877585
17017,16027,13763,17039,17546,13344,15378,23651,39753,61434,100099,138700,261133,405827,767193,1557947,3727447
16779,23153,13705,17455,17667,13546,14129,21197,40648,58187,101521,134048,255479,421842,762252,1583759,2926990
16989,16565,14172,18754,18454,14794,14632,22414,42635,60762,96146,132192,252905,424618,782031,1584306,2891833
17278,16408,13050,16174,13417,13127,15266,19345,53923,58871,107769,134473,256880,406310,765186,1656343,2939025
17080,16223,12904,17368,12964,12966,14160,19800,48197,60422,101916,135150,256320,410378,15829674,1561795,2918102
16993,16322,13952,16426,12990,13055,15674,21251,42086,57574,101602,137297,272589,405536,758312,1572633,2929038
17290,12631,20707,19956,12801,13294,13639,20962,47959,61296,103783,132898,267994,405361,762224,1566206,2944670
