b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288,b1048576
14378,14869,29788,32860,21929,26860,26240,43824,82999,187449,1071927,779939,2727231,5376919,18460735,19547182,39546381
13927,14954,29388,32089,21714,20929,25402,39996,87269,184654,1078166,788209,2766811,5383506,18502582,19451879,39520138
14210,14656,30056,30792,31779,22937,25518,42625,87540,201082,1021284,791021,2725977,5355260,18348397,19495070,39342029
14042,13670,27442,29745,21908,22739,23456,42456,98893,190823,1062771,838786,2773144,5329876,18701170,20084566,38234250
14132,14207,30610,30355,19768,31255,23815,38733,90013,178680,1046607,776301,2682964,5372905,18414946,19621391,38194339
13999,14300,28398,30394,31359,23694,23358,40221,88424,183031,1036063,791585,2777168,5378979,18680018,19531882,38155374
13625,14787,29662,31147,20534,20940,25272,43494,88123,190838,1027313,794258,2727640,5355169,18450254,19461360,38630492
14515,14022,28699,30225,19854,22201,22898,45868,82647,298045,1086433,791079,2757326,5418759,18563937,19461682,38612599
14427,14056,29846,29516,20952,21792,25375,44705,88627,182482,1028090,782614,2760651,5340478,18422466,19448159,39166306
13713,14154,28791,27797,21378,23324,25166,39578,103279,201507,1066168,778477,2754869,5428970,18624895,19557033,39044888
13717,14093,30408,29042,22246,20938,24607,39441,100785,188906,1081989,804786,2766698,5380469,18878815,19530226,37827369
13949,14229,29762,78545,20343,21397,27214,40953,89368,181928,1253308,785853,2789047,5395467,18752860,19609133,38544096
13198,15082,28632,29366,21981,21254,27136,41323,92740,186034,1009924,2247414,2698601,5382313,18380647,19499336,37953412
13673,14088,33311,28614,23224,22679,28354,63677,92090,180250,1050155,1234941,2767988,5402027,18485195,19502872,37786256
13483,14488,28721,28907,31427,22768,31833,62620,85759,178371,1010071,2389260,2783316,5361340,18518432,19552807,37947012
14109,13717,32213,27310,22304,23352,26219,47210,85827,184355,1260064,1242074,2795434,5385354,18608068,19607597,37854681
14946,14571,29314,27879,22463,22148,30170,43159,105946,196288,1019605,2411377,2689191,5327364,18551529,19500623,38619709
13486,14110,27285,26803,23269,23010,37335,46765,92213,200158,1163155,1830583,2781033,5380232,18595894,19521850,39338926
13412,14001,26312,26004,20725,22479,29651,46420,90064,195692,1027240,1255702,2741187,5337964,18571643,19598793,37617628
13079,13741,39434,27497,26423,22775,43981,43790,91972,186492,1034089,1823749,2821277,5345569,18606353,19490210,37865447
13263,14001,29070,25862,20700,21783,28011,41546,88482,198829,1033252,1865471,2690859,5370347,21304458,19538440,38503718
13570,13317,25215,26101,21666,21567,27836,40615,85388,198263,1050813,1255096,2766429,5357569,18556308,19466950,37766536
13534,13110,23654,79799,20718,20116,26237,43542,95942,192003,1294789,1814293,2722830,5384442,18622045,19549560,37557042
13304,13218,34947,24441,20836,21433,29523,46751,112553,181600,1037555,1792433,2754270,5386818,18612644,19660906,37507289
13572,13388,28613,24965,21582,21312,29135,60057,81778,186887,1048029,1548413,2783200,5370416,18687649,19528047,37536407
12288,13691,26245,24906,21455,20805,27451,39957,86030,193065,1295132,1837158,2735193,5381007,18615911,19486357,37993836
