SHIR FPGA b16,SHIR FPGA b32,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512
230142,248846,301570,323347,381540,586208
225271,238957,304095,319987,373579,571335
207899,233959,295147,308651,392811,566814
218834,234678,298391,318312,368691,580705
205072,233703,304284,307938,372960,609698
204102,236870,296807,309020,376061,574482
208864,231606,289680,311315,380166,567889
210485,229859,293073,309308,377307,565850
215364,231214,296921,311121,374927,571730
207350,240517,294123,317072,367937,568776
208031,229360,294999,309132,383667,568016
212891,241417,309568,312159,392526,9355179
203434,233169,304216,309833,371436,583135
205520,234921,301397,314599,374791,911679
199800,228826,304889,311536,391456,634487
193544,236522,292540,307142,378868,610808
195364,228637,291866,316169,372122,603147
193432,301515,310888,308155,371375,595050
192137,258941,303199,308483,388061,593485
198012,243899,289854,312538,373426,604307
188943,232771,289053,305492,375182,586934
191222,235310,315283,308947,374175,606167
196445,233443,291989,307384,373649,592100
192983,234363,318730,345824,370922,589196
193981,236381,292645,308633,370313,593447
199382,230855,291393,309533,383323,581191
188767,231840,290923,309868,391605,581865
188967,232743,289648,304883,374914,588807
187986,241683,302044,313812,1465217,587443
187914,234530,290670,309692,372666,576293
185117,236659,291323,305909,370990,588681
188196,238309,309596,308006,371672,587957
187063,242318,289010,312400,372802,582632
186022,233321,296687,305320,365082,574989
196136,238263,287782,306539,378378,591580
185964,232030,293910,312272,372146,586140
189122,236430,293968,320867,368067,589674
189834,233145,302437,306795,389064,574251
187390,240557,287171,312468,370758,588687
185672,233313,295862,307632,375404,583916
189901,243273,291082,306801,372671,578705
186913,233115,304491,307569,371268,578046
191445,262080,296340,306365,369958,574108
189950,238325,288290,311858,376113,575745
188531,232970,293766,308328,383659,572653
187228,241381,298606,316038,365171,571836
193471,232783,311197,306154,372010,579487
186225,234606,295496,326650,380615,583959
186095,238377,287999,316243,369515,577154
189115,232498,290896,304500,374044,582465
188961,231303,286907,306389,371535,565959
184063,236678,300830,308177,363599,564976
228763,235178,296730,2978978,379435,574126
185453,239329,290200,305283,372389,581056
186739,236346,290229,305152,366418,557423
195617,237880,293186,306351,375359,556346
188270,231816,314948,328683,371761,563853
186299,244009,293835,308147,379610,560355
196070,231621,286578,306766,387012,573987
187498,237876,301369,313726,370264,578625
188337,229365,287673,307279,366895,559056
195562,238796,300738,309283,379656,560696
186796,230641,286900,317661,378444,5646698
184495,244289,290287,306120,366711,569216
188313,231964,291876,318127,389614,558053
186496,239626,611842,314629,373725,558995
186948,230810,578608,323331,367978,555327
193906,229744,542652,309372,387642,571369
187725,234554,2551562,307020,369261,574339
185295,233132,523735,314473,362148,563177
198271,234637,506885,305005,381369,564540
184217,268345,517799,306262,378935,574736
188704,240531,509892,310882,367063,565973
193545,237602,516458,329690,367086,553157
188716,232685,506531,306471,373045,566523
185331,237087,484824,324041,368290,577904
191988,244079,476343,315716,368736,565202
187029,234090,491962,306229,374119,555271
187963,239054,472220,307116,365493,579298
196208,234017,490336,315318,397578,554158
188154,239096,492288,307890,375738,578880
188398,232361,477062,309061,383011,560020
197234,242258,496721,309249,368751,578515
184497,234365,452683,306396,372762,560087
184232,243931,459515,304956,392916,561998
191735,235856,451617,323964,378425,553660
186643,237028,455472,306744,370251,560273
185527,240121,478077,322442,366587,551982
194534,4781770,450570,311749,385109,581653
187025,229999,455023,336186,372845,9631306
186771,238450,473363,306778,366785,576279
197469,231066,434125,315822,383318,563639
187082,228011,431909,307149,388346,569728
185874,234117,447026,309317,375176,567250
193694,230534,435895,307101,366717,565833
184833,234456,431657,313406,370870,562324
183767,234911,445975,304862,368744,580401
191273,268126,444917,310115,368487,573295
187120,248982,434186,315661,369562,590588
185521,243879,414956,314271,367512,591877
3035236,252651,430145,306499,370465,587312
204051,233348,429789,305208,371636,580594
196762,246487,417893,306028,394134,583848
196614,239790,413681,307075,376313,582487
193428,232886,426366,305697,369917,590050
190701,237776,425749,306619,368455,587473
202469,234130,416289,304729,390418,577259
189494,232037,413022,306591,383067,626570
192125,235513,412310,337585,374890,590091
197062,238624,401726,343572,370217,593230
189178,233912,406136,336107,389085,579954
185733,234218,406868,335558,370178,581279
186944,235183,397127,343918,381444,588079
188782,240772,399144,335077,369173,577741
187446,234943,397916,339250,368805,574643
195213,235346,411695,348558,372216,579236
211365,239353,409203,337920,377791,10080184
206696,249300,411229,335449,371771,583014
216189,237873,384656,342804,372258,563286
201536,247609,382754,336957,367126,568790
201666,233678,388838,359877,377295,578077
206558,246450,387838,328228,369352,566297
202824,237889,384198,335206,369298,568372
212980,243010,394101,3704359,1882851,588966
202608,233962,400699,325611,371551,578281
206813,242127,396005,316362,386122,566710
207315,233552,395854,328894,373772,577948
207833,237306,383291,320638,373450,575411
206207,232356,373271,316268,373546,571323
206658,238224,373555,320316,372844,569222
203335,235513,375436,326656,368338,581161
210927,237776,374959,321063,370440,578368
206243,233986,372671,317331,378499,583708
201889,285087,373907,319670,368246,565779
205687,271496,376038,324142,373421,584512
201717,259011,370914,317136,366170,573871
206883,256092,380410,317061,375916,567251
189272,264137,379357,316573,369789,556641
194125,258078,369506,324060,375463,566223
194154,256264,368866,437432,373555,555282
190519,259835,375559,432994,373954,564338
188937,254971,372918,370031,370128,557107
189742,257696,367729,369418,372028,565470
188330,267249,370966,369451,372678,575770
187732,279603,370797,363466,386106,583483
196628,264082,369846,320083,379387,571144
188148,241357,372406,329091,370611,566912
192699,244206,373351,327396,364248,555847
