SHIR inductor b16,SHIR inductor b32,SHIR inductor b64,SHIR inductor b128,SHIR inductor b256,SHIR inductor b512,SHIR inductor b1024,SHIR inductor b2048,SHIR inductor b4096
339659,521502,726637,1339122,327204,399249,606793,1651273,3776046
338655,519642,717812,1337330,311306,389805,654911,1587530,3328059
350435,526808,693965,1330286,327159,398051,904263,1670048,3807442
338144,502365,696855,1343605,305661,380014,814390,1614316,4069657
344315,506539,707879,1337209,308869,384186,724330,1611041,3216771
348016,507345,723756,1340750,297801,385530,889016,1635993,3834067
344927,504966,700359,1346671,298860,382868,703760,1581185,3608161
344384,508828,690919,1331491,301372,407321,622311,1551731,2730778
347046,505821,726581,1328930,309971,377189,747557,1430572,3873455
345960,509417,704605,1346937,304588,396213,686457,1535180,3755143
342019,492310,703211,1350070,318797,387269,641818,1484279,3051977
332264,500494,700074,1345986,303339,385570,910911,1474723,4282410
328830,501198,698683,1337427,304396,391769,960741,1407499,3915022
329940,499582,698867,1331873,297309,387229,918331,1475962,3181854
327154,507210,720819,1354401,305313,382673,887464,1611510,3675955
328237,484246,706013,1330884,295200,392058,852658,1556172,3483264
336224,485703,700920,1339682,308003,387290,872917,1392374,2830978
328198,485484,695843,1340033,308727,381245,831074,1393805,3397427
328664,492726,723808,1328692,295765,388391,840265,1423962,4129959
332783,492919,700710,1337592,309446,399580,804002,1474317,3218719
328040,493091,726429,1327026,306208,380756,802025,1514041,3851807
341008,483492,722778,1340080,303234,405589,739696,2406756,3576299
328849,483502,691380,1325005,303478,375582,727433,2039139,2867371
328099,485871,702667,1328997,263518,384946,720042,1846965,3398156
334211,483191,721348,1342775,285768,396016,692667,1827425,4080787
330675,484019,699400,1350391,272509,411102,694158,1771734,3227781
329039,490385,733428,1329303,298992,385936,693535,1775103,4345564
325293,473493,694111,1336195,259455,382803,678029,1691296,3789180
314915,473182,705905,1339222,280053,392757,669986,1687202,2994289
322514,471430,718820,1346594,298622,386635,654829,1672254,3643146
316626,466740,715093,1329592,261040,389195,635567,1629944,3430483
315653,471097,722774,1340245,278342,395824,648489,1741608,3323657
314098,468623,700862,1349930,289517,388598,643938,1618036,3847127
315985,465680,692819,1326666,286781,375372,628440,1587921,3480443
322517,473902,707458,1340355,290340,381878,613887,1675894,3582546
315463,478151,713350,1338559,284976,414623,620025,1531969,3913381
314135,475052,730618,1325783,294411,388026,630105,1617867,3779614
314704,466117,690103,1338076,285267,385884,629086,1567959,2906935
315967,467001,805598,1333615,303866,392612,627500,2446003,3941813
323566,470048,758815,1345998,285157,392637,601153,1500680,3736595
313560,453845,783601,1346038,274852,379647,633381,1545208,3333510
314986,456817,778048,1334103,286369,394397,921303,1549344,4245209
313743,456485,787088,1345209,265611,382269,864384,1484160,3883240
313431,458535,808597,1331104,278768,389750,669187,1402198,3076790
320715,451662,784817,1341178,285298,390153,856095,1827463,3523195
314000,453641,768523,1329746,287616,403644,808961,5655490,3520936
322211,452685,771268,1331972,288699,380272,609742,2397434,2942539
299481,458427,721602,1328637,296410,387707,821368,2368360,3607253
300786,459486,705287,1338087,298735,417225,799734,1652783,3953127
309073,463463,725316,1352798,267208,391932,635899,1572900,3211271
302582,450525,696498,1337192,290981,391322,645446,1491791,3830923
307797,454319,700896,1331078,289191,386246,629093,1420033,3674245
301343,454209,712829,1338391,283871,381642,826959,1486571,2914027
310030,445968,690510,1339409,304044,408663,657599,1461028,3513546
301419,444855,712514,1343526,286275,382898,760082,1824741,3613236
