b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288,b1048576
23358,21042,21643,26335,14365,12140,12832,13445,25812,32279,36050,40816,51186,43526,38419,86358,46555
23598,21075,22026,26447,14447,12226,12688,13938,26044,33172,36395,38883,44493,44873,35724,35039,60101
23285,20441,22095,33425,14672,12177,12499,24910,26172,31663,35064,40603,43507,40747,35264,44457,388072
23028,21104,21551,24952,14044,13441,12557,12778,32720,30774,37034,41440,44591,42929,36835,37765,97554
22051,21350,21991,25291,14020,12386,12791,13224,30395,31900,36102,40600,43948,38635,35763,40809,57379
22055,20779,22174,222330,14127,11950,12629,17559,25236,30197,38754,42277,44023,39124,37671,81871,85321
21720,21021,20818,24272,13959,12434,12640,14452,27722,33313,33809,40173,45357,42458,35033,35783,94151
21775,20715,24207,23674,13823,19229,12883,30233,28848,32096,35967,40384,44166,38669,233246,45450,49841
21821,20392,21291,24685,13872,13765,13046,22753,28086,29897,34393,42145,44197,42349,37391,36860,397608
22662,20667,20717,23194,15362,13496,12969,21868,26793,29507,36548,41320,44349,41859,37475,43117,41888
22234,20447,20802,21943,13826,19433,14280,16198,42061,32309,35285,39138,46583,39669,36854,39357,58602
22053,20199,21025,22370,14215,12450,14514,14828,29918,33439,37045,41546,42975,44678,37990,41643,95787
21599,20084,20555,22666,13793,12340,14527,14187,29360,30804,34290,41914,44931,43261,36603,82583,44002
21990,20136,20488,22291,13672,13479,13325,27928,27067,30204,34838,37785,44622,41598,242413,37141,52208
22109,19572,20182,21940,13485,12058,13425,14556,25905,30385,49470,38531,44744,41350,36921,46360,112707
21964,20581,16252,20911,13230,12204,12839,14338,26375,28032,36763,41629,54665,41209,33724,38055,53551
21966,19853,16692,21644,13192,12330,13139,14071,31616,29806,35301,39464,43630,39311,35728,42590,48795
21749,20125,16533,21598,13529,12257,13160,15275,33407,28524,34743,39593,43855,42032,36546,35123,44870
31226,20215,24227,20905,13702,12363,12804,16418,28756,31334,36570,41852,44143,39304,35580,39683,48175
20883,20238,20673,20788,21819,12331,12996,14863,28287,33016,37743,40286,44273,41969,35504,78496,94232
20530,19769,19588,20647,13544,12016,13299,15847,27535,31861,34321,47702,44303,39396,35442,57633,48725
20500,19697,18908,19990,13030,13556,13198,16433,30870,33115,34609,35768,44514,41358,35988,44946,58135
20588,20369,19059,20380,16161,13659,21577,15745,36378,32637,45848,36707,43407,40745,36998,35841,44577
21347,19792,19377,20023,15201,13683,12766,15761,30120,37408,34910,33942,43409,40098,35402,40606,51680
21184,19546,19227,20163,15034,13825,12552,16623,30563,31047,36101,35226,44669,41496,34388,81181,52088
20535,19790,19344,20173,15761,13624,12752,15596,30001,31104,35128,35759,44425,43284,35323,41897,51334
20556,19780,19445,20506,14191,12371,12867,29427,28882,31399,33918,35540,44254,41650,48403,85472,104929
21248,19554,19173,19035,14299,12182,12827,22895,31162,31239,36094,36123,45235,40375,35721,36480,44043
21056,19830,18634,19753,14293,12260,12919,20464,31321,32456,36279,35528,44225,42305,35689,42042,49384
20968,19542,15595,19020,14112,12200,12653,16635,28541,29991,35563,35388,43078,41513,34735,37069,44220
20612,19827,15370,19372,14117,21977,12810,16263,28051,28127,37166,36669,46220,41898,44839,39557,51864
20731,20118,15527,19693,14133,12703,12508,16720,27840,29961,36228,34720,44350,41155,36070,36063,93292
21096,20626,15657,19239,13987,12205,12845,16522,28022,31316,36391,35917,44352,50694,34580,39589,45920
20588,19278,15583,18854,14024,13752,13565,16473,33670,29974,36418,36869,46936,47451,33717,82834,51214
20267,19425,15420,18750,15346,12144,12803,15908,31167,32313,36875,35267,52218,41125,35203,44832,43948
20051,19233,15868,18853,15478,12236,13076,15166,41674,31677,36088,38167,47058,41244,36549,70266,48356
19619,19243,15531,18512,16775,13551,14851,15900,42384,33183,36054,37746,78544,42276,37775,40572,42468
19609,19270,15967,18789,17278,12380,15620,15057,39069,29999,35318,36971,45571,42625,39536,257277,52525
20267,19684,15383,18923,16856,13300,12404,23590,30296,31717,34396,37752,45323,42804,42054,39048,83672
20222,19357,15396,18397,24465,12325,12701,15026,32215,39938,37071,38340,44431,40824,34526,42865,49195
20452,18861,14695,18199,16734,12317,12678,15052,30879,30060,35651,37136,43730,40903,38077,58386,49947
30704,19114,15377,17669,15337,12152,12507,20398,31074,29902,36940,36957,43848,41652,34764,37256,48276
19542,18718,15339,17653,15954,13804,12960,29623,31440,30816,36019,36191,44396,41267,42684,44733,47296
20183,18554,15186,17320,15543,18848,12588,31219,29742,30785,36072,35902,43350,43004,35065,36581,75945
20200,18900,15330,17484,16649,12092,13090,18982,29167,30315,37428,35106,43126,43180,35525,42411,53714
20243,18983,15321,17815,20016,13179,13077,17817,30658,31884,37153,34262,43269,36426,34015,96831,52265
20488,19589,14974,17777,16185,12451,12269,16075,31922,29702,36522,36224,43788,38871,35223,50081,45095
20564,18677,15442,17270,23716,12475,12480,14375,38536,30549,35664,36074,43252,37245,40156,53942,55907
20552,18112,15102,16993,16125,11982,12866,20021,27686,31666,35881,34560,44263,36200,36703,42004,60888
19848,18136,15216,17044,16242,12254,12842,15901,25746,31152,37968,35787,42965,40722,34236,49286,40790
20277,18368,14733,16857,16028,12555,12921,16933,25591,29600,35820,33462,44175,51226,35007,297387,55069
20182,18398,15025,17630,16023,12506,12610,17773,33635,29790,36201,35742,45564,36882,34655,48032,44136
20123,18724,14904,17377,28758,12038,12874,16959,39135,32534,36363,35207,43137,35543,35900,53119,50112
