x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096
1357347,1313137,1039502,1093167,1016466,1046700,1068240,1273265,2248825
1333034,1313534,1033127,1090732,1007266,1038030,1047229,1235349,1548024
1325647,1320311,1025757,1099415,1011102,1053499,1095620,1268620,1472428
1322965,1315389,1041959,1090820,1026177,1034857,1095136,1226728,1440455
1325425,1279455,1048377,1113878,1027577,1060087,1050715,1251584,1637180
1326724,1282729,1050081,1105071,1006961,1027354,1078050,1214318,2423705
1330992,1277094,1040220,1100869,1024064,1055184,1044048,1274988,1594735
1342787,1277455,1049890,1106137,1031008,1042570,1077994,1225321,1470367
1300082,1279252,1021233,1099695,1033560,1026805,1080038,1264338,1460950
1297658,1278191,1035680,1086311,1025000,1055933,1083492,1221868,1557456
1305542,1266218,1294633,1110447,1019617,1024953,1077868,1274731,2201954
1301255,1241290,1085433,1101272,1027586,1032774,1082677,1193009,1487257
1300549,1243366,1060159,1095043,1019546,1044566,1078849,1239197,1780630
1301528,1247090,1072054,1087835,1035792,1045858,1077925,1435261,1472766
1308320,1246890,1066982,1097008,1016632,1030582,1122559,1378677,1693456
1272663,1249093,1069322,1089040,1040661,1037800,1085762,1260969,2599703
1262726,1245261,1072646,1102686,1029040,1044592,1128855,1207806,1575812
1263335,1213451,1064392,1103271,1018999,1061909,1098395,1232099,1462754
1268768,1197032,1047000,1101571,1017702,1043570,1059084,1244778,1422058
1264022,1196421,1062761,1096319,1022910,1048982,1069276,1241360,1777297
1269876,1197257,1074574,1094546,1022971,1040102,1054270,1242035,2360435
1263396,1199094,1093408,1090271,1011641,1037174,1077742,1245268,1554986
1247677,1196874,1087627,1086034,1023428,1063696,1096128,1279565,1477346
1228365,1195786,1073712,1100574,1014800,1031494,1103629,1253404,1458527
1229920,1185278,1071268,1097690,1039572,1045654,1084375,1231881,1645212
1228401,1143998,1098806,1082753,1030205,1033946,1088395,1239491,2392246
1227063,1143021,1086083,1096936,1015080,1038769,1079232,1264886,1512295
1226537,1148347,1084677,1089822,1020307,1054210,1071936,1261910,1726869
1225473,1147353,1056360,1098274,1020651,1036056,1090890,1222873,1538857
1242275,1147482,1087824,1080683,1019751,1033744,1085582,1249647,1677248
1181509,1149630,1182058,1095254,1021660,1057171,1083498,1226260,2405525
1182482,1162716,1227268,1096147,1017563,1046425,1090442,1242677,1588577
1184537,1146325,1028873,1098960,1025000,1064576,1095800,1222019,1467191
1178477,1143574,1064001,1088965,1022805,1054591,1097106,1243942,1458093
1186200,1145324,1057528,1082861,1021853,1057250,1085029,1230900,1598374
1183462,1145116,1054498,1093747,1026280,1101772,1085816,1237274,2541492
1181430,1146758,1044739,1105491,1025430,1039223,1110402,1431610,1566410
1180055,1151005,1054239,1086983,1023195,1040539,1117118,1276741,1517062
1130848,1149044,1059569,1093822,1025192,1049746,1102345,1212748,1489481
1132502,1155374,1069722,1083848,1017853,1027902,1085540,1240083,1550956
1132024,1146636,1067561,1104701,1031189,1037113,1285217,1228400,2304052
1128655,1153686,1080905,1092834,1018481,1046564,1056634,1199521,1596211
1127284,1151030,1071190,1093427,1050239,1036862,1632948,1247744,1748169
1132103,1148015,1070457,1089460,1018868,1051026,1028347,1247705,1528953
1133213,1145650,1037925,1107217,1021202,1040215,1023162,1215955,1677160
1129789,1144410,1064208,1089392,1019761,1041003,1016371,1248700,2603945
1132510,1144506,1076579,1092506,1028646,1034713,1020114,1233078,1649840
1133473,1144701,1061948,1086609,1028556,1035800,1022335,1213311,1430645
1144005,1144081,1079654,1101429,1030482,1050500,1023404,1242644,1442577
1136738,1146821,1068539,1093212,1018612,1055735,988585,1247578,1654307
1137387,1148276,1086514,1105150,1023733,1044995,1006898,1214746,2511014
1138303,1146695,1075705,1095730,1023061,1067453,985893,1239243,1556405
1135127,1145699,1119317,1110666,1035223,1046389,1018052,1234628,1500925
1136865,1144448,987573,1083755,1019566,1058215,1047636,1223140,1457580
1139813,1154953,976468,1102506,1018913,1042054,1027042,1238239,1564197
1133944,1156205,991948,1095276,1020120,1043879,1003585,1250492,2289564
1134923,1152664,979839,1118252,1023305,1040307,1057048,1211065,1512138
1140341,1146534,989644,1088909,1013619,1049065,1108190,1260667,1484366
1136901,1152354,945489,1093552,1016101,1047758,1069647,1249690,1797658
1136785,1146837,961263,1092824,1015389,1050517,1090018,1486281,2337905
1140012,1148164,949998,1096705,1027652,1059578,1436564,1323896,1549562
1135523,1148483,962544,1102636,1022858,1050014,1079729,1231586,1468190
1136904,1148943,950160,1125921,1013526,1055757,1085107,1205917,1408546
1140698,1146480,945275,1088386,1028990,1059771,1119688,1241248,1620483
1132517,1148077,956058,1099595,1035235,1041702,1148870,1249996,2182532
1138192,1148188,951039,1095117,1006776,1068197,1141904,1232828,1757060
1142216,1145854,946216,1095588,1016612,1051219,1041034,1205687,1524425
1135212,1147037,964165,1087022,1021086,1040969,1095711,1276956,1436802
1131018,1147279,970611,1097718,1026585,1063490,1113914,1209224,1509590
1137140,1146487,969361,1104662,1017201,1040883,1080737,1269581,2275030
1133365,1144628,954073,1099282,1028964,1046038,1076748,1207969,1539760
1133618,1143684,964664,1092380,1017618,1050540,1087171,1234532,1462988
1141458,1150300,954780,1101010,1026719,1057259,1093553,1209461,1749162
1134699,1145721,956084,1098522,1020583,1063738,1117768,1250558,2272957
1136507,1146298,972652,1114261,1026368,1064586,1078568,1212741,1541933
1138654,1146991,951766,1093082,1012464,1043604,1110556,1248327,1471646
1134081,1146143,970620,1087645,1014383,1055583,1109470,1208131,1485773
1133173,1149921,968695,1080933,1025546,1055252,1099033,1242549,1681261
1141136,1147899,974946,1083215,1032791,1051405,1047918,1210234,2198497
1134689,1146639,965497,1091811,1021829,1034534,1042513,1244519,1570379
1136176,1147084,969883,1096307,1016704,1048989,1076748,1212171,1721590
1138039,1145769,989766,1089130,1007805,1056917,1093065,1253213,1536287
1135141,1144616,986378,1096950,1018494,1068775,1116048,1417070,1689786
1131292,1144218,979215,1088148,1016317,1047732,1075739,1340231,2334540
1137660,1146424,1000786,1090128,1016673,1058412,5576400,1270967,1580470
1130492,1146462,975851,1093041,1028855,1053802,1160254,1214917,1494457
1134237,1144784,974385,1101469,1019512,1052538,1128253,1243890,1418855
1139209,1146365,977705,1091117,1017857,1036571,1154059,1185296,1634912
1133832,1145150,1007022,1110419,1031209,1041605,1150806,1238667,2590043
1133094,1145949,1002110,1087287,1027872,1052656,1082920,1218002,1552847
1136162,1145917,992976,1099611,1036815,1040489,1105252,1260094,1477586
1132256,1144168,990998,1090133,1021658,1050080,1124025,1211450,1472503
1133463,1149081,996091,1097666,1023093,1054196,1114338,1229745,1582866
1137868,1145121,1005197,1087207,1021839,1059690,1116491,1209392,2487056
1131238,1155046,1006814,1095814,1024821,1062097,1117133,1276498,1608621
1132888,1149806,1015943,1092001,1022698,1049992,1065694,1219471,1760896
1139531,1145720,995906,1091023,1025895,1058918,1101768,1251516,1558290
1133300,1146387,1011086,1094268,1027572,1053839,1103810,1226419,1608658
1135001,1144381,995547,1086411,1017841,1053231,1106324,1258851,2636592
1142823,1144897,1006395,1095511,1027278,1056260,1124158,1210415,1586065
1133870,1147478,1001534,1093029,1028369,1061950,1095332,1248282,1458754
1132941,1145284,995943,1108910,1025740,1040543,1111878,1230893,1410297
1131086,1146576,1014991,1110168,1026276,1053871,1126198,1232233,1632832
1131605,1144304,1008050,1096337,1011182,1057466,1113636,1227229,2483578
1132624,1145454,1017310,1100791,1022222,1042427,1110010,1242813,1606985
1133279,1146175,991565,1092093,1021130,1050666,1106580,1478148,1458105
1130365,1144826,1003981,1089872,1026312,1032091,1102035,1247223,1410187
1134655,1145618,999507,1088488,1020491,1044447,1146494,1257479,1555508
1133407,1143033,1008530,1094181,1024777,1057144,1121607,1211578,2194860
1132975,1152022,1002165,1090810,1025881,1055146,1108447,1247039,1473684
1132476,1147435,1013749,1083899,1020602,1058201,1124630,1206341,1467581
1133345,1150279,992392,1091872,1028740,1043958,1099533,1224290,1777970
1132826,1144800,1005332,1092993,1023562,1050168,1101607,1212510,2300006
1140194,1151784,1007133,1092587,1032835,1059951,1096930,1282466,1534356
1133264,1142229,1002776,1110426,1020198,1036613,1091822,1208474,1498285
1131378,1146768,996638,1101478,1022793,1049616,1097673,1248551,1432934
1131650,1143305,999474,1093532,1014904,1053959,1078169,1216799,1625582
1132732,1142775,1004056,1091893,1024387,1057670,1105532,1254848,2600822
1132016,1146569,996350,1096332,1032454,1058563,1091274,1232784,1938860
1131212,1144963,992599,1087429,1027417,1052513,1105418,1241836,1518232
1134661,1145251,1005176,1092691,1023306,1056172,1107219,1235789,1468736
1133143,1146395,998594,1086560,1019858,1055189,1128376,1265457,1514192
1135178,1145383,1002983,1097590,1009277,1039843,1096076,1225013,2502132
1133805,1144390,1015697,1089722,1021499,1074531,1102613,1265232,1524270
1134514,1146345,1010225,1091557,1030461,1047575,1105333,1202292,1463750
1133663,1144319,1008068,1088535,1008474,1052129,1124598,1249359,1834991
1133184,1149148,1001857,1088053,1026207,1060779,1110879,1210250,2377373
1131948,1147052,1002837,1086152,1024924,1059465,1127383,1241960,1550838
1137687,1148451,999387,1108068,1028610,1047953,1113035,1472634,1500597
1133647,1149854,996201,1093515,1012994,1053885,1128330,1344787,1463767
1134127,1144466,1001456,1107568,1027664,1041347,1132685,1229912,1576845
1133555,1146317,1009829,1086660,1029699,1049828,1076886,1231028,2366948
1133811,1146361,994922,1096538,1025235,1046543,1091186,1211839,1483546
1181915,1143813,1005985,1088193,1018379,1055801,1086634,1290822,1755667
1133099,1145520,1004848,1096650,1015398,1039874,1100483,1217920,1486532
1132614,1147497,991484,1087176,1017505,1045196,1084292,1261503,1649232
1132371,1145683,1005455,1114115,1026740,1054612,1077452,1199634,2227981
1133589,1144486,995571,1085167,1017478,1047726,1095670,1236426,1545846
1134577,1142086,1021403,1105393,1025168,1047780,1095521,1234254,1452814
1133982,1147347,1008197,1077929,1019659,1036954,1084449,1269241,1423895
1135738,1145961,995196,1105730,1027552,1059246,1114410,1211984,1620932
1134770,1146723,991601,1090880,1019601,1048934,1293983,1249068,2548290
1134319,1144153,1005569,1095639,1021698,1033827,1038081,1216035,1623989
1132549,1148813,1011154,1085735,1019776,1036964,1004989,1259369,1465187
1132176,1143987,1004835,1094092,1023072,1052894,994391,1216005,1416229
1135256,1151723,1012406,1082608,1022538,1047699,978976,1272429,1529831
1133762,1143831,1001521,1089559,1009565,1046551,1020875,1235809,2453428
1133564,1149504,1001097,1100512,1026147,1047745,1029795,1257315,1563237
1131782,1147018,1018436,1093276,1022446,1060934,1006440,1219532,1755605
1130064,1147337,995771,1087641,1025775,1049906,1006134,1277657,1458425
1131228,1149151,1017395,1087830,1023445,1057181,988361,1211112,1656020
1135106,1145683,997018,1082176,1022688,1048723,989565,1492807,2332339
1133048,1144974,996865,1105498,1023383,1045528,1004022,1240191,1582861
1135485,1145467,1018840,1085295,1019869,1047177,1014603,1273537,1436579
1134898,1144034,1014332,1095897,1019089,1049347,996236,1206485,1436507
1132935,1147789,1006799,1084799,1014467,1042391,990576,1249904,1643394
1132840,1146504,995778,1089853,1024261,1050905,997958,1200968,2458538
1135156,1150982,991810,1080879,1019219,1053671,1029486,1216612,1549126
1132661,1146101,1010416,1078375,1036165,1051750,1061882,1226121,1482321
1136232,1147680,993750,1085004,1016027,1056344,1059524,1277596,1399378
1133691,1152547,996658,1086531,1028454,1050457,1091008,1220370,1516035
1133310,1148329,1008115,1097670,1018977,1029301,1091403,1263517,2442835
1135286,1151214,1009043,1097994,1009499,1056498,1094014,1207020,1483641
1135110,1148461,1007349,1089563,1024651,1052005,1085925,1282929,1499172
1132759,1151350,1011580,1091761,1016179,1056833,1127452,1221119,1760312
1134036,1145088,1014284,1096808,1015170,1058745,1041666,1289995,2217677
1133967,1144724,999821,1088194,1022316,1052242,1065180,1222435,1611033
1133437,1148399,1009803,1104611,1020336,1054575,1089902,1267078,1503067
1130713,1148822,1000896,1096813,1021123,1063709,1080161,1207483,1659322
1133640,1146730,1006909,1106484,1034703,1056883,1104797,1269565,1639103
1135485,1146390,994997,1097432,1014962,1056705,1086606,1242585,2402312
1135943,1152864,1000720,1083770,1016328,1054383,1088457,1259070,1783296
1134598,1147845,1002892,1096235,1036836,1046157,1039750,1200486,1547826
1133013,1145230,1019159,1088891,1017065,1049102,1087010,1275012,1459811
1136940,1144698,997790,1094142,1021492,1054003,1092032,1472728,1560439
1134438,1144787,994081,1069202,1018868,1055059,1082580,1317623,2320943
1134435,1145747,1004392,1093997,1022934,1062641,1069643,1218476,1688732
1133928,1152237,1015323,1083850,1023770,1060842,1085308,1195955,1488017
1134540,1148394,1003813,1084482,1035566,1062094,1071671,1235432,1896352
1133564,1150451,1007093,1087279,1016866,1039869,1020479,1256080,2291792
1131503,1148620,997619,1080991,1019087,1069442,1049147,1205437,1526876
1132596,1156882,994482,1089934,1012400,1060666,1084598,1261007,1488851
1136178,1147328,996043,1088192,1019828,1032354,1052051,1259599,1701800
1135952,1146210,1025024,1076133,1014072,1058837,1051723,1229312,1617346
1138426,1147545,1009706,1089929,1024953,1049501,1038403,1250876,2355460
1141188,1148720,995338,1093809,1027446,1050505,1081280,1234771,1598098
1136364,1146495,1000917,1107460,1027029,1048284,1085482,1218683,1756636
1137030,1147864,1001176,1082120,1021322,1040408,1083038,1263182,1543887
1141777,1144394,1006405,1094955,1027222,1047441,1053992,1250382,1651610
1134448,1143210,1007698,1102451,1010859,1045125,1083732,1249673,2426008
1134356,1146852,1002497,1087602,1017105,1058702,1063343,1258005,1609081
1142719,1146553,1000770,1082195,1019766,1044987,1079530,1253409,1494309
1135615,1147113,1005359,1096636,1021481,1048724,1098575,1205191,1514053
1137716,1148104,1010394,1089049,1017924,1053832,1081840,1269284,1680840
1146342,1150926,992524,1091279,1015447,1050183,1092572,1248372,2560686
1137202,1148725,1002088,1106762,1020420,1060049,1076808,1208680,1575514
1135793,1150908,1004907,1089553,1021042,1058911,1088474,1255847,1459021
1139505,1146694,1006233,1088224,1011500,1036825,1084212,1427533,1399951
1135318,1156161,994500,1090857,1027288,1049288,1060891,1340530,1522230
1132409,1147208,1005058,1079571,1021365,1058098,1094907,1299780,2532246
1139571,1147913,1000188,1087667,1012159,1063368,1081457,1208730,1544172
1137321,1143718,1011411,1088839,1016160,1061657,1060320,1283066,1823646
1138004,1146875,994214,1108195,1036807,1064413,1089759,1194201,1535873
1142180,1150202,1003107,1090204,1035187,1050689,1068962,1268178,1691430
1133061,1145618,1012222,1106285,1016848,1044421,1075423,1209533,2644307
1135692,1142740,1015711,1084721,1038551,1051975,1083566,1254667,1544196
1140861,1149434,997534,1099280,1006460,1041156,1098557,1232237,1480659
1131728,1146003,1005190,1086869,1017209,1046615,1102499,1238244,1521562
1134384,1145652,1006018,1082926,1012276,1042065,1104146,1213716,1629901
1144503,1145338,991849,1103722,1020565,1048161,1044891,1223314,2476643
1134213,1145136,998235,1087716,1022680,1048209,1054881,1231389,1583554
1135020,1147251,990584,1086982,1023062,1043805,1031872,1243929,1520176
1139958,1145893,999491,1087223,1008948,1066270,1079336,1220362,1449848
1132451,1153194,1007763,1081964,1007848,1057273,1059998,1306376,1549330
1134466,1144899,1030386,1089871,1038947,1039031,1088907,1215751,2184230
1121007,1148800,994151,1088734,1013772,1047243,1088370,1242863,1507682
1133471,1146498,996385,1092137,1027984,1058653,1084790,1200510,1434505
1131674,1144232,1009749,1079522,1019348,1045245,1060276,1225266,1847067
1132764,1146357,995410,1088849,1018117,1048135,1087256,1203879,2451076
1134794,1144610,991073,1092156,1022796,1040953,1068732,1238913,1497633
1134145,1148597,998865,1086517,1038671,1056340,1083165,1450715,1463131
1135467,1150961,1000341,1091334,1017628,1042574,1118993,1343842,1400558
1138293,1148287,1001752,1111622,1018110,1039487,1125208,1292866,1590520
1134847,1147372,1015106,1078631,1018194,1058247,1086381,1214662,2467937
1136538,1144190,1012753,1090046,1030476,1044015,1100793,1245759,1914071
1135959,1147133,1006702,1088010,1039590,1056849,1070012,1222448,1515409
1134949,1140613,1009906,1085006,1025761,1062634,1111985,1254883,1452927
1134810,1141062,1011374,1104746,1029486,1051888,1099188,1214288,1577603
1134553,1142138,1004470,1098564,1019528,1036907,1099431,1252782,2284497
1137063,1144316,998636,1090536,1012165,1042210,1093552,1236120,1491418
1138528,1147008,1004938,1100974,1005882,1049314,1105038,1261521,1512368
1137403,1146670,1007883,1089710,1009917,1059552,1147754,1260678,1746455
1135102,1148840,993113,1098156,1029217,1059216,1108645,1262184,2337042
1135908,1144838,996873,1092791,1026946,1056702,1103019,1219010,1537435
1136772,1142715,1001748,1093218,1013780,1047221,1124643,1243585,1480175
1137895,1144196,991747,1109832,1024834,1062357,1106462,1226205,1447090
1133482,1143869,997398,1096472,1009680,1060377,1093034,1231547,1600293
1133237,1143219,1008485,1076056,1022021,1064218,1112913,1236885,2405004
1135961,1144508,995534,1093612,1029004,1042153,1120633,1231782,1558742
1135785,1145896,1016913,1089201,1029974,1068328,1116887,1211593,1746369
1136112,1144267,999143,1090175,1020380,1046671,1111712,1254724,1505371
1134143,1144192,1012836,1090381,1035088,1039336,1095633,1221209,1696357
1133966,1144148,1006764,1091623,1018275,1050007,1311060,1253887,2299615
1134997,1144129,1002767,1095448,1023565,1044452,1052932,1475772,1587665
1136476,1143326,1008864,1097787,1009133,1066468,1008011,1320040,1499699
1134145,1150927,1005315,1083372,1020542,1063981,998652,1225837,1455943
1134298,1146233,999581,1089314,1010228,1064727,1022667,1230221,1632986
1133307,1144197,1005904,1089309,1021741,1053157,1006661,1254129,2497174
1134473,1146739,998102,1088589,1018711,1045327,1001739,1199553,1587251
1137836,1146447,1006654,1092996,1017467,1050415,1056343,1255309,1480582
1134520,1142486,1014193,1095543,1048940,1047539,1008027,1225010,1449260
1136085,1143090,1005593,1088915,1019114,1051455,1050681,1274475,1564081
1135388,1140127,998712,1094715,1011661,1044493,1070376,1216332,2346156
1132810,1143484,1013859,1086074,1024339,1038306,1049679,1241989,1463151
1133958,1142946,999306,1098674,1021165,1025562,1028590,1211194,1718613
1134366,1146068,1011849,1096651,1018381,1044805,1045261,1229563,1443173
1136746,1142299,1001308,1093145,1017082,1039905,1035108,1225241,1676427
1138920,1141822,1006056,1094905,1023558,1046000,1035466,1240726,2288423
1132421,1143338,1005572,1094358,1013433,1050210,1066941,1217231,1579231
1134750,1144398,1016084,1114245,1023790,1044310,1070676,1292886,1499526
1136127,1143419,1022530,1093203,1017144,1037408,1063989,1231728,1432379
1137251,1143179,1004831,1093042,1017155,1061951,1086188,1295607,1643556
1134804,1144701,993221,1097903,1023420,1052163,1110778,1236370,2470073
1125534,1145291,1001143,1085540,1006591,1031830,1102568,1239757,1660375
1134850,1145842,992580,1092592,1023014,1058583,1100993,1209871,1478218
1136566,1146821,993284,1087948,1021600,1044081,1105057,1228480,1404640
1136492,1142002,1007110,1078735,1016706,1056794,1061762,1482590,1554197
1136076,1145647,1002901,1088197,1024789,1056992,1051101,1304403,2593494
1135756,1145833,997575,1090291,1023075,1048198,1121240,1274520,1555437
1138631,1144732,1005809,1100894,1019422,1042553,1096448,1212605,1471924
1134531,1145531,989538,1083096,1021199,1046291,1095257,1263877,1795424
1142599,1142558,997838,1088168,1023068,1056666,1089838,1263236,2333548
1135467,1145030,997950,1094984,1013962,1075207,1088700,1223452,1524595
1136391,1143622,1003036,1092311,1051908,1062781,1052519,1267167,1488358
1142695,1143012,1003004,1102826,1017112,1070949,1063949,1251539,1423510
1134382,1141505,1004182,1087805,1019682,1062908,1074462,1222705,1649684
1136100,1142968,1006389,1112743,1026942,1056062,1103436,1265150,2304901
1138108,1145988,997863,1085944,1029353,1052032,1125329,1251332,1844791
1131188,1142726,1003077,1095773,1035176,1066577,1102456,1223640,1552705
1134695,1147343,1003425,1076888,1020727,1041614,1090807,1248741,1449155
1140162,1143739,1006756,1091383,1019547,1064262,1084502,1254578,1581613
1135679,1141137,1015832,1087321,1020921,1049039,1051409,1241927,2471283
1135704,1143463,1001483,1093636,1018842,1058758,1087457,1258273,1591702
1137665,1144396,994850,1105152,1023092,1036838,1091095,1259711,1457563
1125422,1140957,1013869,1097583,1042851,1061531,1086325,1237716,1738741
1133259,1141450,991603,1089970,1020860,1067213,1112797,1237822,2388161
1139534,1141630,1011952,1099061,1030183,1050157,1094095,1258197,1507756
1134448,1140123,997491,1089102,1024836,1055270,1103334,1209447,1470231
1137542,1143875,1009808,1107316,1022532,1055228,1095842,1250899,1423295
1141315,1141499,1008527,1111200,1016156,1053664,1070448,1468028,1635567
1136438,1143967,1001205,1092714,1027969,1067035,1085405,1300748,2234154
1134871,1141959,999719,1092073,1024012,1046790,1084357,1250949,1528228
1140760,1149912,1011949,1092942,1027845,1051811,1070561,1215804,1765082
1135290,1145515,999246,1088183,1027600,1080664,1082930,1220516,1540180
1135386,1148366,998198,1093323,1023129,1048605,1079324,1212299,1626118
1138609,1140181,1008780,1089143,1019085,1060423,1106430,1244357,2416399
1136011,1141480,1006931,1091272,1020066,1053078,1060473,1218465,1542950
1134456,1142181,1000580,1084587,1010022,1050554,1086060,1275807,1458560
1142042,1144370,1000789,1095883,1020072,1048750,1066859,1211196,1413685
1136396,1141328,992955,1087978,1009367,1058797,1073086,1260406,1627218
1136106,1138878,999023,1092988,1021937,1061835,1097270,1227066,2411778
