SHIR FPGA b16,SHIR FPGA b32,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b1024,SHIR FPGA b2048,SHIR FPGA b4096
201352,217557,294144,352874,483587,740147,1356915,2596557,4462324
200363,230215,300329,351091,485334,732839,1383925,2401606,4420145
204214,218730,294742,350666,480626,738162,1364616,2389493,6028096
199775,224100,293039,352033,471795,740302,1366532,2394414,4641022
196755,217185,290822,355741,485642,747191,1355098,2357665,5445724
206349,217696,299728,359461,479362,741296,1380279,2359708,4513841
199280,243153,298619,349009,477124,727395,1380295,2371828,4468551
202619,247574,292205,350383,484327,732162,1349848,2318163,5033523
198605,247372,293724,352932,479236,726933,1386021,2358898,4502119
196172,243128,291211,356976,484552,726231,1358859,2339506,4437422
207451,239336,306460,353514,478108,730497,1381514,2366779,4680445
201731,268383,295953,353373,498426,783635,1360035,2336822,4482135
200223,259235,292625,347468,481560,753624,1352732,2371742,4448403
211516,237906,289800,350428,497188,722096,1319460,2364852,4408020
199868,239084,297818,347055,475661,724569,1357229,2352906,4415107
197826,256897,294618,352689,500845,728506,14406019,2358689,4379766
202820,251493,293303,355283,476633,719756,1387931,2348486,4717545
195980,243045,293792,353557,475739,721921,1377756,2336329,4506602
3890654,234187,295343,349597,475343,722050,1384801,2350312,4447654
211834,236566,298725,362347,509139,725189,1373797,2550359,4417007
202392,289781,294516,360020,489353,728047,1365293,2385598,4408499
197193,339041,292294,359459,490789,719976,1535704,2365811,4368626
201331,270940,293714,366298,492648,725128,1286166,2368687,4668240
199741,279772,291828,353174,483859,721672,1241368,2374978,4496327
200007,269750,294360,349626,497042,719200,1244319,2341500,4491606
201680,278675,289465,346599,479164,719780,1323405,16155345,4396467
200835,269626,291023,345892,473395,727575,4230337,2341911,4444526
206319,268718,296066,355177,3705296,717324,1293402,2359186,4397945
198851,270859,341895,347279,478906,717452,1282142,2364021,4419829
201394,263405,311860,350303,486631,721210,1293014,2359758,4627670
212018,272766,290762,353235,480697,20035562,1294432,2362237,4551490
202172,265659,295367,355367,479872,729230,1297844,2366623,4481672
195849,261505,296804,355012,469275,722268,1305696,2354702,4468191
202796,249808,300925,353291,479882,723351,1277751,2360281,4427403
198739,249640,297599,350281,478507,734046,1332279,2454759,4676112
226758,297596,293055,359603,478394,727184,1342409,2566021,4570300
214705,280287,288316,358789,487518,724141,1390948,2403865,5413001
199273,248694,307893,363537,480275,711956,1438435,4774229,4500281
202788,260826,300060,354594,479250,720962,1428550,2361500,4447503
197581,269098,288434,350882,480414,743827,1420434,2352126,4437477
207309,4113278,288032,348743,481714,718976,1419472,2334409,4395170
202870,333944,295752,351900,474792,717006,1415083,2359375,4800587
196114,278411,298592,350562,490521,724233,1421741,2357901,4552797
207101,265252,289747,353596,481859,718736,1433398,2344222,4458525
197687,265051,296235,353121,475592,725648,1433639,2375059,4510244
195510,276869,299961,352177,484544,713351,1429692,2358239,5219191
200360,263520,305250,351441,475344,746601,1421671,2345518,4429878
199390,264717,298938,347668,480475,723567,1605498,2367947,4652936
201461,267410,292545,351532,484756,723337,1540692,2352960,4544544
202134,268013,292424,2543340,488180,726084,1541243,2361330,4472222
200565,277435,296188,362261,486520,729259,1497409,2338522,4443737
205017,268283,302561,357489,483039,717889,4710798,2351501,4388521
199640,274074,293398,350843,502058,744112,1490242,2354715,6219154
200607,266645,294231,353811,478958,718010,1465298,2373787,4705572
201605,262937,300333,369862,480106,729578,1458564,2373339,6887401
200958,275489,297923,347019,478351,714623,1443542,2544345,4489832
199537,263255,294876,355292,486897,736021,1461338,2412583,4464256
202687,265125,297775,351805,486571,729088,1437229,2387129,29376463
198709,261512,296590,350161,476559,714225,1445183,2411749,4393507
210212,252963,295495,354683,501827,740938,1412842,2339768,4471021
199193,256278,306403,352878,473984,711824,1494847,2361869,5348000
198338,250326,301473,352564,478809,24718652,1379146,2353599,4558765
200429,287609,290662,361280,477788,721514,1413456,2345580,4487553
199374,258054,294619,357402,476760,741650,1388265,2353081,4564788
194919,257362,293096,351440,479598,719230,20791983,2347614,4432046
201230,265701,304241,351342,478620,728785,1403319,2342759,4719667
199164,267599,291318,353088,496373,722189,1417245,2382380,4551301
204772,257577,299140,356727,475418,715157,1413871,2349890,5367160
196980,247800,299921,349659,478637,717578,1377094,2347332,4544142
201102,259083,308581,373505,481644,712376,1374954,2387686,4412945
205537,269692,292699,350619,476819,718779,1379063,2355496,4397983
200299,277626,295221,357020,483595,715962,1384323,2359177,4425774
198531,282500,298891,348316,476490,724135,1394006,2538100,4628548
201123,281995,293805,354619,480017,715240,1410857,2428403,4604014
198527,288673,308565,357472,475188,718123,1388708,2360759,5363198
204242,283972,289785,350344,475562,712844,1411966,2370134,4469169
202109,278061,295406,352297,476360,722537,1394962,2336005,4451651
200770,278174,296933,360004,478913,741927,1334592,2369294,4377596
212089,261727,297757,362933,499504,714046,1373652,2343933,4657996
198174,262711,295196,355876,487298,717892,1389161,2335154,4508683
197899,264220,293119,349105,3054706,725479,1406269,2364375,4519452
204712,259994,296846,351613,476753,730075,1338488,2337546,5339509
202403,269394,297585,349155,501364,732273,1386742,2345578,4467501
203387,262091,309783,347831,488040,722791,6960331,2335806,4400634
197726,269501,296141,345936,482001,713328,1431205,2372168,4681716
200936,270088,295822,354307,487727,716532,1376878,2351320,4571285
207779,267511,299505,346702,477535,723421,1429248,2335485,5437465
199918,271982,296539,349006,483499,719158,1408074,2349205,4546207
198098,264971,304997,349105,475171,716558,1391440,2375376,4461168
202749,266862,295851,355404,482764,722206,1385857,2386515,14728593
202829,240633,294105,360162,484918,709713,1399461,5364111,4447735
208726,239721,297533,352820,482717,732115,1398287,2585840,4672627
201029,254918,298335,354013,473719,721977,1409865,2353981,24534297
199248,239528,301679,364335,477528,713988,1401372,2378352,4523406
208778,248166,292313,373649,478955,714705,1376635,2347686,4446904
196779,247171,290210,353143,480427,720186,1391212,2362532,4414375
199151,247205,302080,353013,487623,712654,4676440,2372136,4732349
203098,232671,307899,352915,474645,715929,1577227,2363155,4502799
200045,239762,291680,357301,483344,723176,1569693,2353930,4479543
202352,249546,298627,349222,476744,717827,22175836,2370755,4454661
199197,248711,290630,352101,475435,736833,1345076,2380159,4430846
199685,245748,300950,349550,478762,719890,1250670,2359427,4413610
209109,240965,291640,353144,487835,732708,1334880,2342452,4388673
202132,252199,293936,347149,483745,736499,1312594,2372534,4770649
213549,247419,293071,349948,477378,722242,1304822,2371530,4521642
212242,259165,297224,349896,477632,719915,1303016,2355416,4452744
199901,244410,305760,351939,477164,715857,1301272,2365428,6205941
197652,254976,294910,354406,497212,720614,1309292,2376618,4841569
202176,242581,295254,350123,473936,711181,1242804,2377539,4440824
198090,250450,292229,358682,498304,717977,1315263,2351269,4694296
213733,245001,291989,358668,480752,724551,1308530,2540747,12784812
198691,242546,292461,359424,502774,713489,1311985,2446322,4476077
197280,239858,294370,350303,479288,715914,1271394,2426822,4414204
200149,246844,295358,352726,482197,728612,1284535,2410771,4422440
197773,248083,3698773,348776,475605,729515,21608967,2401195,4370200
207661,247906,293838,349069,481136,714849,1337619,2361121,4629968
198616,247136,295051,346499,492471,738655,1325349,2365207,4551216
199235,235603,302669,366612,480661,716164,1332706,2359902,4466319
208766,247047,291453,345092,489448,714733,1316078,2354253,4465044
201948,234759,295150,350107,477638,719124,1361737,2375689,4433233
203569,245092,288993,350699,479259,718131,1395945,2356856,4371974
198865,243600,313838,352874,478966,712298,1386734,17603458,4410635
200607,250569,296125,359869,473884,741274,1366731,2399420,4695471
206262,238482,295831,351660,474037,743660,1388015,2378681,4504926
200372,239930,295319,353338,482742,733649,1323016,2403438,4454727
199304,236319,294882,359560,482918,738592,1359059,2371401,5252587
207504,235595,302793,362561,498221,736202,1414325,2578494,4473478
199188,231928,292461,355763,479655,713571,1362538,2444056,4672696
200645,254648,300326,350376,475079,720955,1352985,2377522,4497078
201163,243700,293426,355518,480563,718372,1338996,2353849,4424357
199867,239840,301314,350129,480850,710887,1343569,18908426,4413891
196834,236818,306107,349212,478986,720829,1346724,2358569,8339606
197654,242579,289923,353500,3779513,715190,1394582,2349540,4439377
198512,250974,294575,352149,477806,734647,1348057,2405532,4421485
202329,241856,295282,366271,503980,716421,1413095,2363983,5474136
199498,247906,301261,354949,484241,732903,1345438,2365618,4561348
198337,241185,301626,344785,497678,718513,1322854,2377947,4470103
205673,255131,296767,355508,483586,721559,1346858,14731968,4460948
197596,240125,297899,351885,479923,714332,1376828,2446197,4410265
195195,239209,300094,348645,485770,715482,1379348,2422288,4367348
199247,240395,300254,346461,480252,723755,1373516,2375154,4690017
197500,244944,290263,361600,480337,718532,1295643,2399833,4516304
205893,236313,289520,2411454,486816,735769,16826117,2397123,4495788
197769,239031,294666,349618,493883,739540,1295993,26409714,5197441
197825,232078,301640,351071,483898,717653,1311854,2479039,4443554
212761,236835,299930,349240,478372,717064,1276857,2480094,4481310
198589,238477,294552,353683,482827,722873,1349546,2564761,5424560
198655,246460,295183,348315,479081,712350,1318044,2423840,4547030
201944,235233,301186,353921,481603,711991,1309927,2395820,4471063
198058,236237,301931,351276,481700,731050,1349369,2416968,4432216
199536,250034,291427,369035,477057,722325,1331022,2466432,4406406
199314,242663,297676,349434,472337,712304,1334541,2368621,4425559
