FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096,FP32 eager b8192,FP32 eager b16384,FP32 eager b32768,FP32 eager b65536,FP32 eager b131072,FP32 eager b262144,FP32 eager b524288,FP32 eager b1048576
29308,37464,59707,77526,90474,96332,142755,351848,482921,864086,1790599,3570523,7944287,13643142,31021114,60130077,106212435
29697,36676,59852,70665,115728,96530,179987,371141,448275,992378,1806414,3509370,7918553,13543138,31018796,59790844,106576621
28750,37064,72802,71477,118002,96170,167491,369671,463792,951175,1819204,3588246,7928656,13625877,31015613,62019188,102927994
28510,37299,58997,66514,116135,96157,201913,346465,610440,969373,1782116,3558496,7953903,13610361,31035065,61806320,103868916
33947,36537,60913,68295,117869,96043,160999,457553,540440,990083,1827101,3569627,7915378,13596089,30979791,61596613,103515197
30019,36015,59480,70663,105888,106785,263712,311596,462754,898399,1780212,3566605,7975075,13571278,30942990,61673629,106942442
28745,36313,59682,65738,113701,94801,266178,283277,476104,870777,1803383,3626351,7938001,13590903,30972096,43638952,105397443
29394,37638,58011,70448,114544,92479,324801,328218,464528,950881,1798012,3569882,8001179,14897722,30422642,44239369,106903926
29859,36156,59848,70061,104726,94497,285116,322420,468296,906915,1744221,3546376,7977114,14908316,22443396,45891681,107071651
29647,36749,58657,69891,119221,94067,316304,374894,600884,942760,1782342,3567796,7919569,14847527,22444485,45313795,106806963
29110,36066,67562,69807,110725,94231,272152,309782,521812,1008410,1786187,3521169,7957899,14839122,22467565,45724078,102213751
30511,36694,59683,69174,104977,93850,186485,370667,548969,985935,1772129,3621123,7924474,14924691,22529934,45614075,102742825
29663,36967,63460,82400,120083,99211,192464,375061,504974,995400,1804216,3572733,7845001,14793037,22500840,45347953,96648856
28861,36202,60831,65532,118052,95643,229008,355533,444214,950198,1803776,3581106,7917584,14892587,22535150,45428015,93263047
29069,36111,60743,78385,102732,103455,300766,348881,590867,936473,1812176,3588795,7958923,14885763,22535106,45598095,93763270
29847,37126,71691,71009,125360,121420,287800,368076,566497,870453,1769530,3606870,8005984,14888643,22438378,45491579,93654615
29766,35988,61617,70372,116156,117659,271387,345983,479242,934978,1788311,3572378,7885486,14942890,30640485,45466146,93247555
35690,36617,59835,71739,100606,122133,224147,328361,487215,969666,1790095,3525804,7940762,14827912,30719767,59434144,94977179
30301,36422,59026,70256,114925,120486,273682,362520,468442,821420,1788303,3602450,7978631,14941888,30703204,60138260,93301693
29224,41129,59828,70661,115994,117882,300697,429035,434543,886660,1775543,3599500,7906949,14829621,30713515,44895532,93675581
29168,36453,59377,88642,118813,102640,292724,248654,605553,1005503,1770007,3561410,7946054,14851186,30695362,44372620,115303845
29200,35971,59692,71996,103649,119660,264743,292596,560680,858263,1775270,3543203,7928081,14867596,21746508,44693592,113446878
30452,36031,58178,70051,117248,105145,300543,304246,519014,982720,1774965,3609076,7905153,14876234,22570209,45003662,114058584
