SHIR inductor b16,SHIR inductor b32,SHIR inductor b64,SHIR inductor b128,SHIR inductor b256,SHIR inductor b512,SHIR inductor b1024,SHIR inductor b2048,SHIR inductor b4096
414347,557503,702513,1311671,312130,432611,673318,1598271,3157148
447463,551659,723099,1317738,337280,432581,660471,1517262,3472696
431597,553337,719468,1316520,329430,420496,658415,1524657,3156364
427852,539433,688089,1301629,319441,420191,653295,1468804,2963356
428026,556270,704760,1326300,324620,412073,642286,1572325,3044276
433079,553579,680487,1326686,327983,413381,643626,1479353,3177723
424672,551321,682418,1317596,328888,407832,639210,1614362,2939484
420880,553565,709919,1316569,323424,453740,616352,1463077,3245835
433557,553242,709975,1315461,325394,431614,617149,1565144,3405235
427247,532117,688319,1306707,323060,422433,654372,1474471,3228842
423799,532810,698226,1309538,320836,434155,879419,1566546,2994554
430014,529979,701808,1303841,313748,416445,664420,1537273,2871180
434575,523160,700451,1309264,318050,434541,745522,2058387,2784293
416302,525533,706702,1318108,340057,434334,651104,1701613,3271167
427567,527818,705419,1317444,319190,409900,776019,1570467,3186267
434500,525676,701730,1313761,316522,422702,929543,1949021,2939289
443558,525983,708897,1327775,322286,443273,841497,1681528,3461773
375662,525353,686487,1328196,319294,416669,897635,1657498,3211548
376694,525350,688633,1314864,342179,409891,691396,1604366,4472107
385636,528039,712504,1309364,323051,434832,681326,1628915,2850244
373594,542195,721231,1314300,319258,425736,913249,1642889,2684904
374042,514236,710470,1307601,317799,417315,766977,1500881,3287374
383611,514101,696890,1325754,343665,433097,638564,1664233,3146275
376932,517081,706942,1311978,331495,420257,644528,1465525,2998817
376964,515422,685377,1333776,334810,410141,786361,1611086,3532768
383436,513195,686593,1305208,331514,437918,656997,1601254,3566428
371648,508085,731819,1302484,343592,436932,640369,1577080,2988380
377369,509377,709541,1305853,318639,426820,626637,1581913,2937289
379949,507459,746316,1311329,322739,425415,614141,1527453,2891996
373979,510407,716736,1309485,319428,444026,637280,1450127,3270939
382695,510052,711893,1309080,319152,417886,627105,1455346,3678041
383320,516468,711237,1324661,337933,426589,626326,1443351,3514168
375182,522505,715120,1321272,332268,432122,900647,1483926,3166970
382332,497877,695950,1311720,342557,413905,646533,1376639,2995898
360754,498142,725099,1320188,322351,428759,633215,1455202,2835716
359915,500467,728190,1318080,322529,438679,659026,2120496,2885683
364593,492445,705431,1318459,322711,406252,629396,1707514,3340152
361124,484138,717631,1322466,321372,428101,810571,1533179,3184218
359312,493496,718136,1310135,337053,422055,862059,1669054,3254544
366238,492458,709287,1311787,344706,419880,723634,1782581,3530090
359100,498828,725890,1317867,335776,424472,783277,1659565,3199894
357269,498651,717719,1312893,330024,430039,809206,1651465,2999079
365881,500766,694371,1312227,347430,438490,648613,1546352,2972862
358192,497493,720678,1318705,323567,423264,709388,1560350,2804896
368660,492656,702067,1310193,311165,415809,661406,1555559,2867099
361206,490881,707178,1315204,320702,420174,873183,1511420,3304307
361618,480397,719324,1305928,328260,427768,687888,1563733,3277214
368771,478030,689590,1320850,324736,429655,883745,1490074,3450470
359814,481869,709367,1319662,317961,429797,642935,1513973,3152526
359912,486288,711449,1306983,322474,436991,627669,1504480,2957625
379204,484331,724444,1316567,317163,417124,862072,1512371,2868280
344854,478185,703777,1323828,314345,434903,781653,1517470,3158834
345552,477650,704001,1311711,319378,425536,714022,1529742,2955670
345349,475767,695556,1303921,319970,404392,818148,1581619,2804254
347354,479718,701099,1321609,327851,414806,701215,1510011,3048164
350587,484358,693294,1321668,319767,421076,903571,1635685,3166415
347366,482401,714227,1318874,345353,425381,731549,1461227,2998869
347439,484198,716204,1322230,334843,427561,750997,1483386,2945407
352707,437304,716613,1310372,330223,431753,751949,2282842,2837561
346992,438110,700909,1315211,324453,434783,847838,1731091,2782276
354069,439509,696546,1316972,319581,420780,836448,1585622,2951820
347070,444582,707172,1308692,319442,428302,752563,1653239,3362665
346653,444412,756954,1324137,325505,439894,671953,1699299,3172673
345094,438309,788255,1304040,320077,417119,674033,1655904,3026853
345268,439350,743777,1315070,328259,413304,839850,1666009,2918170
352449,439351,810539,1318741,311265,424376,774566,1698349,2927348
346259,441947,726344,1326388,308676,427397,834909,1651689,2672727
347503,442900,735650,1313748,322585,420289,693574,1684215,2881742
357546,437804,735500,1315854,322733,415304,852704,1556436,2772000
333321,440308,717286,1312754,334192,418184,663061,1610754,3318343
