b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288,b1048576
73184,96552,128969,120590,77222,117527,157860,414180,693528,1425078,4324381,5562105,12506644,22292107,65702715,80403581,138231872
71126,92310,135515,120029,79835,113853,164523,395061,670706,2230502,4229336,5154440,12482483,22299693,65411961,78705393,140943666
69654,95775,125683,120694,80957,98353,158634,383244,654884,1292284,4329541,5560342,12590481,22431498,65719842,77485366,140261890
71652,94570,125812,142108,80764,129398,156832,375845,625415,1416419,4356034,5572440,12574356,22467687,65368411,78791427,139969999
71872,93183,150346,130553,89977,124744,178101,391974,795985,1344713,4321253,5552822,12602462,22410815,66284854,79275754,141427318
76384,89526,122769,126334,77959,141285,172684,443478,685018,1366381,4378989,5579135,12560748,22408058,65229626,79016700,140498664
71651,98794,123832,113367,79354,121109,182275,387707,696665,1363302,4236805,5567988,12691979,22472501,64951454,78478133,138324972
70947,91323,134747,114352,77274,123398,212858,413334,659309,1329436,4235715,5617585,12487535,22461898,65226889,80177649,136975901
71094,94498,121826,116207,79244,121670,187795,423280,612617,1362767,4262967,5533885,12708687,22449009,65129562,78770756,140043261
70799,91813,123340,110008,91051,121784,190650,385410,604973,1400795,4312901,5368439,12454734,23158598,64796941,78688489,137262992
70862,94828,133993,119429,76943,116928,186607,407528,713492,1298186,4285335,5556060,12590298,23159397,65534685,78593355,140421681
69331,91505,122843,110355,78208,117913,293751,360011,694559,1390517,4314408,5520516,12605341,23224118,64363789,78809354,135836099
69412,91362,133702,836632,78373,117282,235188,359660,748609,1376404,4095997,5529854,12567752,23189844,65542484,79349938,139115917
66599,91900,127411,125176,93016,117301,288750,341900,667019,1358159,4369079,6095530,12787577,22443092,65194339,78644313,137026676
68776,93664,123556,129129,78139,113039,273494,443188,634157,1386555,4321720,7367695,12513697,23156388,65380286,78910891,137818900
69586,101775,98592,106303,77084,116512,275754,354278,647530,1375423,4281240,6818574,12599245,22439046,65197353,77603874,137074758
82733,87136,116958,106090,79077,111353,280117,454012,644539,1366474,4225450,7376561,12476000,22432107,67007704,78716731,136205228
1050365,90394,96058,104103,77778,112564,300887,311792,632442,1403244,4230029,6868072,12505448,22350043,65325236,78632125,139657088
68579,87380,99768,113031,76041,110118,326076,387276,727131,2851326,4402357,6933604,12563741,22507466,65232429,79522862,140245739
71213,86876,97945,106843,77386,111474,312777,370326,692375,1291410,4367875,7398032,12489980,22449152,64926177,80085041,138815029
69705,102514,112562,109126,75282,115222,290292,388366,658082,1371822,4290575,6882667,12629559,22451847,65360872,78699701,136721891
68684,87795,96839,101585,85737,111241,295802,365081,621627,1283507,4279873,6952763,12746230,22396133,65374140,80148563,137704068
67331,88693,96189,98708,75700,110638,315225,395304,625537,1319474,4352455,7449251,12413220,22691256,65224892,78796027,136239162
68839,88611,82389,97676,75178,110291,272891,392727,677695,1339101,4297181,6945265,12521202,22431729,65629847,78577768,136822646
69430,89799,85870,98013,76303,107757,266430,376126,1956681,1350197,4409116,6914171,12659038,22515515,65409498,79010050,139771314
65918,90870,94430,95929,78103,108609,299066,485239,683116,1324221,4322049,7241917,12440980,22511748,65391393,77514215,138293467
66689,88316,91037,97090,76799,105888,274466,410024,658515,1346715,4274288,6841298,12527097,22427177,65318577,80752463,139162713
64150,87538,102747,102619,74672,109432,317161,372006,657110,1343589,4316908,21189430,12638054,22483730,69063460,79592736,136410557
66706,87401,95505,94702,74648,126341,301465,392874,744051,1371337,4282279,6796359,12611974,22380925,70067306,79033935,137115359
63270,95041,92941,94174,85436,106602,325187,378965,760081,1325788,4250987,7174383,12683074,22428195,69026041,79200291,135619241
66441,84858,94673,93744,92598,117216,286252,402337,648435,1322270,4809069,7111567,12643492,22393074,70114591,79042588,138460453
75406,84473,90362,93895,91322,105336,290291,414504,667008,1271478,4245814,6923287,12533804,22350094,69429408,78260630,135137591
65232,86768,93118,94281,101666,106075,270055,417143,594540,1319551,4159972,6851578,12477404,22409556,70940928,79209729,136144709
64557,87084,95176,92703,98934,103134,303119,474473,623759,1219821,4214125,7089264,12512901,22418977,69219263,79514538,140252887
65292,86737,85400,92119,90067,101983,338685,392180,781713,1318846,4365730,6407826,12495557,22381227,70883812,79138122,139194469
64720,83483,86975,88748,90116,114346,291282,343811,692253,1300170,4302980,5527371,12498824,22482920,68857515,80055254,138358205
65538,107836,75990,87798,96806,101986,312023,352987,630257,1313180,4299739,5510797,12512850,22384646,70517543,79302004,137237971
65543,86998,79513,93098,91091,171421,279670,364495,649366,1336222,4174638,5515332,12519737,23088145,69114457,79154866,135632788
66601,83619,88563,94122,93469,112955,285017,353785,616084,1359138,4331840,5495921,12585071,23171354,71418309,79449685,136987276
65906,87523,87822,97812,90019,117988,273436,346253,605879,1285596,4342534,5467333,12540620,23044739,69084956,78133274,136499775
66739,84359,80508,100341,89074,108817,294009,389715,643557,1330902,4234678,5501554,12501649,22960167,71550227,80367003,139004086
65667,81904,74985,101003,107871,105962,303285,357014,719494,3073675,4344344,5486124,12437830,23094089,69181574,79446522,135591819
72318,81349,75052,87583,103194,108553,308781,384328,724712,1278796,4270486,5466618,12573214,23115832,71493265,80260075,136547865
61662,106305,76527,91244,88750,106292,293952,390472,1800794,1585831,4303370,5517670,12652244,23024654,69528848,79505258,135527630
62975,88673,75620,90973,103396,106592,263962,387573,636193,1352077,4386790,5496175,12530389,23130373,71454177,79540538,135891766
63134,85606,73101,102638,90400,105038,278626,454215,615746,1405700,4277191,5470268,12534126,22367196,69540347,79424215,136378639
61279,83573,74357,100573,91037,94542,270633,397321,761921,1396264,4267712,5497144,12653138,22300220,71570687,79681471,137250505
63127,81462,79546,85421,90078,106805,286709,415371,734696,1432202,4362027,5527047,12623560,22339376,69678021,80572272,139019111
61540,78997,76493,86824,79625,107346,348780,464229,1905766,1350013,4374853,5519272,12574239,22292798,71842534,79222585,137352000
61953,95121,81221,84847,90079,122666,302211,535069,673096,1452856,4190469,5505654,12693335,22365631,69665407,79606951,136386626
61900,80668,80142,88908,89189,102047,287579,383569,630444,1349616,4241226,5510433,12548236,22350402,72160624,79288730,137487727
62887,81430,77170,87516,79772,113198,305498,344878,711934,1441554,4450017,6616524,12565555,19801587,69444688,78891417,136710582
63055,81878,76336,89483,90732,104743,308679,402709,790374,1381994,4324582,6863318,12554787,22169727,71861186,78377135,136824107
73610,82707,76022,83702,88717,106572,285250,393253,734628,1461304,4656547,7034625,12499821,22213560,69819334,76788516,136938185
62364,79241,72904,82657,96718,106019,309606,420077,713372,1372862,4375147,6745467,12565513,22373057,66865740,78289524,137743529
60552,80197,76263,89486,98761,97789,289707,458390,691779,1521198,4544177,7179835,12552690,22192003,71145085,78349116,137785841
61181,82095,77969,81493,89310,92616,296729,382959,646629,1356422,4231008,7099204,12508400,22335635,72450967,78435867,137418002
62215,82477,88532,92307,91730,96639,395149,408585,739095,1393188,4368708,6579295,12486987,22208369,73737984,79758321,136227158
63328,80667,83602,95473,90017,97428,305763,382070,726170,1362466,4288092,7268607,12945596,22339789,76480365,78434616,137165672
61435,84266,74630,93353,100178,98791,281076,422008,719770,1448895,4422816,7292430,12994205,22219435,81803898,79207183,136465909
61805,82851,77033,83285,91541,104247,312305,396673,731655,1422316,4388962,7024860,12895074,22228560,76334570,78301862,137801344
61618,79554,74754,91554,71747,109897,319584,388929,654727,1436423,4335985,6928823,12796741,22292047,76263298,77327884,137405350
61092,79408,77444,82767,83485,94518,345663,401465,643655,1388443,4421965,6926124,12807454,22026894,76325806,78015676,136832604
58874,80400,77043,88454,74794,93662,311421,368928,652492,1451565,4371737,7230205,12813898,22100337,74366236,78111023,135789899
61854,81628,76833,80037,73610,101046,309885,385158,785147,1373582,4336956,6776759,12876895,22264187,75601401,78012903,135264837
58746,87940,75470,81165,74032,105051,312603,365948,1963283,1469547,4459756,6841715,12926813,22253239,86417746,77951459,134970693
67086,82597,76317,78735,74677,103021,313359,353587,719385,1372688,4341481,7310529,12954486,23007247,75083304,78092359,138238641
61815,75629,89962,81183,73862,109355,305041,365603,626157,1544442,4421979,7220011,14449878,23032450,75676388,76621521,138028769
60390,77353,72267,80940,74355,96465,313068,377892,658329,1370978,4330842,6736640,12522049,23104963,76180522,77064658,136031056
61642,77137,82653,79900,75159,104224,392217,406847,602804,1491295,4425479,6898431,12802708,23066032,76107714,76791826,135698432
59347,79541,78074,76847,74552,116568,241517,427914,800326,1387464,4472172,6853221,12962689,23085241,76369698,76259500,135792666
71948,77225,82691,79858,73919,93680,241193,365544,728780,1473275,4353127,7249236,12705252,23056018,84526537,76978468,135663038
60641,78956,72407,79608,74602,111639,231878,368914,680410,1404626,4323233,6887315,12719455,23088036,81084182,76820096,135289083
59419,80254,77736,79690,72173,107697,207983,413021,620197,1384765,4382722,6782797,12861987,23094212,87645111,76774478,134468119
58730,90249,72327,80331,73613,104164,227407,418265,631531,3095045,4405338,7235104,12887474,23157480,75619237,76465094,137575625
60932,78370,87865,76889,73734,103333,216079,381745,576505,1331580,4314985,6905464,12783720,23067383,86583698,76264230,138193258
68974,76924,73922,81313,79413,105443,273232,374240,693071,1381372,4349169,6834843,12752138,23088172,102655918,76498517,138339709
59805,74283,72549,86368,75129,108835,259330,390545,744416,1307455,4368201,7224778,12657136,22359498,76295774,76673823,135612513
57079,76423,76575,74961,72319,110633,276676,359296,683523,1522730,4324905,6657325,12773774,22168125,75910575,76758165,138595915
57919,76254,82729,77164,71954,107368,277508,3752908,688172,3060935,4448412,7003459,12470674,22076072,75800836,76817001,134389081
58949,79264,77678,75304,73866,106604,267267,378945,622043,1309647,4321217,6858919,12714110,22152623,76297214,77324307,135550874
59769,73325,78062,75061,67835,112850,283648,362923,628476,1431262,4278681,7328167,12455960,22096886,75690509,76799178,137554229
58388,75847,84214,77839,95909,124572,306918,369670,777606,2946852,4411741,7256716,12694213,22120681,81581819,76668025,136556467
66507,74578,76019,76689,94382,108667,298737,375202,745342,1322658,4366786,6782085,12592740,22106862,75493328,76833797,137207654
58428,75537,73644,77237,94411,94966,327224,362007,674925,1413755,4381400,5959984,12667484,22103638,85078299,76819679,137245332
58396,73627,76680,74286,91344,93012,300617,392659,630227,1371847,4420533,5526474,12548392,22128711,74807567,76911939,137734797
58352,75415,76571,75898,93195,102572,326494,400724,656248,1355269,4377367,5467277,12401463,22070049,74773552,76420750,138587685
58332,77756,74214,77224,93160,91866,314702,360386,614946,3038718,4391223,5451366,12306680,21979265,76720437,76616838,136398966
69582,75163,72851,77514,96026,108280,314169,375784,623978,1325157,4383000,5501253,12319693,22068254,77900218,76424480,134250109
58044,74092,79387,78673,93122,121487,319307,390660,780773,1382464,4314982,5555422,12447435,22258093,81415134,76433142,137584929
56715,95281,75340,76357,95340,107934,302801,406678,759748,3037976,4387315,5509540,12415087,22026400,75427212,76585396,136868806
57607,77042,75860,74177,91995,98838,455116,399017,668756,1264535,4402910,5488666,12339060,22091554,76736917,76308968,138247933
56800,88712,74125,77448,92165,105346,270793,394194,661490,1359707,4331481,5488042,12352038,22062401,77518132,76437549,137217882
58672,79435,72252,74708,94126,97205,300198,367466,659929,3055410,4289217,5472344,12535212,22196755,76984336,76323847,135445830
