SHIR FPGA b16,SHIR FPGA b32,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512
182512,207591,223806,257112,308218,375265
178763,218609,225981,276864,311995,375629
192729,205740,245039,261617,297664,363391
177934,217172,244623,258996,324406,373906
178427,202415,249250,259526,301443,356883
194199,210041,232907,260144,305547,362594
180466,208031,225944,261758,304340,374363
180489,205508,231754,275506,312069,380674
186040,206765,228364,258760,297601,729072
182848,206130,225211,259657,307453,427042
180527,212999,224036,257480,300105,394100
189593,201253,236511,257664,309730,387653
183476,213765,233301,262398,306513,394299
178060,205411,226057,257567,302156,402943
190024,204800,227718,260402,4167728,383399
182792,205356,237273,277730,428934,383007
184359,203965,238754,261145,321660,396591
187587,206748,224592,260134,322186,386601
182351,204914,224834,258987,302997,11191862
181140,213716,228958,256034,313816,375310
188370,206677,243215,259518,318752,378593
181897,212573,235327,256975,306832,387821
179791,202892,231665,260098,298053,385955
180863,204515,236022,259078,309682,383243
180770,205707,223828,284201,306270,383989
179176,206775,224965,273539,327621,392341
181449,209086,225761,255976,315296,365051
180994,210486,227689,259513,308856,368805
180926,215786,268971,257715,300353,383306
179077,207948,229025,259103,304349,377364
180559,210551,227637,255882,302265,370064
181400,206938,236905,262865,307596,373793
178585,205205,229111,264716,297977,370803
181052,205698,232237,263102,307791,369052
180868,205184,224596,263491,299465,363244
181006,210043,221178,278130,303295,379108
182184,210720,232092,266197,307851,372512
179602,217166,232958,267292,327290,387915
181656,208011,225060,261952,297399,378385
182435,214332,235356,284213,302147,376567
181155,209908,225508,267525,316198,369431
181165,208486,241563,265788,302169,380665
189213,206276,227916,264969,300434,379752
181057,203747,232931,279474,304229,368363
180244,204668,236026,262765,297007,366548
181951,202092,230523,265872,304679,395077
182093,209833,236645,266617,298304,367625
180554,203694,234030,259198,332084,384307
181957,205637,227745,269841,306125,377580
181421,207918,228862,260885,305484,379210
180572,203637,243596,266601,295311,381484
185000,204283,250991,284456,310944,367348
185620,205352,229540,264605,301725,381681
182423,220181,232959,257480,305231,394896
184439,202241,229096,267129,293433,361043
179091,211021,233922,262808,304052,365934
182620,206571,228785,258237,300398,9420951
187356,207836,226724,255517,309625,371974
181727,206773,233455,255083,303024,365714
178481,211434,223373,256257,306796,381173
188685,209291,227151,253670,298914,367298
180232,209476,223625,253332,303213,378811
178215,215459,228620,256214,308986,378201
191033,205473,235530,256133,306253,363093
180118,212483,227321,253989,296217,365309
182582,209231,226273,253943,308305,381283
186076,202975,232890,251245,298694,365244
180310,206646,227207,253544,318996,364368
180200,204371,227604,253669,309563,368977
187226,209307,230137,255407,304679,381867
180143,211089,225949,254342,295192,391077
179872,212067,233124,255075,307178,365426
187356,207087,226438,255407,298669,363404
181211,217190,228582,256393,316814,374326
183821,208888,232714,256335,305400,376808
190063,210925,227149,251330,303127,380661
181855,205266,227072,256100,296248,365292
180346,205145,230008,253586,301898,384675
188331,208430,13483540,270037,303449,372819
182299,207722,247010,253367,318764,383568
185264,225545,239663,252502,300215,367924
190329,205887,228161,251219,305724,368333
182596,218154,228989,272148,313684,367957
182137,205804,235505,256327,305933,380161
189345,204425,226308,252162,305634,374032
181261,206495,228874,265641,306051,389508
180619,202117,232381,2664285,295244,375309
208265,209680,242822,254629,308149,366494
187797,207026,248622,255883,299138,378328
180920,208879,223615,254703,312930,385576
190080,203036,228362,251630,294806,392003
180075,221542,231210,256802,306330,378788
179776,203947,239066,257417,313213,378269
184565,206245,233595,252272,307151,389275
181602,205457,222718,252389,305363,377030
178446,209392,224036,257001,331390,363304
186759,204734,227520,268455,305873,356988
179802,200263,225557,254979,299994,369844
180247,212672,248807,253988,295453,360988
178388,205852,246375,256766,324805,364611
178871,221115,221783,257847,292422,385052
177932,204740,225707,256025,315242,392520
179115,202917,232924,252160,312761,367523
183484,200893,232446,253647,307299,366321
180636,203753,223535,251846,300410,378807
179263,207964,224816,264833,301994,393856
183032,205973,233764,263402,305279,10201370
182207,211068,230275,273892,309245,364465
177744,203019,223477,265459,296617,364996
183801,213924,231001,261050,306350,388500
180646,207407,228779,259176,297239,378430
178937,203918,226110,254448,320684,367642
182677,206377,235205,257418,300740,378027
178454,201927,231373,276974,302356,376516
181142,202372,225363,253935,299021,375597
180852,203501,232609,265600,320055,365229
181053,217919,243746,274286,298719,365539
179922,206351,243621,260442,315549,388042
183435,202572,236766,257909,295877,395666
181085,203991,237729,251231,319572,376285
182712,206727,222304,252178,312997,379907
182426,205081,225345,250368,301386,391055
180751,203773,224204,248879,314436,364173
180408,212026,247828,250752,315087,361631
183868,204411,246767,252245,17234894,359291
177299,209989,230229,252508,304714,390397
182512,205439,224852,251746,331679,364967
190153,203607,229794,251941,307662,359285
181148,198888,233042,250664,300675,361190
180178,205793,226014,253128,307123,378117
197753,201307,232342,254053,297069,376347
180677,203251,229674,250894,320503,366211
179242,213968,222905,252053,305374,375295
188615,204619,223927,250823,328712,396766
177698,216293,232114,250401,306943,5335548
180826,204561,232776,248865,303899,365392
187030,206746,236406,246830,299254,387433
181432,206897,224060,252669,301932,379694
179540,205923,228902,250787,309587,377958
185747,209455,232049,254611,316041,374259
179882,205386,228614,250329,301696,378462
180795,213411,227445,251780,309618,380559
186313,206975,228948,256535,338454,376493
181211,214443,222086,262257,307490,390755
179504,206157,237764,261411,322303,371679
188560,202056,224507,260123,303028,375442
181083,206703,232733,250543,297149,359657
179869,203373,229169,276775,303515,379208
187239,202044,224863,258195,300146,361138
178509,203106,230940,254148,310081,374558
181847,211193,230526,257759,295454,376237
179452,200880,224413,249276,306399,393323
181331,204187,227567,249934,295249,360720
186927,201546,221771,268669,453899,365059
186957,201759,233894,253640,355319,385009
181441,207434,231712,251913,306951,374223
181455,202931,232132,250419,318247,363338
189387,214123,237912,250828,304833,364147
182123,199612,223936,249954,305088,375705
181147,218455,229991,248438,334178,395354
178756,205419,231048,249420,307380,361731
181816,201861,233494,264839,301487,369126
182291,207693,222948,249239,297563,391954
178457,206616,240990,249345,302175,368277
180536,201327,235084,251105,305200,373482
184376,202300,230973,253232,332729,371656
179795,211989,226242,253761,294209,383419
179856,208301,225434,256749,298231,393820
179062,228664,233882,255312,299573,382176
178059,205879,224909,270832,333224,2547451
181486,205409,224091,246843,314548,388027
176961,207831,228078,250950,302764,374451
180353,202384,225763,250118,298967,371977
181111,205505,223524,249485,300458,374188
178484,202499,223394,247701,307852,380730
178576,217353,223645,264406,306704,359724
181999,203527,230916,249752,298859,379153
182788,217648,230653,266771,304327,376356
183948,199404,224606,248977,305272,370128
182615,204519,229207,251867,325709,372593
182291,205319,224923,248467,300136,366586
179138,205469,226084,251950,302106,383449
182645,204478,223859,250259,298648,362958
181855,202170,223812,250398,306772,363689
183186,213874,235298,250790,328261,360787
180576,203526,224666,258401,314984,367735
182721,204658,230839,3593600,297808,384105
181472,202429,223551,250466,321056,379591
184012,204340,231574,255539,305524,386344
181085,204025,225527,252464,308873,369432
183241,206212,222083,251507,299066,375422
181628,216746,226639,252994,300402,377997
193431,201106,228797,250983,304267,375658
183332,206946,227140,251089,310775,375724
188748,204348,230609,251468,325612,355890
182861,201445,225154,263085,304745,378834
182716,204099,234280,258249,316532,365143
182232,204715,230871,257445,315842,378567
184051,207024,222981,255533,302768,375027
183412,203795,230712,257371,301057,371976
195483,215830,230666,249369,297656,390095
180450,205355,234266,257708,308713,383056
182230,213358,232832,249253,299561,376017
192601,203472,222272,251773,305031,363506
183803,201993,224031,248390,299012,369039
180645,205779,235661,248840,305626,363390
199503,207477,221546,248161,303919,366476
182798,208178,227804,250224,301235,380241
182484,203926,230158,247140,298455,360312
197330,218037,238787,248339,305356,374097
183486,202005,230325,248973,301744,362929
181171,210654,224585,251148,310417,373452
188623,202390,234488,250217,295798,373734
179309,204611,228667,251346,301807,358217
180700,206714,222738,268401,297757,376387
191785,209200,224291,253240,309697,377312
184476,206047,226818,251725,295451,357944
181422,206222,225545,254670,302675,358440
200604,212440,228031,251310,293158,393583
184501,198504,226350,251520,315364,372657
180382,207883,223779,249253,317020,379239
194537,205415,233977,252383,303348,376438
181660,207931,224559,251474,302115,389013
183449,204450,248379,250056,302470,373361
194482,201575,13519528,248864,302002,359612
183086,211948,272497,251459,303142,363298
181632,203932,232288,258381,15244533,373896
194429,211548,228539,263179,323538,380214
180682,204820,225334,275883,309455,373257
179218,200706,232290,255937,315528,385729
192023,207021,234803,258148,315819,362154
181632,203278,224745,258941,307608,361257
181223,205892,224728,251238,316181,375511
189506,203255,230142,249758,324739,375225
183360,215552,223752,258299,303020,373324
181691,205607,227663,247979,310646,377919
191594,210812,234758,253528,310070,385794
180485,206610,232960,252444,309954,360154
181943,206852,233206,251814,303363,373945
190798,204938,226870,252693,308223,361701
182225,204434,225674,253649,327006,1778402
177750,218885,226656,265633,307498,360868
185615,208191,223664,249732,308158,374750
181792,2771235,240949,249779,320803,360151
178858,214402,230953,248743,306049,359948
190107,206391,225197,267408,305323,383632
180785,203903,239396,250098,301982,380705
180795,202057,224090,266186,328032,375954
185892,204391,224125,266222,325798,374967
178324,206658,227925,268231,316223,367537
182014,206385,222969,268464,306571,392694
188579,214324,239496,251178,321496,378801
178355,204450,222753,251274,320023,361628
178696,207006,232877,250568,307017,360108
178236,204706,232874,249884,303933,372739
182085,199194,223915,249557,316349,359344
179932,203305,225203,251839,301225,359875
182131,203323,236303,250469,308469,388927
3464019,216934,231491,251322,301442,394264
180303,204679,236620,266696,325801,381440
183535,204952,243980,263307,312204,374037
179454,203854,240314,268596,317629,390722
179800,205348,231821,250149,300600,360860
179825,203666,224910,248011,306990,372598
181024,203238,252266,253482,303790,392468
179492,211381,252969,249991,312230,390916
182881,202736,228228,250512,301079,356872
181167,211978,225610,248298,307349,363610
180482,205967,225552,252534,296172,363109
184095,207161,229344,249122,301943,377233
179120,202528,234788,251880,342473,1807594
178806,201629,225209,248801,305457,376153
187406,208830,231521,251762,297146,358197
180797,201855,225252,254245,302496,373581
182024,208497,243175,270192,14599408,370588
182905,206062,244296,268573,320576,385438
181775,202116,234540,251465,302530,361251
179524,205068,228755,252129,313639,361379
191135,204538,248424,250387,299067,387321
181314,215528,224313,266275,303256,370729
180224,205635,225350,266464,293260,363059
191335,205111,231267,251672,325738,377449
179756,207811,227967,248948,307738,374578
180925,200931,228387,248799,304385,361330
196590,203165,229841,266168,299868,382366
182641,204583,246041,249892,307486,363531
183426,204498,241161,2537281,303774,392349
191830,203052,225983,250523,308746,380720
195586,209473,261243,254705,299071,360803
192007,205174,241326,251802,323922,366936
193696,205133,229024,270509,306510,387806
179281,203466,249331,254012,302799,776963
181907,203253,257313,247671,313639,417202
182095,202052,223664,247635,323407,391318
181140,205635,221359,248360,297913,392715
178865,216738,232041,251341,307278,387139
186396,205153,224125,251066,296771,374118
181157,211878,224517,251426,322864,386148
182402,203145,222726,252309,294552,394725
182488,203078,223524,264600,302465,2292782
178460,203663,231556,249840,307427,376126
180994,201597,234749,249814,310120,373584
183320,215873,227222,247180,293401,387149
179402,203280,226530,266312,309089,375105
182137,216250,225080,266722,313762,385148
183677,205371,228554,248996,314172,363454
180274,202105,235978,249479,299087,388085
179556,207396,225271,250590,323271,378288
189541,204678,230243,250323,299722,376162
181502,211416,222813,249609,304878,382906
179145,204790,231381,250049,305833,385975
180437,215942,223578,256211,307292,374949
181773,205980,223302,255191,297784,378597
181135,206786,226357,259520,306745,393277
182729,207657,224820,264556,306827,383300
180939,207292,228151,260139,331146,363637
179585,204453,235387,261371,296769,366286
190468,209613,231226,254693,303521,388376
179494,221094,228600,257637,298130,382823
177921,205044,232400,262236,310725,365403
193466,201274,237481,265575,295221,386796
180967,205659,230736,255924,321054,363246
182314,203225,224282,251414,297759,383330
186662,203669,233093,247805,325290,379889
181314,203635,242074,247814,14144526,394932
176796,215061,225831,246911,311974,358754
183939,201590,225693,252707,303598,377227
177468,209098,230504,250713,322553,370569
178967,205545,226829,247266,307904,369549
186062,203209,241531,266290,302255,369022
178968,207294,221537,250099,301640,9576548
179682,210658,233408,250013,300789,438964
180039,213520,234975,250948,307684,369378
178108,200955,228342,265586,311632,380120
176273,208921,226630,249787,300033,368939
181695,208615,230079,249473,306254,397530
178743,204393,234164,247871,313381,363946
179072,206356,225404,266594,307437,367486
184945,203845,224353,252039,297427,379452
179659,205388,224583,246197,308686,376813
176808,223592,228940,267134,298737,365809
177331,228209,224080,247199,309993,361038
176818,207021,222796,249826,304420,361675
179596,216965,224173,249831,299403,366706
177257,205779,226500,249611,298644,374038
182381,202294,230779,247237,310804,364722
178913,206757,230185,249126,307969,376797
179643,201337,226011,250959,302241,373913
181151,202713,238556,248054,293847,374139
177012,203752,232825,247829,303713,362465
179082,207968,231307,248411,306772,360557
180239,227375,230373,249455,314980,394654
179576,226767,225148,247613,300234,362486
179341,203974,241201,259583,321016,375261
179389,201756,222525,258310,298586,373115
179030,203456,221445,259245,309509,398504
177727,203179,234019,261915,302115,363597
179775,217200,229356,251383,322701,362597
180694,201051,225201,269792,313618,357598
181787,210153,223012,251257,303853,362322
186208,205910,221784,249094,303498,384453
178271,202611,229102,255760,309090,358723
181118,202041,223709,274759,314983,372223
186730,203518,224934,259055,309474,374820
182256,214303,225616,251792,302146,375407
178353,204895,224453,268029,315888,376151
193867,210133,240938,257249,291695,371924
177836,204027,223365,251324,301287,373131
181995,208688,223294,247138,309925,3891416
184111,202237,226919,251134,319936,704506
178842,201113,223858,249290,303487,403190
179268,205072,226823,248023,302442,378171
186030,199913,221374,250166,293538,374348
180722,240229,226180,249294,304174,395558
180838,219117,229656,249272,316167,369555
186322,210665,221906,252751,311280,372079
180517,207146,225724,252127,298994,367861
178752,205405,223997,256526,307674,377013
179762,204822,224080,247870,301692,373185
180815,201182,234772,253909,309839,364784
179222,205902,222789,250876,302602,384864
185667,204518,226450,266242,303579,366400
181603,215942,235009,249122,292999,364211
179384,205399,227035,249747,303270,374585
181390,201180,229483,249790,301839,376205
180367,204617,226002,259851,299216,361749
181238,203123,10634871,3383847,296812,358535
179893,204262,231673,253640,303336,359895
181321,206771,240198,252044,322846,363871
180263,211938,224468,248634,308240,363242
182176,203073,229486,248019,297953,363282
181858,203468,231010,246476,303621,378787
178770,207418,232769,248698,298459,367984
179610,201812,226245,252793,315606,364511
183420,207794,227656,269860,298427,378356
186423,202023,226259,248915,323440,382210
179935,215026,232468,251604,314110,361088
181492,204469,222823,251919,306788,361903
180717,213227,229197,248722,318925,364937
179820,206715,230256,249881,302017,359821
182571,203534,227282,258607,296046,359635
179517,202992,226570,277513,16139146,376985
179792,203229,221008,267138,317244,373124
179372,215250,224094,249941,306771,377698
179460,203779,233796,266545,301554,365393
176705,214578,223883,250771,303120,362649
190321,203850,229166,249248,309455,381611
179307,204928,228607,251291,311814,362902
177651,202189,224714,249381,298341,385979
185677,210642,223361,256335,303663,369414
179880,207713,223914,259398,298946,368147
180301,204081,225967,262000,329535,374281
185619,215589,236557,255351,295816,373675
176878,202042,225331,260408,302105,379643
178030,205737,232463,260339,300668,361776
187703,204313,224416,252812,303049,377010
178956,203618,226552,252554,303663,389378
176495,207306,233187,247305,306588,364116
187669,203994,224063,250087,290924,371421
180957,232892,227745,248119,305677,383212
177422,209863,225876,251062,304795,362329
188853,210633,223457,270008,303902,375635
180136,204252,228212,268398,296244,370490
177307,201811,223390,252007,327407,360170
188539,209443,222467,248041,310343,360533
179311,212371,241850,252322,311642,361763
177694,215299,223479,264631,297857,370635
184652,206009,230735,249701,303053,381504
179787,210076,228067,250815,295297,376745
177969,200755,227592,249709,328653,10126529
179421,202197,226891,245890,298583,386897
179788,202847,222653,249020,301022,377388
178276,205519,223338,247974,296732,387281
180665,199124,231310,250628,332692,372639
214654,200423,225904,249845,305652,374444
207011,207098,249882,246058,302460,369085
197518,208117,243631,265638,297553,377352
191040,200235,222969,248701,299830,368492
190320,202295,225350,249096,302592,370850
192346,200794,227213,249922,311644,363892
188360,203522,226323,268998,313392,374050
190887,201971,231679,248397,302089,377550
192733,211303,230532,248558,349962,382343
190411,200768,224044,251637,327963,472109
197207,203811,229285,249914,303607,360720
192954,204173,227827,252651,310162,377996
190890,200440,231739,249822,300010,385607
202927,205360,240049,249192,307731,363610
191492,202685,227287,248792,326128,362122
190574,211099,239845,251522,304128,360903
189433,204238,221653,275979,291848,371126
191501,211348,225855,254662,303415,375537
186843,204010,230052,266522,296493,365035
191909,207305,225469,252070,314286,378847
189340,202439,221632,264076,318730,375222
195644,199463,223936,247061,297775,359795
190700,209148,222518,246060,294138,379456
191384,202149,231413,257106,319403,372031
201644,210270,223380,258302,305274,377874
190918,205895,222635,258629,303327,363101
187682,200379,224021,260061,312467,373120
196223,201931,225389,273148,307014,369605
189685,199092,237866,259147,299658,366740
189728,220357,234377,261909,317944,358755
194619,206169,223537,259837,297800,366849
191166,206741,232533,252767,302306,369531
192302,202947,227920,260171,295044,366157
193309,206920,237239,249115,317409,378259
190538,204884,224627,247251,313883,376104
208445,202465,222765,251803,305189,360107
190103,203032,233117,249153,316677,358984
191563,203513,224595,251454,306451,366181
192559,212910,226822,247531,303140,365719
188698,207140,228657,267740,304128,360174
187895,202416,226714,249372,311913,380137
192696,201773,225259,248271,305868,360309
188209,202971,222607,246747,301945,362162
194067,203419,225281,249580,317512,379819
189303,207962,234252,251438,294456,360564
191171,212892,239373,249794,305682,365748
196796,202827,238116,252201,291099,382078
191093,201755,239203,250576,310728,362017
190316,205233,224072,267491,307224,367009
192484,199875,225567,253475,306771,365358
188427,203560,225144,249468,315087,362914
