b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288,b1048576
54175,53359,58052,65766,41096,53986,49569,69203,136356,190096,273832,349901,706833,995648,1684901,2947280,5894628
52009,52133,55105,64188,39175,43150,49501,71158,118327,189129,271921,348549,666170,988966,1727264,2925011,5506622
54081,53027,62970,64671,38660,43285,48567,75492,111082,191666,258847,354932,677897,980200,1663727,2785575,5799582
53733,53933,56488,61277,40526,42316,49410,68748,119669,191975,266956,355291,704244,983239,1758292,3046551,5885524
52837,54048,52894,63892,38404,40689,50933,69136,113937,187247,254903,343036,692427,1014568,1699800,2976834,5898569
51709,55347,51409,59530,40184,39602,48753,68385,122881,198660,259881,343055,662769,1009296,4040338,2894026,5751471
64510,63024,54978,60575,39200,43065,49355,67364,135948,189967,267701,357152,688948,984410,1698337,3283365,5925243
50964,53401,53050,59454,38214,39162,47048,66373,118975,195878,258875,356973,679460,969588,1680739,2886552,10936808
51287,55017,52772,107374,38105,38963,48584,69475,116017,200653,266786,359258,664695,1027853,1676650,2867284,5799134
50703,54105,55284,63509,38504,41523,48292,69505,122532,190600,252206,353422,665883,969983,4669260,2952181,7178673
51887,54582,57469,89027,51843,56506,58343,89485,111399,188509,263349,367715,674842,968790,1701120,2966033,5677940
54221,52610,59419,62880,38552,43632,50249,80849,110849,191190,256477,365810,650344,1001599,4957701,2984571,5783718
51277,54477,53437,62212,37814,45799,48727,74850,106800,189162,259262,367743,693002,996463,4406123,3024252,5765894
50560,52511,51505,58248,40179,44858,58135,71051,136670,196041,261069,359826,680281,981747,1697661,2922433,5718445
49056,50723,48819,57896,37554,41237,55730,70294,125800,199700,260756,365376,691700,986816,1688884,3185321,10549423
50127,54579,57908,61497,37289,40844,55963,68321,116197,188020,254106,364412,703602,970904,1682460,2844817,31999117
51236,50523,50034,58902,39191,43176,59482,68164,120538,187569,258944,356544,684697,1011819,1734815,2907320,5790976
50510,54111,51456,59414,36664,40760,49270,68645,111532,191303,280424,370500,684899,1003139,1662082,2916074,7819152
51135,53938,44117,67953,37471,41008,47673,68189,110824,199157,275330,359168,695264,998190,1697178,2899631,5602580
63009,51659,42750,53646,37432,40893,48766,68844,136161,194416,265399,366809,694128,974348,1646092,2887485,5656180
50110,51626,43615,51866,37726,50698,61004,71139,132129,193081,283972,369279,705542,1014911,1654888,2853324,5643362
46905,52581,51249,54955,37418,42234,49515,68924,129467,194023,272416,370533,701852,987912,1717513,2877935,5485974
56569,52372,47100,55377,37333,41041,49298,69392,116188,210807,268056,375105,666152,1009246,1744993,2926622,8172245
46950,50250,49277,55169,37450,42682,48244,70501,130232,186988,255722,417956,670797,994088,1711921,3075825,5552892
49460,50302,48153,51206,37392,44477,48524,72129,134890,186820,269246,342876,689708,1015387,1689716,2906805,5642129
47782,53642,48748,51375,40010,43335,50392,68687,118556,188994,279777,354369,667943,983571,1696011,2888390,5614570
47543,51656,48058,53454,40355,43679,47966,69834,122643,195402,270802,346024,709490,969978,1695452,2870099,5617594
48108,50090,47708,51085,37733,44076,47237,71326,111665,184512,250730,342507,702027,983056,1695038,2937544,5704858
49149,52145,49789,53213,42130,51325,49515,70224,109061,184139,263091,350004,691733,996468,1680216,3099635,5551448
48019,50158,47042,50038,39543,42055,48623,86823,108604,190893,259326,338093,691207,993833,1697497,2919153,5612737
