b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288,b1048576
20726,29861,20377,22242,18587,17802,17790,18000,24216,26500,28769,28383,30589,28469,27452,29038,34195
20707,20195,20300,21850,18463,17801,17641,19018,35401,25214,28292,28729,31021,30251,28774,29186,34975
20673,19953,20139,21872,18110,18271,17703,17681,28735,27783,27609,28486,32736,29683,27177,28502,65377
20363,20501,20466,21408,18222,17961,17780,18263,27584,25749,27832,29518,30944,30678,26268,29471,34089
20390,20048,20040,29778,18039,17941,17933,18733,25337,26932,27356,29395,31091,30678,25497,41507,47994
20242,20501,20020,21345,18062,17847,17832,19099,25275,26875,27368,28357,30818,30492,27498,29075,57200
20569,20533,21792,21160,18146,17905,17974,27386,25670,28236,27457,28993,31840,28978,264885,29023,30698
20668,20483,20588,21383,18327,18315,17878,23206,24356,27211,26394,29073,31284,30064,26436,27094,418145
20697,20024,20246,21282,18183,18160,18186,21873,24152,26262,28457,28360,31192,29087,26842,29139,30387
20371,20291,20070,20923,18077,18176,18473,19681,27647,26229,28239,28943,39319,29688,27546,27750,35944
20602,20044,19856,20643,18278,17641,18491,19210,27077,26409,28015,27958,30988,29588,27396,29173,53942
20613,19984,20077,20988,18185,17647,18537,19233,26464,26977,27157,28178,32329,29403,26556,40776,29715
20221,20013,20040,20975,18037,18012,18182,19182,25626,25764,27726,28347,31620,29908,27163,34785,35072
20187,19805,19884,20801,18070,17753,18065,19001,23658,25705,27498,28475,32243,29866,27577,28974,64694
20610,19912,18930,20631,18025,17872,18120,18672,23803,25561,29065,27909,30529,30360,26368,28396,33257
20543,19961,18835,20373,18051,17629,18273,18255,27597,26201,28195,27504,31610,30375,26162,28608,31720
20518,20162,18906,20856,18213,17834,18158,18466,26880,26491,27854,27792,32612,30155,26373,28955,31105
20361,20432,21328,20462,17993,17709,18222,19274,33369,26495,28332,27525,31254,30100,26985,29774,33589
19888,20277,29271,20543,18037,17900,18096,18901,24809,26971,27464,27864,29544,29306,26586,40541,51172
20075,20016,19864,20707,17982,17819,18036,19947,25793,25860,27521,31748,31344,30826,26456,41950,31026
20135,19542,19558,20315,17849,18097,17900,20119,26988,26850,28626,27500,32158,37332,26290,38209,36618
19888,19944,19453,20302,18723,18235,25033,19990,25608,26459,28261,27287,31824,29765,27707,27541,31361
19821,19758,19402,20308,18566,18222,18016,19016,26489,26738,27791,26529,31597,29190,26007,29603,33686
19970,19636,19377,20437,18203,18264,18184,19650,25084,26080,27311,27612,45192,30167,26438,48498,32311
20086,19873,19311,20096,18591,18121,17848,19441,25172,26559,28116,26939,32635,29253,26061,30940,33726
20274,19614,19590,19945,18242,17816,17817,26159,25563,26426,27781,26953,31216,31476,26710,41199,57997
20170,19514,19274,19569,18101,17743,18108,22524,27723,26166,27820,27615,31380,28230,25921,28186,32148
20395,20031,19435,19814,18010,17696,18015,20499,25851,26393,28156,27550,31062,30011,26836,29780,33085
20364,19690,18615,19910,18329,17763,18044,19620,24515,26504,27701,27439,31463,29497,26685,28716,32564
20045,19794,18523,19918,18230,25060,18288,20545,23434,26654,27882,27686,33081,30141,27382,30230,32547
19970,19642,18500,20160,18174,18104,18077,19585,24141,25746,27868,26998,31663,29807,26162,27278,54836
20047,20275,18480,19943,18208,17806,17845,19058,24931,26948,28318,27178,31276,37864,27398,29962,30797
29759,19636,18413,19693,18223,18297,17923,19417,27849,27034,27387,27564,31839,29455,26562,43888,32596
19903,19648,18476,19418,18341,17819,18143,19364,25731,27819,28032,28111,31726,29860,26121,37031,29960
20125,19604,18481,19672,18457,17868,17732,19654,26670,26017,27477,27672,32361,30192,26204,37697,32262
19730,19532,18510,19786,18288,18180,18047,20259,27466,28622,27801,37328,44483,30147,27000,29941,29984
19421,19190,18242,19931,18554,17910,17880,19496,26262,55366,28757,26940,34884,29681,27079,30257,34537
19673,19325,18526,19920,18261,18168,17899,23399,24854,26642,28865,28770,31472,30100,29740,27817,51400
19881,19685,18396,19855,19600,17863,17946,20125,27521,26592,27610,38516,30671,29417,28074,28413,31174
19787,19505,18475,19636,18624,17775,18189,18967,26098,26253,26641,27666,32263,29954,26561,33914,33684
19857,19694,18354,19476,18481,17763,17927,18904,27539,26731,28783,27551,31287,29474,26883,28994,38416
19651,19505,18444,19245,18628,18314,17945,27309,27706,27336,27891,28607,31205,29740,26143,30982,29557
19686,19369,18390,19296,18568,17768,18114,23181,26272,25810,27646,27329,31466,29813,26256,27684,57294
19740,19540,18442,19281,18275,17729,17970,20471,26130,25816,28437,26564,31838,30751,27427,28972,31324
19776,19358,18595,19369,19070,18114,17834,20308,26703,25659,28890,27790,31979,28003,26254,46968,42711
19692,19624,18452,19461,18541,17742,17781,19324,26358,25500,27655,27626,30962,27882,26790,34048,31848
19446,19403,18473,19329,20066,17669,17685,19505,26083,26451,27831,27341,31373,28433,44489,30985,34614
19523,19233,18349,19021,18409,17761,17724,20917,24278,26807,27499,27276,31138,28326,25819,31335,36650
19687,19446,18439,19006,18609,17917,17656,19205,23419,27751,27852,26891,30470,29390,26387,32106,30051
19747,19363,18414,19287,18634,17904,17863,19899,23710,25423,29330,29045,31284,27346,25841,42440,31740
19798,19468,18372,19127,18531,17885,17963,20935,27966,26986,28520,27388,30301,28096,25608,30243,31817
19900,19268,28302,19010,18517,17930,17932,20072,40761,26251,27628,27265,30168,27690,26536,30696,32019
19565,23341,18321,19209,18721,18032,17714,19593,24399,27736,27297,26155,32274,27921,25961,30010,53931
19926,19348,18123,19079,17803,18086,17725,19580,25715,27269,27388,27017,31952,28074,26212,29870,32736
19457,19512,18099,19264,18115,17965,18700,19222,25242,26567,27958,28396,30907,41737,25739,29897,35320
20032,19557,18388,19267,17794,17925,17776,18773,24764,26902,27635,27705,30570,29446,26532,30424,31861
19679,19280,18341,18969,17907,18103,17952,19303,27527,26434,28632,26235,32448,29299,27587,38512,29164
19660,19457,18396,27619,17968,18277,17632,18737,28682,26247,28025,27356,31930,27867,26928,31279,31240
19651,19406,18485,19108,18124,18511,17713,19043,27049,26237,28157,27203,31308,28865,26620,36129,33057
19452,19330,18297,18919,18071,18338,17764,19756,26392,27097,27318,26486,44936,26881,25516,30017,49080
19395,19291,18207,19150,17981,17921,17799,19862,24067,40697,27596,26252,32989,28931,26233,30780,30505
19558,19292,18195,19021,17884,17690,28413,26852,23928,26920,29138,28097,31089,29569,26571,30668,33375
19772,18773,18244,18819,17959,18183,22323,28636,27926,26380,29912,27415,31457,27746,26394,31099,32941
19504,18982,18350,18717,17876,17814,19427,20802,26294,25789,26469,27109,31648,28263,25958,45815,29776
19450,19166,18170,18730,17870,18264,18868,20027,25672,25946,27838,35472,32349,27786,26151,29788,30850
19481,19205,18189,18941,17914,17988,18606,20392,25543,26265,28220,26294,32348,28720,26533,29290,31573
19491,19572,18201,18725,17972,18165,18630,19734,25531,27366,28629,27084,31891,28007,27469,28249,29890
19452,19370,18222,18833,17818,17837,18429,20673,24031,26604,27416,27280,32372,28151,26174,29172,33125
19469,19532,18282,18852,17954,17813,18584,20395,28194,26286,27801,27053,31851,27952,26570,27983,53168
19320,19293,18177,18731,18021,17715,18826,19679,26088,26474,27683,27087,31204,30727,27783,30354,32606
18936,19453,18245,18833,17872,18001,18630,19382,26318,27703,36601,27250,31395,28090,26120,40054,34380
19015,19195,18129,18663,17791,17997,18458,29464,26366,27925,27713,27853,31522,26653,26753,29667,32086
19100,19350,18129,18748,17658,17692,18365,21152,25703,26510,27436,27079,31379,28437,25821,43433,33457
19202,19332,18067,18746,17537,18125,18455,19977,24658,26665,28366,26525,31397,29660,25954,33658,42004
19141,18976,18157,18683,19140,18212,26343,20095,26872,26559,29003,27987,33197,28854,26417,29674,28292
19209,18906,18133,18566,18767,17782,18717,19985,25914,26436,26452,27802,30161,28627,27656,28427,33618
19290,18891,18223,18760,18856,17884,18706,19850,24586,27340,28254,27743,30847,29172,26513,30081,30175
19388,19140,18224,18613,18781,17909,18537,19465,25069,26846,29104,26700,32036,28455,26280,28132,32387
19433,19294,18353,18608,19071,18319,19890,26797,25286,27587,29092,28331,32430,28185,26471,30455,54025
19096,19345,18248,18728,18975,17833,18895,23142,24867,26563,27188,27014,31489,27547,25861,45099,31167
19431,19017,18279,18824,18952,18129,18951,20654,24132,26677,28375,27039,30867,28200,26146,35003,36112
19325,19441,17971,18579,18811,18022,19158,21092,26968,26911,26964,27524,31753,28635,27398,31962,29783
19308,22018,18176,18771,18422,18521,18906,20401,25503,27331,28533,27711,31409,27963,26238,29310,34266
19410,19463,18227,18764,18471,17763,18367,19535,25213,25632,32236,28017,31413,41709,26776,31957,30830
19251,19390,18200,18491,18522,18012,18520,19646,25003,28357,27832,27355,30059,28522,26062,49024,31040
18989,19523,18114,18314,18712,17605,17797,19027,24280,27360,29152,26747,30668,28169,26810,34235,51701
19193,19283,18909,18373,18985,17826,17846,19198,26068,26647,28493,26540,30876,27847,26490,45193,31715
31407,19411,18328,18468,18758,17810,17913,19076,26532,26623,27617,27515,30502,28067,26244,36268,32174
19359,21140,18333,18460,18594,17746,22165,18247,27802,25000,28656,27115,31749,27255,27338,32305,30515
18885,19571,18294,18234,18765,18128,17881,18825,26075,26502,28623,30368,37794,29018,26077,38098,31300
19056,19141,18310,18496,18749,17834,18102,19350,27136,26344,29246,29844,35612,27856,26105,31538,29582
19053,19190,17965,18410,18868,18257,17865,19200,24553,26554,29079,27133,30539,27910,31937,29314,31833
18908,18993,18109,18491,18721,18092,17982,18618,27636,26043,28567,28056,32235,28721,26094,30974,52481
19055,18807,18151,18295,18650,17983,17808,22487,25973,27374,28065,26234,30814,29357,28040,45910,32555
19128,18876,18176,18993,18884,18153,17732,19092,27571,27446,27569,27764,31587,26765,26137,32257,32697
18881,18903,18234,18696,18648,18006,17684,18848,27565,27045,27714,27453,31080,29196,27902,31554,32618
19065,18734,18337,18864,19200,17858,17851,18427,26142,26350,29256,27913,32643,27532,25867,30113,32995
