SHIR inductor b16,SHIR inductor b32,SHIR inductor b64,SHIR inductor b128,SHIR inductor b256,SHIR inductor b512,SHIR inductor b1024,SHIR inductor b2048,SHIR inductor b4096
664914,998267,1652184,3234112,3085157,1044524,2170027,4288051,9149524
667103,989160,1620826,3193228,3073558,1017432,2096261,4471454,12926204
688981,1013996,1612616,3159667,3094337,1030230,1859464,4051957,12801085
669856,974727,1634607,3037835,3058694,1015840,2182491,4154563,9934094
675354,999770,1628886,3037559,3065401,1025160,2160065,4276065,9549433
622333,988201,1617777,3027783,3045248,1019542,2176065,4714136,8414486
625261,1010584,1614012,3031995,3094527,1044510,2155763,4426832,7838619
594040,983555,1652740,3026243,3057605,1012947,2184640,5198726,7356703
599450,1008771,1747655,2791751,3089284,1020640,2115220,5008920,7898146
592196,959518,1512643,2753422,3084357,1019084,2184259,4947968,9433294
591185,969504,1459193,2773636,3079187,1031709,2192840,4970502,8587568
600488,957220,1462023,2819907,3058597,1021489,2307806,4498338,8358034
638420,977905,1453145,2809033,3068586,1019027,2253454,4282210,8604381
622940,962213,1441401,2771767,3049983,1021745,2149252,4160541,7860799
636112,947415,1467944,2873400,3089115,1028593,2251136,4003201,7583897
594466,972549,1446821,2804782,3065908,1014556,2253913,3823541,7326039
589317,996771,1458055,2827081,3086194,1013781,2174431,3954389,12206890
601770,927983,1471792,2854747,3095246,1025913,2263428,3705361,9391144
600196,912164,1461128,3088803,3080226,1028942,2050124,3617433,8700619
565273,919963,1464622,3121779,3045769,1012107,1984022,3731232,7968451
570375,934217,1466703,3141148,3087568,1036431,2131143,3737203,7600365
563694,933475,1478103,3081783,3071320,1020402,2258254,3643522,7671690
574199,925434,1474594,3066914,3063058,1025125,1984260,3644685,7173660
567443,942299,1471674,3079236,3075207,1027357,2091087,3665387,7357486
591982,933956,1481639,4379010,3083216,1023408,2240848,3587078,11124051
580387,957863,1480851,3190511,3057622,999037,2267948,4260363,9595916
575794,932294,1463907,3160473,3081474,1028000,3266680,4071069,9516455
562905,927994,1506661,3136012,3063033,1027693,3033580,3890029,9193008
571381,944576,1480659,3131366,3071366,1020535,2753888,3821264,7912709
563622,937411,1484631,3151462,3060881,1016214,2659391,3720741,7747173
567646,947920,1474671,2850470,3064427,1033548,2551002,5525470,7471795
558700,918503,1470685,2815491,3092691,1033924,2503245,5433636,7130185
560241,951851,1463536,2824318,3083046,1044334,2449666,5227105,11147700
795642,942943,1469685,2816007,3073007,1026904,2319915,4948577,10703554
735740,947903,1464185,2848716,3094615,1037652,2267936,4726163,9231464
699165,947381,1475577,2824489,3091322,1014016,2223450,3934387,8582551
719308,925555,1472624,2816956,3051016,1024200,2159565,3996865,7875708
706468,949715,1464395,2830969,3049557,1005364,2223082,3798675,7456523
514893,951187,1470343,2818860,3070316,1021652,2069455,3718461,8055030
500094,928872,1467363,2827319,3082431,1013539,5576412,3911865,12714076
496030,938186,1452976,3105785,3047416,1022651,1979474,3770290,10123435
497460,951786,1468910,3123172,3078458,1023318,1908617,3584372,8727571
504562,956715,1467569,3140938,3078815,1030975,1912473,3554354,8386050
488092,926352,1467114,3079432,3080500,1019144,1849136,3514034,8554339
498325,945828,1462411,2839983,3068702,1026522,2101356,3673598,8141800
502600,945817,1469469,2829846,3060051,1025734,2086521,3512700,7943495
499928,938070,1458914,2794683,3085254,1026517,1882861,3554632,7233507
505224,957557,1461008,2801761,3072702,1011563,1910052,3552201,9514634
504785,929608,1457047,2789522,3098383,1031365,1821290,3414583,8539751
497513,946167,1461826,2757747,3060103,1015724,1859777,3537317,8171723
505566,950790,1468773,2827532,3073877,1031733,2144967,3422250,7954086
492143,953173,1463996,2799626,3061282,1018115,2183807,3354989,7722563
500564,936531,1470778,2763939,3086114,1037098,1827711,3417146,12705605
498569,932282,1461659,2794093,3061605,1016815,2194221,6714314,11162359
505854,930221,1465696,2803346,3044448,1016191,2120644,5159223,9633204
501055,935993,1470948,2731372,3050383,1022825,1847572,4981333,12161655
502104,914888,1475139,2740546,3100881,1041355,2136196,4701297,11370525
502841,953894,1471537,2724481,3087145,1015748,2133920,4471447,9762932
494163,929622,1457030,2726356,3077102,1029597,2054398,4632697,8721165
494962,934021,1468569,3027771,3062815,1017308,1894784,3873652,8941269
501231,913711,1483776,3093814,3082119,1030505,1958346,3789392,7918019
495332,942662,1480728,3118261,3062113,1021339,2075388,3681616,7260499
492459,953928,1477182,3052188,3054289,1037709,1930553,3780308,12682206
499969,934290,1471005,3029164,3091865,1027785,1858808,3677974,9852090
506065,927427,1514301,3197454,3069693,1036697,1952399,3674704,8303290
498967,936363,1619650,3092099,3072000,1004986,2129013,3704681,8239153
499020,923222,1683343,3077643,3076115,1027229,1971665,3715018,8861255
513221,929600,1688825,3144910,3072954,1022598,1955609,3777478,8866581
496684,943878,1668820,3035339,3062201,1029424,2128498,3638507,8227246
509809,926594,1662245,3032748,3064266,1021274,1846949,3763488,7904428
507960,1048460,1678357,3059320,3090205,1014604,2144280,4120878,12145670
507237,1044607,1703634,3036271,3063881,1025843,2156732,3450179,10737361
512619,1114087,1684307,3151797,3098221,1024386,1803375,3329772,9431051
504999,1075329,1723290,3132652,3069485,1019525,1981753,3405930,8740836
508366,1048695,1691437,3130801,3088958,1028265,1984637,3270184,8526943
494758,1045599,1681471,3067791,3044516,1019591,2112079,3237233,8018197
501538,1048042,1680683,3041906,3081275,1035288,2118071,4687874,8483370
488072,1041908,1692375,3041402,3087563,1023330,1958922,4543540,8226296
498151,1046740,1662597,3065786,3045600,1030885,1954281,4351841,7813591
511308,1049036,1708366,3074773,3061239,1015453,2126059,4697114,9699408
491560,1044826,1713980,3067422,3095268,1025530,1868129,4234921,8759936
506619,1036582,1684789,3072912,3067958,1028412,2045576,4097537,8338524
505433,1032711,1691092,3063611,3092948,1035506,2129973,3913344,8141038
499205,1048043,1668436,3097973,3042859,1011704,2146355,3795511,8665270
502375,1042655,1645461,3115600,3064167,1037213,1835766,3819986,8226754
509271,1023855,1631721,3093926,3088847,1022824,1867779,3679394,7726782
515030,1067867,1628422,3083093,3067648,1018690,2141141,3858187,12495677
485918,1039920,1616734,3098543,3081223,1022130,2077294,3459547,10026629
511866,1037078,1612989,3069848,3057459,1025236,2031700,3312201,9251732
512354,1055104,1622226,3122038,3079573,1013382,1935315,3463041,9394925
502306,1028430,1617232,3088184,3057567,1032716,1968635,3441455,13635669
507284,1034138,1627250,3066707,3093371,1019768,2128243,3477375,12896437
507722,1041577,1617942,5111308,3060110,1031637,1961501,3373639,13446008
507495,1013084,1629314,3869636,3076613,1001724,1888525,3448904,10137241
516021,1037589,1621703,3087814,3106501,1015978,1799502,3649397,13228056
502292,1017389,1645872,3085747,3068085,1025616,2108276,3488788,12913223
505991,980686,1625193,3209638,3084673,1046753,1829535,3430659,10061192
493267,944777,1632816,2940315,3072980,1023822,2025547,3282055,10089892
507455,952119,1647513,2945238,3056091,1023424,1930091,3369167,13160421
491036,917259,1646193,2878369,3074581,1007414,2028124,6255067,13543766
488009,941082,1644512,2727035,3076198,1363165,1993513,5876189,13692149
508000,957235,1669595,2727442,3048666,1025410,2074658,5234376,13137196
512975,935294,1656061,2729939,3069545,1020683,2132663,4598293,10956388
501049,929693,1636602,2762984,3074160,1013526,1864405,4437874,10543200
507762,955672,1676882,2747913,3088678,1037261,1844731,4354451,12122837
515769,916155,1677935,2771049,3083347,1022671,2134603,4119212,10254460
505531,957641,1653649,2765158,3063936,1041357,1989072,4562947,12320839
497974,970987,1669694,3055219,3077352,1019753,2073635,4186863,12648665
516949,943370,1651391,3066691,3080304,1026465,2122015,4315247,9908387
501477,967275,1681351,3085181,3090412,1015093,2113534,4447781,12711124
520415,954535,1695506,2842996,3077688,1011493,1859866,4128400,11532385
514056,927610,1686652,2757013,3075835,1023334,1839781,4474857,10447166
493779,938250,1667913,2759780,3078169,1025919,1930340,4253278,8249124
498468,940742,1698116,2732956,3064302,1025350,3026810,5159816,7907633
507627,943448,1715205,2742118,3081282,1039037,4754742,3987346,7799745
507611,940821,1509375,2746003,3102217,1017219,1964694,3774177,7083007
500092,937210,1494448,2741387,3073593,1022553,2139536,3640538,6856050
519617,934542,1463576,2699328,3073329,1024333,2138173,3703069,11652071
535421,950381,1482595,2746579,3067451,1028744,1991937,3541368,10427314
493256,946264,1460943,2749229,3060892,1009458,2023769,3682308,9502289
505209,942049,1492883,4768183,3075261,1035566,1982545,3721161,8855366
502399,940410,1490970,2734202,3082849,1020354,2130230,3596151,8073744
503274,945510,1481513,2722317,3082765,1024801,1879756,7787532,8138391
504782,941497,1478498,2766849,3076601,1171205,1972701,5135921,7824300
509419,981269,1483899,2761652,3055194,1015355,1880725,4780101,13171544
499980,993145,1469438,2704944,3057037,1026527,2118565,4580363,11690631
503187,958378,1477640,3061694,3067243,1026226,1914122,4435837,12346886
485757,962615,1487126,3077011,3071655,1029156,2995248,4483413,10597870
498396,990775,1495696,3065419,3088129,1032109,2944780,4080823,13459549
503060,986668,1493484,2796089,3076373,1019461,2673190,4523512,12253584
503582,987307,1495302,2808669,3080152,1032226,2514062,4434017,12733997
495479,980223,1518473,2780345,3083135,1019550,2408442,4380897,11782884
518520,999302,1500848,2866102,3093006,1008416,2387558,4567818,10209330
502645,975433,1506613,2813574,3098212,1011941,2347583,4095593,12644818
498696,951179,1500761,2830647,3085090,1016415,2206411,4345901,11765149
502216,976701,1512952,2826247,3076212,1018252,2198048,4036448,9383695
509928,987391,1497137,2822392,3054392,1043085,2153782,4048471,7835164
506795,990652,1507895,2838063,3054612,1022110,2059427,3767164,8082234
492963,999302,1519275,2795542,3090636,1032403,2001352,3889523,7473372
513169,979585,1517708,2810547,3086553,1011603,1991304,3837684,7075775
525569,968556,1531755,2826892,3070165,1034187,1938194,3746520,12590688
494434,982099,1527147,2827399,3037733,1015305,1903288,3612003,11664786
513602,974081,1520928,2853937,3068523,1032337,1851727,3442137,10001932
510415,995430,1511166,2799765,3057863,1000424,1919944,3784376,9033842
497166,978843,1508436,2840432,3080738,1036349,1919280,3575494,8475089
503574,961135,1495542,3102140,3084267,1020981,1866973,4801773,7676037
501534,974132,1514641,3101364,3098783,1029744,2089871,4705731,7617499
501346,976584,1514790,3072134,3072518,1016846,1927917,4542106,9610508
503185,963325,1512609,2726391,3081500,1690717,1900074,5067337,9765907
507681,976389,1515637,2737633,3061347,1044178,1844173,4550706,8568157
500100,991407,1522489,2739071,3069054,1023086,1911818,4097212,7730225
497605,951157,1527376,2761201,3101081,1017087,2151991,3972918,7346008
497359,935532,1518067,2736624,3049737,1031498,1860993,3974132,7314265
501039,994098,1520501,2755034,3043517,1023158,1896313,3887319,7552136
495254,987077,1496296,2767781,3068376,1018700,1872546,3648647,7256055
505791,949996,1524716,2730697,3065497,1029075,1823501,4110869,10533795
497215,979760,1519171,2768933,3098339,1022273,1936268,3670408,11285496
494322,940751,1518056,2714308,3092661,1014928,1979492,3628012,10189803
3053600,989247,1502482,2771867,3051855,1033807,1855427,3607536,8251847
2513786,943222,1503766,2712402,3060537,1030920,1852977,3648987,7971963
500269,973309,1523067,2762135,3058660,1031708,1845478,3784936,8176031
503086,959666,1523650,2724983,3100735,1011809,1860580,3771951,7938350
497191,968258,1530463,2814721,3123934,1036117,1933720,3909004,7806261
497965,972929,1503107,2727053,3072706,1019311,1856162,3739579,7270450
487703,974324,1505549,2809780,3116773,1041233,1968853,3667756,13385096
495819,941612,1522944,2781540,3079873,1010529,1820735,3756832,11127824
495970,957616,1545781,2838315,3072333,1036965,2033595,3648770,10100487
558591,973909,1497834,2783562,3085575,1042000,1876739,3526627,8363242
505600,986967,1516761,2840155,3092373,1010156,1835387,5010125,9597177
498963,980101,1511641,2770573,3072352,1016959,2133931,4887760,7604373
514985,989364,1507148,2822863,3078433,1020619,2037077,4686369,7667165
507639,969094,1511182,2815919,3080213,1023089,1870799,5325227,13256683
502208,994646,1511296,2789480,3101417,1023668,1943201,4923764,8883350
500195,971753,1493211,2807026,3094304,1025345,1968585,4418232,9016849
513966,985672,1494121,2845255,3075861,1036010,1864736,4229479,8892534
491692,993242,1498639,2828146,3087796,1007297,2126013,4563094,8111209
507902,971296,1514758,2839402,3076240,1046391,2139615,4124012,7629198
505921,980028,1512396,2830670,3063435,1026014,1847066,3836443,9505078
501635,987851,1496611,2794583,3090205,1027039,1852759,3955810,7953332
505418,979202,1507864,2789269,3044629,1017044,2094781,4009794,13601408
489880,1199699,1478289,2817164,3076373,1029493,2148669,4024218,11250855
497179,1161846,1536462,2786795,3063283,1016686,2048505,3707350,10896720
498139,1084295,1513659,2822227,3059044,1029953,1970529,3777548,9101598
496306,1057061,1509780,2951325,3069913,1017883,1856753,3683706,7806346
506145,1035404,1504131,2830183,3061561,1031508,1905761,3674719,7560700
506939,1067110,1509762,2834094,3058792,1014117,1984473,3614927,7328692
508609,1020859,1598610,2862603,3086260,1021869,2032053,3509327,12367075
513657,1068169,1675840,2819359,3057586,1009770,1846142,3508668,10801678
500932,1026835,1687337,2793498,3075693,1022807,2018968,3556975,9758300
498349,1037590,1679853,2796898,3070524,1018852,2057537,3527047,8880968
511976,1042531,1644922,2795295,3075416,1027371,1931258,3699470,8678426
498481,1050649,1681607,2792092,3085672,1018881,2136641,6112678,8061277
510945,1035886,1612696,2842020,3081397,1022689,2138559,5599037,7651362
494306,1025411,1612909,2815416,3086355,1021596,1917663,5232679,7423148
506169,1024663,1630824,2856647,3056150,1024491,2127431,5016622,13297402
512264,1030759,1628009,2801407,3068050,1015373,1870079,4655715,11391769
505356,1026303,1656622,2773581,3066851,1023799,2026522,4715123,10315906
498596,1035855,1586885,2809807,3052031,1023779,1917776,4174725,8940059
510399,1043877,1636945,2822971,3068956,1017625,1890620,4290685,8022681
505142,1035133,1603702,2810284,3078475,1035867,2160488,3869943,7466516
499629,1057848,1609559,2869107,3066335,1027249,1846240,3697449,7382333
505532,1013669,1660742,2840874,3056074,1018133,2147637,3634628,7602619
506788,1023507,1652506,2830755,3086613,1029111,2054800,3740738,9487661
504420,1020912,1647314,3120314,3066766,1015641,1930752,3620281,10925049
496275,1030627,1483483,3095086,3052211,1020611,1969929,3564571,10222841
