FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096
234709,232381,476386,593269,619539,802607,1344962,2496041,5959260
229467,236795,450117,576026,605071,768822,1280469,2289218,5182200
239686,231867,450071,558233,591689,753842,1327210,2955972,6727994
242387,240298,480178,594917,635580,777024,1199391,2302837,5692306
234226,236021,482211,591086,620964,766238,1356503,3446124,4299626
227545,237881,461298,569652,601931,764039,1334778,3069173,6137862
239129,232319,481549,584731,610766,760530,1227257,2138555,5114842
244684,239975,473867,602272,615330,797330,1208696,2098979,5850315
269386,232505,471230,572201,607448,782032,1227097,2124600,4130997
292955,242681,465932,623156,631970,792436,1380104,2087280,4016519
247410,236702,468721,593571,623815,765809,1261416,2104732,5436191
223771,244032,465571,573307,610594,758783,1296245,2101094,5936557
249303,231319,482783,586109,640762,787039,1243658,2098529,5254357
260602,237264,459058,575344,616316,768147,1229661,2053895,5891174
229249,233095,512776,581955,605788,797861,1464055,2062495,4061315
246112,232421,534806,594520,618881,798481,1685660,2055933,6212876
240013,235678,505952,587078,639529,792616,1357955,2080810,7110965
254257,230542,471633,575730,617065,782968,1294543,2029805,5463620
227765,234302,485387,608820,624869,792125,1257523,2508414,4234211
236620,233462,478909,585312,625835,765334,1251731,2302271,4270792
240900,234659,462379,568292,622418,777635,1272259,2251371,4048631
262966,230479,459060,603032,622760,775778,1204085,2199957,6331390
231119,231447,464123,588853,627533,769075,1199952,2175219,6396141
227756,236029,463124,576912,605802,792905,1163343,2127480,5254958
242903,234407,470803,596814,638083,796497,1233842,2041858,4309543
252711,232662,468511,576529,610566,803314,1218626,2045444,4228477
239893,232692,457969,572866,600934,772462,1281598,2061517,4254508
239909,228603,495896,595047,614538,772673,1255807,2006706,6239528
237042,231131,457273,596072,618579,797588,1329713,2044458,4708331
265660,232019,454999,566577,604345,760791,1236409,1981122,4403927
236543,231267,470304,588209,634679,795313,1290092,2003159,3699630
233476,230934,470365,582798,619919,789254,1390390,1988433,4254703
256319,230397,483901,570621,621404,770644,1288947,2526706,4851160
244370,233480,502237,586554,632280,767775,1258780,2313250,5355481
231890,231769,453975,583142,619132,766687,1237145,3945813,5191494
224811,230477,451054,569808,611713,782981,1328758,3874448,5825396
250256,237002,472437,594585,628379,778799,1262044,3380160,3751883
253748,233422,449979,589397,621738,798955,1289085,2885568,5121272
222134,241910,469798,564170,606517,768850,1265641,2088694,6378910
243503,232593,475305,601064,639008,780221,1236613,2037056,4032071
237556,243097,463443,605385,614617,778785,1537375,2017231,3704122
246643,229867,453867,589945,610212,787514,1350760,2607461,3747098
232057,238701,463937,583114,626041,795468,1363683,2041103,3608277
254381,234969,454423,571192,618114,789492,1374585,3078209,4293181
235870,240331,481635,583688,597859,775999,1298074,2780923,6138956
249212,230877,462957,594945,656664,790821,1319262,2362432,6206339
229112,245390,467645,589828,627191,788143,1320101,2291596,7924276
220752,230124,474416,590523,627559,781020,1359243,2212853,4559122
238277,241877,452572,576955,615375,790746,1209411,2136975,6318134
268343,231782,447588,575779,618145,800086,1258122,2108135,5123317
234571,237067,451804,569678,622579,789615,1330061,2072803,4062328
233620,229876,473861,585821,628223,791964,1219971,2058521,5392387
256878,240908,455887,585237,625998,809314,1335428,2047163,5436105
237681,232026,485168,586622,609011,778779,1269276,2052570,5713741
226795,242204,457064,597397,618142,775922,1235139,2132557,4960377
228420,233292,460708,579403,630914,788164,1261683,2003824,6211848
267133,237566,479402,576097,607661,782626,1247111,1987044,8242099
286808,232567,479132,596703,629217,793242,1356757,2548944,4952515
232457,239456,465828,597665,618991,772933,1223491,1966596,6390589
221692,234114,481188,573370,624369,778503,1364157,3120229,4627446
242511,231670,487951,576123,622229,788445,1322069,2289039,5046394
267192,233868,462281,582012,630140,781905,1327994,2257412,4109546
221942,228557,455066,592703,621175,762966,1356281,1945985,3966243
251204,232721,465592,588146,636522,794749,1342815,2288011,6053097
253078,233636,463304,585794,617905,780343,1313782,2302198,5228815
255173,232818,455025,575870,608262,783245,1187077,2212309,3981505
229160,231685,468945,582234,625055,806153,1195918,2207766,6438642
225055,230892,485065,581229,618865,774842,1347562,2132458,4063988
244530,233950,498382,585217,607398,773858,1189811,2120098,3978900
242163,234859,455416,604834,613228,782560,1354610,1973329,6021880
232042,233545,456700,594666,617172,775164,5369753,2113871,5255407
222528,236870,454067,559126,617317,785413,2292161,1992941,5746381
241322,235364,466480,579576,613825,784350,1368698,2102810,5020509
281000,233945,484703,578665,634329,767605,1264862,1992483,8209530
228277,231484,484597,589919,605528,797292,1761500,2116476,4809030
226768,234826,473082,596467,617887,793742,1526992,1985053,4454853
242339,246958,462658,577643,604609,783862,1513327,2031695,3820380
237875,228738,459761,560642,597246,759780,1453716,2383530,3734389
231504,231071,467666,584478,598537,794564,1380547,2346348,4505259
220542,230834,476007,594187,607783,767855,1323473,2208031,6127669
242219,229349,480558,573795,605732,784931,1319500,2204448,4888555
258319,238336,466215,594221,623404,774039,1319404,2204109,4448409
228508,232213,459422,607330,620669,762190,1253007,2156056,3897157
236930,240602,453015,563175,609231,776111,1245667,2066482,4273092
237626,229843,453983,571930,629157,793950,1262249,2052275,4133783
296392,238940,468449,577089,604883,804950,1181610,1978095,4060110
223134,237846,489816,571000,603956,784132,1327161,2006968,6191635
231729,237713,534196,603453,627666,778266,1332287,2058540,5202756
233442,230915,470778,592159,617762,772211,1338616,2032162,3670861
244853,234321,443677,566710,602280,785361,1388226,1987528,4241167
228490,229207,442753,587254,641869,794599,1323565,2578477,6436615
222516,238039,478591,575981,624621,767860,1396950,2271344,3911455
246834,231505,478024,568692,613794,782492,1387050,2201795,3666640
259788,238341,488452,600306,622445,810869,1373520,2120213,3985380
224488,232452,464585,596743,615010,801308,1393231,2157756,3713703
225342,242987,472033,559536,615318,778241,1369902,2043645,4292108
237690,225769,468282,577761,614135,787329,1366701,2113456,6032901
240471,237152,471053,583351,632661,755721,1391821,1934927,4817796
218204,227782,461876,572213,606592,775460,1344270,2017572,6348917
239763,232236,503984,599612,624520,768494,1279772,2025744,4596696
280784,231717,446329,592068,627827,785436,1363132,2047655,6235375
277728,240388,469663,561282,602488,796036,1341765,1966448,5208195
228303,230085,455653,581318,636642,791694,1409863,1944949,4024935
220930,288969,462748,605552,628296,798671,1337794,2008343,3931767
