SHIR FPGA b16,SHIR FPGA b32,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b2048,SHIR FPGA b4096
566765,679045,867450,1292836,2064542,3553713,13133582,25712014
562943,677339,871295,1293916,2065521,3564230,13175147,25740750
569799,681554,870705,1291132,2065572,3561164,13174788,26764712
563294,684741,868719,1286948,2065858,3561009,13431326,25580970
566498,676569,869855,1289219,2062467,3549701,13307699,25921042
565212,673399,864914,1289914,2073708,3566647,13230118,26897303
568074,675330,883605,1294084,2066332,3548390,13255458,25648552
575992,677685,870523,1282463,2085716,3559061,13206425,25692522
562788,679144,875077,1290999,2061993,3558187,13235495,25567072
564612,673510,867070,1291465,2064404,3559763,13185641,25585405
563495,675151,867101,1284982,2063498,3560165,13242025,25796184
563503,675020,882685,1300493,2067601,3570537,13177918,25803553
565353,684176,874505,1292032,2070332,3561352,13124654,25637085
562974,686384,871358,1283273,2067937,3554704,13159664,25623308
572558,674318,870309,1289062,2066861,3550817,13235421,25584681
566808,677589,866504,1287751,2068689,3553909,13199601,25877087
566277,675879,880108,1291789,2064460,3542110,13227929,25696614
569231,680301,868130,1285989,2078920,3550920,13156380,25643067
567788,675064,871874,1288189,2062010,3548474,13186376,25579948
565974,683614,868922,1298605,2093406,3570971,13168483,25547648
566015,678723,876856,1293967,2066851,3544758,13155781,25475747
575382,672609,871230,1285092,2074604,3547568,13195762,25772279
565777,677001,870811,1287907,2062130,3554562,13176106,26947256
564378,682138,879633,1291240,2068777,3542552,13374058,25746163
566160,681328,870844,1293083,2066783,3553978,13198124,25721466
566409,675504,864322,1289850,2064030,3560421,13136874,25577179
576990,673666,866535,1287006,2079649,3565775,13173764,25609622
564311,674499,867159,1302317,2064368,3550550,13189951,25810679
572199,674874,877126,1284137,2065036,3546117,13236947,25755659
565309,673683,870470,1291716,2079951,3546241,13193337,25624772
564416,677144,865900,1296200,2065866,3546696,13213885,25593167
563712,676156,868706,1286718,2066277,3564120,13255467,25529607
569501,673464,869212,1295094,2064883,3543226,13242792,25516653
581024,678340,868739,1294454,2421889,3546437,13321175,26026296
579414,700111,872324,1287784,2093255,3552270,13278452,25786457
574553,677049,876289,1281749,2081101,3561299,13233209,25641783
562148,672917,868130,1291211,2081774,3566470,13207533,25610770
565166,669858,871419,1289187,2077294,3569600,13192552,25589247
567478,681905,870934,1297917,2086211,3548482,13161221,25509801
569228,676619,876210,1288228,2077197,3565062,13424792,25837820
573353,676966,871175,1290429,2091833,3545726,13262799,25754660
567473,676432,868675,1288284,2070616,3548064,13259628,25654718
570523,675303,873766,1292069,2083589,3551097,13206769,25643122
565976,673452,873964,1292810,2079477,3551831,13202138,25570569
562320,675165,878240,1287263,2068618,3547873,13343058,25549593
572091,687125,873214,1287451,2074411,3565466,13279922,25905566
563972,684318,872240,1288805,2075097,3557924,13274728,25876818
572668,678996,874872,1290656,2079238,3544746,13195506,25648155
566868,676421,872734,1290638,2081484,3568337,13206448,25761918
567547,674823,867788,1289437,2072851,3574367,13259517,25662183
564880,678118,871385,1291547,2068018,3541507,13317228,25561779
564374,674564,874348,1301644,2081752,3547682,13236414,25920513
578266,674650,867674,1294747,2073988,3558044,13242105,25739404
566029,677487,869994,1297532,2084313,3541853,13287030,25688602
564991,677467,866544,1297343,2075917,3547754,13243985,25562614
565465,675861,876299,1289600,2070185,3558372,13305558,25546796
560853,679579,872663,1307947,2069280,3561105,13455851,25837477
564990,678257,869675,1290725,2065087,3546845,13316333,25674880
562908,674461,870008,1293368,2068295,3544657,13291938,25692837
576293,674140,869004,1298793,2064927,3543312,13271189,25646993
563636,673627,867413,1297729,2068139,3545834,13231083,25576021
566806,677533,872721,1295052,2063399,3551322,13244471,25556543
568118,682601,864031,1289024,2068218,3544321,13221730,25785133
568353,674199,868059,1283287,2066571,3551074,13241721,27006849
566757,674626,870235,1293177,2063649,3548651,13238113,25689726
565718,675114,867343,1293236,2079477,3544799,13210817,25737101
573908,681079,869247,1288187,2069082,3548160,13205310,25738087
567577,677809,864781,1296934,2076333,3556888,13208687,25647410
568495,675093,870659,1302449,2063581,3553239,13242845,25861590
562719,675897,867568,1285565,2065913,3548424,13208956,25819894
563654,674881,878245,1286774,2063796,3566567,13235457,25749431
565548,671718,870434,1287654,2066225,3543208,13460336,25659290
567463,678473,871893,1290395,2066804,3549557,13340014,25590334
577271,678273,874213,1287375,2063643,3579915,13306624,25580905
569328,674827,875632,1285238,2059943,3547962,13235820,25975431
568422,680375,878132,1285825,2061750,3553092,13224337,25772509
569947,675898,874583,1285858,2064904,3555465,13265297,25663016
568194,684164,871137,1286416,2065519,3561405,13249088,25659218
568304,683502,874809,1290051,2063736,3555344,13245937,25555824
586200,671522,874402,1288235,2073084,3576416,13253962,25567546
586404,675765,870376,1290847,2062245,3547974,13214908,25805088
567005,674042,870154,1282641,2066339,3573679,13239354,26964178
566802,673571,872299,1291812,2063311,3549378,13251045,25810172
572365,683213,872932,1290528,2065738,3549448,13241531,25687020
581028,677547,868924,1286337,2064279,3551152,13229831,25632520
566185,674035,866890,1282501,2066534,3551780,13221485,25670045
566242,678928,877483,1284802,2072429,3555492,13256786,27097516
574991,675214,869323,1288028,2068420,3544080,13223411,25697440
567873,681484,870419,1289024,2061522,3561872,13218852,25656585
568258,676339,870200,1295744,2065517,3551763,13226978,25608680
568333,677860,870421,1285511,2068426,3548789,13190736,25631624
567293,673621,867464,1290711,2069028,3550257,13436784,25607851
569212,676064,869038,1287059,2065827,3548409,13313951,25723007
566653,676942,868178,1284757,2072785,3562722,13238726,26913709
574827,681544,874479,1307549,2078880,3561436,13212579,25809230
568405,671413,870065,1304550,2080976,3554058,13179421,25661179
565481,673584,871129,1299606,2061997,3543515,13189596,25676157
568838,674776,873998,1290032,2067984,3572087,13160638,25806358
569716,684553,869273,1295815,2069069,3550021,13155996,25832957
566514,679694,874312,1291528,2063870,3568207,13183538,25708932
562619,680475,872595,1290706,2069057,3549740,13290086,25626953
575042,674278,875830,1287637,2065875,3570715,13203943,25643667
565065,677795,880527,1289380,2060597,3565708,13246350,26655598
569924,677356,870412,1287620,2070750,3556657,13199256,25944315
564112,682153,872121,1289393,2066072,3549956,13282426,25743212
570075,675669,874563,1288302,2061292,3544228,13224142,25505721
564166,674793,869816,1287087,2063090,3548834,13224110,25658363
566323,681567,871832,1751535,2069717,3566010,13534635,26677182
575284,672729,866063,1349004,2062682,3548932,13518168,25567490
566780,683346,880902,1291006,2064500,3546892,13319924,25986988
566878,674424,867970,1287430,2059619,3547303,13293428,25782754
567708,677097,867560,1291232,2068962,3550164,13251743,25749636
565406,677515,872356,1291780,2063052,3551699,13207132,26650615
565398,673785,878932,1294939,2060536,3543937,13213672,25617158
568354,676721,867288,1285524,2063940,3549855,13167664,25580959
575174,681302,867788,1284164,2061628,3547694,13192564,26070232
565214,675886,869508,1289718,2063659,3563372,13159962,25841692
565736,675769,877691,1284015,2060147,3551178,13199401,26872417
566276,672504,876529,1285660,2064500,3550194,13163860,25618025
573149,685525,868294,1289259,2078834,3550892,13187357,25665314
570385,675873,871142,1294279,2066504,3546461,13158399,25501680
570989,674387,867589,1288841,2073879,3555595,13238134,25921656
569760,673913,865239,1288502,2065531,3555488,13196814,27145603
569766,674956,870001,1285980,2059604,3549162,13186634,25967912
567990,678181,870441,1283624,2060622,3544332,13508739,25860133
566355,677038,867357,1290741,2059814,3549629,13238576,25763851
564147,677133,872912,1288668,2077544,3546180,13238699,25792532
574305,675931,868048,1289512,2068010,3548842,13186330,27158846
562519,675966,872041,1288179,2068899,3554925,13201027,25823169
564907,674647,866403,1288609,2069232,3561029,13181172,26039369
565721,682753,868964,1285589,2070840,3563250,13223861,25965226
568128,697088,870560,1289191,2079418,3542539,13176928,25800031
567022,678993,874794,1288952,2064644,3553898,13202932,25791497
565159,674848,875544,1290213,2062478,3548632,13169251,25967305
573203,678970,870006,1291008,2062938,3556299,13240850,26984459
568315,693503,872233,1291292,2071570,3557257,13171566,25767646
570806,677385,876138,1286754,2061931,3548667,13220324,25832731
565154,674849,875221,1286974,2070342,3550375,13193588,27080699
565765,681499,872696,1285023,2067700,3551619,13191004,36878755
575085,675606,873745,1285432,2064450,3547783,13349259,25818046
567707,677882,875096,1285177,2077372,3547371,13182230,25670584
565278,683832,869195,1287011,2063282,3557333,13201744,25658051
562669,679387,864262,1287128,2065743,3545645,13120411,27100885
567304,679117,870730,1300360,2065825,3547654,13204750,25813368
567092,673784,875751,1301603,2069449,3547938,13187139,26112471
564761,672867,869788,1313887,2063240,3545732,13182416,25809363
571968,674938,869792,1296958,2069489,3546204,13182141,25769669
563173,678381,869026,1294952,2082914,3558318,13170152,27086172
562277,674469,876281,1294832,2066806,3548967,13168938,25899440
563964,678477,870252,1292110,2067967,3547160,13157251,25868477
563611,680485,869686,1295194,2060930,3549456,13157009,25962542
562348,675887,868718,1286843,2065383,3553853,13149116,26921838
564351,685804,871967,1290785,2062268,3551530,13171502,25698514
576333,674924,868001,1293713,2065681,3561185,13178010,25628275
567989,673714,870325,1283640,2085026,3572600,13167306,25586137
567407,675183,868774,1287666,2067761,3545517,13175870,25645144
567242,675661,868087,1290707,2087082,3550106,13153095,27178575
562982,677015,869165,1292047,2063941,3554897,13161916,25782719
573241,681343,870232,2588918,2064313,3544118,13150442,25998881
567501,672715,872609,1319854,2069585,3555678,13372033,25852162
574635,674255,871625,1290898,2065330,3557376,13167170,25823701
562310,678107,874306,1296935,2064034,3549352,13246380,27010776
562961,685072,867277,1294193,2065350,3552846,13180855,25962569
568153,685909,876157,1307347,2070883,3558851,13175024,25841066
568917,678890,866827,1297494,2065718,3551381,13201578,25633731
571116,673467,868837,1294733,2085271,3550079,13173966,25681048
566609,677716,869722,1287149,2065788,3572222,13191358,26869991
576936,672814,879157,1286430,2066520,3545402,13158738,25741285
570283,677791,876910,1290542,2065316,3552543,13165968,26602644
568321,674760,881682,1288739,2060627,3551264,13174681,25792382
565426,676667,865984,1296571,2086721,3547142,13138984,25793904
567498,680135,875538,1288923,2069139,3566203,13169109,26989061
571627,676567,872837,1294821,2060995,3579671,13140359,25695611
566293,682357,871022,1310968,2064655,3543247,13146080,25859471
567561,681012,871122,1285772,2067069,3548526,13205153,25878158
567256,681068,876245,1291635,2063600,3547179,13380936,27039395
568293,676764,868575,1286442,2068085,3565143,13167443,25742910
571894,677347,867411,1284442,2079532,3552131,13135614,25803875
567355,677610,873027,1288213,2067751,3547749,13131710,26878972
566730,677181,874250,1293621,2065160,3553163,13112843,25831210
569125,673746,874262,1292110,2078450,3548509,13257812,25836188
566390,674772,866315,1288577,2069636,3563954,13153975,25633230
566656,676323,871033,1286230,2065168,3544580,13172417,25645643
566931,678760,873123,1291903,2069233,3548879,13173661,25598776
576318,682260,868449,1293548,2077850,3551589,13140220,25561337
564015,678987,871398,1306914,2060376,3542285,13170097,25832622
562747,675786,874705,1293940,2071652,3554823,13162232,25812185
569642,677481,873336,1302262,2065847,3548276,13156906,25664734
567997,678097,871061,1318985,2062937,3554911,13194266,25658876
566549,676722,868606,1300798,2064250,3546235,13200026,25626718
564755,686664,882716,1295391,2063332,3552076,13159510,25762718
570960,674428,879662,1293008,2076393,3552454,13186474,25901380
563777,672932,872034,1296053,2061555,3546254,13418665,25840996
566072,678561,869837,1292449,2063032,3551557,13168179,25654702
567972,680322,872577,1283529,2064791,3548632,13198729,25624703
568725,678930,881242,1307114,2074715,3547285,13188610,25564233
566911,675841,873291,1288206,2068711,3552772,13190769,25588427
565552,671693,868207,1295441,2064614,3561531,13261301,25795276
572834,676236,878004,1296426,2077565,3565942,13218001,25737417
567753,673475,869984,1296289,2065321,3548166,13232656,25700034
563501,678255,869190,1297714,2071447,3547260,13202778,25588939
564692,680606,869008,1288813,2063665,3547469,13210028,25648855
564616,680026,880822,1298844,2066753,3549517,13243122,25564462
570271,677107,868530,1286708,2064695,3557178,13147876,25867178
565994,678909,865575,1286713,2062648,3545538,13202077,25795663
573667,681055,868833,1286209,2076717,3565235,13232681,25709527
567050,681755,866275,1293836,2063639,3549257,13155181,25735150
563536,681814,870090,2393015,2076558,3563422,13521598,25593115
566433,675996,869402,1713658,2070456,3565838,13291340,25620846
567153,673466,868428,1350813,2064772,3553461,13237123,25913332
566200,675805,870386,1308870,2065062,3547060,13218251,25695137
565995,678071,871880,1321151,2072687,3553027,13215434,25647003
566289,675179,870317,1306146,2080488,3543541,13475805,25600772
566433,675823,870633,1325391,2066682,3549178,13343129,25545696
568856,674848,867889,1334310,2069951,3566590,13300707,25553520
572706,685330,874284,1302422,2063965,3551222,13241321,25787940
568612,689190,871741,1329308,2055356,3550350,13251200,25830761
566753,675643,869144,1298700,2063294,3548108,13192380,25783568
563680,676279,872886,1308251,2061649,3549899,13244436,25690880
566125,673496,866542,1309097,2093051,3553565,13214883,25673826
568757,679429,873437,1299607,2063973,3545142,13202448,26009366
568226,678614,875764,1306847,2067891,3552769,13157784,25912485
574106,682903,877548,1304939,2060783,3553453,13188826,25800507
570167,674278,872124,1314490,2064824,3547822,13195112,25677616
566515,675666,868273,1308857,2068321,3550839,13208664,25607250
564122,678056,873172,1309476,2063325,3547839,13192552,25553083
570021,681209,871431,1300951,2077370,3547811,13205175,25865222
565906,684216,869465,1304657,2071623,3549986,13631543,25773117
563346,673980,875224,1301794,2062237,3556797,13411726,25890097
576146,673980,874163,1302550,2064850,3540561,13227404,25710510
563031,677128,869801,1311275,2061188,3554155,13252807,25781633
568068,676422,868351,1303841,2068151,3547205,13249217,27074328
568240,674710,870352,1298265,2062817,3565914,13189123,26025422
564264,681872,876992,1298995,2077114,3544123,13214672,26002262
571991,670618,871562,1302686,2082555,3568689,13199750,25820121
565765,680713,868170,1295108,2088359,3566144,13211945,25656684
568399,671790,869913,1297226,2061193,3543246,13180879,25630968
565328,681286,868942,1295792,2069898,3564543,13190157,25658372
562538,685420,869237,1317061,2068411,3548262,13202467,26008413
564638,678886,869997,1300289,2074140,3550962,13251177,26011557
561585,674857,867896,1295618,2088208,3556108,13180094,25980428
578477,674700,871205,1298236,2061510,3574215,13201885,27230729
567656,672206,871210,1297208,2068271,3561936,13133978,25831215
569319,702481,874675,1307286,2073764,3548733,13568199,25774307
564793,679054,869007,1299105,2071932,3556959,14307686,26875867
565773,676785,867266,1292536,2071609,3557587,13141527,25750549
566665,679925,867265,1294774,2060346,3569914,13179964,25768731
566390,676134,872190,1296671,2063798,3559210,13163394,27102595
562965,682529,875364,1301755,2063008,3547401,13152158,25827375
567442,677447,864103,1291202,2073718,3550049,13157606,25817429
566154,671322,869624,1296132,2066785,3558355,13165520,25981108
565502,676244,868261,1297133,2064938,3541756,13186409,25770331
563528,676688,874289,1296590,2066218,3557655,13177190,25759728
573678,675090,876157,1301726,2063644,3554492,13188447,25668512
563501,681581,866386,1302137,2062722,3563940,13168932,25572994
563972,679162,868207,1309542,2060879,3552348,13219348,25641840
568296,679153,893406,1304605,2071871,3546546,13166246,25818246
566443,671887,869303,1298594,2069196,3548791,13177990,26292970
566156,681139,882733,1297512,2064746,3557772,13175616,25622199
565874,678590,867989,1300239,2063977,3554459,13196541,25610200
572906,677791,881476,1290918,2060252,3563265,13346248,25542498
567400,675034,866020,1301600,2061641,3567009,13157186,25851190
566113,678795,870142,1293352,2061804,3546554,13139426,25782203
570433,675754,870818,1294977,2074386,3562515,13112117,25657633
567932,682839,869290,1292321,2059895,3573667,13120260,25775115
565021,680104,875646,1297249,2067261,3555870,13284807,25617440
569764,671584,868817,1296969,2067039,3546976,13179895,25591912
576796,677543,867342,1295365,2063205,3547631,13208386,25750694
564649,678368,871492,1304401,2072529,3545702,13499415,26893967
564641,684082,868624,1305032,2065054,3544661,13368691,25646676
563505,675714,870415,1291662,2066406,3549930,13290940,25673228
571233,675347,890645,1290630,2065797,3547777,13231588,25570265
571079,674470,873791,1295086,2063498,3543739,13254711,25577354
567432,677736,870006,1309699,2073062,3549564,13252272,25738093
575929,676845,870744,1299608,2064569,3565828,13180541,25734845
568792,678472,877464,1294023,2073303,3549384,13360057,25700211
567399,674582,876073,1291785,2077469,3553686,13211691,25587381
566596,675007,871843,1294758,2071188,3557239,13309509,25496000
567873,677486,867227,1289278,2064675,3560668,13232515,25453202
574962,677880,873525,1291309,2063047,3551190,13288747,25859134
565816,682641,869617,1285829,2065989,3556299,13183085,25729301
572221,675496,871198,1291290,2067337,3542891,13161783,25590146
568879,677412,868463,1292333,2068585,3554359,13142871,25695167
568640,678984,874708,1300814,2066085,3554962,13214260,26764909
568158,677765,870340,1292436,2071583,3561998,13188702,25743133
571065,673681,867382,1290662,2062630,3552302,13154447,25871409
570475,679508,870207,1289857,2060042,3565706,13172929,25796415
560167,678978,878955,1296850,2062840,3544330,13146388,25731218
562329,679695,865807,1294223,2065291,3566046,13175059,25570018
566796,674430,869083,1289948,2078944,3557021,13159750,25641176
562107,683088,874598,1289634,2068329,3543634,13166018,26622024
581171,684806,865990,1290762,2067737,3546566,13249147,25748937
569625,674584,871556,1291411,2062429,3548966,13173864,25768963
567392,674757,871426,1289064,2072154,3551238,13182938,25617004
565373,678401,870146,1292493,2063406,3563674,13256448,25725379
566809,671957,869382,1299111,2065515,3552967,13379424,25522365
565124,676904,867374,1295521,2075562,3552824,13163391,25672737
565373,682180,871542,1290372,2081844,3551119,13254196,25831912
578313,674971,880345,1289151,2075381,3546141,13235195,26912423
567118,675144,865092,1292368,2082059,3542582,13208897,25701590
567711,680076,868034,1302327,2066868,3546029,13204093,25643438
571809,685720,872924,1291449,2061102,3705477,13215577,25583215
569489,680276,876462,1288290,2066330,3632418,13216003,26057220
569600,675902,870885,1287317,2067463,3548374,13264403,26117341
565703,676557,869052,1291115,2067806,3548031,13251103,25908691
576294,676457,873440,1298203,2070118,3546857,13227994,25797715
567445,675394,875753,1289056,2062370,3551322,13204863,25827864
567402,678297,869585,1291525,2065938,3547507,13198349,25742857
567864,674929,868908,1287552,2066683,3543382,13187813,25941302
565340,678069,867729,1286001,2061729,3551756,13224220,27061110
568092,677956,877349,1298294,2067084,3563533,13228987,25781432
566236,673210,873657,1293399,2065999,3555583,13515823,25763609
575518,684323,867256,1288250,2071754,3550414,13332381,25638491
566666,676644,871489,1290368,2060819,3547974,13240674,25613082
568274,676022,878703,1290333,2058975,3552233,13230002,25793629
564148,676541,869670,1287784,2066220,3568156,13202967,25777163
562045,674133,869743,1288485,2078179,3565130,13195189,25634707
566414,676071,870016,1298256,2076917,3555332,13186167,25656168
565072,681994,867430,1299373,2064669,3555393,13185733,25605575
577385,674000,871558,1292116,2073075,3550230,13200019,25502223
570260,674255,871528,1290186,2062101,3547450,13177973,26019668
562806,674610,876204,1286100,2063767,3553732,13220998,26107554
564467,680935,870092,1303570,2062033,3551236,13182938,25897496
565896,679353,870758,1289444,2064099,3567550,13218492,25710766
570839,673730,866274,1304233,2084324,4453526,13240713,25626459
567585,677579,876688,1292769,2063842,3731035,13165688,25565980
570100,674720,880713,1291908,2089751,3559854,13196128,25812833
568570,674441,871605,1291840,2080250,3556173,13219067,27044047
566890,675733,872362,1286922,2062227,3552276,13386930,25715880
566339,672425,874374,1292158,2064770,3547971,13189851,25760734
565743,677049,873417,1293681,2062778,3573303,13203369,26813053
572026,678170,867033,1290843,2078308,3551052,13182576,25636580
564980,675326,868564,1293763,2065798,3551330,13227376,25870424
564383,686410,874869,1295005,2077161,3566427,13217204,25758838
564609,678109,873450,1292305,2066463,3557191,13159492,25648820
563708,676003,873821,1286183,2064601,3571121,13176828,25588266
576419,677681,868831,1300365,2062167,3550296,13215306,25650904
568860,680873,875068,1291033,2062104,3560868,13221467,25594440
567745,677415,870444,1293722,2076444,3559707,13225109,25920302
568059,673653,864474,1292380,2066259,3548981,13197090,25708751
565834,673854,866431,1292360,2076286,3569049,13210193,25687362
563861,679826,870715,1288121,2059913,3542635,13191001,26753976
564297,676253,867179,1296801,2059564,3545832,13205820,25564937
572749,674290,871766,1296427,2062264,3548071,13369483,25745148
566575,683049,869466,1293786,2063773,3565427,13207376,26893420
567775,675507,865390,1287735,2071944,3565970,13301761,25673851
567082,675931,869566,1288703,2063605,3558667,13216669,25719236
567937,676706,869537,1288407,2076370,3678975,13181038,26663646
565224,673036,865574,1301145,2074126,3715989,13181658,25622961
567255,676425,866078,1291084,2064355,3556624,13190531,25767466
571816,682305,871979,1291254,2068995,3557475,13178893,26800414
565322,676029,868368,1303548,2066663,3563451,13169428,25639034
564574,672694,872567,1288784,2068871,3553545,13167331,25751455
565215,677665,871859,1293100,2064816,3559777,13133875,25572629
567723,683150,868950,1290996,2067454,3573599,13176301,25681007
575577,679766,869832,1298718,2068735,3565308,13185724,27313109
569115,682517,877936,1289745,2061182,3563021,13163844,26002414
573575,679905,877674,1290032,2065471,3556313,13155740,25830387
568212,681909,868969,1295152,2068890,3572284,13160444,26971433
567018,673527,865046,1289355,2071656,3555143,13185618,25994648
568211,674310,888190,1289630,2077460,3572596,13194447,26064022
569797,674735,870043,1293523,2071278,3565598,13180753,27478632
574973,679229,868953,1297981,2067857,3552020,13221577,26139288
565297,678803,868980,1289303,2067025,3562059,13428950,25915385
566170,674575,873908,1290116,2069094,3545791,13295304,27024774
572639,684230,872118,1295412,2065387,3555004,13226082,25708856
564963,684308,869295,1288538,2066870,3569868,13216268,25773674
566891,677045,869449,1292961,2066784,3550909,13236403,26826610
573751,676684,870179,1292149,2071118,3548884,13186764,25715772
