SHIR FX b16,SHIR FX b32,SHIR FX b64,SHIR FX b128,SHIR FX b256,SHIR FX b512,SHIR FX b1024,SHIR FX b2048,SHIR FX b4096
390091,470329,550837,568941,636893,753799,824593,4253392,9482938
374033,457284,572387,560339,636291,717381,842299,5131749,4621077
381419,464871,554654,557976,622004,721199,845304,4486380,9224771
382693,471735,552605,563532,605059,724946,840596,4376087,5793671
377046,461580,582910,568028,602189,709403,885873,4295550,9247102
386441,469423,558941,561555,644919,695212,1470652,4234625,6372816
375439,456358,554973,565439,629959,737249,2257881,4459537,9743747
385712,477733,578902,555252,635402,697664,1380615,4420004,6036300
379121,472058,545478,562238,656944,770072,1003712,4355228,9321117
380169,457861,568679,556756,631902,682821,964495,4256583,5860561
373155,445868,585434,560598,608043,749600,995855,4413716,9355902
378785,486401,542140,561238,629423,700948,918436,4256410,5083177
383718,463667,552549,560379,603638,732269,962257,4282611,9773396
375622,454537,575241,552565,641674,697297,955620,4495335,6105995
385798,460141,577818,554639,646853,746679,935956,4191953,9177853
379311,464506,541681,564574,635636,696478,984468,4288225,6075469
384607,465462,574976,539240,641407,757328,937806,4521148,8985293
381217,464810,549325,563800,650293,695290,950041,4955362,6230853
374804,466838,575828,562732,632621,768011,948535,5382239,9507829
388761,466563,554959,565491,623372,695791,930927,4357575,5969028
369681,460683,548130,550429,658518,767851,976892,5418743,9137106
388061,468277,561682,549803,601089,699890,949640,4541062,5936770
370242,463402,580863,561867,619045,750233,971154,4531258,9215598
387150,471158,544707,561557,623959,705612,944660,4807604,6324357
374026,461494,555799,578759,613180,748496,927434,4345842,5088942
379469,462667,555123,552829,604178,703312,984757,4470422,4783396
372918,469149,554323,552084,613584,710733,917790,4622511,4976279
379597,476994,545744,570286,619866,699915,958029,4273092,4854648
386619,459023,573734,552450,613265,722955,973482,4449314,9249352
378145,463867,545931,550700,619816,709665,975419,4524514,4609729
386832,466585,544969,571447,637665,709978,940449,4270627,3602661
378081,474352,592336,568373,622637,721758,999055,4467743,10170200
383928,464301,544894,548464,644249,723144,970564,4638342,6025745
377029,459182,544947,560525,615602,707003,944678,4441509,9282965
378375,451805,584331,557723,641727,709328,976032,4360307,5687499
386391,464294,532246,555316,666353,711073,959942,5087899,9162052
376238,452752,546030,559586,622204,771967,982907,4675406,6365563
395955,467194,562135,547162,625488,700310,965721,4620145,9740704
376889,471776,552844,552045,613979,712620,939188,4742709,5992723
424693,456279,554391,570189,627704,696946,955865,4393293,8917419
437889,462024,580501,544453,641044,708116,968860,4481358,5770165
443189,469835,564871,560972,655083,705792,1548506,4675782,10089961
450598,464949,544363,587198,614709,740790,2288565,4206370,6002475
452933,464362,562288,550599,614761,699882,1426242,4228466,3534898
469713,461429,547600,568075,630853,704412,1008681,4558098,5294680
445542,468567,557755,566498,638508,693874,971064,3973860,4583818
456814,473302,577081,547590,635654,722281,982508,4165137,9287890
433549,454589,557701,570394,644263,694712,991985,4526661,5274289
455353,465422,546811,574923,602563,710452,966269,4267334,9915043
442251,463422,554146,561502,627339,688318,991019,4495640,6308020
435073,469980,551605,556349,637182,754449,908213,4752425,9139108
452709,466591,550338,567626,623279,717616,940718,4888224,5720690
451378,458332,564931,557232,632105,746201,935607,5472024,9057399
438729,467781,548409,555731,619274,693214,980114,4529410,8743393
457377,467598,557947,556862,624625,758244,945408,5192886,11184047
450310,466647,572805,553493,622333,704326,934407,4543080,6937879
437256,464393,544771,550639,662500,725262,960830,4543930,9690286
442665,487329,556649,563488,611966,714462,913084,4473703,5794489
394972,473547,567858,555627,625710,710843,986557,4201728,9167907
407749,461060,558653,555724,610276,691183,1475234,4421137,6330876
438420,454739,550532,573732,616434,711152,2753880,4584520,9695634
432059,470401,582005,550813,624020,686784,1448229,4172245,4738958
427153,472460,550578,563319,652094,762285,1607009,4452439,9422529
434213,459764,557609,576830,624052,700071,2320133,4829104,5755022
437047,459621,582704,547560,621972,757328,1402108,4340304,8787000
430634,469025,548378,550783,626788,704811,1441517,4416629,6258882
407929,459218,552672,566871,601813,764701,2284158,4750114,9725532
434904,463980,545084,555714,631631,706315,1326017,4203234,6289732
407521,471546,569575,575971,642512,705553,878948,4438035,9019021
444297,472763,553776,559999,612261,708350,849898,5307927,5731887
430945,459350,567820,547491,617861,706647,853401,4546566,9085707
441433,480113,551444,564165,661439,686038,856614,4413969,6316343
434753,473904,555079,568922,594045,755267,835737,4776924,9477035
435389,471520,564247,553224,619407,701333,847536,4407947,4679461
434770,460576,549398,561228,622207,692227,867780,4419894,8996934
436839,463212,561374,555693,622691,707389,828236,4532975,5819682
458506,462862,560016,554352,631173,703279,846396,4638481,8880367
436150,471683,543317,559524,629567,740700,822362,4822750,7494146
434882,459078,543807,554177,602568,701949,853040,4724543,9909894
404102,477613,560467,550770,620406,732531,871725,4721072,5806886
406004,485563,553389,550677,643207,712644,840842,4632500,4677716
439385,466270,560471,566944,624118,680012,868121,4651694,8353679
445846,460792,565568,560021,647789,720050,971548,4554637,9387815
424857,446876,554810,545473,654728,727652,951637,4567258,5000683
434367,471695,552728,555465,603777,731290,922499,4669883,10127672
430052,467611,570141,557487,625634,677907,973025,4683609,4697707
436237,460413,550820,547518,619773,753353,975834,5174223,8889735
433987,527392,557986,552447,623796,695533,929013,4493683,4642631
472178,506365,584476,561890,619445,751360,931815,5139120,4529054
432742,546929,541111,545378,645030,704396,922395,4409483,3683022
437067,537802,563599,572426,622526,705418,916032,4699236,5335167
410401,535313,573162,549001,646149,735772,904884,4911404,5821520
416762,478669,539288,557469,650386,717117,897693,4518664,4605721
433516,474709,561562,570596,600350,700640,876312,4478680,4484695
492463,474409,568372,547516,627256,714431,930817,4518528,8691023
