b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
52698,43499,42635,45394,36148,40707,49127,63481,138701
44399,45115,41503,36883,38826,39334,48187,61766,119441
43942,43477,40231,39038,42336,39419,50067,61457,111591
44387,43748,40192,38731,34898,43453,59093,63977,101534
45290,45627,43232,38640,35649,40054,48288,63489,103416
43963,43547,42957,36508,35682,42680,65600,85405,103827
44438,44934,46422,47679,37489,38965,54894,68515,131058
42985,45387,39569,37403,36603,40069,52348,67430,132320
44359,44719,42496,37755,34881,42551,50882,66347,114223
52640,44792,38944,38714,34243,39632,51228,64965,112449
43349,43557,38955,37709,34444,40342,51766,63819,116385
45372,44213,39586,38518,35791,40062,52023,62104,107320
43973,44989,42032,37706,34555,41378,51100,64214,133399
42580,44478,43143,40162,34940,39397,50584,63632,118761
42280,42784,39721,38415,34276,38892,51594,62062,111391
42624,42002,40051,44487,40332,39085,51053,63422,108291
41845,42937,41358,37225,36588,41401,52833,62211,109508
41706,42925,42586,36587,35190,41069,50927,62585,106764
43187,45222,39539,36759,37437,43275,51381,64112,141974
40801,42361,39805,38572,35058,39637,49489,62812,114745
50903,43483,40059,37723,34902,43146,51234,64089,107410
42239,44109,38995,38195,36775,41782,50109,63194,98963
43264,44456,39495,36968,35788,41905,49497,81066,102127
43054,41312,40419,37513,36947,37320,49032,70454,103770
43810,42232,38814,37532,36081,43560,49322,67260,110598
42232,42549,40431,36225,36757,41988,50080,65564,134424
44540,42846,39562,37152,36628,38190,48741,62724,120088
42778,43183,39151,37572,37061,41992,49716,64244,118052
43741,42084,40834,37305,34695,43673,51415,63229,103020
41663,41371,40481,37031,38117,39575,47158,70074,101481
42495,41264,41065,35039,47419,41041,49316,65784,103693
42127,41248,37902,38152,35929,39240,48910,69040,135314
41178,40454,37146,45721,35211,39887,49607,62340,115924
42180,47042,38343,38887,38963,40392,50280,62424,105855
42264,40925,42024,38535,35546,43419,60314,64319,102348
40583,41282,41172,35560,34726,41951,47902,62870,98521
