FP32 inductor b16,FP32 inductor b32,FP32 inductor b64,FP32 inductor b128,FP32 inductor b256,FP32 inductor b512,FP32 inductor b1024,FP32 inductor b2048,FP32 inductor b4096
70818,75923,124867,123838,141076,166929,313559,384712,562707
68504,76157,129814,124080,137901,176609,316514,400153,548189
68564,76589,125325,123437,150850,180175,312360,392795,526070
69131,76116,129021,135878,153941,183552,315585,407263,517680
68569,76072,136456,125373,142379,165679,300754,391876,716070
69379,77042,151867,125253,172443,167396,312990,404758,708377
68792,76274,126942,124601,143173,177912,341885,407600,741101
69033,75931,146527,126316,134357,169070,290509,392552,635178
69469,81038,150764,122260,143223,183832,297505,379195,578867
67796,75429,156370,129352,139883,168895,306020,387697,539151
70094,75146,137456,127725,140926,165650,324674,391688,516489
69076,75179,145070,123025,140163,168038,302724,388655,701355
68245,76065,138993,123082,142593,162945,261926,386365,608662
68333,75789,154510,110809,143019,176017,331949,370960,834565
68166,75749,148828,112820,142572,174300,297450,380485,574428
69965,76948,159306,114992,155879,178486,318770,385091,509130
68730,74969,132187,115262,142751,185587,315781,379527,534213
68095,74645,158439,115999,143583,180761,305949,529835,733635
68050,76879,129828,115450,155159,147456,318832,458537,655182
74603,75058,158261,110267,143119,154495,296728,417092,531400
70110,76194,156462,116533,141139,167211,317273,413592,570773
67963,84479,165782,115985,133692,162863,307466,413302,533162
68158,79748,150390,111237,141091,166298,290579,417042,713467
68971,77969,153300,122389,141881,165915,297376,402555,655491
71346,78422,132046,122988,136967,144688,280925,385847,571907
69075,75484,121281,116883,143851,165666,312172,398877,573011
67902,75773,150585,111925,151278,171768,286500,413934,683805
68680,75621,149171,115949,140818,170693,310412,426841,557727
68558,77441,163582,110467,141354,172271,320068,404445,522346
69970,75921,150562,111855,143430,172951,300674,514955,737678
67435,75481,152347,114958,133954,177913,325641,408358,708015
68255,78153,127821,116389,140931,160857,299802,405806,596331
68231,75888,144044,117702,140868,165969,307488,374463,615302
69689,76637,203466,109652,141352,177987,330050,380080,579360
69938,83113,160069,127611,153884,172457,281501,398594,539669
69603,76911,163216,115343,153501,173778,469053,560322,696802
69191,76687,154358,114286,137171,160926,228901,731172,622604
69773,76413,151728,116983,149733,174003,226739,412079,560128
