b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
11091,12583,20782,22705,20747,21691,27279,31394,60827
10899,12533,21938,21825,29231,22962,28702,39477,54826
12096,12286,21786,21068,21462,18967,24784,32323,52346
10888,12268,21632,21597,20790,21568,27505,30940,50554
11141,12555,20648,21178,22117,20795,22958,31550,46751
11037,12969,30580,21593,21250,21808,53453,42203,89188
11418,12459,21207,20058,21239,19366,28514,35441,54745
11643,12717,20775,22210,20263,22374,27458,31128,51791
11602,12656,22207,20254,20574,19912,26973,32518,57958
11492,12476,21208,20188,21400,20960,24531,34490,74312
11341,12436,21081,20568,19693,18866,23733,29579,60261
10975,12345,21853,21113,23309,19725,24139,32729,68602
10764,12209,21397,27291,20039,20530,25209,41139,60989
11085,11732,21274,20415,21261,20308,23722,31790,52517
11263,12258,21017,22052,21108,21901,25372,32245,49475
10955,11732,20526,20668,20413,20674,24626,43392,48438
11158,11904,21229,20330,18908,21244,31482,32108,46405
10714,12297,20471,20382,19730,21026,28882,32346,70015
11062,11779,20359,19482,20746,19994,30269,36423,57391
11641,11784,21185,21096,21171,27309,29442,31531,50536
11252,12282,19751,21150,20576,20650,29989,34241,48425
11062,11722,20451,21029,20159,20205,35686,31898,46619
10775,11847,21514,19032,22425,20967,26322,46769,43769
10857,12355,27360,20266,19515,20056,24595,36627,64527
11105,11984,21930,19957,20622,20344,22812,31058,56162
10946,11847,20971,19829,20007,20085,23365,31050,53964
11131,12929,19965,22365,20947,22050,23290,32290,51926
19661,11914,20010,21440,20156,22986,23000,33507,65674
10997,11765,20217,20760,21851,21630,23888,30808,45793
11147,11435,20939,19915,20294,20794,23727,31622,83567
10982,11458,21293,19515,20353,19001,24075,31407,62671
11268,11456,20197,21077,21344,21454,25479,41510,49559
10388,11473,19962,21035,21956,20944,23163,29717,50277
10542,11519,20041,19498,21122,20950,23066,29015,47439
10599,11497,19612,20027,20410,21873,24590,30312,56918
10525,11210,19711,20341,22365,20973,23272,30494,46043
10585,11427,21668,20716,19675,24706,23385,28651,67890
10512,12300,20258,21260,21790,23353,26398,30295,58294
10261,11498,20112,21199,22034,21848,24873,28598,52525
10436,11433,21701,21844,21960,21558,27637,30367,53351
10385,11640,21213,20007,21280,21074,25133,35380,51245
10421,11694,19930,20865,20314,22009,22992,41964,48850
10205,11390,25037,22058,20755,24121,24474,38226,79269
10600,11800,20425,21067,21199,21215,22453,32169,58938
10366,11406,20477,20217,20810,21104,23924,32778,49074
10405,11913,26367,20698,21856,20290,23099,34585,62173
10245,11003,19819,21229,23134,20094,23817,32337,62877
10310,11053,19635,20874,19509,20825,24834,31403,72856
10212,11043,21022,21140,21125,20772,24194,33800,58143
10046,12274,22868,20910,21306,19892,30524,33102,51521
10396,11740,22914,20051,20566,25996,23735,29236,50155
10486,11135,29588,20301,20784,20601,24957,33549,52903
20785,10987,23039,24262,21824,21181,23398,44665,63371
9805,11219,24101,23631,20835,20493,24852,31721,84415
10000,11602,24034,34144,20047,20117,44921,29252,63206
9905,11192,22985,20349,18962,34113,28213,43491,53043
10004,11005,23758,21013,19536,22890,25250,30132,51086
9989,11300,33546,20120,21505,21633,23246,30859,55701
10220,11122,23411,19159,21042,25841,22593,28681,81562
10089,11288,23201,20653,21851,22878,22930,28739,86233
10205,11352,30400,18086,20929,19652,25384,41832,58302
9918,10973,22888,18872,20883,19655,27671,208344,53138
10227,11290,25089,21131,21602,21186,24952,49810,50200
10028,10835,20430,18822,22717,20748,24222,42935,52358
10276,10735,21098,19036,23253,19935,23972,39176,50483
10007,10588,20132,18935,19477,20748,24953,37026,70298
9834,10937,19375,20686,19781,19009,26467,37717,57580
10155,10745,20635,21227,22971,20854,23830,33626,56136
10049,10654,20525,18523,21633,19314,23844,35556,51337
10032,11175,22326,20114,21842,22240,23311,31891,52941
10148,10644,21290,19653,20852,20442,26324,34368,58857
10218,10884,20182,19791,20477,20058,22996,34833,69147
9918,10661,20757,20491,21390,20773,34037,32535,68198
9953,10939,21390,30809,26351,19224,26089,33600,90997
10147,17890,20397,19581,20204,19037,26595,30741,53259
9725,10813,21456,20615,20874,19418,22398,31588,49110
9764,10666,19726,20571,20981,20629,24242,55050,49518
9490,10930,24323,20403,21004,21085,26679,35566,70190
9836,10549,19914,20694,26573,20793,25677,30673,61987
9714,19523,24588,21113,22277,20436,23584,28874,85400
9508,10915,20466,20062,20441,23591,30944,34213,65375
9584,10749,20124,19722,19933,19281,26134,30058,52569
9931,10617,21424,22938,21097,18979,39743,28877,53457
9890,10569,20134,21966,20993,20068,26144,31452,69109
9977,10869,20432,20060,22519,20082,33278,29855,58297
9507,10465,19841,19674,19613,18790,26752,29506,54717
9518,10774,22031,20961,20392,22251,25307,29132,72604
9847,10481,19836,20003,20761,18812,24318,29567,60715
10279,10375,21201,20443,21718,19778,29098,27360,77055
9664,10610,20683,19864,21458,19643,26443,29032,72560
9527,10522,21021,19753,20052,20897,29123,35587,63211
9475,11233,21705,21052,20243,30388,29874,32385,56806
9280,11112,20743,20789,21629,21811,27617,30593,54132
9565,10350,32525,20434,27040,20471,26751,41224,55265
9457,10424,22828,22118,18738,20103,25119,29284,50684
9258,11336,25122,21420,20039,19245,24789,31764,72799
9549,10426,17568,19932,21119,22152,23837,56358,60386
9363,10585,17584,20893,21801,19560,22781,37055,53618
9509,10500,26117,21313,27513,19206,22929,32337,50773
9335,10307,29190,19392,19222,19427,24118,32749,55933
9414,10462,24747,18955,20163,19748,22259,32133,61035
9510,10327,22475,20536,20833,18980,24607,28371,72532
9360,10119,17233,20315,20140,19999,23991,32898,60153
9542,10261,19537,20790,21039,19873,25517,29988,59417
9249,10582,18158,19247,19468,20131,23445,31080,53180
9329,10759,25184,19524,22178,18140,23277,29439,70810
9314,10013,17778,20145,22389,19221,22647,27778,55192
9091,10338,18250,20182,23233,19437,25070,31689,50388
9438,10070,17933,20250,19443,20314,23400,27867,74953
9564,10395,18294,21863,19783,21253,25118,37572,58754
9221,10120,17442,21016,19693,19615,23842,31360,56792
9191,10214,19882,19607,21028,18278,25039,32601,53176
9170,10342,17856,18798,20579,19952,24777,29056,59186
9439,10564,23489,20770,19586,19184,25479,55397,85937
9182,10450,21803,21935,20102,20377,25920,36348,75444
9267,9912,21348,20116,18132,19416,26858,30146,64595
9719,10691,18873,20630,21354,18548,24060,33011,59309
9274,10447,20746,19944,21156,22253,23303,35195,49627
9294,10154,21191,19628,27215,19611,23540,53193,54378
9323,10485,16824,18533,20065,19905,23967,44455,66490
9273,10161,18203,19618,22704,22474,27236,42367,61035
9123,10501,17268,19157,21012,22451,25636,39418,62362
9233,9849,17385,24648,19719,21429,37952,40115,57881
9237,9823,17639,24323,29868,20656,24987,41777,55220
9339,9777,20925,25959,20352,20434,26178,43048,55085
9268,9950,19471,19680,20305,20198,24776,43972,71785
9053,9676,24402,21036,19886,20164,24845,45027,86923
8876,9802,26180,20448,21122,20042,24985,42551,62816
8862,10181,17333,21076,20890,19581,25783,43920,48915
8943,10139,18110,29839,20919,20613,27234,43498,52687
9008,10255,19561,20936,19169,20420,22639,46914,60987
9657,10078,17726,19586,21174,22101,25112,40302,88434
9207,9805,17523,19894,20089,20738,26635,88397,74475
9174,10104,24522,21843,20597,21506,23149,48041,56315
9095,10203,17600,24766,21445,19141,23154,46273,58954
9235,10191,17014,20458,19558,20726,36953,48011,52834
9177,10392,17747,20868,21105,21754,26395,41734,58111
8973,10647,17596,22015,20607,19871,25772,42448,77262
8864,10122,22321,20810,19659,20939,24762,44525,57274
9070,10505,23776,19148,18958,20091,44071,45813,55767
8946,10118,24041,22325,20108,19877,24893,45148,56390
8892,9639,17911,21197,21933,19326,24373,53414,52849
8762,9891,22859,19173,18488,21286,24394,47814,50895
8898,9350,17325,21542,20203,19918,24953,49099,66570
8752,10160,17092,21734,20269,19361,24741,44259,92380
8412,9607,17661,18395,20401,20277,25748,46641,76875
8475,9760,16773,17756,21477,18833,23059,46408,50373
8568,10059,17292,19729,21326,19728,23872,46801,58651
8592,9543,17572,20354,20444,19858,24325,44950,55718
8569,9749,17273,19794,20959,21501,26657,51955,75251
8495,9676,17421,19579,22595,20695,27675,48645,63224
9226,9832,16918,20690,19426,19879,24655,58528,81169
8799,9835,17021,19406,21195,19710,26134,44996,79432
8697,9534,16783,19515,21024,19138,27572,45407,64794
8628,10027,17253,19832,22762,20834,26411,44092,55770
8864,9839,20408,21558,20027,20941,27388,65792,70793
8731,9562,21467,21143,21111,19509,23997,45153,79434
8800,9557,16732,20109,21531,22461,25442,54240,75473
8587,10328,16602,20235,20403,22444,24195,45312,55087
8676,9775,19129,21245,21252,19410,36738,41967,58047
8948,9026,16440,18915,20683,21549,26708,47720,54295
8665,9338,17472,17987,21131,22318,25751,39769,71880
9204,10068,17012,21994,19986,20877,25776,42560,63435
9046,10250,17724,19365,19315,21382,26043,43825,55968
