x86 fx b16,x86 fx b32,x86 fx b64,x86 fx b128,x86 fx b256,x86 fx b512,x86 fx b1024,x86 fx b2048,x86 fx b4096
991606,1133081,1154181,1153758,1273129,1328445,1585974,2652699,9998012
984052,1113459,1145623,1150116,1273150,1302933,1636132,3731429,6215671
988574,1100256,1151272,1157021,1288839,1336742,1599971,2651680,9326648
991260,1123980,1136265,1147451,1291778,1311760,1574667,3641446,5502774
986825,1124950,1150383,1159496,1265795,1301676,1762505,2594199,10048151
990154,1124664,1154088,1153009,1277471,1345720,1587436,3534506,6500052
985589,1122258,1162613,1161708,1282920,1321810,1581489,2624774,9430736
984920,1134257,1138534,1165203,1258918,1318990,1634982,3475386,6229134
982783,1121588,1147278,1152757,1293826,1356549,1590779,2660415,9528452
987880,1129892,1140763,1144755,1274732,1306148,1561416,3515043,6736483
984788,1133801,1160411,1154476,1292488,1301894,1650715,2962982,9615664
986381,1125282,1137684,1161301,1252884,1337437,1641335,5923636,5151743
989149,1124405,1144259,1160991,1291432,1329832,1585113,3676361,9202486
986451,1130635,1155585,1167237,1264823,1299373,1682910,5968707,6228455
988549,1126412,1155348,1143044,1293601,1339035,1591312,4661997,5104265
979601,1139869,1157316,1173648,1269555,1340469,1550785,5500407,5467878
987058,1122492,1152394,1152925,1297498,1298811,1639772,4774344,9725307
985414,1128373,1147492,1164032,1272960,1345668,1572366,5559818,6341944
951232,1133495,1140787,1163539,1286699,1328312,1546069,4614252,9338285
941716,1128018,1156560,1166243,1275940,1306482,1614757,4494055,6194926
949854,1133425,1148255,1160448,1291913,1310515,1568833,4586973,9111752
945712,1132857,1134330,1171126,1276378,1321527,1588462,4560437,6936402
952315,1126109,1150669,1159456,1271520,1322461,1632705,3500504,9765319
951545,1128372,1162950,1159505,1266339,1335129,1582285,1917826,6370602
948171,1124066,1139118,1151148,1288315,1319000,1864535,1862438,9221538
946646,1128681,1154302,1158192,1238722,1304011,1704657,3524586,6477201
953787,1123406,1138366,1156903,1269164,1353757,1630846,4523154,9211425
950812,1114401,1153060,1153970,1253294,1333801,1616935,3256416,6553481
947030,1123466,1144786,1163057,1299771,1310451,1629773,3940307,9869742
945487,1130225,1153628,1162347,1280367,1345308,1603469,3171904,6223708
941734,1124401,1156061,1149075,1290288,1306355,1572611,2666233,9618901
944605,1122311,1142869,1151565,1259578,1303849,1598114,3568151,6199850
953271,1125542,1146286,1155410,1291919,1333658,1555330,2625093,6261856
951200,1127699,1166335,1167647,1275434,1311758,1536044,5717255,4387834
964630,1122329,1156229,1158129,1284666,1312587,1542286,4609633,10481483
951631,1129032,1139786,1158556,1321140,1343275,1510392,5404335,6449928
959184,1124590,1154454,1155370,1295831,1336383,1528566,4646522,5120269
952378,1123006,1140370,1159833,1244640,1316990,1578070,5365342,4876968
956070,1124120,1150524,1166428,1269218,1341998,1549099,4584332,9228411
957972,1126414,1145276,1169193,1250371,1323053,1538380,5302587,6246064
