SHIR inductor b16,SHIR inductor b32,SHIR inductor b64,SHIR inductor b128,SHIR inductor b256,SHIR inductor b512,SHIR inductor b1024,SHIR inductor b2048,SHIR inductor b4096
419432,546191,1042775,1303427,324991,427694,896600,1622907,3526934
389284,565222,1044356,1313540,326419,413350,837288,1502009,3212328
389295,551780,1012264,1307488,325912,401573,851230,1486036,2968761
397122,560258,1007806,1316661,338756,401998,810291,1445012,3043661
391794,558469,997631,1311578,336392,408935,818709,1476646,2924344
398837,560224,1020610,1305926,341859,416417,790103,1535478,2825312
387804,555886,1002296,1307948,323568,407021,784014,1514810,3305346
392308,558457,1000833,1303900,323052,413136,737014,1514283,3076107
400692,549311,1000526,1297489,333710,397719,756594,1413836,5740736
391283,552073,947502,1298042,324167,417982,722114,1459431,3597936
390199,550433,946477,1305116,322648,406642,694742,2014117,3009753
397701,549069,957523,1308353,334196,404270,694508,1672467,2828714
390930,557978,938474,1307013,332700,422093,679234,1698930,2821434
390111,559379,945909,1311135,331675,406531,682602,1786518,3094319
397378,536260,939393,1307810,322772,416692,659726,1756697,3303108
388471,534919,957659,1302633,327690,407775,660249,1696475,3128532
390791,535130,917607,1297848,319694,405969,662296,1700520,3491813
370436,527767,927265,1306129,334685,414896,631253,1629513,3219932
374901,528165,936498,1312796,324922,415182,627770,1538826,2986222
379076,530695,935702,1301923,324055,404268,625668,1539696,2882661
374802,538323,932227,1299668,348109,410314,677986,1571471,2737422
384156,537026,920781,1307899,341655,404364,657032,1584007,3115604
371609,536755,923186,1310376,316131,410331,614354,1548676,3138843
372403,534292,903776,1309072,326293,401000,693499,1598222,2964463
377589,526365,898068,1296254,334941,411649,765234,1575713,3498119
372581,529627,890134,1312332,331374,435782,691276,1514667,3157755
379928,534431,899690,1308820,328228,403262,879512,1585530,3007106
372201,515917,896172,1300886,326303,432344,850770,1567815,2869922
374594,515402,900345,1303574,321589,400350,628569,1589185,3166987
381698,520017,898763,1306616,333397,414467,935057,1438019,2970908
373674,509971,866559,1308459,338458,414752,678570,1538798,2962283
379726,513200,874065,1304031,324096,403291,631769,1405142,2949424
364974,508307,870164,1301529,318279,420854,720058,1386703,3437068
372078,518837,872205,1312469,332286,417529,882666,1419041,3224605
372826,517150,886866,1303433,331666,402868,801626,1413507,3032114
373581,518108,879302,1310065,317622,406828,810091,2066825,2862290
363545,509239,884998,1303140,342212,411752,819213,1729225,2796982
357745,513084,890881,1306470,333448,427780,706461,1679573,2925253
358713,508580,841442,1301597,332654,400083,634225,1743538,2955459
363159,521735,846897,1308534,323762,422042,823275,1673575,2956159
357620,501936,841455,1307177,321046,399835,854691,1692427,3548165
365854,495836,829276,1311696,322999,409365,679608,1609037,3186279
346568,493971,850460,1294281,329409,408156,720847,1666374,3031149
357715,492329,851277,1308396,321000,404850,863261,1649920,2885872
357270,500449,852872,1312628,322843,418245,781374,1536865,2758029
356847,498779,800256,1308345,335483,411927,843147,1663228,3314371
363592,498008,806717,1318940,334020,406716,911725,1480274,3126055
356454,495773,813203,1297864,323124,408179,923946,1480187,2991150
364293,493189,812613,1312944,321973,423049,707822,1570042,3438139
356619,500550,837504,1302088,326484,396611,681132,1541371,3212601
358290,500486,823288,1302693,323330,417556,916582,1454998,3008576
363125,502380,795956,1305479,323428,411543,880565,1438800,2796399
347765,492950,793939,1314044,324875,436255,646334,1432445,2866118
369046,499836,782234,1305596,335846,406994,740454,1431562,3182201
360476,485468,752210,1302722,332405,419304,863655,1404464,3118879
351768,484878,779258,1312242,327723,421491,821576,1363055,3145500
343843,478132,753872,1316138,330864,786339,877254,1582675,3331236
343135,476244,766790,1304332,330887,682185,865811,1524715,3206058
339140,474569,785031,1293775,336856,648413,622267,1496603,3002133
343954,484171,765140,1312154,345256,640578,804760,1459819,2882793
349554,485696,780684,1311022,325252,590289,657770,2074454,2850624
342488,477309,761919,1323878,338997,591903,892513,1688699,3309355
350539,481237,742374,1298092,330439,590200,907794,1792920,3083183
343435,483804,753536,1315606,339714,591116,651523,1665609,3041261
350267,486722,750495,1328805,332274,555690,790644,1710409,3458890
345883,475438,760451,1301891,328547,576619,891613,1656094,3205725
343828,480461,755634,1308825,333996,567501,807961,1661094,3049756
343360,481338,757685,1300713,331587,574061,926880,1679721,2958830
343737,472196,726984,1310258,325910,567911,739367,1664815,3030149
349936,463684,742827,1304015,341795,541427,617090,1648923,2801548
342311,461090,766052,1309719,342353,550677,781705,1521982,3348083
349135,462375,768958,1301609,334484,539323,752701,1442079,3144041
344305,470718,780543,1313012,347263,541054,660121,1496047,3429975
351900,467845,729406,1314479,341472,544044,847270,1552698,3192774
329898,462405,755836,1313894,339964,521055,844358,1554953,3109203
333569,462921,727284,1299662,330979,522570,888175,1522862,2930956
329451,470060,737300,1309499,328133,504597,839107,1612956,2870044
331313,467967,734233,1332588,331768,504136,931661,1423542,3314690
334195,463583,736123,1327655,342274,537952,682374,1607830,3102399
329720,465121,754382,1302731,330023,499320,642107,1476809,2985295
328286,470941,755737,1312626,332675,507445,701143,1464523,3485601
330554,470616,739794,1307637,350198,492191,892856,1442951,3134133
336378,440347,753053,1299630,326053,497612,915024,1504281,3001812
328831,426010,749569,1307861,326722,485223,785591,1378211,2852262
336852,432990,742252,1308647,318716,499689,901217,1485620,2834725
331227,424584,737353,1314940,325769,476602,646908,1623216,3136458
337905,426847,762303,1304299,333303,480450,872431,1712790,2981063
330208,432140,741584,1306535,327337,473181,845953,1797770,2822892
330397,431000,736269,1305291,323358,467034,764692,1705277,3368818
328952,425081,728151,1326574,333447,455458,737278,1687753,3194514
330834,434028,733317,1299143,324788,467981,781784,1634692,3002200
328184,432202,742907,1309463,323482,449595,842256,1575299,2926920
331243,448367,768022,1326046,330904,442927,645142,1572060,2860411
344936,425063,742401,1310919,329663,452849,868691,1620481,2822092
317502,428818,742670,1299648,331273,441574,817272,1563781,2851518
325664,449248,742986,1301712,331131,437750,756034,1601181,3247503
317721,425364,759525,1315327,327005,435919,625543,1582312,3470310
326647,438000,728627,1307699,331128,434773,635922,1431580,3184924
319616,451962,741323,1297477,329933,432739,656506,1511606,2989062
325729,443567,738535,1305473,329580,431257,732398,1545332,2980775
317332,447906,745118,1304377,328396,427120,763031,1564309,3184292
324795,450864,758687,1305379,334284,424528,675548,1544730,3776828
311481,447821,731557,1312069,341285,441150,645221,1567726,3223403
325386,442624,758874,1305876,333522,440696,711322,1545367,2988080
320159,450389,749868,1307673,332504,416721,740204,1715210,3449376
326236,454423,734404,1306154,327373,442162,1178140,1426300,3190046
319670,449103,761309,1308796,343694,438775,1025248,1526193,3003592
325817,444913,762510,1301261,336718,421137,963654,1462516,2957316
316833,448563,755490,1303784,324216,434055,960620,1345207,2921783
321480,448711,733603,1301847,332061,420886,876999,1442474,2814496
318242,412815,754347,1310604,335740,439785,928218,1422469,2640113
319963,450139,723576,1312222,338146,409055,855271,1338298,3293442
317758,430107,737319,1304436,336042,430292,848370,2020232,3422831
319630,398114,744579,1300863,324409,409707,834577,1674401,3204768
314890,397500,740358,1311343,346023,431198,790539,1719827,3018649
308111,401581,736675,1314012,324728,423773,782199,1780105,2997209
308126,397742,760865,1302377,336358,438421,758575,1720582,2829749
308206,396852,732273,1306018,324347,426098,719327,1675552,2901669
308139,432467,756659,1309527,335428,418066,707159,1672310,2979493
310417,428121,775669,1322653,354499,417741,714800,1650927,2993321
307663,400441,738076,1305929,333610,426464,696769,1582345,3441663
308329,401621,753811,1307108,342808,428438,695641,1561543,3238266
305510,394554,752138,1315975,340815,447904,697292,1546049,3016287
310034,396593,770231,1305330,340314,420621,683979,1527818,2852084
307529,404142,742998,1316769,320452,435360,692628,1578036,3002483
307458,399219,737968,1304774,333872,407122,650959,1539274,2953958
308491,416854,760714,1313474,344762,437707,635192,1525510,2842166
310005,428321,755414,1306995,340370,416354,652842,1467863,3077761
307097,398520,747917,1315033,341306,417139,635677,1573318,3381492
309658,399336,773838,1310903,323015,428749,638749,1415647,3176985
306177,391310,780142,1313010,335289,405964,641429,1544023,2966419
