SHIR FPGA (buffered jit-copy) b16,SHIR FPGA (buffered jit-copy) b32,SHIR FPGA (buffered jit-copy) b64,SHIR FPGA (buffered jit-copy) b128,SHIR FPGA (buffered jit-copy) b256,SHIR FPGA (buffered jit-copy) b512,SHIR FPGA (buffered jit-copy) b1024,SHIR FPGA (buffered jit-copy) b2048,SHIR FPGA (buffered jit-copy) b4096
187868,211244,272485,319491,376137,557474,825215,1747973,3266766
188278,221490,271163,306997,373779,543259,966009,1755243,4097513
189037,214506,270911,309550,377162,542765,985237,1752855,3170919
190447,220250,276603,305197,384824,545819,840209,1776227,3195219
186447,213547,267742,305422,375221,543491,939758,1771983,4545594
192879,211978,260583,306181,390716,563683,897483,1762558,3238497
185502,217786,270161,307443,373736,546819,997836,1759510,3324821
190354,211214,276726,308989,377656,542045,963603,1778691,4055215
189747,215169,270546,301676,375612,579257,972170,1792854,3182790
190581,214727,273095,305206,377468,540830,979585,1765588,3176958
189827,221078,266975,306699,373651,543131,988397,1747594,4638669
189337,213293,267354,306650,377956,553883,994636,1963155,3327796
194138,217344,263674,302860,378489,543116,973154,1786580,3263754
189354,218264,266067,320927,393118,559763,980427,1824406,4252876
189849,217770,262294,304628,375852,537061,962784,1741432,3160532
186496,212694,269063,307259,383211,547503,975020,1756853,3224473
188431,214392,263490,306794,372831,543287,964602,1762292,4128308
190659,215782,260356,307158,393120,547202,957842,1769722,3359996
192574,216832,261512,312811,394888,556015,958192,1745228,3244048
188512,220138,268430,298209,371833,541253,1000064,1748747,3199682
187613,213612,275282,290988,380484,543008,963862,1752232,3204361
185780,216391,268021,302298,377794,573596,959165,1748523,4216467
205847,211156,267198,303795,391895,547366,954759,1817189,3417621
203194,213095,268010,297555,372068,560244,969573,1729947,3332557
208316,216766,268415,298222,381874,561215,966160,1815599,4270621
184437,215437,270016,297107,391471,545257,963569,1764511,3291600
185162,217146,273164,300310,375515,546506,986913,1742528,3173949
197745,215170,264498,300093,377432,546213,979122,1758700,4000009
189354,216483,262977,298788,374946,568419,971867,1762025,3101884
186665,213767,268020,294975,374730,542949,971317,1746247,3397824
192630,222203,269750,314000,376205,552368,993273,2070810,4373306
191806,213001,271420,301845,391228,546993,969195,1781596,3215085
190184,223723,278847,296752,371836,544562,977398,1814446,3117686
196446,218685,274109,293352,399507,560590,952612,1766698,4091521
189058,214314,270183,301794,379928,536360,958898,1777217,3102203
188237,218279,270159,298162,391062,545628,972328,1759990,3266376
194316,214669,264614,301343,375990,549289,990482,1777442,4332377
187134,210984,265437,296709,383325,539337,976807,1735048,3185156
186496,214687,274840,297329,392863,549048,969017,1746790,3136936
194914,223191,269485,303220,374326,539790,959602,1750606,4207855
187365,212969,266822,296937,372351,565185,969623,1792696,3181049
185478,217769,272699,302500,375536,546719,964496,1762566,3299053
188699,212321,269888,298865,376160,541541,966793,1740176,4369778
188961,213868,261357,298425,374746,554222,973402,1758026,3210968
191271,215308,269353,314790,393139,543682,945019,1769742,3175122
192579,212915,265443,299461,377059,544689,965198,1814840,3984315
187270,215182,265064,298659,377110,549243,918519,1989364,3113367
188043,215898,276975,298467,372098,562494,949789,1738853,3123417
199301,226177,271068,303425,377887,554885,1005951,1778793,4415359
190231,214231,269895,298084,373225,536790,969522,1774108,3263971
187093,226788,281078,318173,374608,565969,944731,1728360,3182134
195552,216540,264818,302279,376441,545075,974777,1767658,4282819
186150,219000,270456,298020,375388,550760,1000908,1761413,3105489
187736,215124,274718,302303,373381,576516,1230199,1744640,3309222
193797,212590,263340,297654,393700,539958,913420,1770118,4422256
190383,215316,272609,295949,392616,561490,885380,1735217,3258729
189301,215404,276030,299939,392120,543122,873614,1788160,3148033
196182,213859,263307,316095,378333,569127,885819,1778809,4014549
187337,213145,262641,300781,384396,565818,853311,1767208,3082253
188212,223567,264345,300312,374044,542507,866658,1882341,3105341
198944,214920,271970,294625,374738,544013,859252,1755835,4549727
191033,220089,271927,302410,373402,541443,856163,1742339,3302281
186134,217398,263197,296378,382533,550238,840421,1754027,3274242
194222,216291,264433,300645,374436,562369,860344,1768497,4269504
187173,216337,261502,297178,374606,557086,845018,1766976,3088196
189949,215586,275512,296050,372500,544985,850631,1772179,3251062
197198,217875,280525,298389,383439,556798,845236,6716039,4441711
187172,211562,275841,297270,392539,543313,848426,1936402,3227338
189421,226654,268297,295095,372867,547084,838458,1797192,3201975
192862,214588,265214,300859,371654,561088,841134,1747264,3108573
191357,220863,258335,303155,380977,546041,851527,1771326,3103916
190945,213836,268387,298508,395128,546826,834782,1749012,3057158
197649,212408,267149,299164,374800,543685,846222,1762704,3471901
190682,213355,263080,297672,372968,543028,843647,1737287,3266541
187195,213378,276819,310131,375470,571998,978172,3755835,3144327
199830,215176,260064,301884,386662,560586,833142,3358955,3085672
185550,217632,265439,295063,373619,550161,840984,1744174,3073987
188823,224845,270175,300021,374736,542135,853447,1771260,3102119
202495,212551,273256,296558,394091,562498,946941,1725939,3031861
193103,223741,266635,297249,382941,566731,944792,1741631,3404174
193396,213700,274923,298035,381340,554093,823841,1796985,3199146
200048,215544,265234,299718,379859,561651,871349,1711246,3168251
192038,214113,261694,296299,376017,546407,849974,1748322,3110215
187629,216923,269115,292626,381756,540292,928418,1980741,3085280
189824,215349,263949,316023,406141,545324,951187,1805246,3376056
188428,212966,261447,316243,378026,547714,981729,1712744,3254518
186384,219280,267116,305132,373495,543155,985177,1680578,3148088
193287,213314,264654,300602,381977,537847,985962,1769826,3087719
189966,223070,270707,298552,377292,551470,955131,1777474,3046516
188403,213044,263371,313734,375196,546165,1023184,1753988,3075412
189131,221938,262572,306576,394087,572962,956927,1740511,3030023
187160,223103,259408,295729,373629,542968,997139,1733327,3242195
188225,212533,261664,301512,374859,547506,975844,1743746,3270461
190226,217121,260780,294231,375707,564251,970798,1735622,3174783
189150,218063,273431,302910,372456,543672,962336,1749397,3050047
188522,216478,271866,304397,376519,547346,914118,1747078,3014155
186423,214753,268062,302109,376604,546361,994641,1726908,3075244
190399,222656,270908,307000,371553,544599,1002755,1723379,3532378
188841,216523,265198,299163,371766,544538,976672,1732006,3269464
193109,225531,261814,325145,386782,546526,900657,1740495,3160116
210150,217410,270767,300731,373176,546786,978713,1711841,3127299
203947,223545,264594,297228,372598,545082,962058,1794518,3095267
191018,216108,271486,302431,376038,545734,960549,1964149,3082091
191901,214248,277167,300580,380984,547004,991641,1841395,3486950
196029,219031,265462,298212,391193,550092,962125,1751229,3339454
186260,215661,274290,308105,376574,548153,947924,1734484,3252935
185979,217138,277791,301471,373770,541766,918005,1726748,3192371
194740,215984,265906,304342,378981,550040,969817,1730504,3134044
189231,224289,270672,310113,378725,552962,937863,1730330,3089402
187361,213181,275223,306085,396260,569599,962804,1722903,3034271
197511,227658,267127,301890,372481,541068,952379,1712485,3343826
188813,226203,269366,305277,375809,544001,949618,1731331,3274384
192747,217613,273405,301988,376463,540057,947788,1719092,3140018
194678,219220,271291,304677,374399,548725,952037,1737972,3054430
188053,218568,266827,304975,370032,542164,962595,1720080,3052084
190914,216922,266531,301864,375247,571820,943508,1697771,3328869
190973,215201,268488,302750,371945,538094,965938,1757296,3238591
188473,220175,270369,307482,374867,563902,945346,1733018,3204606
187237,217800,270215,300074,374408,567582,951733,1731802,3109738
192995,221691,265417,305962,373633,553506,964172,1709351,3030213
190556,221164,261881,308579,377152,551741,979500,1721231,3025191
188144,223251,266613,321398,391459,535740,961566,1906536,3002681
212919,215664,262123,296890,371604,544106,967752,1756154,3289635
204558,219476,267305,306251,381704,559343,963218,1710186,3181999
188777,218189,269945,300874,385278,873721,903911,1748785,3119511
196667,216454,263875,298097,388268,593315,979702,1755733,3030346
186884,221774,264886,295178,372186,564136,903406,1762605,3037903
185847,220049,266669,299375,375194,573146,938592,1711565,3057877
196345,223989,277941,301528,381519,561629,990131,1736440,3534167
190443,235696,279925,301579,383911,587214,958615,1734032,3291832
189564,237621,271811,292637,371983,568172,1181085,1725753,3288615
199202,214306,265519,297709,373743,555729,892176,1714854,3114809
188984,223120,268190,300958,385876,559739,874079,1729677,3027705
189791,213242,273633,306895,380214,562961,867141,1722448,3010465
199326,214153,267115,299577,371351,553231,859043,1722361,3366307
186554,218763,261861,309780,378721,551579,847210,1717231,3224665
187173,217044,263783,306705,381054,564446,854367,1727187,3200264
198407,213917,262780,306237,373296,563911,840017,1937101,3141585
189528,216640,265346,306656,378973,571217,851443,1875498,3082843
191574,219002,271684,304584,375914,553098,860724,1823063,3052370
201339,215461,270788,308673,384321,551791,849160,1808360,3104170
188968,222058,269483,326019,384362,548596,842324,1823503,3388250
186156,217263,268246,298821,375045,551959,855739,1840038,3279731
203989,220649,267211,299559,373381,552844,844472,1796593,3169281
189954,220224,269902,301235,408235,564540,862352,1755839,3105944
187578,218516,283943,296895,378150,547974,852097,1789434,3091701
186137,216708,264989,300118,369109,565644,844339,1805811,3444363
188608,211447,269176,302072,380220,565356,834316,1734411,3275868
188375,213831,291388,297186,383248,572378,842569,1786062,3255497
186605,217488,281615,301410,375306,559752,832383,1727445,4286705
187125,224404,271047,299806,374954,553928,835028,1712633,3122542
188410,213043,276194,304322,374714,573537,824531,1705652,3386216
191026,224835,266197,303461,381169,544650,832650,1774675,4396401
190216,215383,268381,305775,375130,550285,824648,1723499,3534511
188328,224460,268612,303242,374688,555074,843252,1701365,3463078
189907,221480,263298,306172,376843,544417,917724,1735223,3549986
193962,212907,260236,304808,377401,550509,966365,1719839,3275670
189831,215632,273683,306940,384458,562587,841500,1961577,4388997
188856,218511,264429,305635,371328,566799,894705,1934750,3220342
190564,224696,267460,304384,376650,548840,852147,1853967,3385602
187236,212113,273652,310005,384288,550437,848486,1826805,4409660
189437,221389,263280,303878,378240,551051,846959,1807404,3234664
188197,214113,267990,302243,380633,545403,864252,1809508,3262289
190800,226488,273540,303270,371333,543772,916460,1863472,4171518
190584,220070,270740,305964,383949,555530,947385,1934312,3163477
189344,212407,267323,304809,388155,544806,973111,1793180,3344397
186673,215794,270726,305607,374910,544881,977918,1743146,4386352
194271,213111,267868,306383,394249,541841,989515,1739407,3157015
186612,214997,267494,309573,386029,545485,942781,1787911,3222995
184309,217196,277022,300938,377255,540572,996141,1750218,4164505
191054,244701,264323,307504,375713,544403,980454,1730479,3152505
188896,230500,258014,305191,376657,539782,1014397,1747394,3169871
188591,224688,261943,308769,383660,579207,943655,1800104,4593941
188028,215166,267306,305204,380958,539452,974159,1798259,3292619
187890,225079,274822,319113,377873,574945,897407,2148959,3228838
191055,215515,272387,310907,376003,558537,963412,1938803,4196736
186522,214398,266206,304412,381120,548221,970133,1892642,3156235
185285,215582,264645,306404,385411,543144,990803,1798752,3358827
187324,217448,270979,300209,372726,541694,902749,1818300,4476263
191277,215202,265988,304117,389922,561726,956150,1852021,3320056
193146,216308,263857,305544,386405,545770,957257,1771507,3243087
188022,226904,273006,301962,375558,544229,996645,1742855,4025313
187247,216292,263856,308145,373997,563166,950034,1725957,3166944
190918,223801,265709,307124,375315,557895,929866,1740695,3131882
188153,218771,269113,310261,377746,573892,959118,1730869,4340142
190513,224375,268649,307073,376704,561826,960828,1681327,3288842
189930,214448,266704,305981,378635,548299,977990,1705236,3281165
187459,217635,262468,305287,374301,537106,981703,1704798,3989630
189518,218323,261987,308928,401350,541836,979294,1686994,3142425
190695,217255,264290,306756,379338,552037,956939,1706384,3152766
191107,215688,263519,307381,372925,545592,939528,1756230,4333895
194683,215820,274150,305700,391608,566568,974654,1751949,3261368
187893,221773,260488,305098,378943,543117,977583,1817906,3227105
188500,216572,261202,304406,397922,536733,974397,1986302,4136903
216558,222532,262978,306520,378513,541795,952625,1784013,3252696
201679,218489,261270,308838,376622,540955,965782,1840470,3251904
202512,218234,268767,307715,376189,571142,962266,1747750,4580395
188965,214541,269146,328239,379779,538287,945879,1800190,3340959
188431,216084,270403,304356,395291,564342,962474,1760820,3271152
192419,214122,268049,306097,392285,538186,996162,1766826,4268223
188231,210879,262675,308217,373519,566696,942787,1789503,3202599
187893,222430,264326,309858,376852,536732,973184,1763465,3205698
189054,217016,264403,306621,376097,544387,962461,1742774,4151014
188896,229868,263927,304801,375703,539293,989747,1792822,3477468
188602,216821,275991,306399,376164,561269,956539,1732590,3282538
187723,224559,268739,306997,372489,541799,975887,1751337,3172074
191535,219610,264732,306125,391502,552888,939557,1718610,3205477
189482,213476,270969,311295,376906,557751,1160302,1757378,4116586
194910,217010,262665,305878,373062,541688,923324,1731081,3490936
187062,213843,267379,301321,372078,545242,885617,1740292,3241819
187126,213013,279019,306904,377175,563560,887107,1789083,4646440
197295,213999,269782,325667,372073,547986,870609,1723480,3338796
188791,225563,265439,298332,372885,541519,856871,1935023,3290102
192162,217725,272132,293274,394709,826647,840202,1834836,4274168
196744,223288,260945,298452,383635,573117,854174,1717127,3199846
190737,217705,271001,301229,375013,541591,840014,1701651,3481770
188897,213628,288963,314805,377780,540273,867275,1782469,4419158
195970,216863,283530,302486,374937,556932,840611,1721905,3269264
187884,213317,271582,297359,383541,565318,862412,1752497,3244554
188882,221330,268929,296522,383307,542584,844018,1769753,4126276
197155,220053,263924,299699,374123,543615,848063,1731370,3085088
188604,213745,266888,302991,373533,535566,832861,1733174,3389112
188008,213887,264841,296116,385344,549078,839286,1743133,4410393
192696,225951,271729,297995,385692,539951,832584,1713199,3222516
187731,215074,261362,298997,373798,552193,836088,1702283,3151794
188322,224407,258783,302841,375191,542604,830608,1712158,4170969
196023,219118,263344,304064,381465,568702,840305,1720603,3155673
188112,216025,271357,300028,382651,539023,822111,1728867,3511260
185933,218636,277758,297428,377931,541308,899128,1955518,4364510
198203,214223,265225,298251,378821,536245,825647,1750940,3219720
187718,216600,267071,300679,379835,552210,834861,1684963,3177597
187532,218470,270112,303188,403576,542919,833676,1694159,4106601
198047,223002,269073,302382,377520,536982,914608,1673295,3148159
188075,217440,270826,298853,377901,549476,894009,1786750,3119485
201769,221751,275176,319022,384874,557357,925100,1733490,4454029
210453,217219,270210,295643,374763,582326,952483,1741702,3287402
198104,225903,263771,319482,371057,545804,836347,1730896,3219740
189794,217639,279135,312456,377010,538821,902417,1760118,4235852
199442,214573,260845,297098,397182,546231,904723,1788838,3134087
189843,214726,263130,318536,375043,543286,857781,1771260,3392090
186016,214693,279773,300425,376845,564720,948304,1772099,4324374
190981,216582,269365,300206,374381,565171,958887,1771400,3255997
190747,216134,267254,320683,375947,538512,931660,1755006,3254916
191024,222273,272800,299412,377557,550881,997875,1762799,4059130
190200,211360,262229,298020,394028,559337,950628,1758797,3170702
192084,220714,267158,302182,373963,555200,987702,1804840,3329483
186229,214940,272552,302305,374050,559299,979852,1944347,4517166
190613,213874,266459,299632,381057,544008,1037478,1992338,3239955
190719,220268,271173,297417,371360,544908,983032,2095737,3449485
193137,216840,276165,316125,376760,545456,1000365,1948381,4493802
191793,214226,271595,312038,374171,574790,968461,1833978,3282532
191386,214664,264757,325976,375462,3618798,972055,1888416,3285729
188635,227019,274603,306603,377647,634063,946900,1804145,4508243
190784,212753,267379,325105,375513,588810,949175,1819853,3371423
190986,240459,264056,304905,382152,541119,970536,1762959,3307433
187444,228685,272115,327170,377941,539966,956932,1725595,4086936
189136,228857,266585,306879,375955,544983,923933,1741178,3145820
191572,217860,272974,322246,394145,543970,1045899,1738224,3217288
194914,214856,271018,303289,376559,546554,974172,1767628,4928851
191411,217150,262068,297499,380672,548583,964728,1719687,3759763
191432,215556,261718,296289,372015,544377,916942,1757229,3471467
191171,220097,268399,300509,392553,564115,972133,1718393,4525113
191564,219376,266817,299001,372139,536717,944557,1733074,3551366
186543,219805,272340,300114,382347,545549,931891,1715710,3482621
189006,214607,276132,298071,385746,541688,956944,1710796,4476193
188323,223949,265340,299591,372805,545722,914943,1924490,3473875
190710,218026,264461,297290,374151,559241,1002751,1849497,3347149
188252,221846,279514,299384,385357,560956,981387,1697825,3178528
190306,215485,262313,297713,400959,552184,965061,1762267,3213108
188846,215969,266164,300432,371821,540912,966157,1813362,4315481
184560,215229,273272,298782,374645,542413,994420,1771098,3427652
207651,212617,267639,298014,382880,573050,953410,1749316,3317239
202751,217272,260913,299227,380971,560525,990657,1735382,4390399
205716,215324,272703,321917,375722,549080,907977,1718076,3443035
188356,224419,269484,302937,374910,540355,959144,1769978,3567659
187841,217459,267674,296861,397709,560557,961451,1802930,4422216
190710,222559,268320,307072,377750,540620,975407,1724891,3392080
191019,219483,270615,295703,375193,542577,996329,1715329,3441713
190249,216264,272584,304695,372745,560626,952695,1708382,4380544
197710,215319,272306,299132,399888,564584,943524,1728990,3309090
187355,215856,270782,303400,377337,557901,974173,1721746,3238410
189677,216578,263749,301730,374908,562967,962846,1719248,4197062
201708,213030,267589,295308,374451,552015,949204,1729400,3197871
187445,213941,264303,296334,392784,561641,966047,1703414,3633836
185924,211434,271448,299885,380984,544626,1180981,1998476,4788156
201055,224738,269430,297281,375062,571335,908183,1763042,3447343
187266,214893,268161,295755,375715,561054,907813,1705029,3460937
187552,219557,268553,300032,371411,544608,862921,1687637,4524403
194288,218690,272297,302843,386380,538677,853562,1678493,3888290
186265,211066,265593,317597,374664,2127753,850949,1746482,3539341
188755,214746,262520,317077,372592,953794,853238,1865821,4511596
199761,216484,267457,298114,375614,611357,848303,1729104,3330051
186078,214861,260749,315367,382541,555677,849832,1740000,3268923
189863,217475,269845,298307,371583,586127,831939,1750860,4004274
194644,223141,274597,301588,378320,582464,845340,1743347,3191349
193132,215944,261605,302578,380469,571084,829492,1717438,3197412
184306,223292,264746,298398,396312,575016,847271,1723007,4525336
213181,216158,266031,315314,387029,565839,838255,1726964,3334695
206814,215730,264780,300546,376377,570264,847405,1697217,3313420
198296,214459,270368,299540,373592,565457,833076,1737533,4343278
189575,217548,273061,297714,399249,564995,845900,1711085,3566607
185163,217427,270295,297876,374393,553880,866945,1719547,3536426
189235,215340,268208,299046,369242,548332,876821,1794546,4436749
186478,226463,277098,303273,375283,546730,868413,1953081,3291854
187279,212928,267311,300439,400793,546421,854217,1758589,3196802
189640,223850,268698,296436,393037,572873,871574,1696729,4016033
193981,215735,268514,305235,376991,562627,864363,1712877,3240741
189369,221005,269915,296714,372954,541050,870944,1747619,3151155
187516,212003,266084,321593,376248,571542,857738,1712085,4617934
188161,215106,262546,297170,374433,552881,983996,1734270,3286497
189933,215355,266385,299250,375280,565792,906491,1734191,3332432
189426,216675,270796,300676,372634,548114,915257,1739334,4273602
188486,219083,273344,297105,377997,563195,869455,1757493,3191420
193374,216753,270679,296827,372818,546406,916129,1719832,3208222
186766,221870,268158,296491,372427,574906,873719,1715811,4596373
189987,216331,268398,300371,373528,543850,884088,1707155,3281908
189711,216177,269427,297554,384363,558581,869998,1694041,3306955
191106,219412,266285,301849,410870,547065,989650,1718153,4279251
189497,216742,270422,301923,376066,549590,979982,1754298,3191306
185026,216902,267778,298503,371420,567447,965966,2005742,3272494
190541,213433,273691,295988,373062,546334,947443,1766727,4598363
189161,218644,265680,299734,374407,578885,964479,1689682,3332953
187294,220753,276261,301895,371573,543712,975341,1703229,3330662
187843,227464,260590,297356,369614,567663,993581,1725615,4307713
188175,218043,266112,297669,693244,564607,971991,1735523,3188563
190450,227933,266795,298341,412123,544394,997323,1692434,3289781
187125,215280,267329,298849,396751,603179,937790,1740287,4312835
191185,222296,270529,301587,394572,540558,996221,1753781,3391612
186589,216546,274491,298725,390446,562795,948800,1948187,3364859
190184,219946,264988,295789,399498,544565,986713,1719953,3224956
187999,218066,268119,302821,395165,544850,951361,1736132,3148069
190157,213402,273254,311626,388100,552184,983542,1788589,4104824
193287,215731,262691,307689,385993,542493,970841,1731269,3252605
189258,215760,273882,305905,395171,545807,947772,1743904,3296260
188979,223830,262458,308603,387864,560901,972830,1739504,4281365
189082,215957,266545,303811,390362,539786,986470,1708755,3136728
188228,219765,260663,310369,390097,592857,953398,1728540,3155994
189972,215708,261901,302297,385268,544129,999544,1703696,4026984
186990,217438,269701,304475,386180,558569,992414,1973715,3061204
189484,219965,263312,305027,393561,542041,961814,1942780,3303292
190453,216266,265119,305773,380635,570649,1003024,1768217,4355190
185616,214926,273507,305806,384089,561691,928786,1698469,3259761
207154,215937,274129,304602,398676,543963,985929,1703073,3157295
204639,222109,273592,311917,397670,543259,956617,1745898,4203600
207921,214450,279642,325345,384515,563006,922449,1750759,3321250
201115,223318,270218,304184,387345,560498,979893,1752133,3406116
189519,212802,263294,299420,390496,541436,941149,1742270,4301619
199462,214540,271837,297951,380710,547048,997532,1732203,3217444
189507,214098,263682,299389,386969,547414,966408,1697188,3213918
190051,213625,266589,298101,382122,586794,957603,1720156,4104705
199987,215605,274821,299930,382051,547158,931429,1866402,3066106
191627,219131,266194,300279,387147,538703,983432,1750593,3264099
188701,218743,264821,305673,384079,569769,924862,1747303,7014881
197773,210834,277524,307948,383979,581597,949137,1755723,3184874
188878,225813,273561,310105,386728,567416,922842,1826195,3142381
189021,214403,266465,305863,389620,561852,913142,1738742,4117193
196682,229523,278328,300760,380890,547061,999442,1931235,3039827
189008,218851,266077,306499,383168,564320,899957,1768938,3096159
189174,215881,270785,304922,380182,546850,914325,1745669,4470013
193262,214815,271153,306021,391803,545565,979380,1713678,3853352
188371,215413,259519,309771,391322,563842,940875,1779050,3189447
192180,213137,264310,307687,379506,547046,1222024,1752137,4152506
196804,213805,270381,304370,381794,547221,899505,1732576,3189718
190596,225842,267188,303410,387039,550267,893135,1747380,3436149
189102,216188,261538,300061,379322,562543,870877,1716993,4447496
197312,224974,276659,307005,378245,539135,852467,1729230,3266843
192214,215381,267828,303461,393665,562552,850280,1728731,3227863
189072,214277,260729,310869,387847,557317,845157,1763065,4132233
197301,214222,289662,303715,379876,560749,846692,1749067,3282533
187592,213878,275578,305574,380968,559082,850243,1739181,3214680
192760,215200,266765,304340,375222,546608,850139,1729022,4347150
197921,214056,275988,310362,382951,549327,843217,1702212,3253465
192235,211593,271466,303994,381070,580462,844127,1726576,3235368
187888,215789,270404,305604,376159,561932,882970,1746431,3351236
198435,226952,271179,307211,393851,575032,842775,1817268,3518928
189479,218301,284376,338985,389539,565702,837872,1938524,3433039
186959,224713,281231,303954,379377,547652,843225,1768348,3585451
190833,217119,271038,298939,377159,542891,829632,1676708,3248582
187872,213919,264261,297880,393508,544191,834192,1712410,3207444
187786,218606,268263,304092,377673,549215,848616,1701097,3091501
189429,215467,260491,296344,388004,540954,848754,1716168,3071226
187095,216985,264983,307475,377006,561040,842522,1733846,4323580
192335,211790,262639,306637,391139,543262,946121,1730831,3495129
191965,225153,269191,298812,378508,541481,831189,1728956,3352001
189337,212424,272154,306307,387351,543282,857911,1793767,4310047
188556,224230,269349,308301,376861,592231,834432,1807532,3258794
189802,217247,280950,315355,378883,544210,917324,1728291,3133008
191409,211717,270245,317873,392968,562120,910394,1757990,4260532
190867,214178,269539,309254,380607,559168,852568,1742779,3162543
192090,215215,271010,326771,386078,540525,866906,1752675,3313343
187777,216925,269619,309520,396871,569625,862023,1743536,3255749
187326,218883,264963,308735,372616,542715,981549,1753769,3134101
187425,226087,271901,306748,383769,566368,868998,1738165,3086293
189237,214141,267616,310321,376109,584123,914381,1758603,3070383
187833,220168,271892,308035,375947,552924,907267,1921351,3269753
190513,212370,279470,310027,377283,541642,936834,1787997,3263709
187748,227807,263234,311740,386774,559559,975773,1709767,3210517
185839,212570,266118,304714,377866,540776,936433,1680153,3051492
190827,216354,268217,302190,378412,546190,982743,1731167,3049266
188024,216239,260415,298747,383321,557247,984802,1743915,3214314
189825,216686,265380,302541,384176,566357,947082,1753125,3329778
190619,213358,270119,296339,381663,579825,1008425,1743734,4455736
188972,213340,266536,302078,376659,572219,1004738,1741854,3240629
190386,224455,272027,298219,372097,540115,994950,1796457,3200819
187350,216577,274483,298982,379032,551208,977309,1698201,4220070
187092,221217,262800,298343,382137,541279,967813,1704026,3088028
190116,216746,261793,300862,395135,549098,981587,1747133,3169101
188816,215518,273203,302671,375686,547777,993197,1740069,4383321
190368,214931,270581,300609,385739,564413,999434,1762405,3235788
187970,217031,281837,300410,373204,546765,975772,1759292,3236628
188515,222658,273710,297946,374568,559536,953051,1921826,4121294
186760,216386,274635,299882,378179,537221,981723,1788415,3230265
186864,223890,264158,295121,380515,547373,914188,1733223,3115783
188942,219527,275711,301123,377686,566027,958773,1710265,3388658
187234,224887,263221,301097,378177,552603,996937,1785412,3311541
189898,215596,271348,300281,392858,541352,973545,1758941,3255099
187931,225803,272567,297539,374631,562967,914670,1723746,3114685
191348,217768,278698,303769,374864,584445,960038,1738869,3079481
187051,212806,278729,300754,394785,577008,924929,1766072,3232649
188722,217200,276016,298852,375797,544444,976932,1730122,4252067
185353,214004,265605,300780,396257,542466,950004,1698704,3483888
189379,216708,263263,300414,384690,559391,971841,1740169,3311642
188827,216085,267883,300006,377971,548512,926874,1715217,3180438
185259,219616,265356,300949,373219,589441,987699,1749834,3145930
191088,219151,260094,300280,375267,563585,981330,1698442,3069973
187611,214434,285153,300191,382308,564205,951723,1707758,3432590
187248,216730,276713,296260,381264,568570,959836,1783379,3272083
187751,214086,264431,299317,372402,550864,971177,1737074,3191835
186397,215369,275539,297360,374751,561506,980481,1742916,3093609
191451,212193,265774,298213,387209,542740,981234,1721339,3006104
188491,215798,265195,302385,374785,545212,917721,1918601,3138658
192797,217142,274828,300255,372596,564012,920393,1799527,4054746
188535,224254,262823,297486,376810,550930,966420,1714610,3206476
190010,216223,268260,297438,382576,541191,942790,1756434,3254339
190367,221314,275360,300711,372486,537457,985760,1713531,3125669
188731,212526,269321,298467,373630,544519,990055,1784972,3140419
185379,212643,266575,299001,371471,574374,896674,1782156,4183024
194361,218170,275758,320038,377910,543758,973194,1762925,3122867
185133,213733,269977,316380,378620,540851,1175632,1745069,3337135
188690,217264,263783,296417,375934,545098,911152,1740070,4286052
190755,211278,277317,295538,371780,543948,865084,1710890,3217118
193698,221205,262149,300769,377182,554635,844849,1713698,3185893
187201,212206,264039,300688,371973,546063,851100,1665928,3991861
196686,224158,276485,298419,368865,557344,854619,1767553,3246549
192410,212906,258546,299130,376738,549328,853067,1709029,3424069
192529,225538,263925,297953,376396,544863,845878,1709175,4466204
186710,218782,274364,302049,372435,566635,849413,1705614,3299960
186652,213676,272711,296092,374820,538638,849404,1996900,3214011
195729,216088,274912,317383,372224,543067,853186,1730725,4187235
188412,223207,270190,300949,373882,559607,837399,1661472,3153234
185441,217539,272174,304344,377337,559058,846012,1698019,3172212
194853,216655,265298,295702,392761,545569,836699,1686939,3260337
191663,222606,268948,299513,374347,545428,848470,1782382,3240419
191755,216660,270548,319758,382819,546543,838423,1772079,3141101
194015,218320,269913,297950,389936,546471,838459,1706967,3212161
189570,218108,270030,301992,372542,555266,835192,1765101,3949997
186762,215931,265463,300733,375476,554040,855573,1727814,3269960
192065,220596,267153,301386,381792,560612,833134,1767155,3318891
190007,219283,268474,294787,370286,554259,839369,1722606,4142280
190472,214940,263199,299772,374841,542068,832611,1753348,3150970
198238,217367,270062,299266,373547,553688,843986,1745282,3226587
188432,214625,274740,298860,377369,543767,824500,1746262,4455675
189311,212445,265312,297241,375989,543782,840553,1706821,3208490
194170,223260,266521,300405,373626,547285,931643,1730267,3456672
188818,219552,268656,299520,373292,566019,931786,1738478,4404810
190502,226896,260929,302107,384028,551423,1011791,1743573,3259677
192604,216236,264337,316224,377316,566955,906525,1930609,3215113
189343,234439,263271,296706,374421,556514,920584,1761350,4184001
186310,229943,268752,295020,378814,543778,961551,1765665,3232511
190991,218265,264115,295581,380003,555271,907512,1719703,3375730
190742,217484,269684,296385,372982,555195,842481,1724838,4408370
188649,214911,269167,301071,374563,542807,916308,1697112,3263675
194215,212858,267773,304151,371915,548146,995553,1718147,3238815
190459,217582,275387,302987,380383,541395,936527,1737494,4194784
189329,224062,270201,298302,375874,583654,930784,1719397,3179764
