SHIR FPGA (buffered jit-copy) b16,SHIR FPGA (buffered jit-copy) b32,SHIR FPGA (buffered jit-copy) b64,SHIR FPGA (buffered jit-copy) b128,SHIR FPGA (buffered jit-copy) b256,SHIR FPGA (buffered jit-copy) b512,SHIR FPGA (buffered jit-copy) b1024,SHIR FPGA (buffered jit-copy) b2048,SHIR FPGA (buffered jit-copy) b4096
189746,232644,265902,299178,375501,540378,951291,1703282,3117457
187006,240175,263243,299629,385262,542422,974106,1745920,3972378
192244,214661,261502,299911,375005,549148,957229,1676570,3376302
186882,215353,275409,301752,376037,566796,946673,1764693,3240391
189680,214533,260256,297015,373353,570105,980355,1743210,4041554
186671,216149,265916,296967,372557,543306,984021,1735563,3106642
188084,213946,264139,298422,382277,541660,976299,1724078,3212742
186769,212374,270918,299602,381312,561652,946080,1721784,4038088
190384,222605,267296,302132,379116,550652,974093,1734666,3169518
185149,212001,264175,297381,372985,558858,977449,1723693,3324501
186376,216287,266329,301299,391846,541984,963053,1713018,4094445
191029,211518,267441,296515,373907,538824,939391,1717204,3157230
186136,211681,272081,298538,375193,545871,961773,1757131,3155493
186446,212028,265057,299231,394446,565110,962701,1748550,4091893
186836,214613,268860,300720,374528,541203,933502,1716442,3156854
184231,212880,266360,299812,379686,541484,953509,1724525,3457659
190614,216844,271044,296622,375874,548017,973152,1740549,4179391
196982,225589,268921,295424,395592,541004,954982,1727879,3188958
188656,216585,273513,301529,372771,549804,950793,1915305,3234852
207902,225139,265179,303968,381280,544384,1004024,1873382,3995261
204127,213921,278988,299501,375472,545105,1241676,1686475,3143746
196972,216093,265149,303115,370444,541346,913240,1778529,3284577
189151,215559,281981,297826,376536,544600,905022,1701340,4153714
194652,215029,279714,301326,376007,542457,870345,1704547,3222463
191021,217555,258209,302309,384410,567773,868094,1693290,3222919
200162,214756,262002,302095,376430,539123,865741,1775581,3962948
193319,214325,269211,300034,374079,545563,856757,1725939,3115818
187267,212710,263507,299266,377366,567850,845909,1716552,3207050
198905,221166,265372,301751,394675,564911,851352,1724551,4315438
189511,212044,265310,302496,372682,562389,860235,4586174,3273332
192587,227315,268921,297249,376177,544403,851727,1858267,3189964
196333,211783,264134,301586,376303,537982,850109,1779374,3977633
186107,234907,267266,295818,375145,542856,851890,1706129,3196065
187208,234180,269717,296169,382000,539716,840144,1711861,3275754
195845,213174,262271,295763,379302,544300,856520,1928870,4113589
188819,215425,264000,301843,389476,538325,840198,5468512,3171158
191711,216507,265809,295431,370868,544940,832178,1683434,3177322
203179,214192,262108,296213,376860,572204,856734,1745130,3921736
187285,213770,272083,299163,395070,546798,831688,1741824,3191860
188472,224384,281835,315799,403090,565140,929772,1736063,3202236
199556,214095,283704,303878,376090,543255,912865,1731267,4248036
189808,223008,274775,308552,376329,559668,914662,1718298,3165149
189397,216219,277869,306700,382706,558212,918929,1740471,3243415
197347,214591,265374,304523,376548,539041,965593,1707512,4010856
188179,214663,270691,306955,376364,543700,913618,1731784,3203636
186918,218627,262336,304467,377901,539646,957656,1765003,3154672
191437,214872,275124,311092,376612,541640,939382,1718560,4336099
188129,217931,269605,304840,381766,551752,841171,1711772,3248858
185456,223269,263520,309922,382284,544774,975882,1725066,3201383
195711,218808,266945,304787,378419,543864,929324,1707578,4026389
186109,226374,271557,316288,371681,559825,948617,1709880,3109187
186449,215737,268662,322165,403934,540240,911954,1735990,3155552
194191,212755,269396,311150,372986,543421,975435,1720961,4360020
188650,213768,271714,307250,374070,539372,938137,1771433,3142757
186406,213430,267015,323854,375616,550376,975622,1917496,3177265
200476,216689,267763,297550,376965,540523,974338,1654943,4033834
188440,215271,272809,300973,382613,546407,976274,1670076,3093224
192930,215387,273156,298820,379860,540936,987616,1758633,3079098
190756,215365,270154,300683,373928,543855,971223,1707149,3856882
187297,221107,270527,294341,371834,545360,981332,1715075,3350581
191420,213865,267491,300534,379695,548010,971470,1746813,3216545
193181,217120,271820,297295,378024,538913,964321,1701231,3093434
188420,215207,268519,297580,392038,559892,965799,1722549,3193667
187258,213895,268635,299291,376680,539777,960235,1723677,3988865
194797,217221,272957,296022,377049,540925,926966,1750449,3338991
186227,218951,264276,295444,400772,547549,989538,1735962,3212047
188001,216038,271209,299210,377911,546196,953986,1742247,4125399
197813,212553,271924,298764,375874,564666,982429,1753549,3117950
187139,221910,266678,297361,376600,538484,947209,1696301,3130631
190795,217097,266406,298366,396732,542720,998416,1726786,4096186
195889,227394,270042,301348,399954,545359,994862,1711834,3103749
190142,208648,260174,298122,376541,546113,968604,1921672,3316475
192679,214598,261929,299177,373813,540862,962922,1640088,4163818
191810,218072,259670,303270,380497,561310,962418,1670409,3167015
191566,214399,275912,303445,372406,540538,993432,1718862,3172202
189800,215313,261996,298106,381110,553737,941582,1725829,3991653
197165,215372,263252,295276,394996,541288,957275,1705298,3173221
189713,226540,270757,313246,374816,541906,969864,1726457,3296478
189261,215708,266274,297882,392674,558608,964455,1717618,4176830
198484,217420,266557,296456,378390,544680,987002,1781957,3197202
187093,211668,273768,299430,381079,548244,974037,1717820,3160129
189295,212650,270609,317411,373756,563533,976564,1749901,3919462
198829,215832,261204,295485,395816,540230,990092,1707586,3171108
186953,214027,278807,298158,375660,561933,985489,1732014,3313004
