b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
59643,84995,76336,72317,73961,90104,282217,380845,672471
60165,70927,75871,74472,74099,98719,238113,395896,609012
67175,72162,72223,80889,74795,87759,282291,392588,568091
60913,68785,71624,69681,73546,91282,230720,382824,549105
59366,72267,72640,71441,73837,89476,272485,346622,584808
61405,71752,74774,70495,74302,92747,225240,584189,585905
61239,71338,75215,72620,75738,100594,384614,316411,624708
59465,70082,75091,71822,73051,92346,166424,347781,561055
60038,72701,82940,69762,73394,90515,158902,350846,560037
61678,71058,70885,71541,74608,91329,154502,400097,548280
61148,70793,73839,71247,73327,91401,161404,345940,569793
60621,69918,70894,79108,75966,90793,153281,349738,577612
62506,69411,72760,69846,74571,90163,145708,361961,668405
67220,89927,72079,68565,72822,91656,163891,377362,1492827
59366,69797,72719,70891,86941,91220,149033,374343,611282
61522,75762,72659,68385,73483,104989,141786,368214,637591
58406,79661,72607,70513,72852,101585,138770,373154,903637
57667,67602,72113,71338,74346,93637,135515,361701,585052
58017,69387,73658,70877,73485,99150,150642,352826,632552
59039,78339,72101,72961,83634,89939,156260,360988,566955
58862,68999,72226,69167,73629,100905,135570,341520,604623
57861,69578,71131,69187,72523,95199,154399,390765,568129
58974,77171,70941,75370,71217,91574,165001,342229,634773
60227,67734,71712,67674,72650,101093,152436,331681,914256
58316,68231,70905,68574,82194,89612,168043,340492,615507
58599,76647,70932,69736,73739,93543,181363,414829,582036
57169,70479,71070,68767,73352,101167,149571,393499,557086
60150,70622,69009,80832,74093,112307,231540,348481,572085
58593,78543,68834,75703,73110,90524,253126,379103,614978
57625,66452,72354,72451,72116,92281,202419,342138,527796
57382,68810,71518,66786,82619,90741,164114,355756,636423
58362,65640,70655,67913,73472,101348,244103,361514,592180
65298,68353,73065,71226,71226,104934,168971,355875,611287
56879,67134,68780,68199,73511,91160,172078,362050,556889
59379,66741,67027,68297,74271,89482,219424,367362,539927
58338,67568,67639,68262,73701,94459,164473,368757,580938
59240,65549,67498,69227,72637,97215,168013,340615,554989
57237,67490,66788,68624,72307,87726,191252,353053,603305
56646,65858,67767,68146,74278,104645,223313,367899,945801
56828,67352,69009,71402,73997,88018,267191,383926,614996
