SHIR FPGA (unbuffered) b16,SHIR FPGA (unbuffered) b32,SHIR FPGA (unbuffered) b64,SHIR FPGA (unbuffered) b128,SHIR FPGA (unbuffered) b256,SHIR FPGA (unbuffered) b512,SHIR FPGA (unbuffered) b1024,SHIR FPGA (unbuffered) b2048,SHIR FPGA (unbuffered) b4096
267835,373548,553820,904631,1696124,3184000,5725989,11550744,24334973
282540,381054,549171,900773,1696938,3170462,5694414,11461772,24571716
279184,371653,551925,904440,1699408,3178964,5692362,11465451,25453225
265894,370497,553536,899320,1726083,3170755,5694105,11619188,24416000
282189,379635,571609,904854,1699190,3177275,5694077,11489695,24394410
284771,372141,553190,907539,1698178,3177579,5705339,11515866,24257072
263315,375403,552711,899387,1697067,3166938,5689967,11636660,24406215
267706,369107,557876,900287,1704455,3178992,5744171,11709596,25626037
265061,370026,553291,905362,1695503,3200971,5693739,11646739,24380319
262601,379341,550615,901541,1710958,3174150,5829074,11586864,24487007
264716,375048,567100,899100,1714517,3185248,5897342,11581596,25340974
263689,378021,562334,900860,1698087,3181371,5767719,11602829,24401295
272079,367854,550675,907510,1695640,3186961,5764397,11545692,24635545
264166,370583,549040,913810,1697912,3209757,5821605,11553963,24675295
267778,382430,551549,902221,1700069,3168280,5918263,11484702,24424454
266031,369532,553113,905839,1705276,3173637,5926913,11473629,24419735
262327,373376,552384,907740,1703411,3176306,5941513,11502113,24336429
271059,368920,554829,906210,1700716,3172599,5912969,11542180,24347843
265094,370189,551678,903159,1702733,3175846,5934070,11454108,24358981
266043,377560,566213,899568,1707736,3171078,5919616,11636649,24635225
263922,373218,560076,902621,1714691,3195633,5948732,11550302,25513405
266732,376598,562814,910881,1710437,3200022,5941647,11497397,24704327
266307,369624,555264,901773,1711715,3189405,5918279,11510579,24474162
265438,372369,553514,908044,1710605,3174082,5926228,11465463,24276902
266920,372982,557960,912234,1698946,3173498,5899298,11478232,24262420
266852,372231,553961,898182,1698548,3179705,5876832,11465382,24660468
264588,371750,550004,906852,1700802,3190585,5943620,11451577,24509304
266588,370130,553499,899773,1708007,3177748,5907713,11495076,24440354
264695,374781,553827,895613,1694222,3199070,5923385,11570139,24496262
276549,369296,555749,901811,1700217,3169141,5957232,11476475,24388048
265469,370546,551847,904450,1707655,3166886,5973536,11610548,24551669
262953,378533,556789,895921,1696233,3179877,5956848,11529463,24601682
264201,372653,553260,896502,1697595,3185023,5970966,11503823,25479742
263617,371239,550922,899866,1713301,3174672,5950121,11525355,24468837
274400,370702,552587,912833,1713263,3184818,5994629,11507183,24442287
264377,374740,549379,899836,1713998,3170981,5923671,11492172,24265636
263466,372776,551239,896906,1701893,3165347,5970210,11505918,24272620
263076,373823,550583,903513,1697960,3173607,5964344,11535520,24682388
261633,378888,553490,900282,1718807,3185065,6008993,11541220,24512527
263907,369692,547352,894080,1702282,3172157,5980503,11760801,24249050
263039,373119,558294,908012,1701317,3173323,5980856,11546742,24298351
267231,370417,560395,898032,1704052,3172669,5866791,11497986,24278157
268340,371117,590042,917137,1696695,3183576,5949686,11502346,24284418
260166,380391,560199,898451,1726326,3169868,5940434,11517252,24529197
264428,370526,559446,1047460,1708728,3165375,5946359,11527981,24514332
264016,371909,555259,903081,1705128,3169302,5918451,11531369,24305253
265813,373716,555593,904127,1705453,3176734,5939279,11522027,24295684
264821,371726,552510,900758,1718541,3183494,5910020,11548173,24324752
284178,381089,553575,905375,1699390,3171135,5913566,11526486,24365020
280548,375547,552622,896850,1700581,3191463,5960749,11451271,24715717
264491,369555,552983,905229,1695778,3170663,5882098,11490807,24398642
267298,372238,563148,902436,1710812,3168590,5861564,11470506,24442110
261168,369917,549952,903422,1699797,3180005,5915441,11490116,24424080
265764,378936,560008,898329,1698225,3167733,5924357,11485233,25404164
263829,370125,553143,902858,1696428,3174558,5914330,11495177,24315080
268072,372777,553800,899781,1701794,3196283,5921866,11469775,24281589
264090,371968,554924,907985,1708715,3189795,5904572,11607176,24828718
264213,372811,554121,901706,1702971,3183074,5938944,11452666,24661875
270911,382935,553321,909687,1695461,3170900,5912106,11526282,24538500
265665,368938,555345,901830,1701043,3185501,5898949,11485763,24363070
289329,371367,550726,902254,1697675,3180602,5872386,11530101,24339032
279244,374130,554647,904450,1691930,3182532,5916202,11491039,24310019
269774,375043,564827,902055,1709605,3183101,5946178,11459259,24698764
263056,387719,560347,897273,1693268,3181606,5914004,11475283,25701097
262379,369195,558996,906088,1727116,3169365,5965742,11551610,24385685
265993,371273,561995,905310,1697803,3191500,5903472,11487227,24283263
261254,372867,555396,895903,1694565,3165130,5895030,11504074,24297191
261149,371679,569434,901060,1704623,3180269,5861456,11454831,24567587
265562,379482,555090,913930,1702121,3174384,5900388,11487198,24424745
265410,371048,547691,910440,1723901,3175176,5949571,11530636,24410028
271460,370200,554931,904849,1716138,3200826,5906946,11502225,24568715
266165,373942,549539,907088,1703402,3175329,5955396,11463361,25371028
265321,370552,562132,904177,1697219,3174322,5916650,11437621,24438495
264864,380468,564621,905147,1701421,3182882,5954317,11456513,24720068
266266,374933,553285,897435,1700340,3161796,5866688,11481161,25417665
271385,370753,554041,902384,1705772,3169062,5943112,11668828,24297046
263300,372275,555852,908417,1696025,3175238,5736393,11434202,24367532
264781,371469,554310,910270,1706190,3165258,5702433,11474690,24357257
263472,382374,554512,900045,1704788,3164807,5693980,11428372,24374135
264636,368896,556512,907043,1727813,3181146,5698107,11445219,24624964
267063,371972,551812,902427,1702499,3180844,5706856,11454636,24504949
264580,370983,548160,903506,1695359,3173254,5693635,11449362,24441787
266827,372114,551210,913560,1699325,3183841,5698464,11475774,24298667
266681,382249,552621,901119,1702585,3198607,5691288,11430347,24142838
264283,370779,558141,900071,1707881,3170059,5685043,11455400,24244694
267910,372310,553941,909610,1700540,3177095,5688436,11440463,24468418
267122,372887,560552,896502,1707049,3179791,5854269,11445891,24640654
272970,372654,560634,894203,1696910,3163629,5815910,11422446,24444620
266222,386460,550074,900618,1701470,3178055,5744343,11434930,24324295
272701,374346,553610,902484,1713971,3172619,5793773,11464275,24225353
264141,371867,551729,906241,1715807,3741837,5880517,11447020,24285266
263956,376185,550556,907341,1706019,3247828,5955612,11462334,24472881
272155,370043,555085,903420,1699120,3167357,5861468,11475983,24414133
262271,379591,552986,901941,1703185,3171521,5937409,11434333,24164914
265285,370607,574819,904667,1700051,3173348,5925991,11607291,24265197
264569,372033,560574,904157,1701351,3164201,5912756,11472187,24272059
262578,370541,552939,898613,1697083,3182313,5920473,11486537,24289912
264087,370149,552282,901822,1721731,3169277,5855895,11450494,24497297
264177,379925,551234,898381,1697849,3174051,5891547,11432380,24493883
266001,371195,554835,900174,1703703,3185721,5943661,11439552,24363220
264607,373416,553061,912484,1703535,3184617,5974187,11411043,24329986
266430,374475,550325,900115,1710996,3177030,5917005,11529721,24336170
261126,369789,550010,904672,1707314,3175162,5919925,11525201,24317417
260782,372181,549860,907935,1701880,3199843,5903332,11425771,24671013
289020,368126,556179,903241,1704493,3170872,5906691,11400955,24375070
280434,373682,552662,898361,1717508,3173056,5901001,11449041,24271546
267567,387153,560887,955938,1698040,3175839,5883520,11445962,24324922
264107,369600,562975,921172,1702046,3183011,5911227,11460591,24224490
265382,377405,560531,910244,1713574,3162495,5941145,11431482,24189473
266850,367697,557482,902063,1698573,3181143,5932285,11460492,24522978
262928,373045,552922,901222,1699082,3204857,5902856,11637356,24492234
263351,380775,549109,907439,1719493,3189445,5920880,11453367,24285259
265190,371905,552201,902266,1704385,3195301,5867284,11436398,24272194
263534,376787,552077,900766,1703667,3161319,5942324,11440703,24173148
265468,371629,555308,908696,1706232,3167941,5909461,11402202,24246411
264990,370362,549274,905617,1700763,3176363,5934690,11444485,24547025
274618,379904,564091,908697,1710140,3165519,5942794,11433425,24428921
266239,370607,554082,897212,1703734,3192145,5902057,11484078,24246383
272532,370477,553766,901249,1701013,3182766,5891975,11440283,24228646
280883,369115,550087,906127,1700516,3170237,5948011,11451594,24290862
279598,374040,552395,903256,1690439,3804254,5960344,11475905,24275458
266363,379868,555174,899056,1699120,3249166,5942692,11473777,24580643
262674,372245,560069,904712,1709767,3217443,5924441,11446854,25403463
262849,376037,549215,898871,1697350,3189042,5932975,11437290,24442947
265116,370203,550970,901904,1711152,3173083,5970417,11482833,24479841
264510,369912,551346,905452,1710017,3169841,5902005,11501520,24377148
265360,380871,553222,912348,1696732,3185021,5941946,11473272,24258781
263990,371628,562710,907715,1699075,3167495,5872117,11463992,24311850
271860,372497,561302,897795,1696120,3182811,5940665,11497556,24478225
263867,369777,559523,905399,1707587,3171047,5896698,11454133,25414226
272609,369810,555881,906326,1698327,3189492,5942488,11654379,24402987
267504,369691,556613,898991,1698997,3168903,5861653,11399580,24288633
262317,372421,554894,899402,1693128,3182593,5913004,11450397,24297973
271826,373969,552358,897518,1706743,3167135,5939516,11481913,24296296
265023,372282,553340,899582,1698317,3174923,5935650,11453495,24475944
265054,369379,551130,911394,1708014,3160730,6000842,11467691,24456678
265616,371561,553518,908652,1710250,3180486,5923947,11440989,24305331
265945,371740,562523,905985,1716809,3184403,6011751,11435526,24309909
264346,371553,552950,898275,1714163,3174720,5930823,11447014,24287050
261200,368760,555179,900814,1705632,3188326,5993169,11432538,24696410
266463,382089,550716,907241,1713693,3173623,5922469,11471264,24342662
267179,369601,557125,904587,1698872,3169994,5987635,11504791,24341480
266312,373019,549512,904828,1697509,3161100,5955233,11446971,24305617
265208,373049,550742,906569,1702083,3176648,5992684,11469937,24264817
264900,372778,550891,900988,1702678,3193785,5967377,11436634,24241040
275507,380806,551135,906084,1713672,3189863,5964832,11423258,24550648
265375,370929,554393,897041,1700199,3167532,5959177,11425476,24327068
271927,370818,555744,899270,1720213,3169493,5997384,11667317,24305177
265035,374006,561279,906477,1702077,3187628,5966129,11383362,24364525
265979,369269,570560,909304,1699807,4205763,5917665,11411510,24381795
271887,383436,557788,903434,1704013,3319150,5954220,11367677,25329220
265065,369492,563387,902737,1701925,3204248,5914465,11382850,24512993
264423,371170,551524,901425,1704584,3203835,5985210,11460990,24488560
263629,377439,554823,896873,1698800,3192675,5722078,11454946,24381868
282900,375885,561565,901782,1695480,3184503,5721847,11441006,24434722
280759,382724,555515,903802,1699732,3175997,5695102,11431901,24356851
268745,370371,551377,906566,1695875,3175673,5702198,11429247,24250652
273195,375841,552842,905505,1701563,3174894,5703218,11441069,24511638
263646,372143,564001,905263,1707794,3171724,5707211,11454159,24490168
273961,373755,551772,898758,1710252,3170431,5696331,11411891,24307951
262805,382397,552012,905260,1703380,3227315,5691820,11424437,24353694
260672,372421,551558,897344,1692341,3210969,5692179,11429447,24309790
271538,372651,549856,900841,1697888,3197898,5683859,11428953,24294772
266909,371225,551782,905156,1696182,3186512,5946163,11427482,24581379
265369,372049,553043,911191,1699781,3175760,5682616,11415235,24526545
263970,378945,547862,902659,1703475,3177292,5731925,11450655,24372635
264396,372485,553609,904258,1699987,3228944,5749648,11630855,24329724
267345,369077,557252,902302,1699394,3208497,5766106,11444683,24312182
265190,374329,550971,3603803,1714232,3171752,5924124,11446094,24303150
272322,372841,562618,961786,1699912,3195825,5925873,11467608,24764487
265033,378677,556764,904857,1693476,3183476,5882477,11469868,24493776
262882,372860,559377,898748,1708593,3188429,5891189,11442394,24419422
264394,376281,558279,912120,1706183,3195576,5913326,11441425,24448241
261594,370971,549403,904373,1700385,3189572,5835742,11440799,24385266
273360,387175,552147,906123,1704838,3164949,5903853,11435936,24318842
262432,399363,551988,903856,1714483,3186077,5872174,11445571,24528578
271037,371603,555674,913141,1708211,3166259,5907187,11414135,25429936
264212,370071,552965,899454,1704322,3170000,5906948,11437275,24443174
263027,371462,549796,915466,1712708,3182280,5948237,11509667,24409090
272238,371251,565340,904883,1701946,3167751,5886507,11466450,24413988
261661,379230,549220,906257,1716863,3168117,5863852,11444784,24623521
263765,372470,551616,906802,1698912,3191676,5929509,11436171,25726501
263382,370257,548953,903605,1707679,3195536,5926841,11452900,24583006
263768,372708,553725,902898,1723649,3181158,5924818,11479690,24412914
265735,373202,550128,904178,1713691,3193702,5924620,11469859,24299690
263777,387013,550188,905130,1700752,3184091,5942325,11581478,24296397
268563,369655,553383,899274,1699435,3184838,5855536,11486860,24234314
266398,374456,552849,899605,1699865,3173596,5938678,11484430,24922369
268015,374182,552514,923081,1702059,3186477,5934901,11430097,25782190
263517,381760,560409,901442,1700602,3192228,5934218,11450615,28098055
263099,383727,560468,902989,1694538,3188808,5904531,11498524,24509982
272742,373393,561359,917450,1696742,3164212,5870198,11447730,24458964
264498,374378,565109,915296,1695818,3180904,5883676,11456989,24462990
271978,374127,551339,896608,1710310,3172261,5885127,11452116,26037890
261291,370023,553171,905116,1702377,3172766,5873587,11459000,24666724
262835,381994,553955,914750,1700528,3167094,5909934,11427337,24519801
274962,372421,547934,914703,1699933,3191649,5933747,11444389,24394629
261780,369555,552972,904024,1700139,3178688,5957464,11423657,24222688
268016,374684,552176,902597,1698503,3187882,5952034,11421983,24352949
266330,370639,558881,922259,1697899,3186141,5897471,11414455,24360881
262959,379069,552625,899403,1700910,3585444,5873777,11448552,24594961
264753,369870,553336,925876,1698752,3218305,5955124,11631060,24448477
267842,372350,550657,903573,1699312,3187458,5954271,11451118,24477733
275912,371565,555136,901559,1698603,3188603,5907268,11395773,24378119
268124,371116,550136,921652,1698226,3182053,5957453,11476925,24355336
264070,381455,554899,902452,1703424,3189594,5932280,11422818,24313261
264955,371996,551768,906586,1709490,3189740,5962477,11444161,24743748
264766,370525,550068,904068,1705845,3190519,5973988,11438381,24444474
272237,372039,552327,904574,1697171,3176956,5971400,11446539,24433037
