SHIR FPGA (unbuffered) b16,SHIR FPGA (unbuffered) b32,SHIR FPGA (unbuffered) b64,SHIR FPGA (unbuffered) b128,SHIR FPGA (unbuffered) b256,SHIR FPGA (unbuffered) b512,SHIR FPGA (unbuffered) b1024,SHIR FPGA (unbuffered) b2048,SHIR FPGA (unbuffered) b4096
266409,372747,552135,897512,1703733,3172766,5851899,11448998,24498293
263109,372851,552073,892041,1697112,3177569,5972084,11459911,24388079
267368,369166,547735,890681,1705502,3168027,5939749,11480165,24355208
264182,369215,553662,901351,1701988,3195804,5899023,11479425,24616585
263511,383489,548524,894977,1701148,3181764,5844468,11454013,24534059
263496,376757,551066,890975,1698880,3170196,5924523,11460357,24362131
262104,378420,555240,893392,1705798,3165824,5899389,11453826,24405247
266086,367486,553958,894089,1695528,3180721,5900847,12536442,24374651
262128,390380,550839,905209,1702592,3175556,5926988,11461447,24372305
266334,390538,551034,892423,1707759,3170734,5920509,11505958,24567216
264914,372770,554235,894391,1719263,3174114,5899775,11480849,24423322
266872,376340,561918,899714,1699606,3172235,5927884,11496803,24396117
279999,375361,561865,893687,1701045,3185245,5897013,11451383,24324537
278500,369495,559504,904334,1697119,3159793,5888589,11469995,24266546
261018,388302,551281,900528,1708353,3167763,5943449,11451489,24279644
264544,390184,554014,895472,1713284,3165996,5935765,11449085,24667767
265900,377424,556466,891297,1699265,3160277,5910772,11473847,24483213
264816,372418,556751,893389,1699713,3171967,5871755,11443477,24265773
264183,371082,552129,895099,1699464,3184584,5955407,11523854,24536002
264638,371985,553958,899336,1703417,3164635,5955878,11433813,24532326
264971,369786,550706,893144,1699698,3163335,5885587,11446334,24420236
270628,377419,559411,895433,1703740,3183114,5877269,11443789,24376749
264474,369351,549495,946842,1708880,3163581,5876230,11473587,24834067
264772,368140,568223,894103,1697178,3159947,5857826,11444907,25763848
266905,371783,551306,899817,1692143,3167456,5920175,11465274,24492705
264080,371200,552286,894535,1698498,3170591,5854648,11463817,24468492
271864,382013,555310,913177,1694766,3180071,5894808,11638888,24361229
264986,371222,552373,893137,1698092,3165396,5952830,11480692,24400468
272318,370052,551615,915785,1714205,3184828,5874346,11477210,25932581
264557,373176,553143,895570,1716732,3166589,5971884,11414700,24476136
264583,374479,553471,904540,1698277,3228454,6004531,11441184,24335084
262613,379239,552948,892728,1695430,3173550,5953052,11490237,24337958
264246,368889,563141,892457,1709822,3187696,5983336,11464974,24280876
266449,371321,564038,929740,1723438,3174564,5907381,11437436,24631485
262410,372401,567503,893362,1694868,3185706,5923028,11456609,24424859
263727,367851,554653,894308,1700239,3170747,5971338,11467011,25460045
267382,377524,555225,904277,1700314,3174273,5979678,11470771,24435989
263433,372485,554787,890340,1702951,3163909,5964266,11481244,24352481
269539,375674,550822,889086,1700095,3166427,6021762,11457480,24302264
264755,368754,555209,893441,1704582,3190277,5948655,11453479,24596609
264521,369700,554552,891161,1698380,3164865,5959785,11495206,24490517
265784,381126,551627,900790,1702754,3181387,5993770,11497755,24418139
266509,370797,570693,894477,1699908,3175367,6003365,11475056,24343194
271962,373888,563394,894278,1700826,3184638,5972740,11461730,24405798
264328,371183,560799,900217,1703781,3172455,5975635,11459803,24299633
276819,369187,553974,893584,1710148,3190583,6017506,11624994,24596776
264021,377347,548192,899951,1707582,3179861,6004418,11498039,24450970
261089,372091,551101,893395,1718307,3162920,5980272,11536004,24440824
267008,369941,551116,893850,1699278,3165672,5941512,11492419,24445940
263557,373240,551311,894069,1705658,3178977,5921854,11451433,24608560
266247,370412,553538,892773,1708809,3167859,5999759,11437617,24563921
265280,377534,548695,890858,1697409,3185851,5928028,11472077,24774414
263346,371779,553947,911137,1699909,3164702,5984258,11479464,24413033
264356,371682,550182,893282,1705751,3179015,6009678,11460783,24473940
265409,373873,558767,894518,1700014,3190541,5947522,11468444,24376532
273472,371482,561449,895972,1714211,3165242,5988216,11471698,24632261
264989,379348,555248,890344,1708319,3169260,5978398,11447765,25674251
258934,367257,554632,897819,1696931,3184289,5993911,11450410,24683972
267571,372084,556181,889009,1697123,3156808,5982718,11452287,24507004
262833,369921,549929,912460,1702592,3178364,5905300,11459288,24390810
276027,370969,553667,888597,1720088,3174219,5956406,11448221,24334495
265287,378803,552389,927311,1697941,3168528,5976602,11644466,24258089
266296,367547,552129,890860,1706584,3156648,5755110,11469310,24265978
269430,371805,567488,903017,1704019,3196077,5717692,11416061,24555528
263061,374430,548639,902976,1697731,3190426,5701601,11460981,24813394
264223,373008,550357,887405,1701915,3162642,5701624,11512313,24663218
266014,373077,553699,889490,1702512,3173982,5720473,11438870,24358059
269510,370773,554638,891662,1718348,3165148,5732277,11427878,24494966
267021,371129,554368,894002,1707240,3185166,5726145,11458804,24426195
263702,370330,551981,890386,1696931,3169680,5739899,11447723,24714435
268005,370281,552453,892521,1718750,3188051,5735362,11472901,24494286
263249,371366,552825,897820,1704963,3175363,5734967,11467757,24318804
271243,375181,551786,893244,1695961,3172742,5868814,11460982,24483390
264982,372943,553823,906388,1700741,3171602,5723270,11442888,24899236
272688,367680,561291,909474,1702533,3166037,5735969,11470611,24816712
265899,368942,561690,894519,1703149,3163181,5855940,11452137,24722054
268480,373294,557135,889434,1701426,3173803,5800763,11464166,24487585
272387,379727,553201,893897,1705287,3178099,5921006,11477404,24352368
263595,369645,553057,892155,1713327,3179637,6000283,11461751,24697232
264567,375786,549542,895011,1693602,3166567,5986317,11443863,24440878
264976,370952,553758,891021,1696545,3168787,6006104,11484217,24495062
266978,370915,551407,891261,1704351,3165048,5935081,11625398,25527621
265538,369275,551879,900732,1702823,3171206,5974052,11495753,24776876
262740,372322,554210,894047,1700643,3167126,6016698,11480131,24541041
265488,379985,552876,897667,1697192,3178051,5989365,11472897,24434640
262525,369546,550870,893008,1698629,3175726,5927587,11454332,24353461
263734,372761,558282,892957,1696989,3180893,5967038,11478743,24352824
264365,370711,551774,897076,1699668,3171510,5979549,11448904,24576131
268826,368875,556755,888602,1713260,3166237,5961437,11562560,24421469
268986,382125,553236,896048,1705005,3169319,5950661,11456117,24356745
264764,373844,551611,897083,1704333,3166625,6055144,11447825,24309364
263027,372854,551788,890175,1701452,3171387,6001402,11446109,24296950
267877,370450,552635,889210,1704710,3181125,6015817,11457803,24292162
259165,369641,563974,892673,1703381,3185457,6010003,11471612,24281377
270585,379628,560328,890628,1700488,3168304,5985281,11520094,24616301
263097,368912,560712,901830,1709129,3164923,6062395,11510044,24585062
265744,374042,555820,910129,1698809,3172224,6026230,11490673,24591712
262969,371459,553867,893713,1701045,3183052,5926801,11461601,24502889
265928,370303,547941,899109,1698434,3173927,5956666,11683574,24619993
264067,372740,551917,891526,1700184,3181164,5985703,11456326,24587774
264339,371884,570478,898805,1701088,3170664,5950694,11426099,24624640
264477,368492,556784,888558,1703509,3167397,6002112,11441059,24610515
263878,370942,560606,891794,1701727,3163596,5960469,11446785,24591586
262416,369512,549795,893725,1699017,3167546,6043822,11432732,24576915
264178,385267,563791,904734,1697025,3183043,5990837,11476288,24513429
265859,369667,551226,894689,1710923,3189334,5991942,11447074,25740163
273353,367588,558339,898471,1703188,3193221,6079659,11447657,24570717
268007,388459,553724,890401,1700711,3194987,6010590,11473819,24604619
264778,387530,553426,893307,1700445,3166580,6000187,11460396,24668356
266906,370543,553625,915629,1713723,3187078,5999390,11472200,24582813
264170,368438,550419,891317,1704474,3162800,6027657,11448790,25630162
277476,369154,548488,892033,1702328,3173901,5961353,11439465,24526088
266354,371484,554613,907461,1709576,3167009,5974680,11451874,24595340
265436,372306,566979,892270,1706647,3191232,5918265,11451215,24594131
263525,369154,553390,898767,1696900,3187322,5930884,11452968,24598918
262949,378434,552204,891616,1702384,3181577,5971516,11446885,24477055
264879,370096,555707,899473,1699713,3167769,5987061,11444230,24535449
266726,371232,561761,894391,1696902,3184367,5980143,11608920,24567013
266026,369227,560939,891760,1714794,3168519,5911572,11459837,24621531
265834,371547,552754,905313,1701932,3170956,5959531,11560304,24506965
264383,378391,556834,891851,1714212,3177576,6113826,11502494,24653894
267879,370374,551958,894160,1705940,3177503,6185346,11515040,24552874
264704,381245,558397,899010,1697152,3179047,5972847,11473155,24605680
275239,367141,550589,911330,1712956,3179961,6017660,11436739,24660971
266283,370878,552491,929189,1704305,3166640,5933862,11432646,24566440
274770,373417,558289,898607,1706050,3167033,5986534,11439185,24479291
267249,369254,560091,894759,1694427,3185731,5984170,11456915,24504564
264251,380228,551999,890840,1702486,3164228,5926624,11433751,24537248
273986,369640,556784,911254,1699976,3195202,5967399,11482169,24543066
263386,368630,550469,894780,1696683,3181291,5939907,11481472,24543524
265921,376302,552886,890506,1696070,3163197,5988484,11454161,24599281
266043,366470,549407,895448,1698740,3165908,5940440,11460834,24512952
262471,375994,551135,916035,1702863,3166976,5986834,11462324,24588325
263702,369400,555848,904609,1699317,3165573,5989634,11441576,24570954
264334,369581,550310,924973,1694986,3162967,5971228,11473015,24572031
288000,371399,550954,893014,1703237,3187940,5967207,11451903,24519794
281570,370939,556414,902639,1705952,3164262,5973749,11616845,24619290
270171,379654,556881,894760,1705871,3162817,5970772,11464276,24576156
263122,367713,559915,899875,1704125,3179721,6014229,11512835,24612550
268598,367627,550288,891033,1717007,3168235,5716570,11426246,24473450
274836,376345,555960,892516,1703069,3186358,5705809,11489321,24613038
258715,369897,552206,910753,1702240,3166582,5694093,11461072,24555864
266661,377435,556782,892722,1698060,3191526,5702297,11463486,24634378
262594,370954,549003,893471,1706737,3182077,5711651,11441145,24507495
263922,369258,556299,903504,1701199,3175307,5698648,11430741,24554092
264034,369866,555472,892928,1694207,3167585,5693374,11524380,24454892
282954,368041,549987,910261,1716222,3167247,5692665,11433334,24468931
286842,378298,552749,900085,1718882,3185931,5684249,11439679,24598002
263068,371548,551603,894067,1709069,3170246,5688735,11445438,25636690
272645,370964,550020,889951,1702734,3186823,5709936,11457177,24608829
263332,366960,552316,891954,1699128,3186577,5737138,11427113,24554357
267196,369259,553985,889382,1700899,3165231,5862962,11457535,24529337
272334,377183,557075,900292,1697906,3164534,5832776,11607147,24559516
263180,367215,554811,889379,1700578,3172800,5732032,11487992,25754735
264929,368046,552338,890965,1704982,3164215,5835498,11448306,24540445
261112,369246,554268,894655,1698436,3162723,5897330,11456164,24573086
264097,367074,565635,893637,1697815,3196676,5934542,11503406,24507949
264714,375585,559940,885313,1712672,3195252,5941748,11489016,24594232
263342,364780,565705,890273,1708985,3164873,5905015,11469070,25603972
268959,369193,575632,894915,1705620,3192765,5926493,11458611,24701063
263524,369461,558957,900213,1697008,3179762,5907545,11462154,24600440
264076,368860,552778,892036,1697264,3509089,5905131,11455515,24506741
266089,381502,552323,893857,1694495,3218050,5879102,11451905,24503180
263998,367051,550419,892668,1706293,3185512,5909874,11466547,24544867
275339,371610,553436,890089,1713463,3189099,5874165,11452499,24548396
261799,369961,553333,893007,1702633,3184987,5898736,11438834,25599811
271349,372040,555882,893254,1699681,3185181,5916000,11457604,24582617
263949,392359,563248,889984,1704760,3174877,5944863,11483524,24548210
268036,367443,549340,900603,1703092,3179530,6344258,11465134,24563706
273917,369812,554164,911573,1702196,3183386,5958407,11435417,24532884
264133,371553,554913,892932,1705974,3172609,6013838,11429578,24505147
264217,371439,549857,890925,1706519,3189783,5909514,11464213,24537643
262157,372162,554526,893009,1701713,3194700,5909329,11621743,24562463
263032,367052,548217,892867,1711243,3182266,5918395,11474921,24572566
265259,369091,550793,892173,1696495,3187923,5949896,11464583,24494565
264599,368776,555268,892427,1700258,3178204,5933104,11454207,24556419
276431,369506,551642,906722,1697781,3169275,5935478,11459952,24503893
264128,372404,553701,893000,1715119,3170443,5913887,11451649,24708427
261870,377970,559370,891551,1697668,3170120,5849703,11459358,24488885
266987,369017,558090,892629,1710225,3187597,5917185,11420191,24463195
265466,372426,557970,894417,1716091,3183742,5915827,11411259,24485797
274851,370803,549252,887825,1714110,3167862,5931672,11459557,24521708
263459,370661,549930,914149,1701950,3166646,5925822,11423142,24504128
270134,378844,549436,896133,1701030,3198802,5970230,11443273,24634320
264347,370984,553114,895624,1701548,3183525,5929332,11459034,25791362
261007,374789,553241,891783,1700122,3168286,5863512,11459254,24527965
270859,372002,553714,893174,1697442,3184139,5908219,11461144,24537751
265343,373188,557938,893603,1700278,3196792,5904852,11464500,24541215
264973,372333,552441,891662,1699302,3184094,5949511,11452104,24477203
267140,369071,551050,891726,1699786,3186611,5945778,11618920,24667747
262778,378454,549462,892537,1703468,3183851,5924697,11463401,24444665
266862,371132,551856,888412,1691691,3166081,5946908,11438671,24359703
264685,372286,567602,897698,1706197,3176746,5910031,11481374,24327617
269271,369852,551217,905989,1706181,3166492,5927462,11480582,24310690
265677,374112,551561,896540,1714565,3162315,5921579,11454016,24269954
261332,378583,547665,891138,1716584,3167675,5918870,11488064,24502389
263681,372687,558122,893469,1698631,3171276,5861272,11479099,24366421
265491,369752,560602,890447,1707138,3170819,5830794,11462520,24334199
273843,371017,557957,892207,1697032,3173389,5863398,11469056,24324340
262072,370438,557106,892101,1703330,3188687,5912175,11456271,24249161
271650,376344,557760,899495,1692656,3167221,5871280,11459270,24294841
264607,369959,557504,891630,1704518,3175824,5921118,11475830,24569022
263166,371519,573098,900279,1702552,3165331,5902110,11517018,25620045
274593,371754,556545,891193,1714938,3162848,5899056,11487693,24456228
267383,371915,554961,886811,1701257,3189784,5941910,11448399,24317225
263962,379890,554510,893906,1706569,3162752,5958577,11461032,24328380
264533,369463,550184,891699,1701672,3166417,5941160,11446748,24240689
261075,372580,552232,888359,1711593,3184205,5906738,11431202,24488676
264170,371598,548031,895918,1712610,3162928,5953383,11679338,24367387
263391,371962,552014,889859,1705436,3173966,5916419,11474346,24309357
275714,378977,554441,911767,1708183,3180495,5912628,11600224,24235674
265309,368273,545404,905125,1708675,3165367,5961676,11435489,24247008
263020,370811,555480,890258,1700162,3178631,5893247,11424316,24241404
266058,376056,549304,889046,1705326,3171807,5908765,11452049,24690453
264148,372631,554287,890866,1711905,3182227,5850687,11430752,25586903
269345,381182,549056,887916,1704238,3161751,5979050,11452725,24389265
264365,370715,554427,899729,1702120,3191453,5746045,11471764,24601466
274391,377454,551942,890134,1698818,3165435,5715336,11459636,25478767
262836,370093,551662,896117,1701791,3182934,5688069,11464494,24481010
262996,371518,549038,892525,1704015,3176374,5721477,11425262,24706385
263408,377942,568592,891008,1700195,3166171,5731618,11457660,24375273
264798,373508,557736,891812,1700188,3161679,5709949,11486650,24353689
269494,370792,560520,893662,1701764,3184500,5713463,11473945,24496351
265013,376978,573861,905564,1713139,3164391,5696394,11468016,24404035
265331,391998,564156,890126,1698950,3162698,5696331,11431978,25811922
266635,388583,568350,887498,1701123,3181415,5695457,11430720,25257162
264306,392530,555850,890478,1699480,3180882,5694523,11415084,24559717
273211,371239,549027,893853,1725560,3181010,5719192,11615492,24314926
263651,380292,554888,889991,1704911,3189634,5715505,11435735,24311906
261742,369426,549229,890392,1703578,3184798,5789298,11435166,24318941
264869,370381,558460,890637,1703275,3160232,5733795,11414859,24281816
263928,371343,552206,891988,1704804,3189204,5918413,11418869,24496979
268556,371225,552270,899618,1715269,3172023,5874699,11462674,24367748
263245,381438,549004,889761,1703874,3188412,5921651,11411036,24288569
267035,372310,553080,915478,1695794,3172716,5835166,11446432,24309824
263883,368661,552319,890324,1699269,3171949,5899819,11438574,24289729
263759,373372,570985,891666,1696893,3164873,5956613,11441519,24318345
270585,371347,547593,888959,1712586,3170166,5869096,11461581,24352728
263035,384982,551120,924556,1712025,3168118,5944804,11426219,24565777
261700,371187,549780,908496,1697325,3173752,5881212,11416774,25474710
263757,373629,560520,896784,1694289,3190044,5885596,11403466,24431035
265258,388349,555188,892923,1703409,3177620,5870997,11425846,24335279
262231,391970,553736,893144,1705094,3169099,5838457,11433820,24324320
265649,372660,563710,896387,1698845,3165139,5943194,11680792,24365330
265734,371176,565814,890270,1698324,3170089,5906466,11446236,24571783
263563,370776,563337,904510,1699479,3165336,5961721,11371394,24377768
263216,377858,563763,894543,1699908,3175353,5981222,11411723,24317479
265817,371083,548546,888923,1706069,3191572,5908996,11403204,24348656
262977,372079,555290,903457,1706398,3185945,5959231,11420555,24299948
275897,373372,556980,897949,1704247,3167999,5951655,11456287,24457503
265348,369503,556168,890897,1705744,3165919,5976509,11436955,24354473
272646,379722,549490,890527,1700600,3173492,5927067,11439847,24309429
265464,371391,555855,889821,1701168,3172648,5979335,11438452,24301832
279905,372078,555660,885982,1703393,3163561,5959215,11443893,24277852
277270,370020,561901,895919,1705087,3170123,5891021,11440984,24312585
263157,374377,555238,894248,1703129,3176865,5984546,11446803,24596475
265416,381858,556953,895072,1699442,3186833,6006304,11429705,25545186
266982,373525,551604,891046,1718823,3187339,5959527,11409052,24493083
263324,367774,551999,893796,1698442,3175688,6005417,11428570,24338469
265007,373921,553025,890802,1705501,3175397,5922496,11446428,24314704
262867,367377,552067,888795,1705729,3181087,5953434,11430049,24394236
281362,377031,557820,888280,1703646,3194109,5941582,11455458,25696253
263165,372384,552203,891225,1698108,3174718,5975198,11447040,24399810
269548,370134,551457,886956,1701494,3181545,5956407,11592594,24416147
261135,368534,553326,912729,1696233,3185417,5951042,11454343,24416118
264059,370162,556686,893337,1704557,3171121,5978523,11433387,24345752
271632,375866,560758,897649,1699851,3183056,5991287,11419683,24320920
264297,369814,560321,893422,1703448,3193055,5967419,11418812,24498094
266386,371541,576821,887925,1694371,3166422,5919496,11499396,24396975
267153,372701,552941,888085,1697209,3161830,5986035,11442052,24339476
261872,372077,550408,892889,1699854,3214167,5947317,11423696,24327702
266091,381263,553498,893117,1706631,3165996,5989835,11455659,24360411
263106,372787,550760,899917,1712404,3172913,5992848,11450005,24316347
266065,372602,568556,890251,1706958,3167149,5933109,11446401,24554108
266060,373617,553440,900422,1695254,3175915,5910201,11414482,24282801
264095,367539,553520,888946,1697761,3182785,5966990,11444572,24330480
264070,369335,558694,890665,1704089,3188447,5988769,11444334,24339260
266494,368930,555239,892782,1705628,3173712,5920883,11425469,24385426
275736,371293,550230,890421,1698855,3184360,5981513,11453556,25381381
262856,374923,552974,889467,1704240,3164243,5956522,11425855,24599301
268668,372697,554840,901498,1692719,3164263,5999657,11608890,24466653
266330,373033,553694,896136,1700418,3184250,5999199,11414643,24347198
266646,385580,549075,895722,1699720,3192756,5940256,11392725,24370208
272165,371486,555671,890544,1706082,3166652,5987099,11442239,24330090
261944,379652,551406,892174,1707783,3172203,5984945,11432476,24362841
263919,370315,555960,893784,1712535,3185551,5984733,11426064,24687274
260996,371965,550544,891442,1696595,3183566,5940347,11447430,24396391
266058,369018,562608,902845,1697864,3170624,5991813,11440509,24336941
264378,372664,561351,898696,1693853,3190902,5944196,11433355,24330468
261999,379685,560660,887819,1703952,3163967,5973857,11472737,24306524
264898,369546,561698,901962,1697752,3169459,5954846,11423718,24292088
262804,369466,556044,903619,1717832,3174525,5934198,11421533,24547754
260521,370670,550866,891973,1694136,3184773,6069545,11423369,24337746
265634,376232,567608,890634,1699631,3175528,5745257,11426360,24308256
264514,381145,554232,890530,1695295,3175695,5838065,11468041,24320567
271244,370134,553298,890838,1722765,3166677,5840895,11424636,24279838
267959,375325,552720,896847,1704816,3160333,5807008,11403435,24350316
265333,368357,552085,889871,1694827,3173715,5822274,11445044,24562029
263383,370422,563619,895951,1713370,3186686,5763688,11463130,25567002
264755,377147,556304,892959,1702785,3160099,5827088,11695347,24460970
273039,372534,552993,893406,1705742,3168320,5819989,11422206,24357005
263670,369693,550406,897785,1699496,3175982,5785787,11495026,24293811
265747,372880,550063,893916,1694239,3175038,5833041,11465905,24308996
262616,366966,551943,889982,1702647,3176737,5824238,11481916,24549148
262275,378462,555603,897922,1697626,3173077,5830979,11460860,24360847
266877,369997,550600,892935,1701251,3186242,5788656,11493178,24428505
259834,368874,552288,891579,1733128,3188296,5794968,11459407,24365359
266243,373466,552815,891063,1708505,3165356,5819260,11478939,24333156
264311,371911,565330,905057,1697666,3181099,5899657,11452335,24322296
264155,375866,559347,906901,1699575,3183965,5941107,11437931,24257418
265637,370391,564555,894073,1700691,3190832,5936752,11644722,25603145
264326,374686,557326,888963,1707750,3179518,5966156,11430508,24354600
272280,372015,554433,897897,1702656,3171075,5943728,11440331,24359403
264475,368594,554582,890251,1696919,3166089,5963443,11430599,24340124
263794,383303,558102,902071,1697878,3179282,5989918,11473061,24401016
265177,371693,552987,906804,1699859,3172340,5965821,11449599,25193164
265457,391414,559191,891484,1697118,3192657,6016406,11433513,26410975
275359,401203,554299,900328,1705572,3160710,5928311,11431359,24380287
265893,368392,565692,901098,1705766,3170506,5985458,11627823,24378042
265155,370142,552342,901376,1712997,3168140,5922389,11663416,24350013
262618,383128,556076,895954,1694221,3161202,5914458,11886418,24256757
260736,371711,554525,889733,1697961,3169619,5869081,11449649,24491522
263802,378657,552058,923897,1698033,3168818,5943317,11470348,25140018
264783,370611,554242,895463,1702452,3169871,5973919,11471596,24957963
266419,370797,549349,891800,1697370,3169036,5927262,11436247,24343949
262897,370113,551388,892995,1703831,3167621,5918138,11436156,24270774
263093,368602,553496,889885,1701482,3183452,5881732,11436407,24288031
264263,380838,553293,886328,1696788,3173527,5915167,11461484,24530781
264550,368404,562734,900307,1697767,3166405,5939611,11448320,25466881
263821,377113,564130,893767,1700903,3177189,5920658,11454301,24382658
269835,372391,559876,898754,1707467,3197443,5888852,11441313,24265205
266185,370512,562911,895692,1705011,3165362,5896544,11446387,24211862
265213,384419,552759,892542,1698259,3166796,5951210,11439193,24215937
262983,373945,553497,891448,1709397,3190558,5930313,11447352,24598636
273360,374657,554674,892331,1700735,3183722,5906065,11633642,24380753
266259,368815,549408,892707,1710949,3164657,5933635,11418563,24318891
272455,371587,554382,901112,1696692,3188074,5925617,11390268,24295450
265265,378176,550501,888823,1698960,3188082,5897941,11436948,24284761
262625,371639,562172,898883,1697092,3178845,5965179,11445043,24275961
266314,372686,549804,893175,1700852,3176148,5878785,11474435,24509296
264487,372313,552765,910995,1696481,3170812,5963881,11455137,24395627
266959,368678,570222,887988,1699440,3183054,5948873,11463387,24325893
262223,387295,553832,892535,1706124,3187405,5911348,11450401,24398147
264182,372080,567777,892679,1706450,3165517,5963954,11446619,24281902
263096,375266,550633,897663,1697305,3172166,5959550,11449067,24363181
269184,370581,549524,890735,1706196,3201124,5991901,11442085,24524827
268594,373918,569970,898792,1700630,3170673,5963394,11449895,25539177
262522,371781,557364,891881,1715948,3178584,6016816,11438630,24471965
262963,365202,555009,889130,1702506,3190077,5974849,11464299,24333476
265477,372065,557755,897571,1695520,3172664,5939388,11529654,24311434
264743,371078,551992,890604,1699941,3178521,5931539,11469306,24289395
270964,373961,554428,892155,1700502,3173123,5959491,11495485,24572911
265187,370979,554365,900248,1699201,3164878,5971781,11455263,24477018
269717,377495,561565,893881,1718329,3166655,5955604,11435909,25448701
263793,374645,565654,891054,1704089,3172642,5933267,11717067,24403542
263514,369202,561582,893177,1700602,3184153,5912278,11458585,24355647
268858,372363,560078,892717,1699899,3176325,5946441,11493903,24325747
261320,370649,551615,901710,1702735,3190149,5984644,11449964,24523593
265897,379877,550498,892369,1710650,3164371,5983906,11438413,25434867
263912,368248,556549,886562,1692172,3223979,6007768,11460743,24407645
261556,380357,573061,894259,1704714,3176135,5978646,11461709,24301103
265858,373052,553066,891259,1699925,3180631,5970249,11432466,24397511
265489,373991,555209,889700,1694648,3182142,5967201,11463937,24339767
263348,369945,560323,891051,1702161,3166197,5992832,11442020,24500345
262826,372263,562977,890624,1701978,3178915,5980336,11468743,24324025
277018,381500,554689,897670,1709651,3179505,5981117,11450122,24234876
282425,373798,553454,893683,1702556,3187501,5960982,11496880,24214890
262518,370609,553571,891538,1698324,3177864,5998034,11432174,24303995
276219,373637,551796,901397,1704264,3176487,5968695,11440016,24277530
261263,373584,548051,903610,1700563,3198488,5999923,11465540,24488354
265555,375411,552755,890424,1705662,3168311,5748474,11501659,24343910
265543,373084,554513,905392,1699054,3166347,5714988,11631825,24285789
263333,373643,549329,892832,1700431,3181925,5705657,11448444,24279183
264298,369689,554197,897039,1701155,3184707,5702266,11416128,24271391
263189,368803,561837,904939,1697873,3182254,5696345,11467530,24275280
270134,378885,563798,894005,1700303,3174902,5706183,11468514,24473971
262177,371954,562637,901956,1701093,3173732,5687966,11491215,24396119
260948,370599,569254,888684,1708638,3192870,5693953,11534132,24300252
264863,371722,552703,898468,1707785,3172654,5703011,11464003,24261721
265717,388040,553618,890978,1697845,3166166,5733808,11465380,24258215
272845,389897,554808,893677,1703913,3181818,5829873,11445890,24325196
261640,373452,553502,897709,1696857,3177232,5864857,11452408,24325657
269391,374161,551970,895528,1699333,3166461,5735395,11462722,24528834
261618,369295,553456,888120,1696567,3181507,5767950,11461416,25574707
261941,371637,551316,892911,1706237,3182736,5771788,11454263,24457973
272355,375638,551001,887891,1719681,3173866,5877946,11487382,24348887
280491,379671,551867,893094,1694510,3186661,5943963,11483059,24348712
280725,368981,548093,904999,1705108,3171390,5987675,11463671,24386881
263729,381337,551732,889729,1700337,3166233,5985830,11477520,25548696
264027,371670,550068,894466,1706899,3179036,5882991,11443681,24458655
265868,371861,552502,888588,1690554,3178753,5987286,11640661,24386280
264958,372426,555757,891818,1696428,3170004,5891120,11456117,25410705
273213,372935,551250,897681,1702959,3162771,5923404,11465797,24343726
263227,377298,552704,885642,1737229,3178122,5932443,11411287,24583616
272132,368256,556971,889041,1705178,3185506,5894565,11437019,25531206
263639,372568,562148,891129,2072806,3169310,5892461,11476908,24408367
263980,369828,563760,892717,1744203,3183676,5925252,11477715,24435248
274933,369670,562599,897891,1714764,3180900,5926604,11467663,25296250
266211,374844,563999,890374,1716007,3165276,5906161,11500555,24373094
267994,369983,560497,891149,1721227,3169064,5906159,11498184,24623363
263445,370893,553026,891862,1721684,3178784,5901207,11440309,24327101
264071,370716,553652,892722,1728585,3177162,5927898,11462740,24422927
262506,369268,567329,892929,1707000,3185524,5927002,11480846,25485932
262783,380157,554156,893039,1705531,3173927,5933624,11439865,24405240
273894,372354,554699,892936,1717848,3181742,5945272,11462243,24420932
264836,370129,551405,915101,1719171,3170324,5932226,11457909,25594149
261854,374049,555333,891948,1704243,3169241,5924488,11432836,24414608
268472,371499,552197,889138,1711956,3259699,5881975,11475286,24391730
263785,378830,561088,893658,1710146,3203776,5867885,11458505,25391817
271990,367852,551139,890970,1717507,3169467,5913203,11657024,24331895
270002,371970,551428,889188,1716567,3164185,5929962,11492121,24400490
271578,372256,550142,895019,1695654,3172030,5926775,11462618,30701379
264746,370131,548400,890242,1708482,3181255,5933384,11457595,24541382
263987,384952,552086,898262,1704704,3182222,5909038,11480968,24418530
267988,369585,555077,890407,1707651,3174558,5907115,11486924,25374507
266246,372194,551630,901327,1706095,3177554,5931693,11475134,24391017
263144,370507,562616,891046,1711483,3175612,5910938,11454335,24438948
264532,369745,564655,889815,1702581,3195313,5913756,11457729,25569202
264590,377718,561432,895683,1704646,3190449,5942280,11474844,24426607
264631,370126,560482,892165,1726459,3175782,5978092,11453575,24323605
262890,368628,552304,889336,1719131,3188820,5860281,11503671,24312808
269521,372784,557747,896671,1701566,3169629,5879559,11471810,24458526
268044,372159,556609,888408,1705727,3169971,5886452,11486462,25352050
263117,373247,552830,896849,1718478,3178522,5916116,11484855,25210366
266330,374405,553423,891256,1703075,3176287,5931074,11477329,24377511
264457,371851,555638,888395,1701981,3180945,5932871,11636884,24931414
272294,370476,556904,893242,1711727,3191414,5932825,11475064,24322608
265538,370009,550962,897123,1702847,3195742,5881792,11464050,24338602
273855,371020,554116,889165,1699386,3183930,5889380,11457228,25281027
280274,372884,552155,896710,1706059,3172348,5947885,11460762,24434852
277962,365935,553769,892012,1722300,3166647,5901364,11450400,24280402
265313,372141,552435,897950,1698960,3163717,5910489,11472069,24244653
