FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096
29394,35442,70510,67527,95266,159971,160786,346122,485249
29254,35402,59743,72224,95163,150546,165351,346839,467161
29360,36671,77053,75878,95627,154485,160446,339318,611900
28998,35316,72641,68128,101828,154676,164182,331945,576911
29273,35120,59615,69015,94314,130337,182193,445135,492721
29612,36095,78150,60856,95574,148094,143946,253668,477050
30539,40232,61813,68377,93933,141738,194315,221518,544093
30138,36796,66407,76651,102192,123212,238062,270141,504593
29626,35969,70691,61042,95216,117726,165645,269652,590157
29558,37008,61654,62721,96137,136148,209653,374012,530976
29344,36110,78122,67287,95265,119899,183253,342471,500127
30006,36308,68751,62796,110418,117264,232139,354711,456337
30443,35837,58708,61573,103404,116935,171708,342319,484140
29340,35105,70944,69701,96558,118313,229513,346801,499021
29671,35318,75159,67557,95986,137908,226711,329854,592407
29288,36483,65062,67661,94335,130077,268372,327238,547906
29255,35202,75044,62221,81254,115977,221426,314665,531428
29801,35072,70425,66384,104439,118118,229112,325195,524498
29337,34791,59660,67493,86677,113425,254707,333371,554528
29844,35100,91366,66198,95290,113769,225120,327449,506477
29626,35403,68130,68807,95518,110950,215823,416245,632040
28758,35184,61712,67682,95134,119227,230502,273842,553064
29105,35219,73559,61967,97696,111841,234039,244514,491789
29091,35974,61410,72556,100215,140626,195281,276051,505846
29098,35095,75236,68188,89028,129200,187893,324483,708587
30041,34850,67394,65792,88639,131637,171416,319214,504757
29377,35543,62201,65672,102799,111152,185558,345813,582833
29795,36081,77325,61651,96000,115962,172635,323415,497315
29411,35388,76752,68136,96080,130755,199807,329027,538233
29623,35192,62312,68617,98220,126247,217829,328737,626757
29103,34865,74299,61702,100651,126575,169364,348919,478513
29183,36114,91505,67673,96185,131728,194437,337458,466091
30500,35042,58962,66059,99393,130755,194151,347857,615697
29449,35140,64882,77416,95118,132167,205790,332650,564062
29770,35025,77196,67131,101044,134177,202275,451090,515068
29523,41001,59985,72517,96430,150285,196213,251736,486660
29201,35800,64755,63000,94309,155010,184528,229460,435732
29092,35367,79207,68600,112220,158086,188577,267060,479241
30410,34726,67833,67357,103227,157909,192367,300987,585104
29050,35670,59149,66608,93251,161310,184753,337691,567486
29329,35807,64101,73167,93721,115605,184220,337459,780027
29555,35744,70336,65672,96744,114924,263214,329262,485643
29046,35343,60020,61810,93432,101405,164494,332675,431592
29692,35431,79152,61282,101441,111394,158493,327022,597499
29635,36254,82522,62927,94756,110990,155587,319569,554332
30481,35431,58915,67432,85529,125591,160509,325862,512660
29734,35384,79470,61894,88754,129903,157047,343083,507783
29808,35284,76994,66669,96602,115728,154123,351373,466136
29591,35778,60665,64520,95006,113403,150288,320014,565668
