b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
16118,25817,41350,73413,132949,268918,533810,1090656,2114044
17657,24623,39373,73156,138373,270573,543645,1095955,2113582
17517,25718,41352,70078,137759,263337,537750,1079299,2169644
17511,25745,40262,69622,138205,268548,534577,1091043,2126582
15811,24230,38450,73696,137733,265088,536386,1070322,2101998
17562,25636,41809,73153,138529,268918,536266,1078224,2105402
17225,25328,41658,72117,136162,263392,542015,1067078,2110748
17658,25735,40394,72161,138393,264925,524418,1083218,2114015
17378,25668,40316,70916,137436,255695,526235,1050883,2133810
17338,25662,40146,70434,134435,255991,543100,1073709,2107027
17302,25891,40691,73903,133885,268462,529625,1081432,2115022
17509,25818,40695,70521,138689,270559,536698,1046280,2108118
17555,25970,40092,74058,134764,271843,537326,1073673,2102004
15917,26532,40659,70297,133439,266360,540863,1082535,2092265
17877,26100,38697,73742,133713,271430,547867,1089386,2129810
17276,25411,39066,70564,134359,270393,551557,1080274,2124109
17266,28345,39659,69423,133457,268877,545216,1087822,2116719
17120,25332,39814,73976,133184,271578,541280,1082396,2088502
17594,23630,39586,69995,135958,270473,541077,1071404,2113040
17207,25028,39848,69898,135831,268646,541835,1082170,2109209
16743,25238,39940,70493,133756,269668,537674,1085363,2112449
16967,25407,40049,72723,132927,269494,523231,1078608,2113287
17088,25079,39847,70154,133052,259084,539256,1079261,2113740
16806,25224,40127,70880,133130,263069,533848,1077397,2091746
16883,24010,40180,70493,133791,256455,539035,1073637,2102445
16742,25379,39501,70295,139438,256195,530458,1070356,2105371
16679,25135,41263,73895,132820,263140,537894,1079967,2122397
16417,25042,40095,70165,133635,261030,539396,1075281,2116774
16710,23398,39214,72721,140475,268881,536160,1057328,2095048
16396,25007,39651,70537,133229,269582,530422,1069102,2086267
16356,25108,40384,70591,133216,261312,537462,1073687,2094446
16668,23628,40904,73832,132229,269995,526908,1085710,2090661
16804,24840,39326,71347,134996,269594,538624,1086546,2094420
16963,24999,39962,69527,132919,257328,537378,1072980,2136780
17219,24788,41965,71397,136944,271556,524031,1075131,2125861
16467,24688,40656,70056,134322,269885,536975,1075303,2102100
16754,24212,40361,70529,139671,270456,534292,1079178,2099345
17123,24741,38861,70628,132878,256841,536290,1072451,2101247
16908,24785,39086,69757,132542,261965,536233,1075574,2102737
16741,24618,38756,70838,137321,269425,537952,1078873,2149985
16383,24609,39288,70963,132853,262036,526349,1075708,2126890
16564,24568,39619,74235,133410,269678,546559,1073229,2109859
16619,24964,39499,70974,134146,257077,529395,1072570,2105586
16554,24930,39626,71944,137402,269874,537874,1078019,2097388
16114,24680,39531,71069,132274,271479,533922,1081690,2169316
