b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
38809,38593,36656,40195,30751,32195,31627,33242,68230
38480,37950,36517,34079,30398,30595,31809,33210,68643
38497,37755,36410,33142,30542,30499,31646,35624,56275
38906,38159,36150,33599,30789,30501,31664,38269,47489
38955,37715,36250,32909,31013,30484,31809,59210,42207
39265,38166,36339,32999,30722,30207,56794,41115,41764
38709,38352,36109,32902,30578,30506,41000,36517,68867
39044,47155,36579,33334,30577,30793,32821,35828,52232
39007,37514,36267,33590,30574,30498,32276,34710,43800
39060,37440,36382,42033,30455,30771,32106,34031,44377
38623,37146,36106,33034,30302,30337,31784,34040,41293
38768,36455,35915,32597,30288,30763,32155,33282,41164
38840,36803,35874,32536,30719,30952,32040,33725,68755
38628,37235,35742,32627,30315,30661,32277,33700,52558
37534,36701,35748,38555,30529,30620,32123,33695,43770
37489,37202,35694,32568,30485,30666,31652,33434,42504
37738,37042,36017,32604,31613,30623,31905,33518,41941
37484,37313,35859,32715,30531,30831,31994,33515,40533
38001,37040,35786,32802,30759,30322,32282,33296,71281
37801,36751,35684,32559,30649,30983,32565,33480,70959
37689,36388,36264,32634,30123,30914,31981,60601,55455
37446,36757,35864,32481,30112,30879,32226,41160,57398
37097,37309,35780,32430,30438,30690,32112,37296,44469
37453,35945,35103,32395,30384,30581,31740,35925,42952
37888,36448,35847,32055,30552,30770,32259,34412,43470
44179,36439,35755,32071,30375,30677,31707,33521,71266
37393,36478,35404,32673,30324,30780,31772,33203,52714
37875,36196,35495,32195,30294,30960,32033,33436,48573
37836,36781,35160,31875,30427,32067,31793,34160,44739
37745,36030,35361,32424,30236,30544,31620,33329,53134
38171,36811,35296,32284,30527,30756,31662,33321,43031
38161,36894,35089,31619,30521,30629,32151,33424,69082
37614,36120,34937,31953,30314,30671,31613,36734,68468
37573,36724,35336,31976,30279,30556,31955,33338,53710
37824,35954,34791,31534,29749,30611,32210,43452,46951
37559,36169,34326,32153,29964,32477,31648,33517,42518
37168,36637,34826,31759,30145,32716,31851,33636,69930
37367,36133,34554,31845,30224,30554,31762,33601,52604
37349,35759,34173,31896,30277,32797,31610,33677,46405
37107,34957,34471,31789,30306,31890,31945,34041,43400
36832,34905,39829,31725,29900,30338,31902,60526,40850
36784,35531,34141,31702,30225,30693,41368,40937,40358
36657,35397,34676,31494,30224,30286,32087,35977,69435
36508,38368,34987,31335,29946,30023,31318,37169,51068
36950,35244,34688,30976,30374,30564,31574,34413,44676
36795,35412,34714,31104,30604,30537,31894,34361,42101
36275,35017,34226,31555,30285,30742,31793,33821,41056
36282,35420,33857,31933,32341,30288,32108,34038,40378
66879,35531,34123,31320,30434,30508,32138,33615,68702
36718,35375,34217,31485,32505,30557,31830,33473,52386
36547,35778,33826,31345,30522,32115,31310,33519,42604
36326,36091,33758,31097,30172,40073,33802,33849,40784
36682,35433,34437,31259,30125,32020,31797,33808,39999
36587,35336,34166,31196,30280,31645,31899,33522,40532
36583,43298,34312,30689,30194,31668,31784,33286,71174
36312,35302,34083,31274,31911,56315,31975,33388,50681
36876,35539,33972,31065,29977,42142,31422,33551,43497
35580,34319,33707,31483,30617,33596,31597,61380,40818
35537,34610,33181,31209,30439,30923,32055,41929,40837
35747,35103,33324,31140,30379,30813,31998,35716,39005
35874,34474,33878,30707,30352,37666,31592,36564,72100
36143,34652,33561,31232,30556,30645,31941,35727,59790
36980,34853,33274,31603,35060,30746,31785,34315,43992
35662,34661,33655,30956,30144,30490,31656,33450,50696
35835,34956,39016,30696,30455,30740,31688,33583,40018
