x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096
1359545,1318415,1066574,1094130,1017143,1042293,1203481,1309990,1414174
1337116,1325992,1109649,1078816,1012494,1023942,1244034,1219605,1686714
1333685,1320868,1609817,1080664,1012915,1019199,1191947,1297725,2167180
1341087,1320515,1585153,1082639,1013065,1030973,1236260,1286450,1534620
1340370,1321781,1555849,1079794,1008852,1033187,1207677,1311850,1769669
1338415,1323449,1564168,1093048,1013493,1021434,1240418,1439368,1490380
1336133,1284799,1557890,1091327,1027912,1035700,1203784,1402938,2111390
1322151,1287242,1557908,1079844,996425,1035245,1191636,1277153,2558270
1306038,1283673,1548627,1088157,1010836,1025931,1224453,1230847,1606792
1305134,1287698,1550580,1079277,1017010,1032860,1188226,1277853,1505653
1305306,1288761,1548184,1084230,1018399,1032248,1224562,1235626,1485583
1307147,1285742,1553440,1094626,1042918,1024730,1228799,1348766,4919655
1313442,1274598,1521253,1107513,1023627,1032052,1226184,1228076,2596211
1304579,1247801,1553182,1107121,1008450,1041140,1191921,1374678,1778962
1291417,1248340,1556219,1095824,1008393,1021802,1203145,1262738,1644077
1271739,1257794,1560049,1092760,1007820,1044897,1334612,1318093,1559475
1274444,1250223,1204000,1111443,1018008,1020814,1065052,1265516,1662592
1269131,1254187,1053057,1077169,1009958,1032122,1013045,1292967,2701951
1274134,1249954,1037670,1071244,1020481,1035404,1021637,1266364,1546389
1272456,1220271,1065372,1069517,1003914,1061298,993348,1337194,1655708
1277552,1204982,1059410,1074969,1013862,1016936,998104,1272237,1793598
1270106,1202494,1058792,1083707,1008966,1034885,1032724,1339590,2861038
1236437,1207858,1027456,1074074,1014457,1037617,1022588,1241681,1645764
1234009,1203228,1043930,1074457,1005362,1033761,997241,1327276,1669935
1237713,1206850,1059103,1071944,1018711,1034381,971635,1240515,2271488
1237263,1203117,1058884,1073854,1007979,1022377,999917,1308268,2636578
1235843,1189315,1071648,1080971,1005551,1047917,989164,1256572,3562007
1236013,1153705,1080548,1077709,1010939,1034997,1012543,1322909,2477341
1236510,1159984,1058966,1077741,1004237,1029002,1015595,1245265,2127192
1232569,1155601,1061920,1095113,1013026,1018041,999661,1320383,1796637
1190998,1158329,1072442,1076836,1003007,1026595,1004830,1282667,1739715
1189630,1153739,1063703,1088616,1028413,1039514,1063671,1285241,2929808
1189064,1155817,1049753,1084987,1021985,1028841,1051338,1440430,2286465
1190217,1165739,1073325,1076656,1013802,1038557,1044993,1308736,2017760
1193183,1156676,1047964,1071901,1017412,1027562,1121124,1241590,1832983
1187128,1153100,1073357,1082846,1004874,1040322,1081921,1261686,1892759
1190564,1155746,1072293,1083922,1008947,1053371,1142860,1216722,3043373
1153901,1152256,1242367,1084802,1022335,1031074,1083548,1295775,1716940
1138371,1150703,1038390,1086786,1003576,1039419,1140399,1244342,1542401
1135151,1153661,1067234,1098109,1025937,1056123,1074864,1312317,1539186
1136342,1152703,1070854,1088941,997558,1029146,1101967,1275789,1627860
1136112,1149275,1065325,1076405,1008772,1034352,1110049,1327641,2701021
1145616,1152504,1058284,1081598,998404,1029407,1092336,1284322,1513372
1136706,1150693,1057228,1065198,1008852,1024362,1106367,1318213,1578041
1137750,1151177,1042512,1069689,1006306,1040151,1067921,1263727,1446484
1148101,1149825,1061783,1076501,998828,1035893,1084195,1324358,1753247
1140552,1153015,1033326,1078545,1014682,1030114,1078806,1232593,2769847
1141844,1151982,1067683,1088540,1004985,1023970,1094212,1309307,1670076
1143873,1151370,1066634,1083259,1011054,1039059,1078917,1229773,1566132
1141121,1151522,1045729,1073867,1009221,1034097,1113073,1304575,1556731
1142738,1149706,1035197,1082162,1007808,1046488,1101653,1255912,1678685
1146178,1155584,1069414,1074240,1013527,1043211,1060419,1301116,2663779
1141930,1153677,1071521,1093189,1016416,1037830,1074767,1234134,1825107
1141401,1155466,1073630,1080971,1008243,1028284,1100062,1299804,1641749
1139544,1150654,1072898,1081749,995146,1043461,1091563,1244569,1532933
1141063,1152527,1067250,1071975,1024331,1030097,1115259,1306234,1567121
1141414,1153181,1046447,1082473,1012993,1018637,1096595,1235214,2607248
1141082,1157810,1075555,1076624,1005262,1027527,1099079,1521983,1519762
1143035,1153900,1087974,1083298,1008752,1037639,1087157,1406551,1502184
1139892,1157178,1059813,1072130,1013564,1027362,1091972,1264271,1437358
1140055,1152030,1071189,1116717,1010642,1032786,1095195,1257025,1825668
1141676,1158491,1055186,1097306,1018031,1040723,1093354,1290566,2852553
1139084,1153578,1070330,1093143,1017903,1037880,1057955,1235802,1618695
1139416,1157220,1060200,1077303,1010151,1033520,1109768,1319888,1552948
1138840,1152761,1043199,1095286,1009842,1033486,1093579,1286953,1567082
1140328,1157145,1071272,1087451,1015476,1041552,1107316,1318272,1705014
1140933,1154501,1071032,1080756,1013716,1040095,1106730,1248051,2644274
1140883,1152245,1045537,1073859,1006813,1047559,1091624,1319368,1600625
1203913,1152298,1072892,1084494,1022271,1031126,1084237,1222936,1791140
1144910,1151469,1080718,1083851,1010216,1044940,1093462,1308547,1605359
1145014,1152137,1083229,1094821,1009300,1044846,1066737,1241265,1703494
1146883,1149632,1077457,1083653,1013628,1035394,1090648,1336675,2723606
1144495,1153322,1047059,1084309,1014880,1036730,1067047,1246047,1592264
1143429,1152500,1057172,1075457,998097,1040894,1095756,1320063,1595359
1143047,1152330,1106921,1096120,1022749,1025546,1080841,1262476,1427914
1139079,1151508,1094244,1085667,1012749,1027699,1087195,1312180,1636586
1143548,1155003,1101898,1110534,1012021,1051600,1105070,1249091,2556958
1143313,1150774,1106466,1080660,1006005,1031668,1093280,1299222,1764731
1143435,1151088,1087292,1076208,1019091,1034593,1095594,1258218,1621633
1143064,1153193,1092192,1088424,1009768,1027467,1092507,1276541,1549836
1142590,1152153,1108192,1077111,1020280,1022414,1086410,1245173,1728019
1141112,1149366,1088222,1082794,1006384,1034313,1085171,1308785,2781407
1142444,1153081,1079787,1087603,1019431,1042591,1093950,1450044,1575875
1137837,1154031,1099651,1080659,1010591,1025572,1101817,1331397,1510978
1141305,1153316,1075967,1076880,1010395,1056180,1031108,1252544,1840175
1144733,1151314,1105428,1071856,1022788,1041257,1051727,1277090,2788118
1141404,1155355,1098219,1089671,1019377,1042613,1062430,1280952,1732712
1139876,1154788,1113091,1091264,1013165,1036442,1045138,1293331,1646033
1145947,1156262,1098337,1078667,1006461,1024675,1055300,1257195,1611236
1140853,1148438,1103597,1087072,999678,1021329,1075036,1289511,1709094
1141022,1155586,1070261,1075352,1013763,1037585,1078790,1248523,2538388
1145850,1152739,1134905,1078320,1004383,1017650,1103396,1308293,1546710
1139108,1149775,1228488,1075009,1006100,1031526,1047394,1268037,1868101
1140980,1148936,1224147,1076699,1024123,1039178,1090032,1297232,1640838
1147307,1152275,1222346,1080491,1013386,1036567,1077866,1292684,1748200
1140534,1149362,1209527,1072992,1007879,1040612,1090563,1294069,2766423
1139811,1147799,1221788,1091675,1012105,1026449,1078166,1250572,1620633
1141492,1147752,1211038,1068624,1008390,1034391,1102520,1332521,1493729
1140167,1163183,1179052,1081230,1019947,1030034,1072654,1252075,1503164
1141735,1151848,1167404,1075467,1021106,1032282,1085640,1290085,1639680
1184133,1150606,1185473,1086235,1013565,1224627,1096663,1246305,2968912
1190237,1150917,1181548,1077328,1016075,1047103,1056780,1312770,1655222
1196867,1150142,1178107,1082622,1007768,1033821,1077196,1269929,1546597
1191793,1151367,1173219,1069037,1007832,1035951,1102589,1312148,1511850
1189122,1152379,1186124,1078892,1008352,1030113,1091573,1245790,1660933
1140001,1150431,1139767,1075281,1012101,1033407,1088023,1318251,2697804
1143972,1152065,1145919,1092849,1010883,1025310,1089232,1265416,1535355
1140369,1153056,1133876,1080589,1022347,1027123,1069186,1571973,1480115
1140420,1151309,1136478,1082935,1014614,1042821,1088017,1383991,1406794
1141914,1153170,1149736,1079936,999197,1014499,1060735,1286675,1795996
1145299,1153749,1153078,1077843,1008506,1047307,1084057,1483019,2798048
1139946,1158224,1099809,1073595,1004731,1035711,1085517,1283719,1733894
1130341,1151298,1096939,1071690,1008580,1031038,1104091,1251134,1600323
1142937,1152524,1083096,1076042,1011655,1032398,1098597,1312917,1514076
1142913,1210256,1091921,1070314,1005352,1030697,1123506,1246358,1602206
1143686,1173944,1094903,1069168,1012538,1029069,1127018,1301505,2624009
1148924,1155487,1099165,1074379,999270,1031624,1087025,1264555,1835820
1141718,1156918,1095939,1069109,1011832,1035219,1115586,1295412,1672477
1145765,1155192,1069944,1075419,1008499,1039469,1102623,1246415,1521060
1148551,1154074,1059325,1075677,1010319,1037486,1139342,1312734,1640773
1141613,1152651,1067860,1090747,1026752,1038022,1110116,1235331,2605007
1142308,1156020,1055781,1072847,1016783,1051543,1153606,1314093,1541135
1147856,1154673,1057301,1080355,1004560,1040395,1117835,1253551,1460550
1141909,1156384,1056329,1070465,1012148,1253374,1370529,1306387,1388320
1171267,1154065,1070265,1076000,1010108,1029516,1067864,1236945,1695941
1165277,1149540,1042140,1082299,1009911,1024295,1017296,1329518,2833819
1144783,1151740,1027181,1088648,1011566,1345322,1025644,1258063,1635155
1140849,1151325,1023382,1072311,1010095,1044139,1025860,1308322,1554092
1141707,1152367,1040628,1089601,1002012,1632724,1048360,1246807,1418685
1140172,1151812,1026500,1074469,1028965,1020847,1019047,1334028,1608213
1141938,1151517,1036525,1087514,1000920,981316,1024409,1255640,2665918
1139967,1150938,1028508,1073417,1014528,981576,1010311,1307346,2519245
1189621,1152367,1029417,1078914,1010889,991124,1028456,1462719,1959240
1195673,1149754,1039918,1090094,1004969,984613,1014834,1388714,2542808
