SHIR FPGA (buffered) b16,SHIR FPGA (buffered) b32,SHIR FPGA (buffered) b64,SHIR FPGA (buffered) b128,SHIR FPGA (buffered) b256,SHIR FPGA (buffered) b512,SHIR FPGA (buffered) b1024,SHIR FPGA (buffered) b2048,SHIR FPGA (buffered) b4096
188557,216670,264755,290954,378595,543725,999904,1687846,4585206
184502,212392,260062,291089,371691,548243,913756,1669712,3363448
183934,217532,261810,291447,381218,543653,1038046,1698660,3697217
184519,213842,267247,294435,378669,549754,957589,1663268,4891502
187686,219985,256446,292658,382149,558469,1007936,1658991,3664259
185481,214861,258262,293344,395113,541787,985782,1647508,3366622
187632,221304,262685,294022,404095,550126,1021735,1648354,4511231
187178,215604,261699,293465,395905,531303,1000812,1903058,3329170
189454,214005,264186,292556,398264,544806,1043366,1713217,3278265
188078,214401,270230,293229,379341,545900,1027268,1653537,4581603
184150,214084,259158,293043,373621,551650,1010875,1631647,3296302
183433,213047,258384,296188,400418,546565,983955,1632856,3206937
189060,216191,261181,294927,377425,545560,1024741,1660604,4293079
183035,222566,260534,292800,381233,545730,1050507,1653615,3322567
184756,216635,263214,294360,372382,544829,1019297,1679021,3322714
187805,218878,275881,291025,379222,548714,958108,1657772,4813698
186247,212834,257697,293771,381243,534222,1013419,1642420,3482950
184049,211235,261081,291258,372534,561720,1023195,1646586,3411076
188668,213548,262896,291478,372400,568977,1039320,1663656,4474547
188100,214061,256011,300693,373631,538217,955698,1656651,3239397
183200,214999,256927,317595,384618,553367,967458,1661852,3472030
188774,213785,258736,292841,372947,531286,992997,1675721,4819608
186270,219747,262878,298180,399506,543221,1018622,1645029,3452486
187615,212922,260891,289446,379852,559658,1020880,1622569,3344747
187954,212776,260127,292557,384395,541343,1017139,1660270,4631063
185669,212900,257678,288055,384375,550648,1008650,1670753,3388908
186870,210031,266262,292938,374175,560050,1032420,1897732,3398708
185658,213301,258355,292331,380994,541699,982955,1667517,4419823
184475,214199,259770,293646,400545,536642,999502,1648388,3160901
187610,219704,271156,294144,372546,539715,1028853,1641095,3142515
183787,211628,262081,293715,373924,551894,997224,1702516,4231539
185580,222556,279991,295237,396578,550137,1018882,1675188,3124842
183890,212405,267196,295106,398904,544902,1020896,1691084,3346448
189665,219138,261972,297542,385851,535013,1023898,1681575,4347910
186975,213895,259259,294243,376596,565046,1033960,1686872,3184869
186930,213440,270180,293236,372208,567271,1002498,1678413,3144743
186793,215074,261161,306902,371088,542306,1033931,1663620,4122309
184729,212360,263350,291214,385867,539961,999978,1672781,3114937
189122,209483,272475,297771,376059,576350,1029728,1645732,3200476
189700,210399,253937,292966,370808,540025,1023605,1666089,4322424
183829,220619,257277,302994,372307,554065,985799,1673390,3169457
185475,215397,265634,301469,372867,536299,1017492,1668228,3128813
187226,223473,259354,296855,378152,551009,1034706,1861706,4122510
184150,211685,259835,296739,368611,534618,1002055,1692380,3168997
183090,215591,280176,293452,377619,536791,1001500,1636238,3209351
188892,212018,275238,299635,375166,558077,1039978,1640835,4382146
185373,210676,253542,302446,382703,540745,976781,1744184,3191875
184289,219839,262861,301002,376378,545000,992037,1630095,3180892
188010,212831,259485,297922,397055,569322,1043016,1680794,4141196
184766,223476,259960,296232,379739,543779,1023363,1658733,3058450
186691,212290,260124,298945,385254,570308,1012054,1678456,3303518
187784,208112,257189,299845,380299,546830,1045744,1659767,4416829
184629,219468,258229,297409,371672,568065,1026091,1727019,3154750
189692,211594,266434,298258,369433,541994,996743,1638375,3137392
187022,214453,265980,301861,379934,554293,1031438,1665875,4173901
186382,213216,262014,298042,378179,566161,1213375,1697361,3205044
185043,223628,260208,304852,375256,549863,909240,1655090,3262765
185309,209319,261092,299427,378929,540450,901200,1641233,4335417
187105,214179,261989,295968,383633,572344,899840,1667296,3193653
186182,212153,260140,297078,382265,549529,898706,1697697,3124809
184538,217205,259624,299249,372031,557635,870304,1635197,4202782
186435,212547,266801,298210,375019,566756,870193,1672075,3074406
184560,216438,262228,298949,379608,551776,909151,1876179,3162409
193808,211992,263585,302474,378553,541725,887985,1753354,4353239
187012,213738,270977,300233,378715,549113,878546,1664871,3177510
184219,222197,266324,299168,373522,569953,880385,1737983,3145918
194738,212761,266962,298186,375527,543702,864646,1643846,4168983
187229,220191,270207,301811,381600,544757,877938,1602838,3071448
187378,215934,257080,302899,377226,554117,882742,1641927,3370860
195020,213686,257817,295485,372813,544792,880353,1676658,4342485
186491,213677,264969,299832,377300,544989,875284,1656426,3158989
186756,214683,257470,299604,387334,541868,864767,1662769,3133651
193529,214107,264045,303287,369931,549790,859048,1666767,4140876
182554,212478,278602,301732,374405,546863,876370,1657252,3124314
183167,218419,257645,298342,397322,553833,860871,1646709,3205799
192279,215838,267983,300324,398689,545447,866152,1676175,4306452
181861,221282,269278,299127,381036,551447,968524,1671497,3192224
184270,213986,260636,297600,372531,550436,1010245,1659270,3167517
195192,212564,264019,299493,398286,560552,997373,1696755,4153610
183746,211651,269670,297858,381632,547367,1008420,1858484,3104962
186689,210866,272016,303114,380558,544198,931741,1681766,3183428
193816,211817,281843,298331,379862,554487,942481,1616434,4796349
185250,213780,268770,303056,378365,556797,992191,1622775,3479503
184757,222905,263561,303607,379278,545762,895037,1737827,3320157
191527,210972,264005,304519,389425,541008,951241,1677909,4540320
184715,218622,268768,304956,373433,539083,942502,1657331,3457751
185815,216768,258510,301215,370277,547134,999242,1685544,3446482
199244,212385,261130,301648,371988,551355,1026207,1663605,4959869
189372,233275,262077,303152,380902,560572,996065,1664045,3565993
188861,230269,256491,304335,380484,546750,1029644,1684940,3491174
190272,215305,259760,297544,375538,551110,1011101,1649220,4639683
193504,210935,263871,293626,373559,565923,1014540,1666997,3330586
183800,224672,257867,294712,385975,546357,992004,1663059,3446474
191203,210622,260507,292859,378997,560716,984070,1700938,3393459
184562,222083,267416,294719,392337,528980,983075,1716324,3245176
183596,214768,265253,293074,371191,576313,975330,1652797,4047228
190607,209967,258153,311552,374016,555785,1042025,1664292,3152052
187071,212273,264953,293019,378496,547021,996642,1659240,3169635
188456,215669,254478,292311,375453,544383,989508,1843451,4429203
193763,214286,261228,293426,377500,548825,1022773,1689388,3248436
186674,212005,256865,294580,375139,553099,968407,1656064,3283261
187760,217586,257479,289364,379421,543196,938352,1654157,4178101
196847,210874,260557,292567,381117,539546,999123,1718106,3141600
188672,218035,266061,291093,371982,542834,1005282,1645394,3159171
185430,213325,258299,309617,376096,563138,978171,1648149,3317850
196882,212434,262854,289798,378687,543730,972101,1666535,3273731
188098,213036,269765,296036,372449,531890,970999,1649619,3172788
187001,210797,256141,292239,377968,542515,979069,1670416,3147043
194691,211713,272500,295718,393235,549360,999849,1659063,4146726
184982,211554,261927,290738,381579,540770,994986,1665692,3146740
185730,219353,260013,296829,380987,536456,993520,1687134,3279136
194540,211715,269254,293627,379269,918157,964078,1654908,4375450
185237,216081,263097,294455,373555,599255,984173,1666559,3263985
183480,214837,266021,293375,374277,578412,974019,1644036,3179967
193600,212028,271059,295387,379224,565516,1013758,1619870,4215471
187325,211943,265113,292359,373646,560641,1010578,1677195,3126928
187716,210108,264097,291383,378285,574954,988867,1693747,3548893
192485,218282,266449,297104,372683,561221,1000797,1914614,4270344
187031,211949,256550,292136,381266,557891,1017322,1709895,3294712
189062,218501,258306,292811,378584,564039,975338,1687463,3246261
195105,211182,266213,292777,377506,566503,980763,1670965,4187857
184703,210507,273956,294985,369069,558589,1009881,1701025,3176298
188999,214296,282426,292383,388907,559408,1004925,1677279,3437810
193072,212042,267826,293939,377543,553312,1014427,1662001,4130479
182563,214519,257436,291943,372521,558563,958268,1652811,3218909
187001,207696,258010,297982,369581,545045,996947,1660231,3101080
195795,221743,261401,295010,382069,552684,996550,1676152,4054414
185232,209833,254692,290396,382986,572816,948601,1688683,3247913
185794,213497,262424,310355,390483,555751,1010245,1680626,3411613
191270,211065,259795,293625,379008,572127,980783,1669670,3258410
184503,214876,262930,291160,382217,552787,958393,1679229,6798408
185187,214639,265276,294298,378640,548806,947035,1651952,4251489
190118,211677,265051,292701,373048,553668,1103438,1686758,3147310
184726,211892,264422,291559,394688,552074,904538,1886419,3187010
184310,210686,258788,294596,378720,562792,884378,1776163,4556627
192695,218133,263321,296001,381151,572844,884223,1758461,3263895
186083,212640,261119,294873,376407,562180,885689,1677579,3196913
186529,216293,273728,292272,379174,573389,887360,1737498,3082279
185883,211768,263972,293201,373686,551660,880563,1710697,3057071
185875,209235,261040,292533,406766,572282,891096,1716986,3204098
185844,212420,262200,309280,377594,546124,894098,1666905,3234030
192702,210958,260907,294348,377042,542422,875379,1697226,3214887
185484,219102,256037,291905,393734,545975,897017,1678163,3104203
186199,211686,265646,295050,377367,547041,864083,1749918,3147045
190774,212612,261153,311262,385658,543332,886900,1674964,3048101
189345,213532,266026,298828,379669,563715,851372,1748260,3246145
183939,207259,262000,292001,379571,560242,898256,1743236,4490561
194004,217833,258147,291796,376937,549349,878628,1672573,3260432
187877,215823,258186,321149,401688,546096,867572,1671783,3251490
188117,215313,263365,293210,374726,546612,968097,1645146,4171144
191614,212095,254024,293175,380956,588897,865121,1662049,3173914
188333,219537,260603,291487,379054,546430,978228,1633047,3015557
187515,211168,266698,294995,380422,550552,969076,1678738,3015930
190081,217700,259807,293598,395440,544614,960743,1869971,3295177
185069,211842,264929,294467,381099,553819,1007158,6063434,3204465
186042,211804,269794,293668,375219,552967,1031536,1706240,3181766
195265,211549,255834,296209,374826,547815,940033,1735384,3337424
187697,211310,257021,293202,379961,544299,960929,1696114,3364182
188333,218371,262075,294849,382365,569320,958408,1682609,3378420
190615,207088,255962,295118,391380,541614,1009163,1709698,3451911
186538,222665,257840,295031,380185,568245,1022543,1679916,3252289
187098,210779,259107,291659,372840,529141,1008630,1638101,3140766
197848,215767,259965,296384,380306,552983,984630,1770225,3100976
182119,214956,260105,291638,370840,546002,984486,1684812,3018781
186852,210897,273695,295874,372995,545238,1029919,1661851,3363686
185629,214531,262263,293887,370668,541532,972492,1666857,3293558
184420,214118,260503,296724,398651,533208,992733,1679114,4356986
186129,211133,267472,292744,380399,553383,997697,1670155,3174503
187297,210791,266549,293953,380312,555362,996598,1683434,3036514
183152,220026,255261,292795,377095,549890,1023734,1709966,2996072
187185,215763,259107,291205,380863,544768,944244,1904141,3414148
186918,216148,260770,290048,381776,551998,994815,1682800,3193434
190810,209402,261457,295944,372840,543338,1008128,1602670,3104400
188067,212497,257859,292824,375420,549151,1005995,1637461,3042555
188743,214548,283650,294590,383418,573448,989690,1706702,2951070
189584,217023,269629,292932,375505,533475,1019944,2353519,3155355
184789,212896,260380,292773,396405,550440,980268,1701941,4485451
184546,213457,261825,296393,378743,553655,933757,1675221,3229757
187634,225586,257998,293915,372476,557530,1030612,1702926,3241063
187923,216662,258775,290705,372881,533196,1009760,1698142,4266551
184095,219910,257243,290409,377646,553708,1018028,1671152,3124143
185383,212308,266817,295447,378317,543815,931426,1664788,3113266
184263,217105,256857,294816,378819,530154,1004843,1671685,3447707
185909,213068,258411,294557,379099,554621,1013283,1643662,3241104
188987,216829,264463,295519,394683,541111,1011235,1763608,4319158
186986,214603,265236,309543,376292,546395,983129,1820494,3202332
182188,211949,263293,297217,378177,544276,982979,1737736,3112595
186855,224006,266441,296377,377445,549578,975500,1692048,4110055
186683,213320,257198,293702,381469,548508,1013805,1678166,3402066
186062,213922,255986,292310,376439,548319,993142,1930356,3280250
187882,213285,269391,292534,388027,538029,999396,1730109,3214540
182472,214062,257021,291508,385697,540524,994345,1674901,3088608
187646,214904,262859,296038,374118,567357,1022756,1645469,3159578
185100,211594,270554,294351,378665,549566,981967,1682393,3140853
187230,220257,258831,296397,370245,558362,971870,1641524,3270567
186498,211432,274040,293594,371319,544072,1005112,1638374,4235200
187957,211690,282259,294726,372439,543221,1052550,1692036,3209352
185836,212980,260732,294715,380227,571710,1027444,1687826,3135947
183255,211991,265581,294225,380294,541432,962384,1644326,3155324
186063,213431,269985,293913,369830,558172,1025114,1683442,4228073
185237,214383,255929,298072,399118,543294,995645,1662153,3640402
186706,211005,259627,300763,369711,550238,1014753,1665642,3484671
184014,231519,263629,298883,374565,541870,1032485,1691769,3292048
182830,234807,266049,295555,375988,547154,999192,1637688,3306377
186909,213366,263847,295317,386874,541391,1037401,1656116,4418682
187866,217430,258811,294506,396407,542989,1028406,1652539,3199769
185496,213888,256496,294177,370592,554963,1022315,1656378,3447296
185719,220686,258295,292596,392262,566333,1024907,1672131,3264482
183896,214336,266641,299544,372662,538747,1041026,2010097,3179108
184808,211627,265840,297511,387998,547453,1182187,1778674,3132059
185397,212181,259011,294568,371890,549622,932732,1757353,3150290
187065,210003,266121,295950,367838,553276,922025,1712883,3101247
185580,214736,255928,293940,372285,545729,898208,1723087,4853235
187438,212961,264450,296466,385092,546403,895702,1696137,3499997
185447,217652,254176,299376,373022,542890,915813,1701366,3428094
186896,209665,263947,294685,378779,578861,901224,1720698,4362900
191560,217171,258314,296062,374091,535611,889408,1699650,3217596
190528,212999,260465,298113,378184,547578,892975,1733481,3143715
188068,213090,263201,310315,380004,545794,882613,1713813,3599502
185074,216061,268662,320877,377757,543990,891581,1717825,3483053
186363,211389,257095,302175,374259,546555,887963,1680872,4505709
185689,211919,266439,301242,388018,546112,884271,1692463,3333063
186382,209479,268162,300250,381437,546572,882214,1719013,3164768
187392,223194,257033,302563,369449,554244,869333,1674412,3113836
186210,210181,260377,300760,379417,542064,874795,1888926,3174768
188020,212973,270245,305081,380175,552568,909248,1724811,4794398
190663,212438,263137,300699,371927,539235,895214,1683817,3601282
186565,214258,255845,297900,372381,544999,867899,1657843,3499971
187860,210560,269383,296927,372917,543165,873060,1733478,3667783
189328,209480,259977,292011,373914,569460,841052,1720631,3413262
184506,216887,259084,292850,374175,567267,1023096,1688918,4492319
184611,212307,267196,292461,378642,565427,954220,1714162,3412238
187475,223325,264048,293828,372834,538552,950240,1693530,3265499
183434,216272,257940,293555,374855,549366,944314,1687097,3215268
186559,213974,266946,297023,383484,544191,876602,1672964,3246466
193870,212912,261724,294575,377164,540978,879670,1677449,4198053
185918,212858,261224,296191,380027,547457,902613,1666306,3293090
187738,212864,261629,296161,390135,571047,889950,1646799,3222055
191061,208213,256253,292273,381905,558067,1011021,1670169,3178809
189174,220733,261572,291427,379579,543799,1029703,1654249,3206589
185842,214477,257752,295855,370452,527382,1012397,1669348,4136354
195169,217582,257852,296102,370584,574715,1715203,1674114,3113240
185664,213687,256504,295421,384508,546531,1129236,1645613,3286525
188198,216458,270391,295058,373264,542734,980682,1757489,3181269
194943,214563,264154,314297,371088,555208,1011353,1865095,3132787
185833,213267,271132,291792,376841,546679,1008123,1719949,3045027
185640,209545,269521,295346,380158,566839,1027766,1677546,3006191
196909,213192,266687,296366,379215,560010,1026723,1630652,2964935
186495,217974,263489,293304,383313,540819,1021163,1698844,3369643
185941,211319,254976,294562,390198,546998,982526,1712286,3255022
196582,217645,260345,310829,377200,564069,1007133,1685848,3116860
187951,216739,264292,294717,400207,549513,1033163,1645730,3029516
186925,211735,261190,293211,387624,550688,1026733,1658726,3096528
195292,212652,258613,291531,370338,549744,1033843,1648597,2997822
190173,208299,259577,292983,371289,559768,973516,1658401,3228819
188777,213785,258014,291982,383667,554314,972612,1679145,4349585
195605,209407,263281,293061,369828,547156,1007850,1680404,3168416
184218,217125,274789,295773,396203,550547,1028280,1651225,3052369
185997,210787,265480,294926,391753,542368,979412,1662578,3100142
192795,218030,268817,291644,369175,541405,1006787,1638798,3106447
184653,210051,267004,295400,386867,547892,1004375,1679741,3351566
186892,210450,257497,291618,380583,547290,1014148,1951480,3202248
190228,211388,260116,295137,369526,546317,996303,1747916,3036003
185273,211266,277064,292659,376729,541982,1030499,1690561,3001692
189507,215607,265671,296645,384527,567823,982554,1701345,2979043
194290,214917,257193,296534,383002,548686,1008941,1714166,2969389
184857,218203,268438,293561,374310,564664,1017705,1702645,3201637
185292,210299,254227,294300,374994,569334,980865,1693171,3254545
188043,217915,258703,311528,386263,541676,1302335,1718739,4319957
185591,211261,265120,291004,395109,540736,1020204,1746352,3113581
186383,209315,255502,290833,377239,551426,984527,1773624,3031469
187586,210144,256379,308374,370009,544360,968340,1747658,3009139
189435,210670,266370,293703,378960,542703,1031752,1724587,3248605
183283,212463,261159,295012,376103,573634,1015617,1705132,4353883
194343,210275,259476,295330,377122,537221,990272,1791357,3143315
182521,221244,266222,296336,372028,570476,1013526,1736636,3056390
184635,211865,264399,293766,392110,546634,1033758,1694934,3049536
192582,211976,265298,291853,381425,543150,1021926,1693002,3133912
187967,209404,262098,305903,389235,543293,1024502,1673366,4547765
186670,213879,254705,306331,372544,575827,1014380,1696974,3288010
192155,213487,259188,296595,379609,536620,1027454,1948337,3155781
185629,212475,265123,302039,379638,537668,1000071,1771327,3055850
184114,221738,256378,299937,405884,570538,987163,1776128,2991938
188562,211146,258830,301194,376761,549780,1018481,1764774,2987460
186252,217027,255986,303347,390165,540063,1007933,1742360,3275705
182864,212128,257432,294444,376283,548106,1008385,1723067,3227753
195506,212656,263110,297704,383025,539564,1191422,1702076,3048772
187843,211398,261637,303953,380976,533135,1633187,1698582,3044226
189139,210932,257392,293020,373038,540907,901084,1750190,3041015
197653,216200,259801,297266,371161,547381,880234,1667026,4132891
185473,212193,255769,297472,383840,565743,883545,1672520,3203852
186506,218514,256673,294619,372735,544380,876189,1693851,3209299
187794,214292,268119,296481,369478,545048,876314,1662102,3081052
185721,219933,254546,293432,376825,568621,858113,1675747,3161120
186251,210980,259016,296020,382193,540878,868114,1645439,4074433
194732,213347,271177,294303,370617,544779,878438,1642963,3068517
183042,213675,256416,296312,373337,545394,880415,1636449,3045195
182952,210829,258163,296692,378638,541260,883326,1653166,3211523
193133,212908,276181,299615,381541,566525,873873,1618960,3246748
189931,207773,267676,302379,379543,549407,870386,1894453,4296921
186208,219333,266117,296051,377079,568362,873045,1830712,3090966
193154,211260,297420,293360,376295,576860,868467,1745648,3047104
186525,218242,260702,296977,389156,555067,868072,1699778,2979837
186047,213614,259177,295438,379107,545817,883534,1702118,3343265
191805,212386,266148,292206,380660,568226,852485,1688168,4372224
186776,212207,255830,293755,379159,557948,855351,1694652,3155748
185294,214053,259931,293099,388384,555871,1001099,1682975,3086192
190752,213478,265770,293614,375723,545408,896257,1690777,3050168
188574,211435,258345,294332,372690,549223,1035722,1647393,3233086
186457,218604,256377,294666,380693,554135,955026,1617792,4367507
192404,215283,266090,294552,377899,563203,957274,1659155,3144153
188774,215645,258534,307328,373717,554734,895471,1646485,3156163
189039,215538,259087,308061,389433,550462,898461,1671619,3038326
192734,213981,260732,298472,372052,563474,902144,1663223,3074876
185338,213788,263830,316796,373037,548433,884341,1664881,4388666
183799,214887,261379,300718,377987,552158,923252,1849308,3217257
183882,213235,259121,301531,375873,547089,925316,1738281,3148666
185610,212983,258894,293891,376335,547102,961121,1685855,3047803
185685,218130,271814,308440,381090,548383,1036688,1652038,3135361
185559,215253,254884,294135,703717,544404,965223,1731422,4068855
186680,217102,258301,291784,411013,554439,1058606,1675112,3199996
181354,213612,260636,294970,401102,534448,1013867,1691703,3195001
187509,213842,271521,288778,390033,566004,1018711,1647897,3089655
187080,216517,267910,289605,406200,544126,1018200,1637906,3113243
187310,210028,264305,294354,392248,566770,1020592,1652571,4077841
184354,211944,265017,307637,386709,569393,995034,1740056,3249590
184259,211112,261402,297815,391544,546918,1031918,1652073,3337307
179820,217907,258933,291642,402742,540226,1029376,1687653,3192261
188108,212845,263160,291785,394113,548013,1018173,1630032,3154693
188043,214402,261390,292840,387487,553272,996776,1659619,4159692
184233,214159,272692,292254,401007,546028,1026687,1629574,3118829
182472,213538,263489,294024,382132,545030,1037101,1637310,3174267
185395,212692,267621,294883,380277,555616,1017259,1614727,3382388
184329,212279,272737,291676,400789,549210,999779,1644309,3253100
186549,219682,259401,293586,400336,575173,1024632,1657805,4364045
188453,212894,260838,291384,395794,543123,1033395,1853057,3171588
189151,220418,267097,293248,382259,565668,943814,1704813,3247301
185734,211139,255483,292563,381395,536083,1000129,1665791,3185252
188261,209523,266822,291886,381603,556775,1027246,1692214,3321986
181942,214022,272673,298414,386712,545854,1005606,1665750,4403931
186998,213256,274659,294157,390562,533469,1005697,1650966,3191322
187233,213735,273988,291227,399548,547454,1018933,1660959,3065119
183042,213522,265863,295385,395146,541371,1000190,1654441,3003911
185484,215790,258373,293169,380487,555009,1026967,1630410,3051511
190221,210546,266036,294352,388448,548075,1014431,1655643,4534372
185981,214889,268503,293370,392661,557451,1034898,1644168,3259516
185692,213277,265678,293215,383833,550113,1008995,1664183,3129304
189039,210121,262364,292179,378029,546365,1040675,1638743,3065279
190538,212608,269003,292525,387438,550661,958717,1647845,3074538
185557,212103,258349,288699,383500,542912,1015265,1646196,4122949
185035,211703,258039,291097,375276,545905,1020832,1665137,3309375
186061,212406,267101,295796,377266,572816,1029337,1664766,3244544
183860,214678,259832,296082,405681,556469,955626,1858030,3183915
185927,210086,255996,295867,384095,543518,1040713,1692606,3210211
183170,218445,274116,295962,382775,567189,1025267,1662604,4126208
184234,213540,263956,294043,383617,552614,997999,1655083,3125879
188473,211662,265593,292883,386214,564570,993088,1657162,3340733
186610,215364,260093,289446,389251,564797,970775,1673921,3250097
187362,211399,258549,291538,389074,549652,972545,1637468,3224302
185168,211822,265470,292197,376913,540333,974639,1681872,4120767
188837,217766,270063,295229,373588,540707,1036287,1683659,3111556
186951,220623,264879,292363,382569,548911,1033732,1625538,3071606
191173,211441,260025,293916,374388,556218,1021564,1654532,3232779
184647,213592,281477,292966,377914,550624,1166441,1645226,3249963
188582,214029,271076,292857,372488,548706,918176,1653248,4361627
189077,210560,260641,290966,387080,549025,877892,1658972,3107449
189326,215093,264431,291017,377929,546894,893381,1645058,3019670
186873,209924,264999,293140,377644,544421,880760,1678327,3001660
185283,231404,259354,292948,372123,541681,884842,1649245,3078765
187239,214791,262447,294723,386468,548369,875405,1614265,4466454
184809,220881,258510,293106,380275,536724,885232,1638562,3219405
186322,211249,262038,294249,376389,552116,904090,1904393,3132940
186229,211558,255691,295518,373446,556699,875570,1758132,3055226
186697,213043,261405,294078,372988,564782,899300,1687000,3110354
193921,213380,256760,291349,384602,542871,867482,1619979,4154075
182243,210182,258942,293922,375295,566452,857990,1709589,3454299
184814,212103,260804,293114,373223,554764,876878,1676473,3260191
190988,222078,272716,310366,376646,544049,869087,1657463,3119610
188089,212387,259166,297738,387799,552131,864734,1703073,3163009
184558,213716,264831,290929,396783,537591,860668,1669629,4113052
192199,215222,275048,293959,378604,578079,871022,1661213,3282261
182856,208578,263476,292952,374938,542765,860440,1659313,3324527
185694,211938,271187,294783,381468,547259,858395,1664006,3165708
194727,213390,269451,294083,402336,548562,863617,1670185,3189374
186161,211406,257671,315807,380981,570429,991018,1626779,4107006
184768,210700,259565,291589,373960,552274,929555,1643434,3109891
192703,218646,268449,294209,372855,563859,939958,1672497,3426593
186074,217065,261166,294664,382285,548879,994821,1650873,3262489
186599,220297,259028,297166,377256,548469,936072,1642081,3176351
193016,214986,267148,293304,377835,577300,934542,1669471,3092427
186519,211683,258288,309329,371465,547799,1017699,1870775,3056373
186047,212175,257535,298010,386912,544107,993228,1705748,3066118
197057,210726,259440,298135,382319,563166,989674,1691712,3454693
187732,221963,265966,300362,376193,543658,1040558,1689275,3255556
186221,218103,262591,299967,375553,880003,1033114,1693533,3164119
190132,221831,258667,297496,381053,594291,1007362,1668653,4456236
187714,213592,257311,303312,380998,558656,960035,1683879,3439326
188546,211985,263843,321322,395284,558312,984846,1652809,3410293
192269,211164,268937,299983,376807,545236,1000238,1671133,3496846
186921,211490,262209,302435,380444,571135,930051,1683544,3288968
189196,212349,261404,300324,380035,588618,982117,1671818,3362863
195260,209644,265185,293850,371264,589224,979288,1640602,3287898
185161,221554,271882,292587,377668,558923,993084,1688452,3183808
186402,213321,262510,292681,372619,573378,993316,1687592,3200122
191514,212822,269211,311553,372536,571086,1022003,1662492,3538739
186320,209041,265396,290826,374564,557325,968703,1629075,3489161
189140,211400,266814,292393,386219,557977,989269,1833303,3412730
190593,215348,262872,290685,378051,548560,967863,1686864,3328805
187456,213059,257053,310285,399376,557388,1012811,1621572,3255471
189974,212241,258934,293588,382952,551563,979315,1598616,3188331
190527,212059,259261,290076,373031,549107,1010455,1610569,3447362
183145,223578,265065,293762,372357,579059,989049,1728151,3314604
185519,215552,255753,296130,390441,554347,976159,1581658,3164448
194449,219552,262751,291548,375194,555290,1017779,1631018,3116770
188556,209387,263184,293678,370181,549660,977915,1648966,3143733
185302,212458,268630,290219,397429,545851,970651,1639280,3061827
195270,215563,259658,297322,372388,560237,1008673,1649881,3318452
189130,211986,255635,292087,376958,557405,1001995,1656089,4490748
185488,213004,263626,295482,373053,555424,1014552,1637861,3261554
194747,212236,257217,291074,379955,544369,1004290,1648241,3250446
188797,219315,259748,310670,394044,558867,1024102,1639391,3210176
183485,212690,264921,292712,386063,557338,1015575,1766741,3294909
194462,217861,255399,295565,379083,569616,1019629,1666366,4538780
186042,211392,257885,292508,374077,558388,1025081,1664311,3284250
184577,214464,266183,313483,377280,548771,1039823,1674369,3467275
193034,210437,266733,288589,392211,553041,1001139,1658004,3466591
186614,209757,263184,295455,377594,563613,1030521,1972893,3912039
189583,220294,262465,293252,378308,548842,994688,1761767,4493511
195991,211547,257273,294263,372712,564719,1028812,1713248,3541601
186992,218300,261474,295425,377125,542686,1055596,1725543,3241579
190838,211649,263303,294738,375614,548614,1016479,1678851,3109862
194315,213994,261861,293541,373849,544411,1007035,1660312,3164576
186410,212012,258005,291096,379004,544308,1014248,1667244,4099300
189383,210037,260674,310662,378579,555329,1010131,1661385,3102382
198917,215037,256936,292025,375316,548293,1025460,1660891,3262379
187267,211664,264806,296918,373998,556624,1002169,1682883,3178051
183580,216060,266471,292170,375055,550514,1031431,1649232,3197581
193456,212747,268678,308963,371749,567181,1033296,1653784,4181566
187683,214899,264936,300880,373869,548214,1028096,1671799,3068920
186400,209785,266264,300462,375965,543789,1009893,1642109,3057783
192507,214936,263451,300841,378194,550338,1207543,1648698,2958559
186739,213952,260027,298530,373736,536971,907103,1638269,3367131
184851,215902,275158,295087,373789,541579,889751,1653754,4332902
194509,215895,263716,293772,374747,567890,892321,1908457,3167387
184883,214301,257673,295851,375778,552998,871187,1719246,3040926
183936,219473,264495,295358,372845,544771,879426,1663425,3011870
192641,213707,263999,298527,374524,545671,874294,1618091,3107199
184459,217339,265051,297880,377973,541144,876778,1715160,4489249
186224,212249,258066,296253,372030,540833,873062,1665987,3262491
191015,210572,260233,293185,379781,558828,873549,1640133,3099295
189469,214418,265450,292125,381836,539333,878124,1660334,3041774
187768,212473,258551,294821,371199,548345,858754,1657715,3155928
195507,215703,258118,294068,372348,550376,862459,1675607,4526254
184992,215123,269416,296554,371552,570488,875181,1732462,3226546
184249,219217,259654,294888,371854,552269,860623,1668456,3175680
194947,209026,259702,295191,374158,570380,890529,1651827,3088891
185217,215623,263039,306954,380234,541521,886527,1682409,3120188
183218,216511,256171,296498,371448,547349,893919,1670365,4057978
209278,215134,263085,316925,380395,555646,892463,1675731,3189700
185944,212629,263551,295661,372458,544931,892954,1754049,3225267
184571,217329,258477,299156,378650,546019,890533,1652382,3129201
195812,224090,255197,298368,376597,555873,974007,1650064,3191197
185553,213564,260193,298364,379811,547743,1027473,1893837,4041843
186873,222013,255924,299353,378899,562617,948232,1765701,3237745
193636,214697,261576,302783,373367,561378,1020840,1698914,3416572
186030,212305,258954,302923,373736,551607,928764,1652891,3232702
185468,212789,258971,300017,383412,542086,964921,1731545,3233867
190114,215249,261725,301203,387739,543976,915049,1655406,4237457
187461,213188,264511,304097,375354,542928,901948,1695403,3134783
188028,211846,263232,302224,381292,542747,946735,1662379,3055388
