b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192
12947,15071,13035,23273,15424,23802,58184,98713,137196,237840
12600,13327,21793,12747,17038,26625,41106,89247,132928,238630
12623,13299,13138,13046,14618,24497,45211,94939,141574,245799
20290,13738,13024,14352,13565,25422,39831,89459,130498,240592
12606,13603,13148,14029,15106,24671,44207,92213,133926,235129
12714,13729,14167,13820,14829,34866,47026,85772,133363,251747
12680,13211,13027,15719,13907,24017,41382,89396,139015,243442
12911,13214,13007,13667,14934,26276,42921,98141,133262,240663
12858,12962,14204,13381,21203,25637,38074,108169,138154,253575
12526,13620,13753,13484,15446,25308,48878,88532,131710,245682
13760,13353,14624,13950,15772,32157,51017,93013,151589,246295
13057,18766,17560,14135,16229,23692,48828,85965,135417,248483
12840,12490,13261,12874,13815,20813,36148,92834,131731,430112
12721,14387,12863,13590,14236,22523,36542,85912,128243,223224
12910,13399,18448,21018,20233,21965,44256,95554,131350,209132
12962,13358,13010,16917,15331,24220,49532,100043,130435,239158
12233,13519,13139,12965,14028,21695,37117,93943,140364,212751
12698,13450,12719,14180,14452,24036,36978,86406,130529,207133
12793,13331,13734,12878,28597,22533,42594,85141,128813,232982
12759,13556,12740,13202,14157,22026,50530,89377,131067,216793
12882,13290,13733,12548,15493,24713,37979,107690,130160,223396
12916,13324,12738,12799,13760,21403,35350,83180,132118,211027
12548,13257,12937,13605,16002,30523,52223,92921,142596,219723
12635,13490,13961,14134,14033,22600,38636,93611,128122,222411
12816,13690,13030,13026,13979,22194,49129,96038,136869,208427
12652,13639,12941,12988,15705,22431,37613,102222,132280,216601
12922,13642,13707,12973,14117,20007,37544,92089,136967,230832
12785,13682,13072,14018,24004,22870,48248,88157,134490,206540
12771,13704,13179,14306,43135,20616,38976,94997,128434,233176
12848,13631,15205,14476,13928,26026,36808,87737,134721,218771
12431,13051,18794,13763,74190,29103,37460,108787,144354,218536
12763,13373,12994,13024,29229,26583,57419,87094,148675,204307
13604,13740,12663,13844,19498,21467,64468,104132,133703,218145
12860,13500,13009,13850,18021,20473,38512,88920,136877,211734
12939,16994,16728,15866,21589,34601,46769,83933,143434,214562
12965,13447,13336,18509,15775,24856,37360,97532,132669,220428
13097,16128,15103,42441,18312,23620,46942,88969,150003,219657
20860,13674,13178,13919,18336,27282,53370,95042,138732,219638
12523,13590,12734,13023,15032,23609,39979,81816,148942,209066
12840,13583,12411,15201,13953,20660,45323,85608,142059,224333
12572,13591,12852,23837,25063,21584,51292,102546,141639,230048
12794,13552,14300,13812,17671,22634,39150,85983,132300,207625
12772,14010,12905,17253,29351,27082,54154,96711,151132,216620
19776,13253,13816,13967,15877,23116,42343,85116,134387,221286
12765,15001,12787,16183,13979,26337,34414,83482,132048,227337
12980,13063,12626,14124,34507,28332,47633,86544,135470,208362
12682,13509,12641,13728,17281,22669,36206,96999,131675,215983
12747,13480,12799,13715,88173,28027,48979,87910,132293,221165
12819,13370,12874,43460,14526,27421,39948,87127,135923,206758
12618,13408,13931,13125,14380,24534,35411,87808,131857,228286
12836,13199,14846,16192,20411,26193,41379,86034,147818,210804
12710,13309,13990,14660,54504,25103,36710,92269,135083,217851
13089,25887,12875,13998,14691,27006,34509,90001,133247,216936
12797,13050,13675,16064,27913,23534,50264,87781,145682,213514
12956,13019,12740,25084,16373,30583,42121,95325,133891,226601
12756,13399,12818,14213,17233,23056,42623,89371,144315,207865
12665,13841,13078,14004,125214,24167,35134,94561,133495,209511
13018,13298,12910,36654,14221,29805,37255,104229,135700,225357
12878,11934,13062,13050,14356,24771,36965,88664,137631,219287
12755,14856,12809,12650,13846,23389,33172,75216,130234,210237
12715,13519,12945,12880,14570,23093,43072,87784,127542,220817
12806,13915,12931,13833,13878,34669,36729,84578,142775,222539
12774,13681,12401,14923,15497,26139,48036,102917,148757,207679
12920,13466,12897,13884,30704,22997,39323,88375,138838,225635
12592,13363,14844,14213,15085,28622,32576,85800,132529,217366
12773,13518,12733,13965,15081,26598,49608,99052,142913,207050
12544,13502,21783,12507,30797,23321,67979,85666,138692,223202
12609,13507,19967,13954,14193,26455,44588,105434,128373,217973
12603,13351,12782,25465,13992,31128,38619,110489,153880,219818
12528,13696,13134,46354,14228,26623,37221,88247,132900,266403
12849,13259,14276,12856,16999,20716,34629,87145,133018,385114
12905,13443,12775,13753,17718,23186,34594,95307,130197,213773
12850,13271,12702,14297,19372,25497,48867,97906,137735,218669
12807,12961,12810,14560,15254,22903,49659,101726,131502,218028
12564,13114,12912,14104,14092,23622,44061,83472,135526,207211
12472,13677,14196,13520,16502,24321,42439,83540,142484,221225
12835,13546,14097,14105,14880,24998,36940,91396,153584,205072
12594,13554,13114,14773,16069,23253,38834,84948,141735,218230
12706,13576,14288,13218,13759,23813,41450,95713,135746,219603
13102,19836,12956,14415,37699,25302,78561,73769,151416,209419
23471,13403,19928,13221,16281,28224,78250,89606,146811,218227
12959,13562,14324,13527,33902,24389,32180,82787,148143,214755
12894,13361,13152,15528,13800,64723,31245,93672,138078,211159
12677,13539,15558,16120,32940,57668,32402,81868,131815,209344
12980,13565,12625,12975,14181,24748,34527,95781,135173,215396
18011,13425,13307,12848,32651,28477,31032,83786,136365,205893
13309,13169,12877,12657,15816,33277,83388,88353,133029,211937
12859,12998,13054,14889,16774,24174,44005,83072,130142,216022
12650,13278,12869,14091,31822,22846,45702,97670,140261,209744
12564,13803,12706,12801,15243,25007,57457,87276,131746,210137
12479,13347,13171,13137,29542,28624,42117,96753,137254,215987
12717,13520,12508,12806,31586,21477,48351,83195,129387,208588
13948,13117,13615,12768,14196,26104,50938,91153,139632,214017
13034,13366,12738,12948,13874,28525,40417,87283,132901,209340
12429,13194,13103,13019,44380,21223,35525,85874,134379,203764
12553,14337,13890,12607,19275,22290,174856,85497,127689,217661
12645,24919,12730,12740,17771,23250,40258,85311,131400,204868
12785,13538,13097,13220,17741,25717,31491,85000,134002,203711
12765,13139,12878,14082,16959,25166,28838,84288,129012,234861
12509,13325,12726,12874,43686,26101,26061,96493,131414,213407
