b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
107581,193077,268955,467977,1874329,1684577,7183866,10737855,22952362,44842195,90833069,189118219,363528295,703326356
111412,180534,259771,467911,815514,2204263,4739430,11779898,15378518,44149232,90435686,188212077,361052058,702815480
97162,201006,253464,481211,1040968,1809657,7303034,10598124,23148233,43816313,91308471,186675701,361541649,699798006
107856,181931,281124,415828,833754,3110040,6857643,11614227,22740990,43994576,91159470,186454921,362341872,709280522
100723,179238,251024,479503,918286,1950316,5021916,10026901,15769252,44601294,90924675,181358657,363471573,708939474
95720,168266,257170,478766,1500324,1806000,7027256,11551134,22603113,44141478,91745766,207141957,367648877,717487392
109841,190002,262744,451303,828740,2344964,7138832,10643562,23443208,44972350,97113053,212201099,361148955,710719881
104133,166757,272323,453962,2433150,1875314,6711573,11448760,14309046,43656711,92867351,199714391,357787773,716748499
97801,183232,281425,423830,835950,3337503,7364231,7813651,23115747,44349304,90627830,192063879,361386891,732181890
133005,162310,295764,463995,898002,2000669,4573326,10727073,22846320,44097563,93913441,196103037,364610903,704314670
126176,189508,265112,475342,1445151,1733198,7289511,12503680,16776513,44588224,94788805,200168485,362567723,719770399
120495,164344,270406,424901,837047,2275463,7034055,7539319,22387876,43702558,93983438,192061978,363075937,699262305
116968,179825,276598,491415,2371345,1880755,5191927,11471294,23298277,43887487,95684380,191572665,364741697,696715900
101423,168055,275230,482490,831244,3194587,7072195,11666065,15506231,43871878,93987821,202751555,362272735,709208161
95162,180057,255478,431652,884971,1956746,7284683,8256274,22608732,44749775,94003323,193527194,364848288,714078554
111802,171734,269221,491617,1357206,1694238,4910178,10662472,22954529,43613122,93367686,189182479,362961309,711406008
103639,188360,281631,444370,835317,2308039,7362348,12440259,15364444,44671056,93987331,189617920,366155195,703746642
104976,163983,268316,437488,2331202,1876950,6886632,7673224,23705103,44311660,93285491,189434569,367391152,693432542
108189,176293,265098,461370,829761,1566016,5088928,11449459,23127593,44444622,94881713,212735600,370441924,696208553
108325,159976,293428,452207,890303,1995519,7222168,11702061,15029439,44062838,93429831,208527187,370059623,708650279
95824,179163,257883,467771,1449424,4311004,7306671,8247651,22797375,44987862,93317554,208043052,371028183,708807349
117666,156614,294214,508440,819918,2486434,4686934,10626104,22864295,43998981,92649872,186710412,373309129,703655269
119894,175609,281114,430379,2383567,1798850,6811867,12607177,15241341,44296607,93164145,181828604,374331255,710253410
105065,160286,280779,463148,783741,1611745,6829645,9768709,22753107,43984024,92195461,193355879,370731057,711956075
114199,173020,261425,456407,837138,1822108,6722451,12568751,22914354,44892520,94079224,191238744,368768875,706864705
109821,165154,298593,426175,1336578,3533706,6494660,9930087,15108477,44004136,93099815,190387883,367735373,720635088
111056,184013,279772,460563,792738,1948280,4550969,12620645,23000117,45094027,93665241,188631404,366465241,704174591
128451,154332,246359,437273,2319460,1715344,6435815,10006067,23257310,44866226,92827833,186342476,371145928,709706382
104521,172136,282784,462140,1465271,2348382,6574095,12673875,15017627,49943060,94094791,185293672,367977347,706769317
114934,158929,264970,521306,818797,1900599,6153977,9914945,22225759,42843341,92516191,180449266,367449086,717831613
112727,174801,269404,473546,2305024,2750950,6593951,12372326,22450130,43683574,93860217,195393326,372726626,699056034
102566,159490,276684,464775,775380,1870609,4239905,9823372,18598648,43182200,94037039,193512090,371637886,700532449
109585,177906,257181,451621,809548,2012261,6499997,12552679,25034961,43336433,94659982,193409100,366417919,715968906
120740,153983,277722,442944,1267840,1980022,6636957,9741671,22699367,42810892,92524098,180523613,368224462,716288797
124729,171463,264724,458692,761662,1665091,4549704,12551680,15680064,43658112,94518400,188467273,375863088,706464216
89706,163940,262095,444569,729686,2569132,6252270,9923580,22721185,42718390,93695112,186494191,372922758,711856742
130221,176824,270426,479753,762856,1873193,6741651,13976624,23209044,43874227,94499357,192075479,370245471,712998957
112020,153315,266861,427228,799285,3622720,4245792,10232260,15151903,42918964,93372052,191014044,369401242,714611237
122542,181465,263741,473858,777532,1947257,6361994,12627034,23119543,43773279,93803765,188062372,369478475,713705647
139911,156316,290285,426898,768855,1760998,6721949,10498432,27256178,42684502,93016798,189122872,370352332,725469408
107487,175134,259948,429785,1005731,2559983,6515332,12644884,28066871,43531164,94540449,190127710,368764253,716268038
115133,157022,257644,441792,720082,1979924,6538235,7962434,23501506,43479835,92639588,202139665,366535786,716282168
125405,167160,285393,458648,875558,1768668,6173063,11443590,26848978,44047161,94313698,199414198,366047536,714274972
118560,152216,266777,465399,814957,1904725,4535212,12017020,23538089,43275592,93990859,192137943,370346257,712076877
119916,185698,253221,455615,1818764,4467338,6442611,8392246,23382560,43549210,94617288,183136309,368072743,699483776
131925,151485,270840,417832,847659,2482226,6349805,10660260,23001971,42752827,94230624,183186176,377158254,708369158
128643,180793,275306,473039,893744,1848402,6273499,12573900,23682563,43347160,94414535,192666950,371779273,702829134
90699,169564,245542,447337,759143,3337749,6405304,9131649,23124565,43553084,93573523,189677820,384007484,709748416
125301,175336,270038,428068,788214,1920723,6273293,12594663,23603236,43322199,95377155,190196066,372612838,710083561
102225,153140,298910,484438,1336223,1561444,6460758,9882842,23347612,43161174,93532334,192253774,381939074,698346818
107211,180554,271567,437667,910081,2219770,6546918,12606158,24165999,43567943,94789954,185865301,374980782,735513562
126457,175872,284723,412593,860040,1881521,6897851,9847905,23223011,42939621,93428775,183363230,380946892,703676088
107054,171035,257985,491528,1011365,1681698,7043993,12503828,24837308,44223980,94751345,196817419,373837767,706057347
96849,177003,257410,436670,894328,2080692,6949841,10004027,23058018,43070213,93520028,194680924,375773816,699003372
100140,173162,265890,510528,1925483,1863382,6856073,12554494,24842129,43219401,93807292,196645983,381465258,721969820
113935,165087,254268,447456,817080,2594766,6880888,9851992,22844568,43570945,93195792,186232825,376860306,729633196
104075,191910,260326,447427,902242,1860515,5206448,12653906,24763545,43283839,93409853,185991052,371777902,715020525
124443,157077,300519,459781,816620,1884215,6923420,7671837,22964362,43365832,93788823,192426990,372070918,715670213
92771,176319,279296,468682,841794,1933301,7312848,11653261,23204795,43642899,93890565,185939363,375534934,718321783
108785,159467,268600,470581,1609972,1615890,6445397,11766810,22380861,43155401,93302685,190163073,374656418,715473851
97903,176758,280915,460969,916446,2204933,7359114,8271197,24465907,43781344,92716698,191576113,375865267,717041877
93053,154244,300669,490782,1931395,1837227,4909954,10684750,22703019,42928858,94411236,191027923,379057276,720357201
85124,185712,275566,441562,833686,1557644,7320729,12751594,23027853,44236384,94862271,189458468,388188009,704999284
99924,149514,292865,471049,1046756,1839876,7003600,7464370,22694259,42805450,93571882,186188106,386896825,704955069
91117,172762,285108,466039,850653,3296695,7092241,11670525,23285746,43786253,93371152,185572150,387640789,701590151
81589,180108,260642,438639,922611,1884161,6970270,11646115,22425827,43438729,93440189,201347426,381373317,710466031
102049,164097,218670,476273,1381150,1721331,6907051,8255024,23350599,44000794,93798916,198382216,383621375,722020644
90434,168405,285301,437647,917698,2231181,7071435,10802830,27622245,42994073,93392559,198723834,385489851,714116960
82973,186993,256784,481974,907987,2358670,7089654,12784127,15675527,43740146,94079304,187332138,378026169,708387395
96523,174112,272301,498417,858057,1867637,7039055,7559884,22400935,43170594,94008169,180389149,397903415,723584184
88635,184281,279432,475428,2416399,4157806,7119592,11945407,23276064,44156036,95530297,186399295,378375435,719689063
82991,168269,275648,507057,876562,2567821,6954880,11964188,15057722,42772307,93970845,188022358,381291390,706292056
93602,195058,263176,426816,906130,1778488,5028580,9770035,22805942,43250893,92967063,191837284,388700406,712507977
93424,146589,275904,520099,1407842,3281543,6991272,11908499,22944565,42551387,94452117,186580333,373739764,710500881
81978,178751,261983,467069,967188,1939638,7334033,10663001,23045680,43636594,93482920,183861860,373331841,708049915
106678,151182,235269,457557,856454,1600967,6773118,11703912,22576929,42765015,93059618,181214742,374965050,703196503
89273,177731,265110,503321,886648,2774718,7304068,10759508,15389961,44136365,92742049,195497503,389440970,710791332
