x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096,x86 inductor b8192,x86 inductor b16384,x86 inductor b32768,x86 inductor b65536,x86 inductor b131072,x86 inductor b262144,x86 inductor b524288,x86 inductor b1048576
582102,473464,692177,600421,564492,1824598,2240204,5397599,12639133,14331230,28049628,129160561,93451926,159129117,714190793,520500526,980923003
588159,509665,718726,582072,565452,1773371,2570128,4408409,11426170,16008655,25803603,129562587,93292301,159473991,645688680,516780065,978461727
577799,455423,726259,594432,535042,1836933,2285330,5389568,12553252,16497113,28022992,129708816,92583223,159203447,683701577,579285818,980927801
558555,481827,696941,589046,554957,1793599,2522959,4387123,11459679,13349250,25489385,130124519,93437253,159351070,507858689,516447906,985842901
568740,484363,701475,557061,530342,1722585,2703833,5400349,12713375,16401771,27773060,129491056,96920940,159755360,601609876,517137805,978764026
535281,478684,672814,575263,521496,1793006,2951852,4475115,11405304,15467506,25404805,128649898,92540454,158535191,654249962,517668667,982587132
563043,473544,663563,559169,517565,1903068,2530675,5591761,12660904,16477489,27871545,129910740,96241599,159208167,680111626,519625182,979636519
552090,500027,700371,562115,544007,1859205,2900278,4355751,10297939,15403921,25562384,129741661,94144367,160276898,623421918,517691018,981209278
552862,484672,626360,542798,503841,1798110,2659848,5397123,12744739,16426256,27667541,129731765,93728192,158841931,709704455,523399795,977881398
557974,460696,642017,557133,535371,1838601,2934671,4423332,11307047,15302270,25926178,129745157,93183266,159062528,798023580,518844955,976290740
562184,463052,649871,552536,510926,1772621,2545636,5509291,12773745,14472516,27472796,129701040,93322392,159768425,716834446,516973308,972118064
557079,463168,642854,539583,523460,1852633,2960097,4333863,11479187,15970785,26425054,129745556,93227168,159478363,589944604,515176813,984520881
546488,474424,651796,541908,510519,1868602,2511668,5339872,12733956,16577323,27418360,129330651,93689390,163206538,618884437,516996968,976690922
554532,460540,617868,561416,519614,1782476,3393829,4374907,11478719,13477501,25874418,129667911,94941775,159031442,625471825,518439255,982106132
553537,466587,603332,534222,499810,2371931,2615398,5293522,12809853,16467686,27418655,128909367,93752509,159583654,535282223,519053459,982973594
537507,482915,606027,556521,520673,2260285,3634982,4445162,11384997,15404670,25955895,129908896,93153923,158472682,618869103,519848929,982824280
535751,451542,607906,542724,514030,1210317,2481819,5396384,12827083,16533489,27347482,129416569,93458471,225031076,621022427,522924005,1081227190
528265,467130,594332,539172,507241,2604745,3015302,4375453,11343367,15563303,25890040,130075867,93231808,213860428,631038047,517603761,976378819
528329,452333,607667,546353,509651,1101255,2481175,5374057,12208719,16651282,27440117,129534280,93073768,233047842,574571652,523468380,975003517
517224,471546,589080,575074,531065,1042580,3005181,4389652,11300075,15360386,25855166,130181078,92532945,236537266,593202421,519220552,983543293
