b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
62919,77589,68856,74384,266172,354192,521298,879403,1305251,3905943,6828049,12326655,25261840,34306520
63985,77735,68776,87697,274674,362278,855436,787094,3335639,3168355,6926360,13291094,34255733,42459975
63780,78828,66377,72668,252319,322772,497547,815611,1106356,3416864,7434354,13554906,22675289,43016096
63712,75459,68575,77397,262172,317342,504328,806058,1444371,3854204,6867653,13272507,22665463,42984203
72395,78403,66952,75484,232967,334312,530544,804298,3026195,3779501,6855804,14550280,22699477,42588197
89591,78078,67380,83735,222653,442625,570219,1595667,1479852,3763155,9408516,24304139,23645147,42749567
84198,77008,66481,80042,258084,344108,956104,795379,1356640,3285419,14758462,25674145,23558270,42173024
84591,84712,67882,82227,262582,345908,511707,796199,2955144,3848749,7602353,21950753,25504146,42561416
64597,75002,65892,83519,256655,353994,567814,1954187,1006201,3816742,7548461,13137069,25564529,41999657
61142,77579,67629,80403,212407,343470,875620,831163,1368640,3773092,7192626,12906114,25441471,34329864
61028,74492,68528,76949,249994,356105,502769,820311,3049838,3298628,7713292,12507219,25375462,42428034
60603,76243,67506,79559,269126,353520,575707,1965487,1307373,3293855,6622285,13283039,25204128,42868545
59908,75731,65993,82906,278996,366146,818973,786278,1382027,3388241,7502486,12565136,26602466,42659298
61569,74826,68553,80772,255309,347324,510604,787285,2853680,3558831,7732395,12425073,25262811,42615489
61559,72317,68406,83404,275470,384453,551478,1964200,1150894,3872670,7544970,13914354,25271867,42368068
59602,76225,66703,83461,248283,374430,887333,776414,1277698,3863945,7422253,13599645,25075289,42812362
59836,74424,67904,74376,254049,461268,527122,782001,2822414,3416437,7782718,13711572,24753368,41998804
61456,74318,66774,73875,291819,387868,510213,1959217,1145236,3369135,7064285,13006234,23597186,42349933
58520,74743,66903,75744,301699,352223,858318,890204,1412631,3593177,6812793,12611429,29987379,34349738
57315,78013,72383,78909,231473,346101,535250,764165,2813695,3560555,7388383,13599526,22590627,42585283
58150,75905,63697,78138,128341,330047,526018,790124,1133667,4434709,7321946,12542730,24820738,42820892
58259,73878,63678,79503,118437,328309,542814,740196,1342863,4316900,7410180,12459346,24842507,41624820
57625,72060,69372,75942,123436,353511,423663,874643,2884283,4372555,6885695,13837418,24448593,42766550
57137,72657,64703,76437,261423,350328,697108,774849,1120967,4343570,7060122,12889413,24589515,44025536
56980,71479,63101,84490,122252,345854,453218,831528,1525097,3493826,7108911,12307327,24579214,45231337
58815,72672,66678,88455,123603,332762,589234,900224,2803439,3440660,7378170,12387213,24850532,42235217
57930,74465,63527,84293,219966,366629,454319,898684,1363105,3402288,7622698,13768750,24893477,43461943
57318,71896,63479,77455,122195,324921,460391,828853,1509379,3966579,7586842,13886854,22557483,42490799
82448,71484,64490,76049,134886,340052,675458,846740,2350850,3885578,19170132,13818542,22760086,45040863
77025,71341,62979,82650,124029,336991,437325,799745,2450426,4011034,7351074,12568722,22707638,42766272
92215,70351,65369,76299,133472,307458,468582,790263,1493182,4326013,7749685,12801553,22833789,42026294
60439,70582,64412,73588,132009,313983,685170,640642,2868460,4334209,7234332,13590321,23396577,42427773
57887,70599,66610,73098,230016,366722,488402,778658,1330701,3900470,6947972,12667366,23000910,42784535
56876,77184,65143,80960,156108,353915,466374,635975,1409092,3800363,7695742,12673782,24728154,42042347
56978,73096,65010,74635,146507,348342,699266,870548,2759788,4147927,7694513,13092281,24564536,42989254
56343,71835,64577,73493,147453,350078,459276,747230,1356320,3508494,7637429,12460733,24628456,42472892
56129,71719,65080,75680,148648,353044,445758,5449625,1173805,3434959,7419939,14937966,24595746,45918208
56504,71270,65703,73908,147730,339964,428673,777895,1154721,3980995,7455600,13921323,22443535,44536727
54804,68846,65387,93316,141597,298423,469192,1888756,1407499,3282512,7382879,13970505,22530843,42768212
56889,70954,64387,95552,135085,302309,451128,821536,1150742,2169074,7271276,13694129,22481698,42203295
56829,70195,66669,73396,150208,428265,441882,787035,1240332,2977975,6679039,13361799,24799830,42358332
57631,70678,66576,73574,138028,346146,486019,1890915,1161942,3342740,7220344,12299766,24795430,42326143
56391,71984,63646,74613,139454,323872,459006,846926,1202786,3506220,7219822,12366969,24752662,42796526
56909,69831,63045,80493,130810,333050,432092,834438,1346204,3914123,7813320,12538734,24947433,42904318
