b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
7368,7184,6505,8149,13333,25645,41345,79623,174520,384527,792530,2246082,3185765,6611811
9458,7100,6484,8059,14434,27223,42300,79494,169711,384005,868657,1771461,3288772,6526389
9456,6864,6286,7908,12889,25592,41738,87456,219508,395307,935151,1762808,3344613,6450606
10189,6734,6504,8064,13446,27207,41533,78541,173821,386151,807658,1874439,3306241,6543994
6878,6740,6300,7979,13405,26009,41890,77521,191780,398691,875736,1594694,3233000,6446988
6751,6462,6293,8057,13613,25452,41847,79078,168120,381809,824911,1798061,3286542,6656387
6620,6667,6262,7998,13520,25197,41781,80147,174053,389655,937978,1816401,3297383,6520601
6382,6581,6466,7850,13107,29921,41583,80002,212262,389855,907627,1785673,3310291,6546007
6915,6546,6377,8999,13600,26489,42365,79836,173396,390842,819778,1781669,3319832,6503463
6949,6389,6589,7836,13861,26597,42151,79280,179919,391049,900959,1792801,3518151,6518929
6594,6417,6256,9003,13866,26523,42832,79031,168004,368920,932075,1847058,3547151,6440453
6607,6694,6353,9050,13258,25328,42529,78750,167412,388220,905604,1829194,3541947,6417943
6558,6260,6190,7956,13660,26000,41388,78975,169236,382194,827175,1815988,3506996,6425449
6658,6263,6284,7969,13938,26496,42884,81315,167964,382334,916619,1803482,3257042,6488908
6227,6222,6235,8078,13170,25484,42136,78684,189583,389760,837028,2129336,3236572,6461191
6214,6248,6213,8055,13008,26192,42936,79360,172976,385133,895022,1797261,3364135,6433583
6264,6155,6292,7989,12697,25403,42723,80352,170446,381984,835813,1782169,3232734,7496116
6354,5865,6205,7907,12569,24819,41488,80142,179166,399480,835274,1799448,3280526,6418231
6276,6003,6331,7942,12559,26750,42157,82839,170197,386576,836668,1792513,3197904,6434980
6366,6068,6205,8014,12796,27759,51502,82261,232346,380833,890849,1818470,3234022,6468140
6218,6282,6320,9147,16592,32307,42061,79435,169257,827727,828671,1795668,3310876,6423597
6484,6421,6700,11975,12752,27142,41626,79892,166630,381716,912116,1709880,3298918,6027475
6075,6509,6453,9050,12784,28438,41660,94914,168392,367250,909503,1832732,3331786,6413827
7385,6453,6442,7897,12866,31471,42434,85854,462458,379892,909302,1823651,3341149,6431350
