b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
20384,15852,12259,13805,26417,44118,30810,33013,32671,43489,39935,111699,41304,44773
20431,15847,12513,13643,28025,39927,31943,32609,40328,43859,54907,48774,38107,39086
20496,15911,12227,13527,28078,39163,32425,32762,43901,43693,50559,46765,45487,46337
20166,16365,12711,13617,27021,39045,31739,33011,36101,44034,46876,43413,69994,82903
20202,15629,12870,12828,25792,38811,31293,33054,42282,45637,46349,43372,44482,38516
20522,15460,12534,13761,26239,39680,29940,33693,39511,43478,47636,47607,56659,37197
19987,15733,13085,13960,25536,39322,33081,37174,52524,43733,47285,46506,43111,37243
19770,15552,12429,12507,25611,38148,32045,32647,41519,45441,50716,48398,43603,41698
28953,15712,12546,12816,27691,41224,31807,33603,39642,43890,52906,44297,44036,36829
18689,15177,12506,12705,24066,39824,34112,37471,41468,44698,46144,64761,42704,45641
19346,15228,12565,12363,22244,40614,32234,34379,45923,45062,47285,39975,49584,39967
19366,15430,12691,12230,19264,36900,32743,34025,40626,45015,80523,38650,45507,68344
19577,14870,12542,12380,14635,34744,34063,34014,38799,45639,49203,81686,40830,51973
19034,14867,12747,12153,15518,38926,31279,33930,41328,43462,45600,37786,44024,43002
19340,14943,12938,12512,14695,38890,31061,29908,40376,45369,47636,37756,43790,36021
18813,14725,12619,13467,15056,39403,32903,33173,34056,56970,44051,35924,37583,49559
18882,14472,12619,13312,16904,39322,31944,34570,37309,39142,45709,84269,37174,52722
19190,15159,13197,14151,14948,40300,32531,33578,34361,40348,47669,42330,49627,44859
18936,15164,13126,12631,14630,39151,34223,39178,63460,39895,51311,41156,80150,53049
26211,15291,13139,12244,13450,39837,32754,34640,37704,37553,45675,39689,43702,82486
37346,14931,12674,12541,13017,39631,31265,38950,36991,39050,46017,36779,40307,39382
25757,15120,12817,12400,13119,40514,33386,32944,32646,38337,46374,36375,39627,42932
32671,14894,12763,12425,12621,39454,31067,58211,35589,37801,45047,37787,46822,37977
18968,14783,12903,12769,13564,42165,32181,37483,33396,37816,43934,78907,42824,50522
18403,14368,12745,13444,12339,40358,52697,57198,34467,37071,47218,80998,41376,43008
18289,14525,13188,12030,13369,38920,32612,208222,36772,39042,45651,37762,48207,36894
18002,14280,12725,12291,12221,40853,33871,32176,63815,38527,45169,38694,81747,45724
18050,14473,12860,12282,12446,40848,33386,42818,57444,38484,46114,43823,40721,73339
18024,14239,12773,12455,12247,38847,32461,36927,37380,38620,47492,46421,39107,37238
18707,14188,12650,14045,13109,30444,31568,34675,55517,38748,46528,48216,37203,44080
18563,14083,12544,12553,12225,32793,32822,33260,34943,38036,49065,45272,37948,38510
18475,14029,13257,12350,12525,35140,33074,32591,35355,37078,45911,50069,53214,37952
18296,14521,12478,12289,13870,39098,32769,30549,32567,37047,45947,43819,42347,42541
18575,14255,12790,12202,12991,39221,31995,32819,34022,49847,47194,41901,47843,44290
18183,14301,12626,12236,12766,37399,33303,31864,33117,38081,46319,42487,41742,42136
17417,14400,12721,12119,13391,37163,31711,32602,35997,39381,48779,43362,44318,38402
17611,14197,12479,12383,12808,32293,32124,33780,35701,37311,45767,47829,42785,39085
17350,13818,12515,12551,18386,40656,30531,33859,34483,49987,46814,47800,44057,42488
17650,13961,12420,12934,20633,40823,31381,31049,35956,38534,45047,47489,43464,48072
17626,13536,12559,12867,20865,40683,33067,32950,35260,38983,54751,109849,44528,45027
18156,13761,12544,13962,23073,39857,33164,33043,33356,40096,47737,46317,52390,55290
17992,13845,12862,12978,24290,41832,32632,32585,34777,38819,44992,47308,93004,64284
23941,14128,12655,13292,24324,39250,33129,32878,34368,40237,39064,43888,42114,37826
24391,13654,12901,13418,25831,40091,31825,33820,41701,38488,38887,59838,43943,36284
41711,13748,12529,13257,25876,40835,37619,32022,35211,37133,40166,54449,46730,36400
18477,13396,12575,14603,27525,40642,34218,32839,40268,38884,38706,44467,42445,42216
17973,13589,12520,13253,26246,41938,49442,32692,58281,38110,47615,47874,42273,42639
17905,13361,14744,16155,30803,38682,31700,41963,51506,37716,46645,44442,45339,47426
17624,13690,14521,14977,26313,40527,31214,34011,40761,36652,38976,51033,80505,81947
17316,14106,14221,14365,29967,39106,32851,33918,51696,38168,40682,43507,46573,35052
17327,13927,14483,13413,29465,37423,33922,32452,44301,38667,39176,48206,42227,36027
17468,13208,14693,12758,30137,36150,32258,33776,36416,37748,39100,41251,42784,35282
17190,13519,12015,13399,31149,37168,32109,32514,40115,37658,46369,47186,43646,36088
17064,13785,11559,14039,30425,39015,33847,32264,38686,38865,47435,47800,57919,42367
17210,13521,12908,13222,31581,38499,31980,32044,63975,36491,47366,47061,43475,278172
17323,13639,12050,12675,31074,37610,32532,33197,44369,39251,49028,51291,67301,38555
17088,13957,11818,12613,30809,32671,32185,30812,35093,38602,45341,43501,44038,45024
16803,13468,13184,14127,30683,33625,32341,40663,40743,40514,45373,83904,45614,40385
17837,13876,12640,13735,31160,31982,33276,32393,35303,39402,47910,45091,45597,43370
27015,13411,11582,13151,31637,32257,36175,32866,36008,38543,46215,43501,47185,38045
16894,13733,11787,14500,31986,37154,32137,32412,34335,37965,45367,42838,43009,36339
16676,13556,11706,12510,31520,39213,31975,33361,34244,38218,43590,44351,44609,39421
16901,13876,11933,12909,31484,39280,33346,33520,34215,49653,47155,43499,41450,47449
16415,13657,12156,13715,31766,48783,31796,31966,35944,38824,44484,48382,42048,36385
16515,13714,12215,13471,57237,40818,33816,32035,40937,37005,43638,46142,80759,41623
21851,15141,11806,12896,29853,31609,33439,31944,34236,40197,45437,105250,46517,45300
22613,13827,18119,12756,29657,36037,31383,31805,34339,37150,40449,43438,42736,37818
22919,13801,12048,13851,22006,27029,32611,31279,37049,39012,38360,43937,43813,42235
17443,12912,11822,12749,18207,21794,33417,47411,36500,38594,38813,47571,43885,36391
16719,13889,12059,12489,17601,19823,31605,32240,39499,37914,40843,41603,42969,38018
17062,12347,12289,12080,18381,20309,32663,34185,34464,38360,39711,43993,61590,44038
16724,12360,17906,12482,20865,18326,33191,32814,35147,38400,40556,57979,52594,35989
16522,12226,11689,12485,14934,18508,31841,34084,45842,36728,43976,46815,79112,42231
16188,12630,11796,12638,14564,17270,33806,32687,34977,38139,62327,41874,41734,46199
16844,12402,12245,12702,14682,17867,32824,32397,33426,38162,46826,50098,41517,37859
16603,12693,11693,12484,14205,25507,43718,33278,37282,37743,49731,47405,45546,37836
16468,12497,11906,12548,14269,21415,34027,33528,33840,39364,248215,45527,47902,44893
16470,12552,11897,13716,12453,20345,33439,32183,34556,37746,42239,41896,43583,42623
15985,12513,11736,12027,14163,25069,31062,32420,34498,36763,69162,43558,43937,37572
15687,12413,11889,13015,13763,20416,32964,33427,34767,38715,50570,39275,54818,60205
15766,11927,12093,21791,14089,20690,33068,33130,37602,38660,42710,37999,73510,107745
15581,12380,11604,12262,13648,18390,31995,32432,36191,39242,44304,43859,240185,45400
15806,12328,12135,13511,13041,23305,33198,33124,35080,38307,44642,35849,35951,45245
16014,12109,11883,13588,12640,29303,32958,43396,35731,39233,43896,86389,45063,44490
15847,13053,18599,12612,13288,20407,30436,32624,35370,40815,42512,37445,42402,54382
15944,11846,11600,15421,13037,21824,33097,43001,33697,37503,40972,43105,58534,42791
16533,12021,11980,12530,12946,21498,32810,30745,35990,37710,44252,41936,43391,47090
16156,12016,12368,12086,12722,27286,33901,34257,34057,38566,44090,42064,53794,94229
22346,12215,12966,13949,14257,22219,31466,35687,33834,38116,42210,39170,79396,44863
21802,12010,11948,12333,12485,29867,33009,32946,33428,37085,42438,44919,42963,43908
18001,11934,11827,12603,13860,24935,42608,33901,34082,41226,44197,56952,79873,44415
17809,12963,11866,12177,14164,20287,31446,33133,35182,38071,42566,44421,43581,43810
16754,12408,11672,12267,13896,29429,32942,32689,34467,38145,42434,60861,282337,45772
16730,13032,12752,12201,14556,30530,33425,32914,33064,35735,41334,43925,44526,56874
16071,11631,11842,12935,20132,31348,32750,30829,36916,36728,44591,43940,44241,92197
16618,13111,11819,13143,22065,31182,34880,33255,35024,36799,44195,51712,50534,44613
16341,12135,11804,14237,22071,29415,33014,33070,35807,36481,42834,45248,82450,45363
