b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192
40817,54008,88251,111007,151210,157027,388963,722398,1866080,1645513
40205,55315,108976,110248,125700,156535,241785,576876,909449,9739291
40053,55261,113951,109182,144934,170329,216408,550397,1411046,1719809
39993,53693,110967,111942,116831,181445,182611,822493,1997338,2312423
40587,56806,89853,110625,119831,164315,235807,561789,916870,1597632
54640,55817,176244,109044,117413,900923,229894,601040,909191,2451113
39559,55016,97154,109559,127400,155020,3021893,879812,1589374,1775675
41272,54952,95941,120552,117962,160045,605376,613534,912716,1617059
46530,53568,94291,118727,132012,161864,179938,599632,993737,7119895
40657,52900,195091,171715,118365,162469,217128,790318,955240,1848699
39098,53834,96387,124752,120532,153297,246135,12408347,907254,3585519
40176,52442,94480,113927,118328,165692,230881,665551,1061156,1526229
41669,53310,115874,112088,123493,161965,249471,12695176,863870,3018324
40168,54136,91434,111314,117336,159378,190198,545637,1112182,1842086
39141,54054,94534,110886,117750,254287,179883,566956,826728,1616957
51723,108171,98638,114045,131901,158287,234409,568402,912517,1742326
54090,55526,108278,111660,118136,161833,240607,849847,985634,6641039
40816,56475,92208,99981,116359,175405,271435,566808,911510,2926276
38754,59649,100398,101944,350330,161425,175312,613757,1767946,1339213
39402,54867,87179,115124,118483,163364,194215,871445,863248,2802895
41169,58568,96017,109512,124190,180039,183079,557532,881988,1692864
40132,55741,95348,108980,135596,175362,181101,545250,927644,1443176
40941,55345,89444,108129,122182,154933,235833,816502,876768,1803330
39297,53871,94653,97383,117913,163771,239719,703993,1224673,1808697
40091,54676,181075,97493,123800,167408,184759,584320,847764,2264762
39936,53950,95467,98737,132847,166061,195197,831656,915955,1709436
39320,58250,96284,110227,136611,163873,254594,12312683,1038807,4704982
39597,54881,93458,108709,119511,157893,233334,8983612,870049,1856453
40178,57308,92962,127585,119467,152737,208546,12286659,1819107,1620934
39039,55788,89655,108938,120562,173342,166161,11882731,1545989,3142297
40305,58149,94161,96268,120746,149537,185566,502624,6573041,1763267
41627,56199,86815,100005,235101,153378,190177,519847,2018611,1600773
41559,52616,121549,104344,198117,174047,187640,16130478,911591,5044682
42328,56538,96022,553395,130148,163794,176318,760409,829602,1778167
40419,55662,95604,102550,548442,172943,231894,721149,1257948,2743960
39354,55825,94675,99687,163821,155847,411052,534093,833350,1622544
50318,53893,87271,100412,133789,152017,398947,12342856,1304725,2128551
40672,56082,99770,111731,127367,155551,182225,518881,1813585,2030037
40895,66045,121912,130142,151652,164912,176022,2580864,832919,2930954
43383,55561,91785,113313,126075,156718,226202,13590753,938301,4271137
40163,54268,92010,1998218,143124,159583,208317,568513,826751,1719751
41380,53314,91443,111419,135033,165939,173192,1216813,1241067,3473848
47736,52695,86738,99404,146246,156526,261684,568784,839209,1594334
51400,53686,92772,207978,124999,156621,195037,12704540,861060,3050413
41528,54190,91402,130096,127891,160063,229907,511929,1000840,2316541
48231,53694,92441,123889,129024,176479,246344,592240,828445,1581819
40075,54279,92498,105662,230428,171883,1606736,4068278,1862232,2992188
41264,54284,190145,102341,189753,164277,181019,527434,962669,1864685
39856,54767,95905,203112,130150,158594,177248,781884,912340,1688182
41476,68024,98095,105113,138947,159905,178234,542962,1504376,1771844
42905,53134,96817,98854,163647,164867,230711,1604031,864655,1849505
41558,53180,93076,101551,144800,173457,190646,502946,931487,1798131
40308,52949,114157,1635943,148095,171068,271538,533648,905619,1606871
40287,51921,88681,104121,127299,164433,175653,796210,882894,3143737
39841,56302,103871,104418,161983,157679,180978,532318,962223,1732547
45916,52963,93120,149026,222950,161579,170091,501126,825797,1620868
39208,58325,91086,102599,129260,162441,170514,565492,861234,1784505
38651,53707,94824,101714,142061,157743,239708,581464,1868069,1902261
41792,54198,94222,102654,143058,160416,925619,749208,793834,3120258
39203,54500,106081,101485,126070,165120,181304,546814,892690,1472107
52320,56704,93443,98131,528396,160100,180299,523824,915308,2487906
42392,118376,92171,1275704,130848,175393,176495,585508,12300495,1702342
39976,52567,94323,98110,147340,158506,182368,567002,2056282,1507224
39973,56171,91677,98396,128650,156718,177183,12198803,865516,1804676
40146,54991,103526,96009,127371,162011,179120,7357488,3363825,1778187
44236,55298,110511,99149,128014,155385,259489,573395,1965342,1707751
39460,53992,86860,222542,133515,160317,252955,536853,828194,1623432
51001,53633,140324,101112,135139,175287,246421,538054,908568,3013915
39538,55150,88881,101239,128182,188107,188741,1693512,854299,1690469
40689,72964,108851,101274,127576,216113,255346,830445,897723,1588328
41529,55582,101672,101659,128293,192810,2489962,531096,958960,5516715
39511,55981,94485,118113,126936,218100,248687,554095,932392,1796180
39062,55241,92942,101553,129058,414880,256311,12245232,2001061,4860825
41746,55859,114296,1904035,142654,214243,178963,518566,863475,1611029
44502,55029,92749,100907,125351,195668,181920,545810,1017891,3669326
38437,60444,93563,96838,136620,205175,206744,828624,2008939,3047256
39687,67871,101843,174783,127616,206679,259040,599230,976325,2948633
