b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192
3554,3997,4389,5161,7182,12058,34378,78000,139809,224744
3512,3938,6797,5445,7760,11579,44072,86653,112149,212734
3512,3954,4906,5246,7955,11665,19891,63969,86311,171372
3700,4059,4489,14703,6985,10838,19042,99946,140276,213845
3544,3952,15499,6328,8381,29691,20268,47178,122953,197648
3814,3864,4756,5201,6986,11352,33229,99279,104354,194120
3627,3869,4475,5619,7954,11175,46303,97728,131314,181478
3607,4263,4794,5309,19157,23507,20392,75936,80232,200316
3530,4027,4592,5370,7325,10951,19270,50830,138044,193958
3630,4794,5067,5424,7801,11350,21112,94383,81116,180191
3846,4114,16499,6299,15335,14652,48907,35655,97267,267603
4039,5623,4549,5186,8608,11182,31808,51853,115738,338941
4113,4003,4502,5264,7266,11620,20212,42039,81269,227388
3611,4285,13233,22045,7132,11117,18362,104349,136658,174667
3646,3940,4752,16770,9073,11173,20487,45686,86707,199507
3758,3938,4829,5387,7185,11330,19382,50234,84181,197144
3726,4087,4488,5235,7910,10966,20880,47358,124042,178905
3926,4082,4386,5282,7301,11474,38288,38551,85774,199461
3655,3962,4571,5665,7228,11158,39810,55592,124109,224511
3557,4055,15204,5386,7158,11740,19776,79893,79805,191417
3675,3832,4469,5297,7250,11030,20587,41145,81182,171749
3716,4053,4949,5360,8397,12059,19805,43964,136019,209868
3683,4588,4453,5108,7494,11583,20163,54081,78633,192093
3819,3876,4510,5295,7708,11478,18614,70226,80241,176960
3724,11859,4837,5924,7289,11363,19876,107176,156250,203206
3627,3930,4469,5272,8521,10780,19896,48176,126934,202447
3946,3842,4482,5329,7987,12176,20483,53413,135199,163379
3592,3910,4430,14356,9073,11279,19717,48478,91248,200493
3610,4053,4399,5442,10365,10692,31805,46697,90945,203907
3627,3819,16877,5216,17660,12030,29209,99740,139979,202409
3411,3731,4529,5397,20056,23513,36966,47411,101100,166811
3613,3736,4467,5222,8723,11613,21398,42669,138051,193110
3721,4327,4714,5454,8742,11156,22329,77959,85024,202807
4125,20140,12698,6456,24194,23395,18894,45774,100932,180152
3824,4177,4523,16987,9468,11022,18429,77418,140226,196592
3772,3979,4652,5510,11512,10800,19637,75975,92261,197282
3696,3994,4468,8532,16629,22452,20386,42410,121379,194157
3723,4024,4480,5341,7625,11572,20645,44010,88818,169853
3708,4122,4391,17898,7545,12488,19341,124701,86346,206888
3944,3837,4379,5487,7495,11566,36224,63937,136892,196898
3730,4002,5034,6433,10727,11071,34089,89615,109537,168710
3650,3777,4425,21085,15717,11263,35767,48338,104665,193689
3603,4053,15335,5236,7453,11275,21557,43882,120505,200417
3724,14338,4454,18834,7044,12147,19103,47577,100032,179986
3673,4200,4373,5511,7132,10969,19123,44906,132929,215079
3624,3798,4311,5852,11108,11293,20029,105847,83656,492441
3616,4016,4279,11870,82895,11104,18965,45885,95429,203937
3706,4012,4494,5061,7793,11102,19845,48429,122880,172726
3672,3788,4464,7880,7493,11612,18162,44596,89010,204177
3714,4179,4321,26939,12360,11393,18576,50575,128779,199307
3558,4172,4706,13788,51091,10922,20001,92226,91263,173887
3622,3844,4508,6252,7666,11521,20095,78621,98797,199660
3665,3837,4470,5222,7520,11111,51008,47612,154983,195219
3602,3994,4588,24765,7811,12881,21250,45718,376840,208531
3627,3927,4242,5879,10752,11498,18604,45020,123014,170010
3795,4405,4700,5511,7162,10782,19396,66796,120017,200289
4222,12763,4378,5322,14036,11384,19110,90388,89272,195969
3831,4092,4412,7496,7188,11778,20131,45917,129662,185791
3840,3913,4926,5259,7177,11352,18260,66166,78442,214072
3744,4015,4388,5439,10198,11448,19348,44010,99011,218482
3584,4187,5124,5246,7122,22839,19544,51799,127721,204169
3654,4268,4364,16858,7540,11285,18621,95983,81058,171896
3553,4016,4255,5458,7330,11085,21103,43944,140072,206442
3653,4049,4401,6090,7343,23989,18639,37607,81430,207370
3836,4100,4270,5744,10463,11200,36194,38671,82332,166903
3565,4036,4349,5214,7505,11424,37351,39582,143288,203535
3548,3933,16458,5223,7405,11303,23421,72108,81096,209484
3651,3895,4550,22650,7373,11099,19911,79994,132357,203502
3564,3832,4338,5329,7149,14400,19665,54203,87999,179257
3576,3991,4370,8492,10102,11084,19302,38973,142661,202401
3524,4253,4383,5116,7568,11197,19224,40181,83067,204712
3524,3886,4446,13422,20458,11357,19447,86297,129092,175489
3692,3887,4544,6604,7275,11313,19781,40732,82678,324590
3688,3967,4242,5445,6957,11102,18417,39453,130371,196762
3461,4526,7192,5297,10606,11093,23364,38921,127259,211869
3683,3922,4414,7311,7333,13735,19821,89807,89175,183279
3694,3854,4570,5246,7057,10931,37738,39215,136217,226672
3625,3748,4572,5843,7238,10822,36196,55477,137304,225136
3499,19896,4864,5554,15681,22143,30858,77571,85228,169030
4154,4012,5219,5376,10434,12105,20938,40508,143485,197018
3575,4109,4470,5397,7332,11251,20786,101662,135241,192910
3655,3934,4426,5468,7187,11126,18728,41513,90507,184370
3782,3949,11981,6103,7992,55949,21017,43843,160083,171125
3667,4016,4297,5374,7334,13264,18187,93572,132291,214640
3652,3863,4514,5354,10344,11701,22466,42821,85564,196428
3583,3948,4475,5523,7477,37813,34343,97173,136397,176292
3857,3869,4472,5474,17950,25244,41141,44990,132839,202736
3618,3826,4293,5308,7303,11638,39670,76757,114656,203409
3671,4145,4595,5258,7426,11554,40486,40570,82879,169201
3584,4221,4437,5962,9899,35008,21628,91829,142987,194995
3532,3831,4326,5152,7328,23661,19795,42748,85519,201163
3683,3781,17238,5185,7831,11137,19446,93060,136743,202060
3607,3834,4629,5964,7297,11448,20180,41626,80070,184765
3527,3958,4437,5406,27641,10854,18985,41549,134849,197530
3612,15880,4614,5204,9829,11094,46781,93947,80865,217619
3559,3989,4292,5309,7434,11230,66035,43104,82715,187616
3629,3935,4566,5347,7268,22178,22438,41153,131600,208496
3668,3960,4471,5284,7258,22978,23808,44568,83174,203367
3598,4039,4507,5013,9193,22073,21280,96680,128966,197347
3575,3718,4761,5237,7416,11410,21172,45410,85323,174732
3641,4015,4512,5637,7381,10482,19266,45463,84905,202204
3891,4525,4671,5602,7379,10719,21572,41127,133976,211593
4477,4131,4631,6188,7247,11520,21928,43302,85647,170064
3927,3976,4569,5280,8760,10755,22752,64972,134841,213718
3803,3954,18801,5484,7533,12289,61842,83093,83418,201739
3725,4040,4547,5353,7218,10796,37774,39117,82142,193083
3671,4131,4521,5430,7136,23982,44116,38219,142970,189245
3532,4024,4500,5466,7303,33735,27811,38832,83733,192727
3671,3861,4386,5209,7764,11138,25308,44333,112620,199960
3638,3883,4367,5286,8054,11539,23896,99087,120486,172207
3576,3925,6461,5286,7539,15092,27023,48255,81994,206155
3576,3844,4438,5251,7204,11337,22754,43413,130302,211167
3690,6662,4420,6426,7124,11048,25821,47879,88299,172373
3702,3970,4445,5205,8439,10554,27193,45475,85148,203674
3648,4056,4466,5320,7393,11154,148482,88789,135499,219514
3457,3909,4291,5427,7103,11156,32321,41566,70718,201724
3531,3865,15177,5092,7512,11535,23075,42855,132270,168774
