FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096,FP32 eager b8192,FP32 eager b16384,FP32 eager b32768,FP32 eager b65536,FP32 eager b131072,FP32 eager b262144,FP32 eager b524288,FP32 eager b1048576
298363,320272,298543,418637,533659,897924,4192365,9763282,16363890,24996494,45808326,396678264,170381925,334267107,2572161188,1322178550,2668318601
300142,303134,304591,415946,501420,983264,5417898,10659159,17118578,27985432,47371089,404619423,173689795,337125365,2514595800,1325474445,2649903447
300777,356898,303207,523783,530057,867644,4201912,10831934,17080664,24674241,45468553,443695264,170450503,335632777,2502973249,1433063829,2773289796
287609,324727,300263,415710,489791,940722,5464050,10269495,17109070,27412004,47013918,431686662,174171738,337146167,2574401693,1451134000,2874198236
291348,320821,318449,428647,530251,914979,4005129,9785613,16446437,24761390,45655265,417597784,170704924,335612387,2510256706,1340761601,2822559200
311105,328817,297625,396740,481103,972282,4219649,9708937,17738888,27311880,47258650,441327046,173810807,336020290,2641570057,1328009104,2655160955
275890,330668,314138,420603,518294,970800,5363077,9978234,16514139,25060224,45435398,448245520,169733487,337180630,2762177409,1327693542,2684429440
302085,321173,322318,404513,470202,961466,4238651,9625789,16740671,27249542,47624353,434784583,177021600,334939202,3750004898,1331508530,2660298706
309233,355796,332460,425357,536548,922515,3579149,9663752,16300627,25111855,45703607,403889885,194307032,336777707,2959790974,1329759134,2654340898
279926,292781,324723,410173,482507,961796,5296599,9677495,16856347,27923739,47215440,401100701,170432008,336803655,3727168119,1355634240,2668502482
285572,342803,316007,410045,520376,872729,4019322,9687495,16453938,25150419,45938359,443701754,170448339,337845308,2571861248,1325967002,2683000958
289066,342120,318330,427485,460926,944289,5541469,9848312,17610788,27933999,47383813,442028007,173679628,337633909,2661143960,1327881367,2657551491
287696,354553,293080,411290,527953,939034,5439234,9823426,16804267,25409613,45457876,462971118,170111102,364299678,2619034629,1331738071,2681295673
280886,305654,308190,422563,501017,926701,4924079,9689224,17697756,28057578,47019420,403660339,173571082,384007746,2567194501,1346872348,2651337464
306411,343024,297407,417134,522507,940851,5449324,9586828,16497076,25362868,49223186,410036668,169175033,373913522,2590216263,1331826616,2646814034
303415,323113,288221,397027,474468,974483,3587876,9660798,17309575,28179634,47013465,409310693,173623813,387217220,2568163814,1334715201,2653427546
291530,310287,302643,428351,509323,869100,5642107,9781146,16474809,25042347,45478609,421235026,172754221,363762438,2681007550,1331896307,2643545326
267040,339921,304236,413452,474306,953629,4166206,9992875,17439514,27907763,47674001,408101051,170829788,375723683,2583318361,1330855394,2651556227
284538,295380,296044,416148,514005,939885,3503390,9709485,16814540,25160614,45644302,430156785,169776948,393212507,2586070161,1328551889,2641872269
296220,346887,315264,423273,472831,987498,5503470,9803387,17436471,27958100,47296784,432244988,170518054,348850679,2570268930,1326356252,2647152676
265210,321724,306531,397759,511083,966005,4035458,9878724,16785729,25452529,45820847,443681176,169625352,334937606,2611022223,1326911718,2637162874
306674,323362,336138,426748,478058,949386,5402443,9896580,16558311,28215220,47364879,433304089,173955733,337899693,2517326798,1352390522,2652736363
269176,321432,290067,413178,516985,905380,4286021,9806044,16653195,24908312,45494998,434588528,170282509,335076327,2608576303,1396162529,2640909812
279879,327897,307581,434201,474381,1357161,5574018,9787532,17399505,28029707,46881625,437971731,173979462,337511067,2552296604,1358284434,2650336230
305715,303653,306406,429823,522413,1144017,4219987,9571633,16725615,25164896,45502419,432118012,169437803,335063632,2555863676,1447379172,2644540369
273351,328716,296590,425378,479576,1218868,5457316,9711195,17548158,28068473,46952004,442209058,170513069,338264574,2621597619,1403480770,2830500349
285166,324945,304287,444009,528159,1180521,4086627,9753422,16779000,25136991,45203352,437922827,170566693,333133496,2588106874,1329255969,2653562660
294705,314815,311060,415991,479353,1215621,5342842,9774766,17338434,28023682,47090799,439858332,173565654,336771832,2553674979,1332118357,2660632478
304643,336386,309848,416514,532133,1148282,4058621,9870519,16988515,25045802,45296138,445917194,169663875,339942628,2609174228,1325003072,2652157955
292807,318173,295836,430700,465268,1120487,5393405,9631561,17786482,27771464,47059892,440387572,171918342,339654571,2659098808,1331450039,2652373269
288182,330444,303019,418242,523958,1168539,5269892,9824626,16928055,24951331,45667853,403950586,170662438,335388338,2662737734,1352247585,2646621866
284827,307068,302032,414690,465911,1131703,3635887,9675469,17876762,27881272,47323347,425681810,170176855,336924214,2648616828,1332629003,2672579061
276137,341110,308277,429628,525706,1078988,5321803,9726255,16878882,25010327,45582742,450108209,169966442,336366033,2628625187,1328459160,2704420002
272657,317572,318591,439404,489513,1049803,3983871,10192475,17887319,27914136,48116207,451338470,170017497,337441727,2610458008,1340383453,2655096834
273736,316489,294876,438997,529585,1053639,5458857,9866435,16969413,25167178,45755183,436294525,169700587,335985468,2615094365,1331099253,2753649930
301951,331762,303958,431288,464476,993976,4086260,10000671,17901121,28212521,47292520,429238654,169987583,335815153,2594108070,1329242017,2756534841
300779,333571,296626,432742,534610,1009346,3497605,9766799,17207851,25436358,45556344,431244713,175527784,339568182,2630268072,1330955319,2648572764
283169,315581,304389,410528,531916,1145271,5587499,10331796,17864695,28178905,47326993,438966598,170362650,335972798,2614327573,1327979775,2657481602
288237,296896,321441,424227,576206,1081170,4108046,9891153,16998802,25090078,45468327,443186175,169502987,333768238,2704592695,1329724566,2649173828
287265,342767,296681,422050,530725,1010645,5483114,10278223,18012071,28088855,47151882,436238836,175364299,336428806,2591573912,1334991803,2656880828
258605,307988,296266,413214,565955,1036526,4037597,9968350,17068654,25366581,45400399,443790991,170318652,335713877,2621022803,1329872998,2767065739
302031,326476,305122,443813,518672,1024422,5413270,9501484,17791381,27886498,46995220,443882725,170870620,335665119,2588551740,1329659950,2827132088
296150,294901,297147,491153,556734,1023752,5207165,10076387,17041249,25129735,45759058,430653849,198978463,334923356,2704337622,1327346100,2652899203
271398,295321,309322,7005186,525959,1006231,3645345,9623363,17656467,28044383,47084039,449698705,173896699,337065068,2581465051,1333064146,2645518515
288277,327345,292458,1012846,569024,1057968,5567318,10002419,16488832,25148869,45408746,479294265,173561561,336553590,2788764080,1329213638,2642595433
278736,342619,297769,1301899,552991,948262,3968140,9943794,17549024,27980392,47077497,407336250,170547918,336511197,2616725597,1332024301,2648492633
285424,317590,294687,431842,584461,957423,5276819,10183226,16655343,25195526,45683921,413000849,173287652,335901284,2657584216,1327401662,2645478411
290041,348642,312800,602309,515589,923131,3925457,10250041,17719987,27969858,47152123,407867531,173101387,336699563,2613306710,1332997333,2662007451
291011,339303,311746,426957,589528,945479,5430329,9953874,16025731,24994180,45377544,411510781,170022907,338653960,2627673844,1328518823,2641626937
312523,296666,308822,411894,523061,979590,4058334,9882720,17151074,27733501,48079404,412227651,173542474,335557060,2587005278,1330984082,2653409200
292337,329669,307018,410342,567718,977719,3563438,9665913,16247148,25370884,45250187,413527416,173298071,336386192,2643497289,1326871245,2639188221
270103,326313,327683,423617,531173,1004370,5394980,9841773,16875963,27905862,47198996,407638611,170402163,336796284,2648229207,1332592753,2650462049
265583,315644,300872,421302,574583,966219,4056678,9838248,16256403,25250237,45686972,407807238,173963685,336703483,2625391408,1327470630,2642057202
271542,349005,322086,431328,514997,956546,5509224,9878126,17222738,27995420,47151035,405859721,192681958,335749990,2615680464,1332810752,2655550602
298098,342580,334820,422999,655054,991714,5199702,9924721,16246528,25450013,45394347,411957884,169822229,334788159,2650320634,1327649928,2644086347
