b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192
8401,15861,19151,20879,22280,32574,53734,80848,118623,191312
8492,10568,30000,21026,23995,53554,38616,68979,122905,198701
8896,10080,32156,22186,23486,32751,45147,85338,125505,202033
8516,10124,20903,23852,20573,34055,40216,68193,125739,186030
8322,10456,19881,23395,22476,34376,41565,74912,135476,194620
8995,10257,24725,22048,22058,37738,45560,67574,126100,208784
8447,10362,18224,21108,21278,30603,37904,11855067,117111,220461
8581,10110,19324,21867,22648,29804,46036,73996,155072,203939
9192,10791,22125,22993,23800,35450,38212,7995804,129946,232776
8905,10909,21457,22394,21550,34019,48469,66487,127813,214428
8884,13136,20417,22601,21548,43736,54682,73240,122299,187156
8673,18302,20822,22046,25905,29028,44842,62941,134411,211057
8804,11116,19507,24198,22233,29903,40753,64344,122786,371808
9910,11218,21963,20986,21648,33347,41448,64503,119854,205428
9554,10302,25128,24339,28691,33209,45712,69981,129759,208104
9070,10550,19713,28077,24332,34744,44690,66013,133596,221908
9510,10387,22015,21265,24443,31525,37608,69508,113966,213103
9111,10215,21481,23169,22763,32225,37174,60384,127181,223568
9025,10694,26940,22438,22473,32596,38307,63308,127193,216431
9032,10439,21396,21403,23544,29562,54677,62061,121320,210150
9119,10445,23970,22452,23323,47727,39121,66398,163531,220865
8914,10151,22568,27330,22407,28173,37658,58942,113174,198752
9103,10321,21516,22009,23676,37509,47573,2287637,122833,206718
8663,10103,21168,23093,21276,28423,41500,70898,149008,213975
8492,10636,19961,20155,22096,27896,45748,7943348,109004,217708
8948,10410,19230,19516,23055,33374,49544,7767071,107929,211087
8748,10216,23483,19705,21358,27376,38477,67068,111369,209253
8472,11144,21301,22376,28394,32984,47313,63183,125914,219226
9203,10515,20247,24020,41167,28617,38868,4074393,121499,209897
8982,10429,21672,21822,24644,35461,35285,69303,120707,217274
8638,10536,21797,21972,64022,36089,43883,72302,131595,202136
8791,10654,21766,19689,32644,31861,62058,60470,119595,216251
8580,10586,20473,18598,25298,31167,46723,8057611,120128,228665
8518,10740,20504,21382,23009,29319,38779,62837,109455,203732
8398,11052,22854,23022,23792,42529,40722,65425,118507,198700
10302,10424,19472,21624,20442,31153,38900,7906886,155693,222286
9458,10865,23036,42656,25034,28591,45993,69602,118293,212792
8837,10640,20264,20207,25699,40910,47890,66443,123066,206356
8801,10584,27946,23058,22684,27667,37570,63962,119347,212201
8752,10005,21817,25544,21837,29868,47910,8241008,146546,232022
8945,9950,21134,22976,21523,28480,47579,74516,204892,215572
9132,10140,23332,18800,25438,35761,40886,73177,157277,213728
8462,10197,20084,25670,48649,34391,51195,63269,132283,198405
8798,9972,23744,20276,23230,29294,38277,63912,139227,216315
9142,15205,20698,27232,21617,34505,32457,63861,125723,208039
