b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192
17557,17615,17599,17700,17230,19750,23427,31861,30984,29598
17576,17719,21639,17384,17819,20386,23026,29384,31510,30590
17526,17890,17773,17569,17548,19809,21059,31950,34469,28494
17530,30382,17597,17988,17370,19633,21824,29100,29327,28965
17466,17878,17622,17653,17546,20027,23312,31822,31277,29549
17449,17827,17579,17514,17357,20599,24386,29396,32160,29642
17609,17785,17689,18011,17258,19164,22343,30086,29831,29685
17780,17780,17789,17614,17381,19231,21150,33296,32577,29642
27150,17893,18099,17677,18513,18671,21173,31308,44209,30060
17550,17992,17553,17486,17730,19104,23785,31547,32086,28860
17656,18039,18031,17535,17447,22193,24015,32731,30038,29321
17634,20619,20648,17702,17550,19474,23924,29661,34837,34550
17668,17726,17561,17556,17494,18946,20666,28512,30828,32152
17537,17808,17520,17514,25303,19164,20209,29837,30552,31219
17613,17802,18195,20330,19148,19240,22366,32723,32692,29747
17576,17921,17640,17797,17903,20422,22867,28646,29488,31421
17724,17785,17559,17446,17408,18978,20686,31573,30045,41284
17737,17886,17641,23648,17436,18964,20567,28968,29406,30369
17621,17788,17636,17415,17389,18981,22264,28510,31418,30155
17653,17925,17478,17536,17390,18721,21609,30572,32309,30420
17656,17967,17686,17516,17689,18776,20065,28817,29698,34716
17643,18085,17514,17484,17383,21278,20618,28981,30735,29956
17306,18040,17748,17658,17559,22146,25943,28894,32963,31730
17484,30957,17712,17907,17413,19120,20898,29877,29495,29261
17596,17993,17566,17539,17651,18924,23243,30238,30781,29780
17544,17898,17492,17620,25482,18734,21361,31052,31970,32412
17409,17961,17651,17408,17242,18214,20966,28974,31192,30631
17374,17874,17607,17984,24853,18805,31851,30012,32270,29379
17598,17904,17593,17706,23652,18570,21418,29003,29595,30753
17619,18010,18019,17689,17563,24115,21885,30146,31865,30152
17564,17678,20606,17625,32471,21324,21248,32971,31770,29835
17478,17866,17505,17679,22968,19368,24915,28591,29958,30443
17607,17954,17785,17734,20065,19694,28369,33453,31882,30979
17671,17936,17827,17680,19190,18737,20765,32784,30753,30678
17755,18929,17757,17905,20884,20563,20726,27904,30144,39916
17611,17730,17708,19764,18045,19712,19818,33569,32341,30119
17575,18031,17460,22556,27709,19005,24575,29438,30955,31235
17749,17948,17467,17757,18291,19993,24008,29397,32173,28943
17477,17800,17819,17644,18256,19004,21741,28344,30040,30569
17689,18084,17685,17677,17722,18829,23180,29829,30471,31540
17768,17846,17538,27117,17616,18289,24473,33777,31437,31711
17596,17868,18050,17739,18121,19705,21356,29207,30705,29307
17563,17810,17418,17620,18024,20270,24952,28492,36823,30275
17647,17907,17549,17699,18202,19135,22675,29275,29239,30363
17525,17758,17520,17553,17768,20167,20568,29741,29935,37220
17605,18060,17754,17541,18225,20369,22828,28946,30774,29925
17558,18125,17703,17627,18168,19196,20669,31907,30121,30256
