x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096,x86 inductor b8192,x86 inductor b16384,x86 inductor b32768,x86 inductor b65536,x86 inductor b131072,x86 inductor b262144
385286,436137,516228,547510,589205,926911,1262281,4637886,7478253,13187872,21072689,38352293,69602161,199012227,283382412
370093,436443,503980,530831,556316,945457,2174903,4369014,7764537,14101104,21214021,38629691,69857412,199051008,254717162
372923,423734,501646,530928,575368,1002110,1260838,4379828,7419024,19793906,21272239,38706490,69463755,197824682,298936320
382401,436178,502582,547854,576486,946004,1188846,4170114,7751909,21042827,21147832,38554336,69864236,216355249,283938333
373662,428836,517939,523935,564088,933865,1121540,4177785,6025528,20914662,21045989,38397794,69602118,208008479,286751107
428907,436006,506924,528153,576396,937904,1380034,4102303,7818800,22039449,21075332,39240673,69736054,138127986,276399693
407363,424104,498296,527410,552761,942770,2101146,4449046,7782931,20942979,21138737,38579831,71947645,171627221,345164386
381760,431643,490370,540346,590138,905473,1204176,4058456,6002306,21104917,21062917,38345530,70063715,141494977,306239329
372917,417636,482016,514386,589934,999620,1270323,4464542,7741363,20734744,21129623,38336029,69486524,196015932,316039117
382863,415604,492720,523784,580027,1025776,1215156,4209881,7616310,21072187,21118433,38343463,69744724,180763504,341014900
371235,411116,483353,543201,597174,902363,1262782,4205384,6180501,20853987,21113862,39709823,69711112,210552122,298697404
370209,404519,492226,528019,580035,936778,2116374,4137409,7728413,21033382,21276783,38666491,69724837,140769932,348667662
385265,410011,481941,552672,560601,941707,1261711,4077152,7718408,20942109,20963347,38350934,69556272,207479445,316833638
373215,420452,493765,533943,568485,960180,1224325,3865973,6024774,21215522,21149703,38211262,70023518,142335530,361863570
377399,414034,513361,523642,571955,966637,1070261,3996515,7778058,22670826,21005051,38247099,69252680,193168076,365785366
430063,423605,484053,512288,578410,955007,1326625,4292454,7738214,22252437,21163097,38753217,69874496,142073139,349507988
398830,428570,480002,522488,574649,910762,2099734,4239117,7888187,21070198,21113817,38503589,69411199,194567455,351009821
369452,412668,468123,540805,574977,926060,1148183,4271869,7708865,22785079,21148460,40261271,69997389,194943146,285801442
380980,412261,469801,525221,557273,935109,1127805,4484125,6033575,21012010,21138265,38225619,69395030,194478158,308920509
367703,426507,458563,519997,570823,952647,1032475,4466375,7518259,22805626,21015817,38225046,70298715,182085529,312072336
371817,430098,467544,519747,565572,886897,1227217,4297980,7715022,21720687,20993621,38716663,69697655,194677632,341054640
