SHIR FPGA b16,SHIR FPGA b32,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b1024,SHIR FPGA b2048,SHIR FPGA b4096,SHIR FPGA b8192
3438191363,3666386549,3469052779,4345774352,3520411056,3884685979,4434674239,1266397045547,7421986869,10561477952
13764359,26506860,48332850,102777805,206909820,397927400,793861613,1588320046,3170567136,6402828691
13512853,26264142,48102413,98369923,211564990,396420888,790795855,1584809835,3166153869,6410148640
13459028,26103899,47831217,103802903,197444310,397499079,790412682,1584608802,3165559822,6379892155
13424334,26130527,47784977,103157891,208254570,379970039,790942131,1613200983,3166196590,6421644046
13399132,25934888,47707349,100022554,206474034,378773320,795753072,1618029232,3169492263,6407422866
13415293,25926750,47751723,98331867,190142059,389848353,798269988,1582750108,3169033474,6396919104
13378550,25885919,47750378,98344184,205815038,390197642,796535214,1585324392,3162756288,6379685125
13336975,25870129,47792609,98335885,198963715,397287332,795329112,1584639158,3165353739,6379305968
13312865,25826440,47732793,102209287,205789890,391129092,792493282,1585674213,3175788600,6379667043
13313881,25774272,50286525,98317182,205809726,379129353,782103384,1584909043,3165792381,6328840826
13312620,25786402,53607404,102161897,205813827,378846226,794816821,1586090265,3179467883,6379314502
13281033,25773827,52964557,102093289,205813948,379068445,796522462,1617215223,3169255231,6393818403
13281797,25758996,49229057,98301860,200028634,381104423,795687765,1620638948,3166840492,6444320144
13281720,25768051,49838457,102239638,205751491,390274834,795688637,1620948780,3188676102,6328423497
13285899,25788877,47727281,98291867,205869523,395418915,795672822,1611484972,3174510679,6451606885
13255926,25764016,47737318,98251985,205822359,395217323,797069316,1592600795,3161678351,6408974183
13243034,25784644,47709602,99139817,205726252,395608293,795801061,1585392540,3205195260,6379925502
13227920,25746175,47751412,99142657,205759488,397571625,796233602,1611274594,3167304492,6397284496
13253135,25802389,51631868,99179644,197522948,395488916,795747298,1600478233,3170566881,6379696615
13215479,25761412,51747940,99104679,205698274,390177704,795462550,1614188176,3186267708,6378470104
13239854,25802157,52201984,99152725,205693144,379799737,796210362,1601972898,3174609364,6380489442
13230411,27359991,49949052,99123618,205725751,395468127,789742457,1608581497,3152501247,6450203010
13224841,26941386,51719556,103694548,207676791,378907272,795620671,1606794595,3173750408,6379281527
13221144,25821431,49774576,101149103,207835085,379033224,796184998,1585240205,3169818997,6378892200
13218285,25810589,49781050,103694681,207221812,380812074,795625512,1591139827,3097502851,6415340603
13218633,25052583,49778535,103680672,207014236,396520721,795154055,1591931630,3169272583,6328682723
13246985,25749112,49763394,103687216,190178789,395721663,795883534,1612174562,3168336292,6427583136
13270788,25743632,51072041,99131023,207126982,395295469,796342194,1590607030,3189749651,6371941321
13248328,25740810,51132629,103718799,207227201,390547957,795998421,1589440952,3169562276,6380473893
13287742,25060548,49724904,99103172,209555482,390244493,795654706,1583687212,3169714702,6379459005
13303267,25721401,49770361,103656947,191210236,394328119,796700625,1584023906,3031164174,6442274598
13250466,25717957,49788542,99140532,206177431,390209441,795985341,1584439254,3170127502,6440560942
13268127,25720056,49739164,103643070,205989574,378793106,798646110,1588567092,3115173483,6421859108
13230860,25693072,49718162,103646027,205914888,395600351,796744086,1584944680,3166156397,6406687864
13256662,25765239,51643973,103705016,189927371,395351445,796019559,1585440583,3187783781,6436613664
13220265,25715351,51615299,103665884,206129966,393133360,809371710,1584576043,3172160540,6379601031
13256867,25736604,51625627,103696004,206024810,379116251,797784756,1585574492,3169205029,6401705821
13255482,25702936,51620712,103697629,210053994,380968730,796526488,1589689176,3170011650,6393469655
13289137,25734965,51595402,103681069,208570947,395148857,817871092,1595224333,3172279523,6413311404
13184679,25725574,51626043,103678940,209628898,395522985,799648539,1592367042,3170349694,6372461480
13236299,25731404,51038624,103662025,205317106,392042441,795988293,1592362825,3176645743,6382070690
13231185,25724443,51668808,99144468,200331532,390176538,798600973,1607893395,3182080758,6379302558
14082586,25723324,51634282,103687936,208810558,391905312,796849699,1605107143,3169480219,6451516181
13900606,25721469,51595690,103718570,207684760,394547874,796019485,1601652137,3170286881,6380112982
13725599,25728102,49740646,103684265,206571557,395399701,798698807,1610317855,3166229418,6380531178
13936979,25707628,49819529,102384302,206219636,392423455,795999046,1595826362,3178388012,6403140192
13196866,25739753,49753196,102116873,206464284,395592272,795889299,1585898216,3164922085,6381130725
13228275,25771954,49687022,102117881,206967743,380940510,789865224,1572265431,3189664395,6380185991
13202299,25749014,51596524,98252265,208415230,396289825,796146304,1572043009,3164772216,6374307880
13221040,25719851,49704467,98224927,207465572,378993483,795903195,1585156033,3182727402,6381793509
13236061,25756750,51602458,102084611,206685356,378900360,795517525,1599753616,3168813176,6330106815
13258895,25757086,51715540,98189189,208616616,395645495,798398472,1596559939,3170082824,6379342264
13262952,25061799,49710008,102217140,210066689,396714891,796157864,1606253331,3168680316,6381105198
13211760,25728574,51631636,102132929,209501868,396293222,795761170,1585669132,3189174270,6391047980
13262111,25794714,51626450,102144565,206538404,395370017,796644961,1585086924,3169652308,6404859273
13264055,25726712,51573487,102115206,206114083,395612046,795991811,1591874069,3169668663,6379627298
13243212,25740404,49708044,102126114,206384357,379087445,795823774,1586875404,3169227437,6381258099
13189972,25712967,49732299,98217114,212646699,380040628,796012840,1585223513,3189526051,6379559619
13233237,25712596,51584561,98278780,205891304,395662948,795975334,1586320550,3169755800,6402585199
13194576,25700567,51617335,102138207,205919678,395486393,795999421,1561298184,3107818928,6379877690
13267975,25718693,51044190,102097955,205777873,390123087,795786193,1560085932,3169987047,6380241241
13236741,25713283,51019184,102098076,189690899,395633374,796306581,1585650955,3178223330,6383560402
13236485,25717981,51738522,102231151,205949802,395714818,795921645,1586989813,3169948001,6373109898
13186326,25748910,51681520,102077820,206000724,396207146,795812399,1598853638,3171151512,6410223850
13199590,25762151,51704610,98292980,189808660,395527600,795971574,1590890575,3170092921,6379758958
13200205,25681450,51614993,102102336,206655748,397533321,797189457,1583878267,3165868295,6379163548
13172356,25709307,51628693,99125062,206153171,396277186,796185263,1589375655,3181040825,6440955508
