SHIR FPGA b16,SHIR FPGA b32,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b1024,SHIR FPGA b2048,SHIR FPGA b4096,SHIR FPGA b8192
787871,1226194,2196840,4108395,8108106,17305801,32107032,66556314,130599736,258581628
791791,1230572,2212859,4140033,8116828,16795656,31582690,64265277,131654042,258752514
766594,1241470,2208220,4131539,8034899,17046399,34007434,67005027,125842466,259057164
773477,1232056,2196566,4110652,8127696,16831907,31659065,66672118,140077457,258932875
769113,1221471,2183728,4103086,8072294,17775338,31402009,65758864,135938362,258935444
773753,1241158,2191284,4169667,8068379,16858011,31978469,66563764,129643349,258931173
771366,1224977,2195909,4119051,8054174,16010521,31382726,65183142,130539665,258971372
773887,1221801,2184881,4126446,8038029,17202406,33493063,64923392,128759372,252955656
777477,1234438,2876542,4130877,8023220,16761250,31384069,65856258,130189421,260580811
773836,1220667,2267217,4125900,8037933,17639093,31324639,66519516,129929166,258711582
775125,1219546,2237162,4107496,8135830,16740102,31794114,65797874,130604783,258912347
770677,1220999,2184851,4162898,8105820,17763760,31459312,66328800,127393283,258512546
756977,1218101,2200352,4077559,8056485,16800676,31344443,65757044,130769382,258814379
757219,1261785,2178484,4148047,8084369,16065963,31274739,66423519,131609770,258775095
757060,1261807,2194555,4122131,8067658,15887586,33621457,65875005,125577226,258524702
761556,1257970,2198034,4122716,8091066,16000591,31861629,66442447,131933485,258480078
771861,1264592,2204162,4072786,8049192,17250050,31415770,65767729,130543220,258618861
756551,1265352,2204892,4135419,8045732,16058568,33701150,66574391,128780306,258476470
754481,1255471,2208120,4089416,8063619,15830711,31848184,65804601,130409350,258740310
752200,1241966,2221114,4124504,8087966,16506785,31508216,66493210,127046737,258834219
760743,1244127,2220856,4135787,8150409,15943622,31216150,65889434,130687274,259109333
750246,1221729,2218304,4113191,8160301,17148445,31455195,66525510,131538286,258432010
758041,1224956,2183776,4088986,8109156,15994522,32348256,64390620,128271462,258699022
748347,1230387,2190460,4151356,8117591,15771526,32199650,67278774,131918550,258724687
762495,1223002,2187896,4123157,8328555,16429796,31443063,66737743,128949775,259027169
764198,1223190,2184464,4134050,8450020,15947942,31188208,65975808,131608723,258798070
749452,1225185,2184304,4125494,8388356,17283505,31449257,66718149,127582232,259007270
759188,1220770,2208080,4097994,8311569,15942298,32221337,65900702,131596521,258726667
757276,1219884,2188285,4074843,8231473,15891875,31380564,66561040,128472446,251632202
754636,1231093,2184511,4154109,8248053,16411130,31970728,65624177,131804518,259758248
768741,1294266,2185520,4101925,8179598,15867014,31947417,66675443,127505829,258587451
740347,1294314,2152121,4118306,8128427,15828935,31448275,64247604,131679528,258685773
746435,1266737,2173149,4123041,8141178,15835153,33712267,67198016,127848711,258674473
745577,1242420,2186085,4105794,8068299,17596110,31645386,66491677,131816917,258779615
751554,1275161,2193395,4070582,8124958,16840281,31356496,64304698,127795253,258948358
738178,1270422,2189400,4162763,8108572,16093840,32158153,67112869,131838701,258883747
745343,1228892,2181785,4102163,8091784,16064214,31608323,66382125,127550880,258992192
