b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
30155,45687,41299,45898,84681,97057,193844,349660,462810,1383910,3747385,7067864,12500669,26310127
30098,46283,39104,46538,54743,97974,262826,368468,768115,1257190,3499665,6997449,12297662,26209962
29810,53931,38791,46896,55467,81997,214420,371898,778010,1241125,3684493,10403319,12730932,25253455
55658,46124,41739,44811,53219,114225,190996,407566,754950,1233159,3840568,6185012,13108197,26088746
42547,45687,42783,42604,99165,98717,155854,397086,763629,1498434,3885244,6259186,13070305,26073112
43500,45676,37405,44262,85979,98407,183889,377931,762050,1241885,3788738,13291350,12981231,26193102
29821,45239,38420,43789,53181,121584,207304,412942,449844,1224401,3785192,6228495,12885198,25471858
29486,43044,39834,46741,54177,97417,209536,409566,764563,1306582,3437987,6274168,12822679,20448916
28805,44075,43837,46077,52143,103288,180272,411775,756368,1528932,4017185,6916555,12824069,25914750
29141,44175,38891,40909,85094,97037,191961,391059,779042,1555618,4484083,6408707,12911978,26348034
29250,46933,42187,43485,85482,95622,214489,399949,782503,1363311,3751962,6745211,12762278,25205787
28823,44680,37841,39057,60803,100990,181969,421517,779650,1390442,3645190,6504772,12399501,26204883
28946,42672,38258,45882,61575,117780,178906,389071,753176,1236191,3750588,6850263,12403453,25854549
28528,46216,41054,44865,61824,89078,206327,374096,708232,1254684,3650783,6759952,11658608,26195699
28836,43824,37009,43032,60965,94324,183211,378243,761211,1395285,3712337,6973834,11632211,25617073
28505,43056,39096,44017,85252,105155,190266,390761,759054,1401466,3026437,6435428,11690284,25940418
27372,43808,36255,37547,57918,112706,195984,391706,752871,1336429,3539537,6511509,16071878,20419082
27519,42316,37862,38743,49751,112775,212161,412625,760767,1384854,3446957,6663722,11777585,26038743
27600,50232,35553,38392,46614,105482,182477,360241,785914,2008824,3448713,6270841,11553867,25348093
27581,41243,36532,37745,44543,117572,202689,237556,769519,2160872,3092132,6566576,11126393,24814715
27511,41483,37300,35361,49464,122195,116265,403071,771873,1983136,3744806,6322159,10975339,25895161
27187,40430,34747,37488,80133,107578,134255,392287,446584,2017168,3030730,6320660,11146831,25018831
27434,40803,35482,39409,49872,89835,145141,375429,743954,1937225,3446885,6202889,11736494,25636660
26885,41796,34870,39313,48965,90698,166241,389054,758905,1313771,3625988,6257697,11778201,25381937
27343,42134,34679,39886,47709,87145,134637,397637,744071,1318133,3780946,6769335,11727973,25524701
27561,42127,36314,39203,47806,89885,132440,385128,783851,1193905,3657791,6795651,11993300,25189673
53294,41608,35849,40038,65076,120695,118744,389150,761218,1171173,3467585,6705134,11568704,25517239
45140,41541,34329,38916,42721,81860,142640,382990,745614,1200338,3430142,6314460,11495413,25708438
49999,40635,35457,38429,56111,77960,132086,915585,745691,2062825,3432114,6499195,11929904,25298348
37693,40141,35140,43231,56043,85220,127324,239142,762386,2100258,3062613,6756631,11999199,25444072
26672,40668,35871,36173,62019,77954,127502,319997,750995,1485573,3981463,6777889,12014467,25722066
26249,40487,35467,44182,81976,96053,134085,259270,760452,2083789,3655224,6247074,11615360,25244974
26805,38666,35842,35813,71263,103630,120275,408270,763248,2069497,3609065,10330751,11366722,25693966
26893,40319,36055,38097,69491,78549,131400,388556,814251,1305343,3616026,6388908,11432893,25434279
26731,40816,36956,34180,73722,102215,145436,393036,806837,1473813,3984177,6275643,11424899,25768396
26535,39101,34716,36954,65680,89607,171049,347635,779516,1169266,3624629,6797548,11903293,25288211
26314,39528,35691,54695,63515,70864,128904,403500,756195,846301,3420378,6705595,11840537,25795700
25907,39642,34627,63278,61061,71397,133433,379377,553037,848530,3007679,6806499,11929744,25437945
35367,37812,34884,37265,60764,73287,149846,416848,770068,1351076,4004879,6705514,11753148,25390408
26594,41635,34094,34245,56475,95816,131204,408730,774089,1298490,3622524,6257612,11820660,25204693
26118,39061,35472,35559,54294,80314,117457,402356,681499,1423265,3643312,6432065,11708919,25355953
27169,40353,35686,37490,53758,94378,150389,409925,745283,1205271,3664126,6538568,11622844,25826022
25305,38617,44312,36275,55617,99116,132538,399496,763115,1197647,3886794,6537783,11860350,25693584
25058,41180,37938,38263,78632,94301,119446,403513,763579,1179336,3028922,6801585,12048650,25321825
24958,39201,38416,39134,58276,85445,106102,385595,762036,1316173,3623363,6944635,11142821,25901666
25880,40000,37884,40441,69707,101545,118709,381111,768711,1158120,3003588,6453291,11523424,26273861
24990,39327,39808,46242,56429,105450,206321,394927,764742,1164799,3744957,6999157,11304952,25279565
