SHIR FPGA b16,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b1024,SHIR FPGA b2048,SHIR FPGA b4096,SHIR FPGA b8192,SHIR FPGA b16384,SHIR FPGA b32768,SHIR FPGA b65536,SHIR FPGA b131072,SHIR FPGA b262144
453105,665913,680314,1102224,1957952,3644524,10463990,17583315,35910826,87680538,141297057,282443981,560484851,1131378504
441730,636660,1054029,1142663,2545931,3765094,11275539,18371309,35651935,78883386,139048320,284240471,582191868,1140904524
440072,653734,1011647,1090901,2061106,4561901,10225026,17526666,35851228,75471191,139228827,282207081,563265397,1125806082
423395,649520,994247,1135744,2021742,3707812,11638222,18145469,35130628,73136798,140010719,285956426,563484482,1135760504
447573,635816,972702,1067718,2141225,3842733,10904605,17559080,35858818,75204137,140283472,284690024,562381527,1135701880
428862,620700,973056,1138504,2139034,3804275,10996111,18194674,35186028,74972149,138699270,285658505,565461326,1142381416
429811,619146,956572,1125190,2108463,3563228,10910897,17687032,35866571,75698261,140334116,287245411,564186241,1135933833
421271,619440,937740,1123851,1998652,4348779,11732313,18181963,29146522,74416297,139532790,284484813,561400107,1126431873
436085,624816,933099,1158854,2253763,4425983,10996038,15822657,38408405,75918760,141004374,286134045,560376080,1127097054
432118,605765,895283,1149909,2049225,3890864,11736510,18140227,35996906,80943670,138171881,286034124,562757653,1138987656
435925,632602,901877,1143463,2062888,5454664,8822622,19439014,37203602,80613620,139951490,282302512,565530574,1139784352
420509,627569,905385,1204185,2132567,4580041,11493002,16739374,36047882,73098579,139762992,282810648,560899969,1133003149
433283,590983,851404,1167028,2794149,3887887,11207696,19431527,37100147,79709965,140094717,286580832,566203070,1128880363
428796,568619,881420,1116081,2696838,6059336,10862455,16868326,35861689,81332773,140992946,287810944,564524500,1131840726
421713,518448,873905,1128316,2169931,3860583,11671869,22246712,37417098,74541099,140475598,284893038,565469598,1123423511
414190,490682,833721,1163656,2852358,3632362,10957775,16533845,35950573,74454374,138662936,282709940,566443976,1131977345
430865,506847,830535,1142559,2103780,4245692,11258136,19710372,29809262,75240960,139929213,283478016,563460362,1130009214
407772,498804,856237,1109126,2248560,3818864,10727803,19984160,37294465,74825538,139273686,285012481,570676371,1135594824
426288,516120,887927,1189094,2135477,3547491,10800159,19789259,37363624,75882854,141237752,285628952,559254874,1127227738
418177,491832,858984,1142980,2157514,4032642,10707159,17174534,35886905,74648579,140052474,287215997,569884103,1127552152
432757,504978,831064,1126720,2730949,3813522,10995165,23382073,37355859,75316464,141007702,286166862,559986400,1120768794
410405,505733,836855,1113495,2140411,4664826,11172657,16945405,36168344,73148446,139163724,282890844,566812639,1123555788
410600,502685,819535,1137236,3158187,4459996,10858826,19554121,37102941,74628174,139870236,284420263,577074558,1126015103
406687,499879,833979,1077025,2173102,3771291,10965625,16791189,35651115,75324466,139708752,288614559,570438242,1130677847
433709,528812,818842,1169293,2163822,4674557,11446796,19494981,37214326,75386403,140490459,288207923,572211110,1130837856
401444,498909,802375,1130686,2734174,4410583,10665890,16322457,35965054,74745434,139509561,287818053,567360789,1126779911
418878,509911,871362,1101768,2175755,3793594,11588337,19387199,37273887,74628653,141651340,285492278,571650226,1132304279
414975,487361,820607,1078226,3174563,4706809,10677719,16575390,36137212,73771676,139495113,287910191,568967563,1144092141
419101,506671,800180,1060872,2132702,3713126,11104454,19483405,36067142,73377777,141686476,286780825,568587010,1129730863
411440,486935,788130,1041215,2085136,3581946,8810322,16430123,35477511,72153620,138639504,295965554,568271151,1126999629
404460,502411,800684,1077942,2459473,4201915,11004925,19624787,35878737,73575399,140283334,284544042,570631482,1128188447
408398,494120,805375,1068498,2044656,3301373,10783782,16409769,35328871,72953462,139519202,283827110,567457331,1127649962
405928,505607,797396,1046773,3058463,3280489,10529620,19459998,36008412,73300983,140532537,284350178,573674013,1125433390
423765,485516,817851,1101273,1965483,3539839,11028081,15980035,35376324,72552720,138809147,286313595,568739282,1130898614
428917,580980,763781,1042698,1961447,4401011,8606886,19541290,36367207,72872003,139908643,285948268,570599642,1129901390
412413,532438,778046,1076906,2423129,4219452,10693779,15986630,35646631,72881326,138996721,285210616,564891130,1115156629
433606,555714,778301,1111928,1965880,3572329,10551499,19774783,36712240,75066355,140756409,285256422,565578472,1126997955
422751,521137,761355,1066691,1922216,3466729,8471403,15877264,35312329,73745162,138354173,285935700,566385489,1132344222
392713,557646,757344,1099073,1969408,3487730,10610433,19594766,36239815,74337995,139765764,287182930,563989977,1120301430
409918,524102,748617,1073579,3420338,4376327,10271859,16117027,35327293,74698975,138669700,290219794,564861238,1129564486
412860,543545,750614,1108797,2419814,3568789,10352110,19547228,36415713,75078763,140515150,289022751,563156195,1125220020
418894,505130,913618,1069898,2046200,3552237,10955546,15765354,34996334,74387650,139724860,290297387,578967882,1133275151
395950,485378,878223,1088056,1987432,3478931,8413575,19629075,35868928,74786137,140212888,283290202,572829738,1127174110
380791,496257,814814,1079739,1983736,3304871,10489841,16647062,35090070,72957425,139557262,281603030,573997797,1125436850
399399,499339,801776,1050094,3544491,3945550,10278071,19504112,36371763,73145837,141030288,282078935,568259678,1128695876
415901,486452,756156,1076709,2544301,3550495,10516841,16432601,35512893,73082174,138624564,283469021,570550239,1135371675
392949,498401,785818,1075120,2033336,5579412,11264998,19368260,37246220,73494159,143267443,282950153,569749792,1123475277
396717,494107,753038,1054655,2953024,4244597,8614865,16765558,36535359,73271391,138568766,283266411,575194712,1134995291
416166,488436,762579,1084421,1996133,3482075,10495634,19428394,39295756,74725943,139721956,285454680,567650230,1128425755
402400,475554,756498,1015652,1961326,3227077,10423950,16643816,36699931,74916263,139342798,284107153,565310434,1136156465
407501,500411,737841,1068299,2430916,3619785,8342587,19267332,37511999,75240576,140461823,282785525,569730525,1124260801
390049,491737,740357,1053396,2030417,4452756,10598216,16524521,29986680,74577431,139162809,282448850,569819059,1130025444
401256,504843,735744,1081986,2877939,4166031,10327114,19374060,38607802,75350294,140025139,284549040,569303815,1129003736
396502,494053,725308,1006051,2560629,3547085,8439147,14899809,36259924,74787957,139286405,285657011,566602064,1132420741
406680,507419,732025,985778,2015773,3486537,10607804,19346788,30896404,74975208,140131346,286496442,560597671,1130370837
396667,497577,740344,1007100,2988881,3504154,10296174,18488177,38057974,74058706,139020958,284836130,556790488,1131515209
402197,507246,705750,1025872,2124841,4721863,8662436,17090326,37657657,75826775,140969018,288471699,558183488,1125434156
391670,474925,717684,1028491,2089890,4355475,11563344,18460384,36679662,75148432,138682768,283544138,559168115,1134188035
424494,543160,742971,1050069,2544131,3766203,11025063,17678223,37540645,74517661,140792778,286148700,554731124,1110729503
394866,486179,712965,994497,2077250,4668691,8936412,17984075,36215605,73495138,139178675,288427735,559499811,1125152989
399986,497557,735122,1016943,3199831,3760605,11646884,17539420,37594582,74905183,141122835,284136674,557744186,1134428282
433036,484116,720367,1098296,2123485,3788312,11137594,18283086,36478052,73151613,139894719,282621046,560015708,1136661132
391043,505132,685164,1051021,2131420,3837519,8752805,17485786,37163525,74777729,139817277,281449131,562481657,1130727835
396529,488142,700621,1064722,2653490,3508370,11130338,18089323,29420976,74164937,139150862,282250027,561627134,1132151419
390382,480912,733719,1021254,2062933,4316756,10963471,17536746,38561352,72350148,139810927,288472034,562347491,1141649362
389678,509676,707546,1025553,3180432,3826515,8813821,18244674,36532178,73732021,138610650,288181364,563645114,1139186922
361349,502142,696236,1050642,2158240,3398021,11332024,17504113,37360492,74345657,140472828,284433379,563021392,1136076547
373350,490445,718648,1004608,2157701,3780201,11010360,18526607,36285184,73794117,139298039,284277303,561473436,1139930676
371218,505601,685510,1031557,2659758,5898691,8731961,17603197,37105069,74371283,141151082,283382829,561024673,1128759762
367755,488760,725310,1067128,2249219,3852604,11241375,18217621,36088253,73992963,138572491,282781112,573050923,1127918428
372103,497765,698452,1059511,3182554,3503496,10781337,17133667,38544536,74675951,139294756,284620686,573933110,1130737110
356752,497229,670395,1020353,2168283,4318196,8961081,18203464,36098289,73820078,140704152,282334668,572339112,1138849102
379886,495581,686275,1026321,2177324,3757926,11337627,17395666,35901932,75102484,139780362,285814532,570925700,1128250191
362234,474349,682048,1065229,2663195,4413231,10896315,18294166,36522139,73070945,138480842,283563207,571366113,1135649524
382748,534978,670708,1042265,2209864,4533736,8723764,17372657,39351786,73928571,141220292,283323706,578556357,1134190353
370351,487263,687345,1023162,2159032,3774793,11641226,18163128,35745048,74476965,139393899,283062205,565054985,1138127039
367553,490091,699904,1045340,2225694,4654337,10970215,17445877,29669288,75183522,140019731,284042622,566689777,1133406134
616784,522076,686587,1079228,2193305,3736175,10631473,18492014,37717278,74944874,139957155,290144682,564622301,1140457631
536496,515036,683042,1143518,2881432,3742901,11566658,17672072,36484046,75080664,141124702,278992918,558554137,1140018102
515999,505013,698189,1130419,2219498,4490180,8876649,18421257,35598059,74599752,139160077,281114511,565645041,1132212795
531051,505796,673929,1091874,2283223,3820922,11704751,17578753,36355705,74275988,141729528,280856440,573127550,1123626985
518324,516663,677875,1146940,2177050,5921816,11661349,18422252,35570346,72554627,138351753,280286275,574917937,1141934375
509283,499986,707239,1129771,2095353,3783276,8811697,17041315,36148865,73270149,140528547,279215693,581857329,1144349201
472903,491677,661481,1102920,2617202,3496088,11462062,18770016,35273352,72301187,138198567,280759231,567491673,1138337659
484362,474452,693871,1086894,2101072,4323837,10869057,17623393,36097452,73525093,138654696,279124715,567270910,1127358831
477290,481306,701176,1026191,2983935,3742414,8752016,18353877,35433429,73790778,139795931,278724795,575127223,1125219827
475685,517489,670380,1035852,2018915,5841661,11347105,17296245,35999254,74421254,140597299,279699675,574458830,1129640362
471301,466322,686026,1022691,1897956,4684271,10776436,18243167,35054143,72459779,140084615,279956003,572615864,1128280045
503060,524195,695426,1015263,2621449,3660695,10929012,17538057,36184630,72555580,139375240,280047682,573108935,1135476656
494158,482256,673853,1043606,1922469,3527283,11375144,18630901,28625669,74841966,139539346,279017238,566620334,1136665689
483565,503927,685365,1030047,1953559,3902755,8818985,16076905,37742254,75130513,141789902,279911890,556759239,1138646663
481688,486304,705706,1049941,1905098,4529709,11640171,18644195,35658373,74611365,142352326,279896104,556419551,1128598101
499268,524878,668559,1057501,3325207,4520959,11033667,19379915,29393494,74865154,143522005,278905185,562377362,1136170994
489201,507946,675771,1009792,2459468,3763120,9095857,16517444,36635669,74190507,144058409,280805415,564957671,1137920237
474017,1082155,691615,1037245,2068176,3740097,11719758,19395438,36396693,75157270,143872987,280293007,548292163,1129999330
461806,1082125,671706,1005105,2949299,3804184,11215509,16374942,28769997,74779711,143139505,290215831,552376338,1133674775
499222,500039,669588,1064514,2545154,4714420,9049480,19564895,37400905,75465080,143681139,279955104,550739817,1134343656
494202,477269,706350,978840,2040106,3778617,11674482,16501382,35177732,75189927,143709169,280670317,552504260,1137224409
472654,531059,661915,1034384,2998065,3790584,11125781,19564825,29403360,75614106,144387240,278666551,550761791,1138253147
483038,486354,664938,1054378,2526043,3775838,10990633,16688360,36703264,75120787,141833917,279534343,552490127,1105664638
492248,499924,686566,1015560,2013116,3514604,11639275,19609765,36598555,75268786,143277683,280725987,550745058,1128452266
488843,488567,649835,1034523,2988326,4443392,9031363,15207735,35688478,74805281,143125211,279796181,552952051,1133989366
449775,526559,665325,1055542,2037312,3776961,11524145,19578254,36635264,75360136,143327836,279924729,552245777,1127391144
483103,518468,688840,1037374,1948570,5941105,11069628,18087910,28219344,74943161,143040506,281631491,551534827,1127572241
