b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
23437,17713,14533,15055,34069,56799,77028,124565,250611,437919,772624,2399851,3059526,5925885
28229,16958,14764,15645,33808,72031,79289,126022,258601,438913,871902,1614065,3059519,5775004
28576,17085,14754,15196,33081,69608,79963,123143,234402,441074,1016266,1702602,3064013,5898421
30226,16927,14280,15285,37543,67716,78599,122295,220575,452683,990121,1676481,3048421,5995825
21821,23813,13983,16458,32208,67701,77373,127761,211386,455147,786552,1615421,3056262,5694023
20588,16731,13925,15828,32836,69672,86313,123390,212619,444783,771528,1683051,3042297,5911765
20654,17050,14305,15915,33246,67766,80344,141604,260889,458740,1050194,1700691,2873297,5891456
20584,16803,14291,15534,32044,74700,76680,127528,263984,449295,1121927,1698124,2920480,5796637
20681,16845,14358,16699,35925,66941,78444,127074,248086,442416,841660,1771813,2880263,5866561
20543,16053,14567,15378,32882,67210,75509,126768,253735,446148,847036,1602471,3086774,5712773
20310,16100,14334,16741,33523,65989,77349,170576,263075,441102,845615,1857929,3130392,5720438
20614,16265,14349,16633,34168,65711,77803,126386,246054,454974,855490,1843935,3155742,5856679
20248,15910,14298,15063,39805,66081,76887,125279,251246,446715,823100,1809935,3127544,5851859
20427,15993,14108,14722,34077,66398,75869,136148,243588,441407,839561,1658845,3103194,5677327
19335,15947,14379,14975,30597,70996,76304,127201,255567,439403,827846,2189391,3116402,5861130
19624,16000,14425,14606,28431,68627,76089,127840,252005,456440,835431,2042714,3052998,6109388
19583,16142,14042,14678,25306,63693,79261,123212,257338,444634,814064,1485836,3074101,6897720
19953,15483,13909,14494,20142,63034,77024,129685,243511,441205,824039,1854817,3065628,7794885
20099,15867,14850,14267,21427,69893,90014,127566,249622,439084,819941,1592183,3052181,5878589
19588,15755,14140,14506,21686,69805,79218,126728,239293,448188,841595,1507680,3034205,5741062
19731,15403,14299,15784,20515,73120,78213,128514,218984,625246,824344,1481656,2869133,5775675
19602,15660,14256,16523,21908,72606,75219,143512,217114,405415,852096,1497616,2882796,5751161
19451,16706,14530,16417,20565,70237,93439,128317,221870,403455,854103,1640763,2886717,5842824
18936,15910,14331,14426,20058,72282,80227,130185,416066,400603,840648,1616164,3096466,5861105
34903,15513,14232,14484,19267,68688,79389,131266,238854,402786,841722,1563525,3068917,5881204
27326,15114,14337,14818,18723,71783,94343,129481,215569,408469,854582,1472059,3074909,5829736
23591,15477,14378,14347,18465,66568,77871,129515,221148,403662,859556,1454248,2944236,5820808
19504,15409,14510,14945,18110,65105,77148,131166,221320,400899,813102,1504512,3133348,5729925
19148,15400,14457,14850,19667,71085,78216,129078,221503,408315,820684,1701165,3041646,5754960
19161,15219,14282,16440,18027,68589,78653,1169853,217227,400511,864986,1553403,3057767,5850164
19294,15041,14267,14399,19007,69119,77797,160736,221194,404704,853102,1471872,3061614,5726047
18606,15826,14038,14481,17687,67275,85761,124395,410688,412785,839191,1478139,3079359,5784593
18232,20788,14081,14255,17130,71762,76634,156050,363833,403453,833969,1545108,3074049,5731347
18685,14810,14113,14261,16906,65996,77157,173079,234735,403664,838379,1735286,2884439,5796160
18385,14883,14130,16747,18995,66243,77867,131516,336406,425129,824019,1827238,2874212,5826100
19003,14672,14346,14892,16881,60651,92308,125000,217944,397786,836945,1770396,2869285,5751335
19132,14417,14174,14478,17038,61012,76811,124812,220644,411339,817109,1647450,3073597,5705704
18659,15101,22996,14688,18937,64488,80635,128768,215472,412124,866355,1557067,3040195,5848258
19084,14523,14127,13990,17681,76156,78320,139050,226739,406312,843802,1597396,3066690,5735396
18704,14660,14067,14600,18199,65605,77447,140506,226018,405296,865433,1566439,3067564,5712363
18291,15090,14546,14668,19132,69389,86483,127643,221477,413799,851732,1627768,3083272,5730330
