b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192
13178,14258,17527,14129,12507,23404,22262,77126,81239,78967
12988,36632,12471,12663,12168,19521,30043,68842,38925,38877
13105,17282,33436,12606,13385,19073,28962,45896,83078,44747
12801,13986,12476,12519,12051,19348,62728,71131,77981,77111
12923,13805,12394,13918,12372,18945,26139,48886,39908,37536
12852,14291,12428,22075,13412,19402,28267,77898,88703,42327
13206,13620,21571,12822,12319,29147,29606,36840,79495,78477
12963,13912,12465,13721,11834,19204,28192,83492,40089,74505
12515,13404,13820,12803,12343,18824,61370,79228,81838,36287
12327,13667,15561,12457,16785,43570,28727,53907,41421,79245
12633,13809,13789,12098,12549,18271,31544,42154,80112,86371
12642,14096,13938,12675,12441,33921,30992,78132,40985,36144
13711,23440,16588,12892,34113,17844,64879,37576,89716,89398
12653,12514,12402,12537,12500,15998,39937,38012,51028,828887
13005,13516,13359,12683,12281,16646,25835,37250,42460,48936
13243,13582,39689,22425,21186,26101,31025,74984,82764,41533
13171,13813,12363,36077,15469,18924,28213,37506,41834,78411
12997,13520,12526,12352,12245,16900,23968,43084,42056,49497
12832,13454,12487,13780,12115,17754,23932,37026,46833,40991
13060,13494,12575,12465,12163,16467,28444,33973,40051,80926
12773,13315,12339,12598,12457,17006,64947,39880,79738,48204
13010,13854,21139,12951,13409,17634,24349,70054,46917,76472
12716,13884,12611,13637,12098,16280,23687,38094,40420,39782
13004,13234,12925,14023,13806,26144,30133,38933,82509,76278
13308,13456,12193,14242,12312,18626,24211,41191,38217,80929
12995,13531,12864,12757,12473,16928,32577,39393,40620,38032
12984,13453,12830,15630,13438,17729,24010,75986,80568,74820
12810,13495,12283,15052,12369,16433,24076,37700,44801,77998
12922,13551,12108,13781,22113,17789,28632,39158,84603,41539
13007,15431,12459,22554,46542,16108,25247,43617,47807,75808
12676,13394,13418,12960,13554,20144,26911,39767,67470,83678
13139,13741,25339,14479,104487,22494,46673,77433,83179,44685
13535,13547,12302,14828,32837,21485,48578,37982,47921,42251
12876,13775,12361,14211,23076,17140,32906,47736,82850,78423
13293,14108,12283,12821,18302,16342,25372,48877,44764,46484
13165,19730,33527,16200,22180,58967,25058,39282,40286,42087
13123,13692,12387,20584,16134,22921,21251,70284,98069,78216
13271,13775,11954,52097,16753,19706,33011,47962,47910,44120
13272,13893,11988,13254,39962,31716,33613,34432,88115,78409
12898,13512,12167,12885,13768,21382,26959,37130,49294,40338
13207,15657,12281,24751,13590,17838,32555,40353,43010,48024
13101,15406,12301,24427,12911,16380,34659,43082,84660,383492
13320,13722,13529,12806,16605,18937,49231,72630,46694,34736
13031,13545,12109,44752,199472,22462,48101,37983,73464,48853
13159,13743,21381,12858,15000,18556,27314,38991,51173,78407
13304,35332,12456,25590,13191,22243,21969,40005,43105,48643
12852,13599,11870,21547,13776,22733,28025,37827,82166,40075
12998,13886,12222,12904,16831,17376,22828,78726,40973,78174
12799,13485,12106,12569,82349,21013,33400,38230,46790,78302
13208,14094,12007,31663,13233,21054,24994,39474,76018,52241
13043,13075,13098,12582,13193,19170,20629,38232,42886,80816
12910,13252,13357,34698,17867,18677,22451,42575,80839,45402
12578,12987,12091,21695,388807,19376,21118,81425,41329,47465
12905,13247,11955,12762,12661,18149,21641,49563,42672,73220
12604,13293,12705,13550,12664,19065,55097,45794,84269,47174
12839,13435,12104,25314,12626,23022,38026,38109,349229,88442
12649,13092,12381,12976,14070,17910,29281,40287,78861,41538
12981,13317,13944,12470,26840,18582,21186,45308,48104,45118
12833,21669,13658,38928,13218,22190,21336,70321,37436,79358
12831,12346,12585,12786,13096,18820,22537,36878,48498,41437
13237,13553,12723,12551,12443,20398,20806,33345,38017,46844
12722,13130,12238,12521,13551,16705,24991,39920,45705,79135
13128,13266,12966,12221,12662,22799,21795,40064,78334,78185
12862,13329,12443,25885,12441,20985,32691,73469,40894,40481
12918,13161,12749,14377,13632,17549,27580,39999,95993,81613
12814,13483,12368,14679,13230,43629,23349,36845,42329,80284
13093,13374,12957,12602,14246,21996,32628,38349,39502,39407
12755,13359,13647,12674,12824,18250,69067,38971,82919,78473
24765,13256,18540,14152,12558,21600,32678,66619,41914,76827
12568,13225,12421,27330,12330,28995,26455,65485,84314,45371
12623,13137,12268,50565,12349,17820,22755,59353,42239,51848
12740,13503,13593,13177,14350,16748,22495,37942,47904,650831
13033,13449,12548,12692,14033,18406,21624,39161,45970,42318
12926,13591,12404,22316,17774,22543,28908,88897,80958,38039
12828,13184,12117,13151,13069,19168,24091,40507,41559,67067
12747,13330,11954,12989,12434,20781,38766,34429,83912,38893
12738,13557,13505,12806,14445,20103,27027,38106,46175,69522
12910,13336,13291,12444,12767,19404,24396,75270,42229,32114
12783,13253,12419,12640,12840,19889,28657,39191,84268,66857
12881,12855,12153,13256,12487,17944,50093,65230,80881,68446
12389,23896,12431,12673,35422,19551,75323,35611,40470,33907
12917,13482,12666,12621,18013,20772,48848,37970,92259,87529
12734,13452,13426,12678,14307,19375,22781,71712,82382,69279
12830,13477,11832,15711,14826,48041,21151,38953,39769,46867
12840,13321,32886,14174,12687,103687,21562,37036,78702,32613
12559,31904,12260,13554,14338,20242,25378,76862,81497,66385
12890,16000,14839,12501,16371,23152,20050,36138,39272,38302
12916,13759,14427,12764,16517,48102,56028,75435,82544,34272
13430,13774,13576,12591,25143,29076,55031,39066,81781,68385
12829,13938,12519,12564,14106,20836,200110,75589,46552,39848
12491,13826,12645,12751,13347,21967,48473,38050,41137,40490
12721,17550,14034,12910,14561,53736,27938,75047,81014,63383
13088,13960,12633,12401,15664,27757,33378,37700,52635,37129
12892,13728,30926,21000,15076,21031,33395,75616,81879,68347
12969,13798,12471,12886,12595,20599,28259,38107,41475,32784
13082,13699,12650,12448,37700,18058,24430,38175,84017,37612
13442,35661,12169,13082,17983,18996,624335,42419,41975,70544
13032,14062,12464,12956,15452,19318,44870,38527,49836,32705
12685,13905,12176,13575,15316,21781,20196,38308,83955,37623
12543,13645,12501,13906,14550,49885,18907,37939,39124,92833
12374,13369,12418,12396,16198,29588,18091,77630,47211,70847
12803,13397,12802,12835,15685,18814,17440,39111,39069,32275
12796,13667,12328,12811,15249,18178,19682,37575,42279,66712
12692,13569,12432,12732,15297,18586,18734,37815,82851,39458
12846,13211,12410,12843,15309,18326,24512,38986,40693,34083
13063,13268,12275,12531,15143,19180,29819,41694,83018,69829
12763,15416,18223,12619,14827,313289,29514,70323,40015,38289
13026,13566,12264,12350,14158,17636,54801,47116,41247,61874
12669,13983,12461,12523,14950,25604,41162,38308,87896,44824
12804,13301,12111,12538,15199,47824,29842,37524,40688,36403
12954,13036,12019,12632,15582,18249,31134,38538,86077,66035
12637,13516,37388,12615,14966,28847,29480,75667,397766,27379
12457,13376,12488,13936,15589,21269,29854,36742,40932,36746
12664,27612,13354,12632,14567,16945,30091,37568,90731,68607
12908,12388,12496,12312,14100,16138,34457,40048,41426,31773
12661,12142,13406,12563,16366,16086,31420,37195,40071,38880
12891,13658,12303,12292,14021,23528,52768,75249,81784,65496
12863,13295,11887,12652,14372,20633,33103,38806,37810,68126
12677,13629,21493,12450,14812,18103,19045,39078,81412,31300
12791,13266,12363,20532,21976,16644,24255,38685,38877,67986
12903,13529,12433,13540,14856,17497,24533,40220,51230,68988
13117,13410,11939,12332,14865,20332,18854,40304,81114,32431
12672,13436,12334,13772,15077,18488,24876,71179,42322,66951
12700,13844,12207,13569,15384,17720,53726,44751,82684,69429
12938,13394,12114,12747,14918,18942,23057,41511,48250,33405
12833,13580,12177,14674,14802,17767,19698,39176,47605,91089
12558,13658,12637,12384,41440,20915,17458,36192,91211,86371
13246,13280,12425,12543,15346,17174,16460,69274,41234,133210
13396,13422,12233,12374,14078,41930,16371,40717,79880,40081
13027,13488,12092,12555,14187,21627,20844,38740,41298,46694
13083,13616,12400,13682,15500,17642,23503,37367,48514,78588
12904,13736,12465,12481,14349,66716,53768,39742,80887,264757
12636,13754,12425,12285,14018,19049,16323,92794,41950,45460
12815,13547,12226,12753,15144,14785,23308,36543,89083,714255
12396,13217,13589,12418,24828,18468,23220,38022,89449,68387
12416,13850,11999,12458,14062,15534,18965,38098,40596,34732
12553,13294,12195,13410,14128,15647,24970,84170,93075,68066
12612,13686,12202,13426,15230,14857,18591,52334,82958,65936
12557,13364,12656,12388,13549,14628,18188,37634,39549,34991
12724,21145,12442,13512,15004,16948,40753,52646,82648,67408
12613,13387,15079,12471,15175,15278,21070,66875,88476,67489
12582,13600,12399,12367,14661,17326,22562,48690,40818,39842
12611,13162,12338,13560,14702,15191,17730,34642,80069,62061
12636,13420,12069,12626,14047,14577,17075,60063,81541,69077
12780,13224,12175,12469,15827,15058,49347,72493,39195,38111
12957,13102,12224,13623,15068,15859,42247,37465,81457,34867
12626,13230,11941,12525,14242,19293,24748,76414,80788,66683
12583,13212,12361,12169,12484,23480,19265,40203,40818,38281
24595,13416,12098,12572,12142,33815,17845,53145,81539,41621
21491,13436,17512,12256,12725,30574,21481,35853,39605,64500
13023,13522,12133,13730,12589,27236,19058,38357,82262,38763
12753,13518,12343,12282,12596,48280,18756,38513,44052,68876
12980,13146,12318,12288,12229,17139,17985,74748,41473,32543
13098,13180,12199,12949,12198,20440,23360,38025,46506,39111
12847,25137,12323,12253,37923,204165,19650,39458,48744,70531
13991,13234,12270,12843,12438,31571,19237,39385,79521,46844
14688,13294,12006,12615,11921,19447,33540,39512,41348,36067
13043,13369,13493,12661,13263,19805,37252,75851,40876,69281
13021,40671,12305,13274,12276,19710,99524,38455,47712,39537
13251,13855,12291,12325,13759,18407,34209,51992,39810,32784
13015,13729,12438,12581,12505,18875,22012,38175,72438,68363
15593,13990,12154,12432,12332,18249,24192,39229,54662,38270
13017,16444,12465,12563,13404,32780,19269,67325,40361,72640
12943,13459,12344,14423,12455,17936,24172,48506,87739,36147
13259,13850,33740,35017,12386,127031,23759,40313,42257,38673
13150,14107,12296,12735,12206,16572,19734,37532,52750,68240
13193,13742,11963,12536,18046,16927,23342,55653,87853,33783
13173,14027,11818,12523,12611,520403,23674,38239,37763,37871
12729,13972,12119,12373,12331,43492,19284,76119,81689,67570
13438,13991,12074,12298,15068,38797,30448,39627,40485,63339
13120,25636,12462,12658,12895,25218,50745,37123,39385,35057
13575,17176,11988,12658,12783,27847,40553,37628,49735,69130
13126,13628,12563,14433,15353,75566,29005,37766,42542,69026
13363,13430,16682,12784,15929,27425,30405,77391,80709,32785
13251,13533,12273,12901,14093,20996,29978,56928,42324,68456
13235,13533,12329,14430,15920,31990,39005,36934,42782,67740
13332,26957,12447,12716,41893,25056,31096,38046,57145,42730
13286,13390,12244,12633,12747,20700,39249,37694,45319,67997
13127,13363,12544,14791,12855,30340,26891,66313,80159,67154
13444,13306,12407,14554,23933,21193,68278,49427,55580,38632
13123,13256,12267,12757,13434,26298,51238,36883,38951,36599
13561,13446,21037,12514,12474,20915,27935,39090,81922,88621
13401,13171,12092,14183,13635,17406,29337,43032,41482,134091
13157,13378,12214,12534,13586,28611,24815,65215,89084,82221
12948,12817,11883,12550,12617,20851,47620,47595,40235,42322
13055,13385,12229,12413,13392,26950,25816,39045,81329,79596
13209,13419,12113,12365,25846,22141,26762,35643,40650,80916
13197,13337,12244,12757,12437,26600,26561,39275,80801,39827
13043,13623,12160,12813,12581,19408,23294,37579,43256,76968
12812,13550,12206,12577,12362,18395,159868,88193,82986,88558
13103,13200,12189,12511,12549,39501,649881,38954,81469,111421
12959,13115,11809,12511,19718,22437,33433,38405,42347,35861
12453,13109,13534,13085,40746,28423,26580,38912,80754,70878
12751,13389,12315,14375,13302,53678,23425,51737,80164,40401
12952,13387,12885,15213,25424,28736,27795,72697,39863,33867
12739,13726,12308,15040,14283,77038,24303,38485,85273,67341
12449,13679,12242,15090,12683,18798,27406,38558,134936,37864
13260,13210,12748,14474,12343,48871,26181,40985,40187,68954
12801,13530,14643,12911,46007,17535,30567,40334,92525,41433
13082,13156,16193,13788,22806,16152,29795,33605,54034,39760
13169,13323,13962,12629,13145,15778,25061,89705,70685,77353
12822,13390,12541,39473,13825,25159,39613,54152,49794,31142
12829,13372,14238,25031,15679,15924,55085,41522,81967,39976
15337,13280,12437,17401,21458,21156,37908,41437,42281,67635
15296,13051,12447,16119,13673,54700,28541,83684,78457,75114
12919,13535,12176,14739,49061,18286,25899,42646,62392,31492
12966,13105,12465,14800,13875,15274,34472,48069,45526,67474
13332,13378,12252,15080,26115,44289,35083,72101,80754,84040
15347,13431,12400,14936,14085,20358,23755,39074,40488,33077
12975,13233,11980,27123,13926,17009,31580,87122,40235,71759
13130,13146,12674,12934,13772,16045,25644,40593,83059,38852
